accession	ncbi_name	revised_species
GCF_000153625.3	Fusobacterium polymorphum ATCC 10953	Fusobacterium polymorphum
GCF_000158195.2	Fusobacterium mortiferum ATCC 9817	Fusobacterium mortiferum
GCF_000158215.3	Fusobacterium periodonticum 2_1_31	Fusobacterium pseudoperiodonticum
GCF_000158235.1	Fusobacterium gonidiaformans 3-1-5R	Fusobacterium gonidiaformans
GCF_000158255.2	Fusobacterium vincentii 4_1_13	Fusobacterium vincentii
GCF_000158275.2	Fusobacterium animalis 7_1	Fusobacterium animalis
GCF_000158315.2	Fusobacterium ulcerans ATCC 49185	Fusobacterium ulcerans
GCF_000158835.2	Fusobacterium gonidiaformans ATCC 25563	Fusobacterium gonidiaformans
GCF_000159915.2	Fusobacterium varium ATCC 27725	Fusobacterium varium
GCF_000160475.1	Fusobacterium periodonticum ATCC 33693	Fusobacterium periodonticum
GCF_000162235.2	Fusobacterium vincentii 3_1_36A2	Fusobacterium vincentii
GCF_000162355.2	Fusobacterium animalis 3_1_33	Fusobacterium animalis
GCF_000163915.2	Fusobacterium vincentii 3_1_27	Fusobacterium vincentii
GCF_000163935.1	Fusobacterium periodonticum 1_1_41FAA	Fusobacterium pseudoperiodonticum
GCF_000178895.1	Fusobacterium nucleatum subsp. nucleatum ATCC 23726	Fusobacterium nucleatum
GCF_000218645.2	Fusobacterium animalis 21_1A	Fusobacterium animalis
GCF_000218655.1	Fusobacterium animalis 11_3_2	Fusobacterium animalis
GCF_000235465.1	Fusobacterium sp. oral taxon 370 str. F0437	Fusobacterium sp. oral taxon 370
GCF_000242975.1	Fusobacterium animalis F0419	Fusobacterium animalis
GCF_000242995.2	Fusobacterium ulcerans 12-1B	Fusobacterium ulcerans
GCF_000262225.1	Fusobacterium necrophorum subsp. funduliforme ATCC 51357	Fusobacterium necrophorum
GCF_000273605.1	Fusobacterium animalis F0419	Fusobacterium animalis
GCF_000273625.1	Fusobacterium animalis 7_1	Fusobacterium animalis
GCF_000279975.1	Fusobacterium vincentii ATCC 51190	Fusobacterium vincentii
GCF_000292935.1	Fusobacterium hwasookii ChDC F128	Fusobacterium hwasookii
GCF_000292975.1	Fusobacterium necrophorum subsp. funduliforme Fnf 1007	Fusobacterium necrophorum
GCF_000297655.1	Fusobacterium periodonticum D10	Fusobacterium pseudoperiodonticum
GCF_000347315.1	Fusobacterium nucleatum CC53	Fusobacterium vincentii
GCF_000381725.1	Fusobacterium russii ATCC 25533	Fusobacterium russii
GCF_000400875.1	Fusobacterium animalis 4_8	Fusobacterium animalis
GCF_000455865.1	Fusobacterium hwasookii ChDC F145	Fusobacterium hwasookii
GCF_000455885.1	Fusobacterium hwasookii ChDC F174	Fusobacterium hwasookii
GCF_000455905.1	Fusobacterium hwasookii ChDC F206	Fusobacterium hwasookii
GCF_000455925.1	Fusobacterium hwasookii ChDC F300	Fusobacterium hwasookii
