accession	species_key	genus_key
GCA_000008665.1	Archaeoglobus fulgidus	Archaeoglobus
GCA_000011085.1	Haloarcula marismortui	Haloarcula
GCA_000011125.1	Aeropyrum pernix	Aeropyrum
GCA_000018305.1	Caldivirga maquilingensis	Caldivirga
GCA_000020905.1	Desulfurococcus amylolyticus	Desulfurococcus
GCA_000022205.1	Halorubrum lacusprofundi	Halorubrum
GCA_000023945.1	Halorhabdus utahensis	Halorhabdus
GCA_000023965.1	Halomicrobium mukohataei	Halomicrobium
GCA_000025285.1	Archaeoglobus_B profundus	Archaeoglobus_B
GCA_000025325.1	Haloterrigena turkmenica	Haloterrigena
GCA_000025505.1	Ferroglobus placidus	Ferroglobus
GCA_000025685.1	Haloferax volcanii	Haloferax
GCA_000144915.1	Acidilobus saccharovorans	Acidilobus
GCA_000152265.2	Ferroplasma acidiphilum	Ferroplasma
GCA_000172995.2	Halogeometricum borinquense	Halogeometricum
GCA_000186365.1	Desulfurococcus mucosus	Desulfurococcus
GCA_000187225.2	Haladaptatus paucihalophilus	Haladaptatus
GCA_000194625.1	Archaeoglobus_C veneficus	Archaeoglobus_C
GCA_000196895.1	Halalkalicoccus jeotgali	Halalkalicoccus
GCA_000215915.3	Halorhabdus tiamatea	Halorhabdus
GCA_000217715.1	Halopiger xanaduensis	Halopiger
GCA_000223905.1	Haloarcula hispanica	Haloarcula
GCA_000231015.3	Desulfurococcus amylolyticus	Desulfurococcus
GCA_000237865.1	Haloquadratum walsbyi	Haloquadratum
GCA_000258425.1	Fervidicoccus fontis	Fervidicoccus
GCA_000259215.1	Halococcus hamelinensis	Halococcus
GCA_000283335.1	Halogranum rubrum	Halogranum
GCA_000300255.2	Methanomethylophilus alvi	Methanomethylophilus
GCA_000306765.2	Haloferax mediterranei	Haloferax
GCA_000317795.1	Caldisphaera lagunensis	Caldisphaera
GCA_000336615.1	Haloarcula amylolytica	Haloarcula
GCA_000336635.1	Haloarcula japonica	Haloarcula
GCA_000336675.1	Halococcus hamelinensis	Halococcus
GCA_000336695.1	Halococcus morrhuae	Halococcus
GCA_000336715.1	Halococcus thailandensis	Halococcus
GCA_000336735.1	Haloferax volcanii	Haloferax
GCA_000336755.1	Haloferax elongans	Haloferax
GCA_000336775.1	Haloferax gibbonsii	Haloferax
GCA_000336795.1	Haloferax volcanii	Haloferax
GCA_000336815.1	Haloferax prahovense	Haloferax
GCA_000336875.1	Halorubrum californiense	Halorubrum
GCA_000336895.1	Haloarcula argentinensis	Haloarcula
GCA_000336915.1	Halococcus saccharolyticus	Halococcus
GCA_000336935.1	Halococcus salifodinae	Halococcus
GCA_000336995.1	Halorubrum aidingense	Halorubrum
GCA_000337015.1	Halorubrum distributum	Halorubrum
GCA_000337035.1	Halorubrum coriense	Halorubrum
GCA_000337055.1	Halorubrum distributum	Halorubrum
GCA_000337095.1	Halogeometricum pallidum	Halogeometricum
GCA_000337255.1	Halalkalicoccus jeotgali	Halalkalicoccus
GCA_000337275.1	Haloarcula marismortui	Haloarcula
GCA_000337295.1	Haloferax mediterranei	Haloferax
GCA_000337315.1	Haloferax volcanii	Haloferax
GCA_000337335.1	Halorubrum distributum	Halorubrum
GCA_000337355.1	Halorubrum kocurii	Halorubrum
GCA_000337375.1	Halorubrum lipolyticum	Halorubrum
GCA_000337395.1	Halorubrum distributum	Halorubrum
