accession	matched_by	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	ncbi_genus	ncbi_species	genus_agrees	species_agrees
GCA_000008665.1	gcf	Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus	Archaeoglobus	Archaeoglobus fulgidus	1	1
GCA_000011085.1	gcf	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula marismortui	Haloarcula	Haloarcula marismortui	1	1
GCA_000011125.1	gcf	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Acidilobaceae	Aeropyrum	Aeropyrum pernix	Aeropyrum	Aeropyrum pernix	1	1
GCA_000018305.1	gcf	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermocladiaceae	Caldivirga	Caldivirga maquilingensis	Caldivirga	Caldivirga maquilingensis	1	1
GCA_000020905.1	gcf	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus amylolyticus	Desulfurococcus	Desulfurococcus amylolyticus	1	1
GCA_000022205.1	gcf	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	Halorubrum lacusprofundi	Halorubrum	Halorubrum lacusprofundi	1	1
GCA_000023945.1	gcf	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halorhabdus	Halorhabdus utahensis	Halorhabdus	Halorhabdus utahensis	1	1
GCA_000023965.1	gcf	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halomicrobium	Halomicrobium mukohataei	Halomicrobium	Halomicrobium mukohataei	1	1
GCA_000025285.1	gcf	Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus_B	Archaeoglobus_B profundus	Archaeoglobus	Archaeoglobus profundus	0	0
GCA_000025325.1	gcf	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Haloterrigena	Haloterrigena turkmenica	Haloterrigena	Haloterrigena turkmenica	1	1
GCA_000025505.1	gcf	Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus	Ferroglobus placidus	Ferroglobus	Ferroglobus placidus	1	1
GCA_000025685.1	gcf	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Haloferax	Haloferax volcanii	Haloferax	Haloferax volcanii	1	1
GCA_000144915.1	gcf	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Acidilobaceae	Acidilobus	Acidilobus saccharovorans	Acidilobus	Acidilobus saccharovorans	1	1
GCA_000152265.2	gcf	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Ferroplasma	Ferroplasma acidiphilum	Ferroplasma	Ferroplasma acidarmanus	1	0
GCA_000172995.2	gcf	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halogeometricum	Halogeometricum borinquense	Halogeometricum	Halogeometricum borinquense	1	1
GCA_000186365.1	gcf	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus mucosus	Desulfurococcus	Desulfurococcus mucosus	1	1
GCA_000187225.2	gcf	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haladaptataceae	Haladaptatus	Haladaptatus paucihalophilus	Haladaptatus	Haladaptatus paucihalophilus	1	1
GCA_000194625.1	gcf	Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus_C	Archaeoglobus_C veneficus	Archaeoglobus	Archaeoglobus veneficus	0	0
GCA_000196895.1	gcf	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halalkalicoccaceae	Halalkalicoccus	Halalkalicoccus jeotgali	Halalkalicoccus	Halalkalicoccus jeotgali	1	1
GCA_000215915.3	gcf	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halorhabdus	Halorhabdus tiamatea	Halorhabdus	Halorhabdus tiamatea	1	1
GCA_000217715.1	gcf	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Halopiger	Halopiger xanaduensis	Halopiger	Halopiger xanaduensis	1	1
GCA_000223905.1	gcf	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula hispanica	Haloarcula	Haloarcula hispanica	1	1
GCA_000231015.3	gcf	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus amylolyticus	Desulfurococcus	Desulfurococcus amylolyticus	1	1
