taxid	names	taxids
100	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Xanthobacteraceae|Ancylobacter|Ancylobacter aquaticus	2|1224|28211|356|335928|99|100
1000562	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus phocae	2|1239|91061|186826|1300|1301|119224
1000565	Bacteria|Pseudomonadota|Betaproteobacteria|Nitrosomonadales|Sterolibacteriaceae|Methyloversatilis|Methyloversatilis universalis	2|1224|28216|32003|2008793|378210|378211
1000566	Bacteria|Actinomycetota|Actinomycetes|Pseudonocardiales|Pseudonocardiaceae|Halosaccharopolyspora|Halosaccharopolyspora lacisalsi	2|201174|1760|85010|2070|2893577|1000566
1000568	Bacteria|Bacillota|Negativicutes|Veillonellales|Veillonellaceae|Megasphaera|Megasphaera lornae	2|1239|909932|1843489|31977|906|1000568
1000570	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus anginosus	2|1239|91061|186826|1300|1301|1328
1001240	Bacteria|Actinomycetota|Actinomycetes|Micrococcales|Microbacteriaceae|Cryobacterium|Cryobacterium roopkundense	2|201174|1760|85006|85023|69578|1001240
1001595	Bacteria|Spirochaetota|Leptospiria|Leptospirales|Leptospiraceae|Leptospira|Leptospira noguchii	2|203691|3118682|1643688|170|171|28182
1001714	Bacteria|Actinomycetota|Actinomycetes|Mycobacteriales|Mycobacteriaceae|Mycobacteroides|Mycobacteroides abscessus	2|201174|1760|85007|1762|670516|36809
100177	Bacteria|Spirochaetota|Spirochaetia|Spirochaetales|Borreliaceae|Borreliella|[Borrelia] lusitaniae	2|203691|203692|136|1643685|64895|100177
1001822	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Cupriavidus|Cupriavidus agavae	2|1224|28216|80840|119060|106589|1001822
1001994	Archaea|Nitrososphaerota|Nitrososphaeria|Nitrosopumilales|Nitrosopumilaceae|Nitrosarchaeum|Nitrosarchaeum koreense	2157|651137|1643678|31932|338190|1007082|1088740
1002227	Bacteria|Pseudomonadota|Betaproteobacteria|Nitrosomonadales|Methylophilaceae|Methylovorus|Methylovorus menthalis	2|1224|28216|32003|32011|81682|1002227
100225	Bacteria|Actinomycetota|Actinomycetes|Micrococcales|Dermatophilaceae|Austwickia|Austwickia chelonae	2|201174|1760|85006|85018|1184606|100225
1002367	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Leyella|Leyella stercorea	2|976|200643|171549|171552|2974265|363265
1002526	Bacteria|Pseudomonadota|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Halopseudomonas|Halopseudomonas formosensis	2|1224|1236|72274|135621|2901189|1002526
1002689	Bacteria|Acidobacteriota|Terriglobia|Terriglobales|Acidobacteriaceae|Occallatibacter|Occallatibacter riparius	2|57723|204432|204433|204434|1742983|1002689
1002795	Bacteria|Bacillota|Negativicutes|Selenomonadales|Selenomonadaceae|Pectinatus|Pectinatus sottacetonis	2|1239|909932|909929|1843491|864|1002795
1002805	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter|Helicobacter bizzozeronii	2|29547|3031852|213849|72293|209|56877
1002870	Bacteria|Actinomycetota|Thermoleophilia|Gaiellales|Gaiellaceae|Gaiella|Gaiella occulta	2|201174|1497346|1154584|1154585|1154586|1002870
1003092	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Methylobacteriaceae|Methylobacterium|Methylobacterium trifolii	2|1224|28211|356|119045|407|1003092
1003110	Bacteria|Actinomycetota|Actinomycetes|Micromonosporales|Micromonosporaceae|Micromonospora|Micromonospora maris	2|201174|1760|85008|28056|1873|1003110
1003195	Bacteria|Actinomycetota|Actinomycetes|Kitasatosporales|Streptomycetaceae|Streptantibioticus|Streptantibioticus cattleyicolor	2|201174|1760|85011|2062|2995706|29303
1003237	Bacteria|Pseudomonadota|Alphaproteobacteria|Rhodospirillales|Azospirillaceae|Nitrospirillum|Nitrospirillum viridazoti	2|1224|28211|204441|2829815|1543705|3144925
1003997	Bacteria|Bacillota|Bacilli|Caryophanales|Alicyclobacillaceae|Paenalicyclobacillus|Paenalicyclobacillus cellulosilyticus	2|1239|91061|1385|186823|3479148|1003997
1004	Bacteria|Bacteroidota|Chitinophagia|Chitinophagales|Chitinophagaceae|Chitinophaga|Chitinophaga sancti	2|976|1853228|1853229|563835|79328|1004
1004151	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Morganellaceae|Photorhabdus|Photorhabdus khanii	2|1224|1236|91347|1903414|29487|1004150
1004159	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Morganellaceae|Photorhabdus|Photorhabdus tasmaniensis	2|1224|1236|91347|1903414|29487|1004159
1004165	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Morganellaceae|Photorhabdus|Photorhabdus caribbeanensis	2|1224|1236|91347|1903414|29487|1004165
1004166	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Morganellaceae|Photorhabdus|Photorhabdus hainanensis	2|1224|1236|91347|1903414|29487|1004166
1004260	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Capnocytophaga|Capnocytophaga catalasegens	2|976|117743|200644|49546|1016|1004260
1004261	Bacteria|Bacillota|Bacilli|Caryophanales|Bacillaceae|Oceanobacillus|Oceanobacillus indicireducens	2|1239|91061|1385|186817|182709|1004261
1004279	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Phyllobacteriaceae|Mesorhizobium|Mesorhizobium muleiense	2|1224|28211|356|69277|68287|1004279
1004304	Bacteria|Bacteroidota|Chitinophagia|Chitinophagales|Chitinophagaceae|Hydrotalea|Hydrotalea sandarakina	2|976|1853228|1853229|563835|1004300|1004304
1004316	Bacteria|Pseudomonadota|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio sonorensis	2|1224|1236|135623|641|662|1004316
1004326	Bacteria|Pseudomonadota|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio mexicanus	2|1224|1236|135623|641|662|1004326
1005395	Bacteria|Pseudomonadota|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas bharatica	2|1224|1236|72274|135621|286|2692112
1005665	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Kosakonia|Kosakonia oryzendophytica	2|1224|1236|91347|543|1330547|1005665
1005667	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Kosakonia|Kosakonia oryziphila	2|1224|1236|91347|543|1330547|1005667
1005740	Bacteria|Synergistota|Synergistia|Synergistales|Aminobacteriaceae|Aminivibrio|Aminivibrio pyruvatiphilus	2|508458|649775|649776|3029087|1427172|1005740
1005925	Bacteria|Pseudomonadota|Alphaproteobacteria|Kordiimonadales|Kordiimonadaceae|Kordiimonas|Kordiimonas aestuarii	2|1224|28211|362534|1331809|288021|1005925
1005926	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flagellimonas|Flagellimonas taeanensis	2|976|117743|200644|49546|444459|1005926
1005928	Bacteria|Pseudomonadota|Alphaproteobacteria|Rhodobacterales|Roseobacteraceae|Roseovarius|Roseovarius lutimaris	2|1224|28211|204455|2854170|74030|1005928
1005941	Bacteria|Bacillota|Bacilli|Caryophanales|Caryophanaceae|Planococcus|Planococcus halocryophilus	2|1239|91061|1385|186818|1372|1215089
1005944	Bacteria|Actinomycetota|Actinomycetes|Propionibacteriales|Nocardioidaceae|Nocardioides|Nocardioides szechwanensis	2|201174|1760|85009|85015|1839|1005944
1005945	Bacteria|Actinomycetota|Actinomycetes|Propionibacteriales|Nocardioidaceae|Nocardioides|Nocardioides psychrotolerans	2|201174|1760|85009|85015|1839|1005945
1005994	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Trabulsiella|Trabulsiella guamensis	2|1224|1236|91347|543|158851|158852
1005995	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Erwiniaceae|Tatumella|Tatumella ptyseos	2|1224|1236|91347|1903409|82986|82987
1005996	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella|Klebsiella planticola	2|1224|1236|91347|543|570|575
1005999	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Budviciaceae|Leminorella|Leminorella grimontii	2|1224|1236|91347|1903416|82980|82981
1006	Bacteria|Bacteroidota|Cytophagia|Cytophagales|Marivirgaceae|Marivirga|Marivirga tractuosa	2|976|768503|768507|2762301|869806|1006
1006000	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Kluyvera|Kluyvera ascorbata	2|1224|1236|91347|543|579|51288
1006003	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Citrobacter|Citrobacter freundii	2|1224|1236|91347|543|544|546
1006004	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Buttiauxella|Buttiauxella agrestis	2|1224|1236|91347|543|82976|82977
1006006	Archaea|Thermoproteota|Thermoprotei|Sulfolobales|Sulfolobaceae|Metallosphaera|Metallosphaera cuprina	2157|28889|183924|2281|118883|41980|1006005
1006155	Bacteria|Bacillota|Bacilli|Caryophanales|Listeriaceae|Paenilisteria|Paenilisteria weihenstephanensis	2|1239|91061|1385|186820|3373705|1006155
1006576	Bacteria|Thermotogota|Thermotogae|Petrotogales|Petrotogaceae|Defluviitoga|Defluviitoga tunisiensis	2|200918|188708|1643947|1643949|1511648|1006576
