accession	path	paired_gcf
GCA_000008665.1	/scratch/mash_boundaries/proteome/faa/GCA_000008665.1.faa.gz	GCF_000008665.1
GCA_000011085.1	/scratch/mash_boundaries/proteome/faa/GCA_000011085.1.faa.gz	GCF_000011085.1
GCA_000011125.1	/scratch/mash_boundaries/proteome/faa/GCA_000011125.1.faa.gz	GCF_000011125.1
GCA_000018305.1	/scratch/mash_boundaries/proteome/faa/GCA_000018305.1.faa.gz	GCF_000018305.1
GCA_000020905.1	/scratch/mash_boundaries/proteome/faa/GCA_000020905.1.faa.gz	GCF_000020905.1
GCA_000022205.1	/scratch/mash_boundaries/proteome/faa/GCA_000022205.1.faa.gz	GCF_000022205.1
GCA_000023945.1	/scratch/mash_boundaries/proteome/faa/GCA_000023945.1.faa.gz	GCF_000023945.1
GCA_000023965.1	/scratch/mash_boundaries/proteome/faa/GCA_000023965.1.faa.gz	GCF_000023965.1
GCA_000025285.1	/scratch/mash_boundaries/proteome/faa/GCA_000025285.1.faa.gz	GCF_000025285.1
GCA_000025325.1	/scratch/mash_boundaries/proteome/faa/GCA_000025325.1.faa.gz	GCF_000025325.1
GCA_000025505.1	/scratch/mash_boundaries/proteome/faa/GCA_000025505.1.faa.gz	GCF_000025505.1
GCA_000025685.1	/scratch/mash_boundaries/proteome/faa/GCA_000025685.1.faa.gz	GCF_000025685.1
GCA_000144915.1	/scratch/mash_boundaries/proteome/faa/GCA_000144915.1.faa.gz	GCF_000144915.1
GCA_000152265.2	/scratch/mash_boundaries/proteome/faa/GCA_000152265.2.faa.gz	GCF_000152265.2
GCA_000172995.2	/scratch/mash_boundaries/proteome/faa/GCA_000172995.2.faa.gz	GCF_000172995.2
GCA_000186365.1	/scratch/mash_boundaries/proteome/faa/GCA_000186365.1.faa.gz	GCF_000186365.1
GCA_000187225.2	/scratch/mash_boundaries/proteome/faa/GCA_000187225.2.faa.gz	GCF_000187225.1
GCA_000194625.1	/scratch/mash_boundaries/proteome/faa/GCA_000194625.1.faa.gz	GCF_000194625.1
GCA_000196895.1	/scratch/mash_boundaries/proteome/faa/GCA_000196895.1.faa.gz	GCF_000196895.1
GCA_000215915.3	/scratch/mash_boundaries/proteome/faa/GCA_000215915.3.faa.gz	GCF_000215915.2
GCA_000217715.1	/scratch/mash_boundaries/proteome/faa/GCA_000217715.1.faa.gz	GCF_000217715.1
GCA_000223905.1	/scratch/mash_boundaries/proteome/faa/GCA_000223905.1.faa.gz	GCF_000223905.1
GCA_000231015.3	/scratch/mash_boundaries/proteome/faa/GCA_000231015.3.faa.gz	GCF_000231015.2
GCA_000237865.1	/scratch/mash_boundaries/proteome/faa/GCA_000237865.1.faa.gz	GCF_000237865.1
GCA_000258425.1	/scratch/mash_boundaries/proteome/faa/GCA_000258425.1.faa.gz	GCF_000258425.1
GCA_000259215.1	/scratch/mash_boundaries/proteome/faa/GCA_000259215.1.faa.gz	GCF_000259215.1
GCA_000283335.1	/scratch/mash_boundaries/proteome/faa/GCA_000283335.1.faa.gz	GCF_000283335.1
GCA_000300255.2	/scratch/mash_boundaries/proteome/faa/GCA_000300255.2.faa.gz	GCF_000300255.2
GCA_000306765.2	/scratch/mash_boundaries/proteome/faa/GCA_000306765.2.faa.gz	GCF_000306765.2
GCA_000317795.1	/scratch/mash_boundaries/proteome/faa/GCA_000317795.1.faa.gz	GCF_000317795.1
GCA_000336615.1	/scratch/mash_boundaries/proteome/faa/GCA_000336615.1.faa.gz	GCF_000336615.1
