dist_lo	dist_hi	class	mash_pairs	with_ani	coverage	with_ani_af15	coverage_af15	ani_q1	ani_median	ani_q3
0.0000	0.0050	all	12184	12184	1.000000	12184	1.000000	99.98	99.99	100.00
0.0000	0.0050	congeneric	298	298	1.000000	298	1.000000	99.68	99.73	99.86
0.0000	0.0050	inter_genus	6	6	1.000000	6	1.000000	99.82	99.89	99.97
0.0000	0.0050	same_species	10207	10207	1.000000	10207	1.000000	99.98	99.99	100.00
0.0000	0.0050	same_strain	1673	1673	1.000000	1673	1.000000	99.98	99.99	100.00
0.0050	0.0100	all	588	588	1.000000	588	1.000000	99.11	99.30	99.50
0.0050	0.0100	congeneric	204	204	1.000000	204	1.000000	99.07	99.18	99.39
0.0050	0.0100	inter_genus	12	12	1.000000	12	1.000000	99.28	99.48	99.62
0.0050	0.0100	same_species	352	352	1.000000	352	1.000000	99.15	99.35	99.57
0.0050	0.0100	same_strain	20	20	1.000000	20	1.000000	99.21	99.31	99.60
0.0100	0.0150	all	1008	1008	1.000000	1008	1.000000	98.67	98.80	98.92
0.0100	0.0150	congeneric	353	353	1.000000	353	1.000000	98.63	98.75	98.92
0.0100	0.0150	inter_genus	19	19	1.000000	19	1.000000	98.73	98.86	98.91
0.0100	0.0150	same_species	620	620	1.000000	620	1.000000	98.71	98.82	98.92
0.0100	0.0150	same_strain	16	16	1.000000	16	1.000000	98.81	98.90	98.98
0.0150	0.0200	all	996	996	1.000000	996	1.000000	98.16	98.29	98.50
0.0150	0.0200	congeneric	356	356	1.000000	356	1.000000	98.19	98.36	98.60
0.0150	0.0200	inter_genus	28	28	1.000000	28	1.000000	98.35	98.39	98.60
0.0150	0.0200	same_species	598	598	1.000000	598	1.000000	98.13	98.26	98.45
0.0150	0.0200	same_strain	14	14	1.000000	14	1.000000	98.24	98.28	98.33
0.0200	0.0250	all	964	964	1.000000	964	1.000000	97.56	97.78	98.00
0.0200	0.0250	congeneric	340	340	1.000000	340	1.000000	97.58	97.77	97.92
0.0200	0.0250	inter_genus	50	50	1.000000	50	1.000000	97.89	98.02	98.30
0.0200	0.0250	same_species	574	574	1.000000	574	1.000000	97.54	97.78	98.03
0.0250	0.0300	all	953	953	1.000000	953	1.000000	97.00	97.18	97.41
0.0250	0.0300	congeneric	277	277	1.000000	277	1.000000	96.86	97.14	97.31
0.0250	0.0300	inter_genus	38	38	1.000000	38	1.000000	97.15	97.41	97.88
0.0250	0.0300	same_species	626	626	1.000000	626	1.000000	97.03	97.20	97.41
0.0250	0.0300	same_strain	12	12	1.000000	12	1.000000	96.88	97.01	97.44
0.0300	0.0350	all	856	856	1.000000	856	1.000000	96.17	96.45	96.85
0.0300	0.0350	congeneric	433	433	1.000000	433	1.000000	96.06	96.31	96.72
0.0300	0.0350	inter_genus	79	79	1.000000	79	1.000000	96.45	96.92	97.15
0.0300	0.0350	same_species	344	344	1.000000	344	1.000000	96.26	96.49	96.85
0.0350	0.0400	all	1105	1105	1.000000	1105	1.000000	95.58	95.83	96.14
0.0350	0.0400	congeneric	678	678	1.000000	678	1.000000	95.51	95.76	96.06
0.0350	0.0400	inter_genus	55	55	1.000000	55	1.000000	96.31	96.62	96.76
0.0350	0.0400	same_species	369	369	1.000000	369	1.000000	95.71	95.94	96.15
0.0350	0.0400	same_strain	3	3	1.000000	3	1.000000	95.55	95.96	96.08
0.0400	0.0450	all	1296	1296	1.000000	1296	1.000000	94.88	95.08	95.32
0.0400	0.0450	congeneric	1001	1001	1.000000	1001	1.000000	94.92	95.10	95.32
0.0400	0.0450	inter_genus	11	11	1.000000	11	1.000000	94.89	95.02	95.26
0.0400	0.0450	same_species	282	282	1.000000	282	1.000000	94.87	95.07	95.31
0.0400	0.0450	same_strain	2	2	1.000000	2	1.000000	95.37	95.55	95.73
0.0450	0.0500	all	1794	1794	1.000000	1794	1.000000	94.43	94.65	94.85
0.0450	0.0500	congeneric	1478	1478	1.000000	1478	1.000000	94.41	94.62	94.81
0.0450	0.0500	inter_genus	35	35	1.000000	35	1.000000	94.42	94.76	95.04
0.0450	0.0500	same_species	281	281	1.000000	281	1.000000	94.62	94.76	94.96
0.0500	0.0550	all	2241	2241	1.000000	2241	1.000000	93.98	94.15	94.33
0.0500	0.0550	congeneric	2154	2154	1.000000	2154	1.000000	93.99	94.16	94.33
0.0500	0.0550	inter_genus	19	19	1.000000	19	1.000000	93.91	94.03	94.25
0.0500	0.0550	same_species	67	67	1.000000	67	1.000000	93.85	93.93	94.36
0.0500	0.0550	same_strain	1	1	1.000000	1	1.000000	93.65	93.65	93.65
0.0550	0.0600	all	2148	2148	1.000000	2148	1.000000	93.37	93.67	93.90
0.0550	0.0600	congeneric	2043	2043	1.000000	2043	1.000000	93.37	93.68	93.90
0.0550	0.0600	inter_genus	30	30	1.000000	30	1.000000	93.55	93.94	94.00
0.0550	0.0600	same_species	75	75	1.000000	75	1.000000	93.35	93.57	93.76
0.0600	0.0650	all	2119	2119	1.000000	2119	1.000000	92.76	93.10	93.27
0.0600	0.0650	congeneric	1962	1962	1.000000	1962	1.000000	92.75	93.09	93.27
0.0600	0.0650	inter_genus	19	19	1.000000	19	1.000000	93.12	93.23	93.24
0.0600	0.0650	same_species	138	138	1.000000	138	1.000000	93.11	93.22	93.25
0.0650	0.0700	all	2502	2502	1.000000	2502	1.000000	91.97	92.28	92.73
0.0650	0.0700	congeneric	2410	2410	1.000000	2410	1.000000	91.97	92.29	92.73
0.0650	0.0700	inter_genus	43	43	1.000000	43	1.000000	92.04	92.34	92.73
0.0650	0.0700	same_species	49	49	1.000000	49	1.000000	91.76	91.93	92.15
0.0700	0.0750	all	2858	2858	1.000000	2858	1.000000	91.57	91.71	91.94
0.0700	0.0750	congeneric	2718	2718	1.000000	2718	1.000000	91.57	91.71	91.93
0.0700	0.0750	inter_genus	76	76	1.000000	76	1.000000	91.58	91.78	92.05
0.0700	0.0750	same_species	64	64	1.000000	64	1.000000	91.64	91.86	92.14
0.0750	0.0800	all	2840	2840	1.000000	2839	0.999648	90.93	91.22	91.57
0.0750	0.0800	congeneric	2758	2758	1.000000	2757	0.999637	90.93	91.20	91.57
0.0750	0.0800	inter_genus	46	46	1.000000	46	1.000000	91.04	91.35	91.61
0.0750	0.0800	same_species	36	36	1.000000	36	1.000000	91.25	91.49	91.59
0.0800	0.0850	all	2953	2953	1.000000	2952	0.999661	90.43	90.72	90.94
0.0800	0.0850	congeneric	2865	2865	1.000000	2864	0.999651	90.42	90.72	90.94
0.0800	0.0850	inter_genus	85	85	1.000000	85	1.000000	90.49	90.75	90.96
0.0800	0.0850	same_species	1	1	1.000000	1	1.000000	90.58	90.58	90.58
0.0800	0.0850	same_strain	2	2	1.000000	2	1.000000	88.61	88.62	88.62
0.0850	0.0900	all	4461	4461	1.000000	4461	1.000000	89.91	90.11	90.50
0.0850	0.0900	congeneric	4378	4378	1.000000	4378	1.000000	89.91	90.11	90.50
0.0850	0.0900	inter_genus	81	81	1.000000	81	1.000000	89.92	90.05	90.45
0.0850	0.0900	same_species	1	1	1.000000	1	1.000000	90.61	90.61	90.61
0.0850	0.0900	same_strain	1	1	1.000000	1	1.000000	90.92	90.92	90.92
0.0900	0.0950	all	4668	4668	1.000000	4668	1.000000	89.32	89.64	89.95
0.0900	0.0950	congeneric	4568	4568	1.000000	4568	1.000000	89.32	89.64	89.95
