af_floor	scenario	ani_lo	ani_hi	same_genus	total	p_same_genus	cum_total	cum_p
5	as_reported	100.0	100.5	5728	5728	1.000000	5728	1.000000
5	as_reported	99.5	100.0	6344	6347	0.999527	12075	0.999752
5	as_reported	99.0	99.5	279	279	1.000000	12354	0.999757
5	as_reported	98.5	99.0	271	272	0.996324	12626	0.999683
5	as_reported	98.0	98.5	272	276	0.985507	12902	0.999380
5	as_reported	97.5	98.0	190	190	1.000000	13092	0.999389
5	as_reported	97.0	97.5	177	180	0.983333	13272	0.999171
5	as_reported	96.5	97.0	166	167	0.994012	13439	0.999107
5	as_reported	96.0	96.5	183	187	0.978610	13626	0.998826
5	as_reported	95.5	96.0	239	244	0.979508	13870	0.998486
5	as_reported	95.0	95.5	230	239	0.962343	14109	0.997874
5	as_reported	94.5	95.0	342	344	0.994186	14453	0.997786
5	as_reported	94.0	94.5	382	388	0.984536	14841	0.997440
5	as_reported	93.5	94.0	326	330	0.987879	15171	0.997232
5	as_reported	93.0	93.5	384	391	0.982097	15562	0.996851
5	as_reported	92.5	93.0	243	245	0.991837	15807	0.996774
5	as_reported	92.0	92.5	229	229	1.000000	16036	0.996820
5	as_reported	91.5	92.0	430	433	0.993072	16469	0.996721
5	as_reported	91.0	91.5	272	275	0.989091	16744	0.996596
5	as_reported	90.5	91.0	460	465	0.989247	17209	0.996397
5	as_reported	90.0	90.5	300	302	0.993377	17511	0.996345
5	as_reported	89.5	90.0	297	297	1.000000	17808	0.996406
5	as_reported	89.0	89.5	304	305	0.996721	18113	0.996411
5	as_reported	88.5	89.0	331	334	0.991018	18447	0.996314
5	as_reported	88.0	88.5	293	295	0.993220	18742	0.996265
5	as_reported	87.5	88.0	311	314	0.990446	19056	0.996169
5	as_reported	87.0	87.5	332	335	0.991045	19391	0.996081
5	as_reported	86.5	87.0	336	340	0.988235	19731	0.995945
5	as_reported	86.0	86.5	336	337	0.997033	20068	0.995964
5	as_reported	85.5	86.0	334	338	0.988166	20406	0.995835
5	as_reported	85.0	85.5	351	357	0.983193	20763	0.995617
5	as_reported	84.5	85.0	375	378	0.992063	21141	0.995554
5	as_reported	84.0	84.5	385	402	0.957711	21543	0.994848
