ani_lo	ani_hi	pairs	dist_q1	dist_median	dist_q3	implied_dist
79.0	79.5	5	0.1973	0.2195	0.2195	0.2100
79.5	80.0	64	0.1973	0.2036	0.2195	0.2050
80.0	80.5	1312	0.1823	0.1917	0.2036	0.2000
80.5	81.0	16252	0.1744	0.1868	0.1973	0.1950
81.0	81.5	58483	0.1709	0.1823	0.1973	0.1900
81.5	82.0	108858	0.1709	0.1823	0.1973	0.1850
82.0	82.5	106501	0.1677	0.1782	0.1917	0.1800
82.5	83.0	72566	0.1591	0.1709	0.1823	0.1750
83.0	83.5	61956	0.1498	0.1591	0.1709	0.1700
83.5	84.0	51506	0.1457	0.1542	0.1618	0.1650
84.0	84.5	41216	0.1403	0.1477	0.1566	0.1600
84.5	85.0	30491	0.1354	0.1438	0.1519	0.1550
85.0	85.5	20912	0.1310	0.1386	0.1477	0.1500
85.5	86.0	14154	0.1245	0.1324	0.1420	0.1450
86.0	86.5	10529	0.1178	0.1245	0.1339	0.1400
86.5	87.0	8629	0.1120	0.1188	0.1257	0.1350
87.0	87.5	7547	0.1085	0.1138	0.1210	0.1300
87.5	88.0	6816	0.1045	0.1102	0.1168	0.1250
88.0	88.5	5974	0.1008	0.1060	0.1120	0.1200
88.5	89.0	4996	0.0981	0.1030	0.1085	0.1150
89.0	89.5	4368	0.0932	0.0981	0.1037	0.1100
89.5	90.0	4697	0.0883	0.0926	0.0981	0.1050
90.0	90.5	3620	0.0839	0.0883	0.0932	0.1000
90.5	91.0	3907	0.0795	0.0834	0.0883	0.0950
91.0	91.5	1802	0.0741	0.0783	0.0825	0.0900
91.5	92.0	3588	0.0703	0.0734	0.0771	0.0850
92.0	92.5	1540	0.0660	0.0693	0.0727	0.0800
92.5	93.0	1522	0.0626	0.0657	0.0696	0.0750
93.0	93.5	2212	0.0586	0.0611	0.0648	0.0700
93.5	94.0	1926	0.0535	0.0563	0.0591	0.0650
94.0	94.5	2191	0.0496	0.0515	0.0541	0.0600
94.5	95.0	1850	0.0442	0.0470	0.0495	0.0550
95.0	95.5	1002	0.0402	0.0426	0.0450	0.0500
95.5	96.0	826	0.0354	0.0382	0.0409	0.0450
96.0	96.5	770	0.0327	0.0346	0.0361	0.0400
96.5	97.0	557	0.0290	0.0315	0.0340	0.0350
97.0	97.5	837	0.0252	0.0267	0.0287	0.0300
97.5	98.0	795	0.0209	0.0226	0.0248	0.0250
98.0	98.5	962	0.0163	0.0181	0.0204	0.0200
98.5	99.0	1108	0.0122	0.0135	0.0151	0.0150
99.0	99.5	556	0.0069	0.0089	0.0102	0.0100
99.5	100.0	7717	0.0001	0.0002	0.0007	0.0050
100.0	100.5	4611	0.0000	0.0000	0.0001	0.0000
