dist_lo	dist_hi	class	mash_pairs	with_ani	coverage	with_ani_af15	coverage_af15	ani_q1	ani_median	ani_q3
0.0000	0.0100	all	10818	10818	1.000000	10818	1.000000	99.99	99.99	100.00
0.0000	0.0100	congeneric	126	126	1.000000	126	1.000000	99.77	99.91	99.99
0.0000	0.0100	inter_genus	6	6	1.000000	6	1.000000	99.82	99.89	99.97
0.0000	0.0100	same_species	9243	9243	1.000000	9243	1.000000	99.99	99.99	100.00
0.0000	0.0100	same_strain	1443	1443	1.000000	1443	1.000000	99.98	99.99	100.00
0.0100	0.0200	all	1415	1415	1.000000	1415	1.000000	98.92	99.45	99.94
0.0100	0.0200	congeneric	374	374	1.000000	374	1.000000	98.91	99.18	99.67
0.0100	0.0200	inter_genus	13	13	1.000000	13	1.000000	99.02	99.28	99.59
0.0100	0.0200	same_species	912	912	1.000000	912	1.000000	98.86	99.52	99.96
0.0100	0.0200	same_strain	116	116	1.000000	116	1.000000	99.89	99.96	99.98
0.0200	0.0300	all	1939	1939	1.000000	1939	1.000000	97.78	98.51	98.95
0.0200	0.0300	congeneric	674	674	1.000000	674	1.000000	97.68	98.47	98.82
0.0200	0.0300	inter_genus	36	36	1.000000	36	1.000000	98.21	98.44	98.86
0.0200	0.0300	same_species	1169	1169	1.000000	1169	1.000000	97.78	98.50	98.96
0.0200	0.0300	same_strain	60	60	1.000000	60	1.000000	99.87	99.95	99.97
0.0300	0.0400	all	2479	2479	1.000000	2479	1.000000	95.20	96.82	97.93
0.0300	0.0400	congeneric	1352	1352	1.000000	1352	1.000000	94.75	95.70	97.44
0.0300	0.0400	inter_genus	50	50	1.000000	50	1.000000	96.55	97.91	98.10
0.0300	0.0400	same_species	1049	1049	1.000000	1049	1.000000	96.31	97.48	98.10
0.0300	0.0400	same_strain	28	28	1.000000	28	1.000000	99.22	99.87	99.93
0.0400	0.0500	all	4020	4020	1.000000	4020	1.000000	93.99	94.56	96.14
0.0400	0.0500	congeneric	3083	3083	1.000000	3083	1.000000	93.88	94.29	95.17
