genus_a	genus_b	conflicts	min_dist	gtdb_verdict	gtdb_genus
Macrococcoides	Macrococcus	8	0.042299	reconciled	Macrococcoides
Kitasatospora	Streptomyces	6	0.012719	absent	-
Escherichia	Shigella	6	0.032741	kept apart	-
Mycobacterium	Mycolicibacterium	6	0.036089	reconciled	Mycobacterium
Faucicola	Moraxella	6	0.044300	reconciled	Faucicola
Duganella	Pseudoduganella	5	0.038473	reconciled	Rugamonas
Hafnia	Obesumbacterium	5	0.043678	reconciled	Hafnia
Mycobacterium	Mycolicibacter	4	0.012262	reconciled	Mycobacterium
Hallella	Prevotella	4	0.024015	reconciled	Prevotella
Allomuricauda	Flagellimonas	4	0.027497	reconciled	Flagellimonas
Pseudomonas	Stutzerimonas	4	0.028827	reconciled	Stutzerimonas
Ectopseudomonas	Pseudomonas	4	0.037621	reconciled	Aquipseudomonas
Nocardiopsis	Stenotrophomonas	4	0.041396	reconciled	Stenotrophomonas
Bombella	Parasaccharibacter	3	0.013181	reconciled	Bombella
Bacteroides	Lachnospira	3	0.020518	reconciled	Lachnospira
Alkalicoccus	Bacillus	3	0.020518	reconciled	Alkalicoccus
Halopseudomonas	Pseudomonas	3	0.020837	reconciled	Halopseudomonas
Dysosmobacter	Oscillibacter	3	0.022568	absent	-
Lysobacter	Novilysobacter	3	0.023678	reconciled	Novilysobacter
Brenneria	Prodigiosinella	3	0.025963	reconciled	Prodigiosinella
Mannheimia	Pasteurella	3	0.026784	reconciled	Basfia
Hoylesella	Prevotella	3	0.027977	reconciled	Prevotella
Coprococcus	Wujia	3	0.029072	reconciled	Coprococcus_C
Morococcus	Neisseria	3	0.030815	absent	-
Planococcus	Planomicrobium	3	0.038473	absent	-
Bacteroides	Caecibacteroides	3	0.046363	reconciled	Bacteroides
Bacillus	Cytobacillus	3	0.047665	reconciled	Cytobacillus
Lysobacter	Noviluteimonas	2	0.000143	reconciled	Noviluteimonas
Anaerosacchariphilus	Roseburia	2	0.001084	reconciled	Laedolimicola
Mesorhizobium	Terribium	2	0.004960	reconciled	Mesorhizobium
Tenebrionibacter	Tenebrionicola	2	0.005597	reconciled	Tenebrionibacter
Mycovorax	Niabella	2	0.007640	reconciled	Niabella
Faecalicatena	Mediterraneibacter	2	0.007975	reconciled	Mediterraneibacter
Chimaeribacter	Nissabacter	2	0.010557	reconciled	Chimaeribacter
Aminirod	Aminithiophilus	2	0.011989	reconciled	Aminithiophilus
Sulfurimonas	Thiomicrolovo	2	0.016332	reconciled	Thiomicrolovo
Leptogranulimonas	Muricaecibacterium	2	0.016925	reconciled	Leptogranulimonas
Acidithiobacillus	Igneacidithiobacillus	2	0.019885	absent	-
Harryflintia	Provencibacterium	2	0.019990	reconciled	Harryflintia
Arcobacter	Poseidonibacter	2	0.021050	reconciled	Poseidonibacter
Flintibacter	Muriventricola	2	0.021588	reconciled	Lawsonibacter
Bacillus	Peribacillus	2	0.021804	reconciled	Peribacillus
Clostridium	Massilioclostridium	2	0.022788	reconciled	Massilioclostridium
Gabonibacter	Sanguibacteroides	2	0.022899	reconciled	Gabonibacter
Ancylobacter	Starkeya	2	0.023231	reconciled	Ancylobacter
Companilactobacillus	Lactobacillus	2	0.026196	reconciled	Companilactobacillus
Oceanobacter	Thalassolituus	2	0.027139	reconciled	Oceanobacter
Holtiella	Niameybacter	2	0.029813	reconciled	Holtiella
Paracnuella	Pseudocnuella	2	0.030438	reconciled	Flavisolibacter
Aestuarium	Marivivens	2	0.032611	absent	-
Entomoplasma	Mesoplasma	2	0.032611	reconciled	Entomoplasma
Lentibacillus	Virgibacillus	2	0.032741	reconciled	Lentibacillus_C
Owariibacterium	Ruthenibacterium	2	0.034728	reconciled	Ruthenibacterium
Dakarella	Mesosutterella	2	0.036365	reconciled	Mesosutterella
Atrimonas	Thermatribacter	2	0.037200	reconciled	Thermatribacter
Prevotella	Xylanibacter	2	0.037763	reconciled	Prevotella
Hominimerdicola	Ruminococcus	2	0.039336	reconciled	Hominimerdicola
Anaeroarcus	Anaeromusa	2	0.039918	reconciled	Anaeromusa
Alitiscatomonas	Enterocloster	2	0.040211	reconciled	Alitiscatomonas
Anaerolactibacter	Stecheria	2	0.040505	reconciled	Bulleidia
Claveliimonas	Lachnoclostridium	2	0.042603	reconciled	Claveliimonas
Rhodocista	Rhodospirillum	2	0.043369	absent	-
Uniformispora	Yinghuangia	2	0.045402	reconciled	Yinghuangia
Mycolicibacter	Mycolicibacterium	2	0.047010	reconciled	Mycobacterium
Grylomicrobium	Lactimicrobium	2	0.048159	reconciled	Bulleidia
Chryseobacterium	Kaistella	2	0.049835	reconciled	Kaistella
Acinetobacter	Actinomadura	1	0.038046	absent	-
Acidovorax	Paracidovorax	1	0.048825	reconciled	Paracidovorax
