genus	queries	wrong_genus_calls	rate
Bacillus	197	33	0.1675
Pseudomonas	557	29	0.0521
Mycolicibacterium	202	25	0.1238
Sphingomonas	219	24	0.1096
Rhizobium	81	19	0.2346
Mycoplasma	52	18	0.3462
Clostridium	207	18	0.0870
Mycoplasmopsis	61	17	0.2787
Mycobacterium	208	17	0.0817
Ectopseudomonas	19	13	0.6842
Lysobacter	29	13	0.4483
Brucella	57	13	0.2281
Prevotella	67	13	0.1940
Lachnoclostridium	12	12	1.0000
Halomonas	95	12	0.1263
Streptomyces	1105	12	0.0109
Neisseria	64	11	0.1719
Halopseudomonas	22	10	0.4545
Mycolicibacter	32	10	0.3125
Planococcus	41	10	0.2439
Eubacterium	19	9	0.4737
Arthrobacter	115	9	0.0783
Fluoribacter	8	8	1.0000
Macrococcoides	8	8	1.0000
Ruminococcus	16	8	0.5000
Stutzerimonas	28	8	0.2857
Vreelandella	55	8	0.1455
Massilia	65	8	0.1231
Bacteroides	125	8	0.0640
Prescottella	11	7	0.6364
Arcobacter	26	7	0.2692
Pseudoduganella	28	7	0.2500
Aliarcobacter	31	7	0.2258
Chryseobacterium	154	7	0.0455
Pseudobacillus	6	6	1.0000
Caldanaerobacter	6	6	1.0000
Hydrogenibacillus	6	6	1.0000
Telluria	6	6	1.0000
Hafnia	7	6	0.8571
Kingella	14	6	0.4286
Mediterraneibacter	19	6	0.3158
Roseomonas	29	6	0.2069
Kitasatospora	55	6	0.1091
Flagellimonas	56	6	0.1071
Clostridioides	5	5	1.0000
Eoetvoesiella	5	5	1.0000
Fibrobacter	5	5	1.0000
Gaetbulibacter	5	5	1.0000
Muribaculum	5	5	1.0000
Parasphingomonas	5	5	1.0000
Planomicrobium	5	5	1.0000
Pseudofulvimonas	5	5	1.0000
Rhizobacter	5	5	1.0000
Salinibacterium	5	5	1.0000
Hoeflea	6	5	0.8333
Pararhizobium	7	5	0.7143
Romboutsia	8	5	0.6250
Streptantibioticus	8	5	0.6250
Xylanibacter	8	5	0.6250
Faucicola	10	5	0.5000
Pasteurella	13	5	0.3846
Actinobacillus	19	5	0.2632
Aurantiacibacter	20	5	0.2500
Billgrantia	21	5	0.2381
Hoylesella	21	5	0.2381
Cytobacillus	24	5	0.2083
Peribacillus	29	5	0.1724
Qipengyuania	43	5	0.1163
Listeria	58	5	0.0862
Mesorhizobium	58	5	0.0862
Sphingobium	81	5	0.0617
Paenibacillus	377	5	0.0133
Steroidobacter	5	4	0.8000
Salisediminibacterium	6	4	0.6667
Poseidonibacter	6	4	0.6667
Sutcliffiella	6	4	0.6667
Ochrobactrum	7	4	0.5714
Colwellia	11	4	0.3636
Olsenella	11	4	0.3636
Niabella	12	4	0.3333
Escherichia	13	4	0.3077
Desulfovibrio	17	4	0.2353
Haemophilus	24	4	0.1667
Halalkalibacter	24	4	0.1667
Segatella	24	4	0.1667
Metamycoplasma	26	4	0.1538
Erythrobacter	26	4	0.1538
Agrobacterium	27	4	0.1481
Alteromonas	29	4	0.1379
Porphyromonas	36	4	0.1111
Lysinibacillus	42	4	0.0952
Stenotrophomonas	50	4	0.0800
Actinomyces	61	4	0.0656
Cellulomonas	82	4	0.0488
Paenirhizobium	5	3	0.6000
Spirochaeta	5	3	0.6000
Salinirubellus	6	3	0.5000
Lachnospira	6	3	0.5000
Butyricicoccus	6	3	0.5000
Cognatilysobacter	6	3	0.5000
Hoyosella	6	3	0.5000
Paludibacterium	6	3	0.5000
Litchfieldia	8	3	0.3750
Peteryoungia	8	3	0.3750
Alcanivorax	9	3	0.3333
Bizionia	9	3	0.3333
Leclercia	9	3	0.3333
Rhodobacter	9	3	0.3333
Actinotalea	10	3	0.3000
Coprococcus	10	3	0.3000
Tabrizicola	10	3	0.3000
Neorhizobium	11	3	0.2727
Macrococcus	14	3	0.2143
Shimia	14	3	0.2143
Lentibacillus	17	3	0.1765
Mycoplasmoides	17	3	0.1765
Mesomycoplasma	19	3	0.1579
Microlunatus	19	3	0.1579
