genus	queries	wrong_genus_calls	rate
Bacillus	198	36	0.1818
Pseudomonas	565	30	0.0531
Mycolicibacterium	207	29	0.1401
Clostridium	207	28	0.1353
Mycoplasmopsis	61	22	0.3607
Rhizobium	82	20	0.2439
Mycoplasma	53	18	0.3396
Mycobacterium	209	18	0.0861
Mediterraneibacter	19	15	0.7895
Lysobacter	29	15	0.5172
Prevotella	69	15	0.2174
Sphingomonas	220	15	0.0682
Ectopseudomonas	19	13	0.6842
Brucella	67	13	0.1940
Halomonas	95	13	0.1368
Lachnoclostridium	12	12	1.0000
Ruminococcus	16	12	0.7500
Planococcus	41	12	0.2927
Streptomyces	1125	12	0.0107
Kingella	14	11	0.7857
Aliarcobacter	31	10	0.3226
Mycolicibacter	32	10	0.3125
Arthrobacter	116	10	0.0862
Escherichia	16	9	0.5625
Stutzerimonas	28	9	0.3214
Peptoniphilus	33	9	0.2727
Vreelandella	58	9	0.1552
Fluoribacter	8	8	1.0000
Macrococcoides	8	8	1.0000
Hallella	10	8	0.8000
Aurantiacibacter	20	8	0.4000
Hoylesella	21	8	0.3810
Halopseudomonas	22	8	0.3636
Phocaeicola	31	8	0.2581
Blautia	47	8	0.1702
Paenibacillus	379	8	0.0211
Eubacterium	19	7	0.3684
Segatella	24	7	0.2917
Metamycoplasma	26	7	0.2692
Arcobacter	26	7	0.2692
Pseudoduganella	28	7	0.2500
Roseovarius	48	7	0.1458
Neisseria	66	7	0.1061
Sphingobium	82	7	0.0854
Bacteroides	126	7	0.0556
Chryseobacterium	155	7	0.0452
Caldanaerobacter	6	6	1.0000
Pseudobacillus	6	6	1.0000
Hydrogenibacillus	6	6	1.0000
Telluria	6	6	1.0000
Hafnia	7	6	0.8571
Prescottella	11	6	0.5455
Halovenus	13	6	0.4615
Shimia	14	6	0.4286
Roseburia	15	6	0.4000
Erythrobacter	26	6	0.2308
Roseomonas	30	6	0.2000
Oceanobacillus	37	6	0.1622
Lysinibacillus	42	6	0.1429
Virgibacillus	47	6	0.1277
Mesorhizobium	58	6	0.1034
Kitasatospora	58	6	0.1034
Massilia	65	6	0.0923
Fibrobacter	5	5	1.0000
Clostridioides	5	5	1.0000
Gaetbulibacter	5	5	1.0000
Thiopseudomonas	5	5	1.0000
Muribaculum	5	5	1.0000
Rhizobacter	5	5	1.0000
Salinibacterium	5	5	1.0000
Planomicrobium	5	5	1.0000
Eoetvoesiella	5	5	1.0000
Pseudofulvimonas	5	5	1.0000
Poseidonibacter	6	5	0.8333
Xylanibacter	8	5	0.6250
Romboutsia	8	5	0.6250
Rhizorhabdus	8	5	0.6250
Granulicella	10	5	0.5000
Faucicola	10	5	0.5000
Slackia	11	5	0.4545
Pasteurella	13	5	0.3846
Schaalia	19	5	0.2632
Billgrantia	21	5	0.2381
Halalkalibacter	24	5	0.2083
Cytobacillus	24	5	0.2083
Alteromonas	29	5	0.1724
Peribacillus	29	5	0.1724
Porphyromonas	36	5	0.1389
Qipengyuania	43	5	0.1163
Vagococcus	46	5	0.1087
Dyella	52	5	0.0962
Actinomyces	61	5	0.0820
Lactobacillus	115	5	0.0435
Riemerella	5	4	0.8000
Flavonifractor	5	4	0.8000
Agrilactobacillus	5	4	0.8000
Parasphingomonas	5	4	0.8000
Sutcliffiella	6	4	0.6667
Hoeflea	6	4	0.6667
Novacetimonas	7	4	0.5714
Pararhizobium	7	4	0.5714
Ochrobactrum	7	4	0.5714
Streptantibioticus	8	4	0.5000
Dorea	9	4	0.4444
Bizionia	9	4	0.4444
Paucilactobacillus	11	4	0.3636
Colwellia	11	4	0.3636
Paenalicyclobacillus	12	4	0.3333
Croceicoccus	14	4	0.2857
Macrococcus	14	4	0.2857
Salipiger	17	4	0.2353
Desulfovibrio	17	4	0.2353
Algibacter	18	4	0.2222
Actinobacillus	19	4	0.2105
Haemophilus	24	4	0.1667
Secundilactobacillus	29	4	0.1379
Sulfitobacter	41	4	0.0976
