genus_a	genus_b	conflicts	min_dist	gtdb_verdict	gtdb_genus
Escherichia	Shigella	9	0.016297	reconciled	Escherichia
Kitasatospora	Streptomyces	6	0.006583	absent	-
Mycobacterium	Mycolicibacterium	6	0.032575	reconciled	Mycobacterium
Macrococcoides	Macrococcus	6	0.040780	reconciled	Macrococcoides
Faucicola	Moraxella	6	0.045387	reconciled	Faucicola
Azorhizophilus	Azotobacter	6	0.047378	absent	-
Duganella	Pseudoduganella	5	0.047585	reconciled	Rugamonas
Mycobacterium	Mycolicibacter	4	0.007225	reconciled	Mycobacterium
Hallella	Prevotella	4	0.013853	reconciled	Prevotella
Allomuricauda	Flagellimonas	4	0.026606	reconciled	Flagellimonas
Ectopseudomonas	Pseudomonas	4	0.029348	reconciled	Aquipseudomonas
Pseudomonas	Stutzerimonas	4	0.034847	reconciled	Stutzerimonas
Ruminococcoides	Ruminococcus	4	0.043104	reconciled	Ruminococcoides
Aliarcobacter	Arcobacter	4	0.048211	reconciled	Aliarcobacter
Dysosmobacter	Oscillibacter	3	0.008251	absent	-
Bombella	Parasaccharibacter	3	0.008615	reconciled	Bombella
Alkalicoccus	Bacillus	3	0.012810	reconciled	Alkalicoccus
Halopseudomonas	Pseudomonas	3	0.013536	reconciled	Halopseudomonas
Lysobacter	Novilysobacter	3	0.016158	reconciled	Novilysobacter
Brenneria	Prodigiosinella	3	0.016936	reconciled	Prodigiosinella
Coprococcus	Wujia	3	0.017694	reconciled	Coprococcus_C
Hoylesella	Prevotella	3	0.024723	reconciled	Prevotella
Mannheimia	Pasteurella	3	0.026956	reconciled	Basfia
Bacteroides	Caecibacteroides	3	0.027715	reconciled	Bacteroides
Morococcus	Neisseria	3	0.028771	absent	-
Agathobaculum	Butyricicoccus	3	0.039154	reconciled	Agathobaculum
Bacillus	Cytobacillus	3	0.042407	reconciled	Cytobacillus
Planococcus	Planomicrobium	3	0.044140	absent	-
Lysobacter	Noviluteimonas	2	0.000002	reconciled	Noviluteimonas
Anaerosacchariphilus	Roseburia	2	0.000515	reconciled	Laedolimicola
Tenebrionibacter	Tenebrionicola	2	0.001746	reconciled	Tenebrionibacter
Mesorhizobium	Terribium	2	0.001791	reconciled	Mesorhizobium
Faecalicatena	Mediterraneibacter	2	0.003012	reconciled	Mediterraneibacter
Mycovorax	Niabella	2	0.004428	reconciled	Niabella
Aminirod	Aminithiophilus	2	0.006351	reconciled	Aminithiophilus
Chimaeribacter	Nissabacter	2	0.007380	reconciled	Chimaeribacter
Acidithiobacillus	Igneacidithiobacillus	2	0.007840	absent	-
Bacteroides	Lachnospira	2	0.010573	reconciled	Lachnospira
Leptogranulimonas	Muricaecibacterium	2	0.012470	reconciled	Leptogranulimonas
Bacillus	Peribacillus	2	0.012701	reconciled	Peribacillus
Harryflintia	Provencibacterium	2	0.012786	reconciled	Harryflintia
Lentibacillus	Virgibacillus	2	0.012834	reconciled	Lentibacillus_C
Flintibacter	Muriventricola	2	0.013016	reconciled	Lawsonibacter
Clostridium	Massilioclostridium	2	0.014069	reconciled	Massilioclostridium
Arcobacter	Poseidonibacter	2	0.014181	reconciled	Poseidonibacter
Gabonibacter	Sanguibacteroides	2	0.014282	reconciled	Gabonibacter
Owariibacterium	Ruthenibacterium	2	0.014971	reconciled	Ruthenibacterium
Sulfurimonas	Thiomicrolovo	2	0.015839	reconciled	Thiomicrolovo
Holtiella	Niameybacter	2	0.016103	reconciled	Holtiella
Ancylobacter	Starkeya	2	0.017046	reconciled	Ancylobacter
Alitiscatomonas	Enterocloster	2	0.021773	reconciled	Alitiscatomonas
Anaerolactibacter	Stecheria	2	0.022062	reconciled	Bulleidia
Prevotella	Xylanibacter	2	0.022392	reconciled	Prevotella
Entomoplasma	Mesoplasma	2	0.022645	reconciled	Entomoplasma
Oceanobacter	Thalassolituus	2	0.022850	reconciled	Oceanobacter
Claveliimonas	Lachnoclostridium	2	0.023212	reconciled	Claveliimonas
Hominimerdicola	Ruminococcus	2	0.023519	reconciled	Hominimerdicola
Companilactobacillus	Lactobacillus	2	0.023945	reconciled	Companilactobacillus
Anaeroarcus	Anaeromusa	2	0.024479	reconciled	Anaeromusa
Grylomicrobium	Lactimicrobium	2	0.026143	reconciled	Bulleidia
Atrimonas	Thermatribacter	2	0.028117	reconciled	Thermatribacter
Chryseobacterium	Kaistella	2	0.031610	reconciled	Kaistella
Uniformispora	Yinghuangia	2	0.034315	reconciled	Yinghuangia
Simiaoa	Waltera	2	0.035528	reconciled	Acetatifactor
Caniella	Granulimonas	2	0.036000	reconciled	Granulimonas
Aestuarium	Marivivens	2	0.036226	absent	-
Paracnuella	Pseudocnuella	2	0.038347	reconciled	Flavisolibacter
Flavimobilis	Sanguibacter	2	0.043345	reconciled	Flavimobilis
Paeniclostridium	Paraclostridium	2	0.043375	reconciled	Paraclostridium
Rhodocista	Rhodospirillum	2	0.045906	absent	-
Acinetobacter	Actinomadura	1	0.022305	absent	-
