depth	rep	genomes	intra_pairs	low_edge	high_edge	gap
2	0	54	20	93.3846	94.0678	0.6832
2	1	54	20	93.3846	93.9482	0.5636
2	2	54	20	93.3846	94.6158	1.2312
2	3	54	20	93.3846	94.7221	1.3375
2	4	54	20	93.3846	94.8332	1.4486
2	5	54	20	93.3846	94.4451	1.0605
2	6	54	20	93.3846	94.3858	1.0012
2	7	54	20	93.3846	94.6950	1.3104
2	8	54	20	93.3846	94.6931	1.3085
2	9	54	20	93.3846	96.0524	2.6678
2	10	54	20	93.3846	94.8295	1.4449
2	11	54	20	93.3846	95.7779	2.3933
2	12	54	20	93.3846	96.2649	2.8803
2	13	54	20	93.3846	95.6719	2.2873
2	14	54	20	93.3846	96.6122	3.2276
2	15	54	20	93.3846	94.5293	1.1447
2	16	54	20	93.3846	94.2503	0.8657
2	17	54	20	93.3846	94.1721	0.7875
2	18	54	20	93.3846	96.4461	3.0615
2	19	54	20	93.3846	94.9733	1.5887
2	20	54	20	93.3846	94.4779	1.0933
2	21	54	20	93.3846	94.4854	1.1008
2	22	54	20	93.3846	94.9698	1.5852
2	23	54	20	93.3846	94.4970	1.1124
2	24	54	20	93.3846	95.2867	1.9021
2	25	54	20	93.3846	94.8494	1.4648
2	26	54	20	93.3846	95.2372	1.8526
2	27	54	20	93.3846	94.9998	1.6152
2	28	54	20	93.3846	94.9651	1.5805
2	29	54	20	93.3846	94.8332	1.4486
2	30	54	20	93.3846	95.4890	2.1044
2	31	54	20	93.3846	95.1360	1.7514
2	32	54	20	93.3846	94.7305	1.3459
2	33	54	20	93.3846	96.7021	3.3175
2	34	54	20	93.3846	96.9429	3.5583
2	35	54	20	93.3846	95.3430	1.9584
2	36	54	20	93.3846	96.4299	3.0453
2	37	54	20	93.3846	94.8443	1.4597
2	38	54	20	93.3846	94.2269	0.8423
2	39	54	20	93.3846	94.7409	1.3563
2	40	54	20	93.3846	94.6297	1.2451
2	41	54	20	93.3846	95.8854	2.5008
2	42	54	20	93.3846	95.8452	2.4606
2	43	54	20	93.3846	94.8991	1.5145
2	44	54	20	93.3846	94.9527	1.5681
2	45	54	20	93.3846	96.0524	2.6678
2	46	54	20	93.3846	94.2583	0.8737
2	47	54	20	93.3846	94.8228	1.4382
2	48	54	20	93.3846	94.9998	1.6152
2	49	54	20	93.3846	94.0870	0.7024
3	0	71	54	93.3846	94.7373	1.3527
3	1	71	54	93.3846	95.0571	1.6725
3	2	71	54	93.3846	94.8318	1.4472
3	3	71	54	93.3846	94.9563	1.5717
3	4	71	54	93.3846	94.8842	1.4996
3	5	71	54	93.3846	94.8991	1.5145
3	6	71	54	93.3846	94.0855	0.7009
3	7	71	54	93.3846	94.5465	1.1619
3	8	71	54	93.3846	94.8920	1.5074
3	9	71	54	93.3846	94.3457	0.9611
3	10	71	54	93.3846	94.7614	1.3768
3	11	71	54	93.3846	94.8080	1.4234
3	12	71	54	93.3846	94.9998	1.6152
3	13	71	54	93.3846	94.7651	1.3805
3	14	71	54	93.3846	94.8228	1.4382
3	15	71	54	93.3846	94.5293	1.1447
3	16	71	54	93.3846	94.7533	1.3687
3	17	71	54	93.3846	94.1272	0.7426
3	18	71	54	93.3846	95.8147	2.4301
3	19	71	54	93.3846	95.7124	2.3278
3	20	71	54	93.3846	94.1945	0.8099
3	21	71	54	93.3846	94.2269	0.8423
3	22	71	54	93.3846	95.5772	2.1926
3	23	71	54	93.3846	94.0855	0.7009
3	24	71	54	93.3846	94.7232	1.3386
3	25	71	54	93.3846	94.7450	1.3604
3	26	71	54	93.3846	94.5148	1.1302
3	27	71	54	93.3846	94.8178	1.4332
3	28	71	54	93.3846	94.9563	1.5717
3	29	71	54	93.3846	94.2636	0.8790
3	30	71	54	93.3846	95.8239	2.4393
3	31	71	54	93.3846	94.8178	1.4332
3	32	71	54	93.3846	94.9208	1.5362
3	33	71	54	93.3846	94.7450	1.3604
3	34	71	54	93.3846	95.6115	2.2269
3	35	71	54	93.3846	94.0634	0.6788
3	36	71	54	93.3846	94.1348	0.7502
3	37	71	54	93.3846	94.9670	1.5824
3	38	71	54	93.3846	94.5184	1.1338
3	39	71	54	93.3846	95.6925	2.3079
3	40	71	54	93.3846	96.0441	2.6595
3	41	71	54	93.3846	94.8982	1.5136
3	42	71	54	93.3846	94.8563	1.4717
3	43	71	54	93.3846	95.7124	2.3278
3	44	71	54	93.3846	94.2887	0.9041
3	45	71	54	93.3846	94.4779	1.0933
3	46	71	54	93.3846	94.1502	0.7656
3	47	71	54	93.3846	95.1095	1.7249
3	48	71	54	93.3846	94.9763	1.5917
3	49	71	54	93.3846	94.7285	1.3439
4	0	87	102	93.3846	94.5148	1.1302
4	1	87	102	93.3846	94.1945	0.8099
4	2	87	102	93.3846	95.7688	2.3842
4	3	87	102	93.3846	95.6042	2.2196
4	4	87	102	93.3846	94.8228	1.4382
4	5	87	102	93.3846	94.7943	1.4097
4	6	87	102	93.3846	94.5184	1.1338
4	7	87	102	93.3846	94.7712	1.3866
4	8	87	102	93.3846	94.5943	1.2097
4	9	87	102	93.3846	95.5896	2.2050
4	10	87	102	93.3846	95.5104	2.1258
4	11	87	102	93.3846	94.7346	1.3500
4	12	87	102	93.3846	94.0634	0.6788
4	13	87	102	93.3846	94.7409	1.3563
4	14	87	102	93.3846	94.7566	1.3720
4	15	87	102	93.3846	93.9575	0.5729
4	16	87	102	93.3846	93.9941	0.6095
4	17	87	102	93.3846	94.0855	0.7009
4	18	87	102	93.3846	94.6297	1.2451
4	19	87	102	93.3846	94.5818	1.1972
4	20	87	102	93.3846	94.2636	0.8790
4	21	87	102	93.3846	94.6931	1.3085
4	22	87	102	93.3846	94.0634	0.6788
4	23	87	102	93.3846	94.5818	1.1972
4	24	87	102	93.3846	94.5943	1.2097
4	25	87	102	93.3846	94.0678	0.6832
4	26	87	102	93.3846	95.8147	2.4301
4	27	87	102	93.3846	94.5943	1.2097
4	28	87	102	93.3846	94.1348	0.7502
4	29	87	102	93.3846	94.4970	1.1124
4	30	87	102	93.3846	93.9482	0.5636
4	31	87	102	93.3846	94.9733	1.5887
4	32	87	102	93.3846	94.3457	0.9611
4	33	87	102	93.3846	94.5184	1.1338
4	34	87	102	93.3846	94.7409	1.3563
4	35	87	102	93.3846	94.2269	0.8423
4	36	87	102	93.3846	95.8147	2.4301
4	37	87	102	93.3846	94.5015	1.1169
4	38	87	102	93.3846	94.0070	0.6224
4	39	87	102	93.3846	94.8178	1.4332
4	40	87	102	93.3846	94.5293	1.1447
4	41	87	102	93.3846	94.5465	1.1619
4	42	87	102	93.3846	94.7566	1.3720
4	43	87	102	93.3846	94.4779	1.0933
4	44	87	102	93.3846	94.3858	1.0012
4	45	87	102	93.3846	93.9573	0.5727
4	46	87	102	93.3846	95.6336	2.2490
4	47	87	102	93.3846	94.3457	0.9611
4	48	87	102	93.3846	94.6931	1.3085
4	49	87	102	93.3846	94.0634	0.6788
5	0	100	154	93.3846	94.0678	0.6832
5	1	100	154	93.3846	94.0634	0.6788
5	2	100	154	93.3846	94.0070	0.6224
5	3	100	154	93.3846	94.5465	1.1619
5	4	100	154	93.3846	94.4970	1.1124
5	5	100	154	93.3846	93.9482	0.5636
5	6	100	154	93.3846	94.9563	1.5717
5	7	100	154	93.3846	94.5293	1.1447
5	8	100	154	93.3846	93.9941	0.6095
5	9	100	154	93.3846	94.5349	1.1503
5	10	100	154	93.3846	94.3858	1.0012
5	11	100	154	93.3846	95.8147	2.4301
5	12	100	154	93.3846	94.4451	1.0605
5	13	100	154	93.3846	94.0634	0.6788
5	14	100	154	93.3846	94.7450	1.3604
5	15	100	154	93.3846	94.0634	0.6788
5	16	100	154	93.3846	94.3457	0.9611
5	17	100	154	93.3846	94.0870	0.7024
5	18	100	154	93.3846	94.8228	1.4382
5	19	100	154	93.3846	94.5015	1.1169
5	20	100	154	93.3846	94.5465	1.1619
5	21	100	154	93.3846	94.0634	0.6788
5	22	100	154	93.3846	94.7391	1.3545
5	23	100	154	93.3846	94.4451	1.0605
5	24	100	154	93.3846	94.1348	0.7502
5	25	100	154	93.3846	93.9941	0.6095
5	26	100	154	93.3846	94.2583	0.8737
5	27	100	154	93.3846	94.3858	1.0012
5	28	100	154	93.3846	94.6931	1.3085
5	29	100	154	93.3846	94.5015	1.1169
5	30	100	154	93.3846	94.5818	1.1972
5	31	100	154	93.3846	93.9573	0.5727
5	32	100	154	93.3846	94.4451	1.0605
5	33	100	154	93.3846	94.5057	1.1211
5	34	100	154	93.3846	93.9482	0.5636
5	35	100	154	93.3846	94.9275	1.5429
5	36	100	154	93.3846	94.7769	1.3923
5	37	100	154	93.3846	93.9482	0.5636
5	38	100	154	93.3846	94.2583	0.8737
5	39	100	154	93.3846	94.1945	0.8099
5	40	100	154	93.3846	94.0070	0.6224
5	41	100	154	93.3846	93.9575	0.5729
5	42	100	154	93.3846	94.1502	0.7656
5	43	100	154	93.3846	94.3457	0.9611
5	44	100	154	93.3846	94.1272	0.7426
5	45	100	154	93.3846	94.6230	1.2384
5	46	100	154	93.3846	94.0070	0.6224
5	47	100	154	93.3846	93.9573	0.5727
5	48	100	154	93.3846	94.4970	1.1124
5	49	100	154	93.3846	94.8080	1.4234
7	0	124	286	93.3846	94.4779	1.0933
7	1	124	286	93.3846	94.4886	1.1040
7	2	124	286	93.3846	94.5040	1.1194
7	3	124	286	93.3846	93.9573	0.5727
7	4	124	286	93.3846	93.9482	0.5636
7	5	124	286	93.3846	93.9482	0.5636
7	6	124	286	93.3846	94.5040	1.1194
7	7	124	286	93.3846	93.9573	0.5727
7	8	124	286	93.3846	94.0870	0.7024
7	9	124	286	93.3846	94.5040	1.1194
7	10	124	286	93.3846	93.9575	0.5729
7	11	124	286	93.3846	94.3858	1.0012
7	12	124	286	93.3846	94.1945	0.8099
7	13	124	286	93.3846	93.9482	0.5636
7	14	124	286	93.3846	93.9482	0.5636
7	15	124	286	93.3846	94.0070	0.6224
7	16	124	286	93.3846	94.3457	0.9611
7	17	124	286	93.3846	94.0870	0.7024
7	18	124	286	93.3846	94.0634	0.6788
7	19	124	286	93.3846	94.0678	0.6832
7	20	124	286	93.3846	93.9941	0.6095
7	21	124	286	93.3846	94.1475	0.7629
7	22	124	286	93.3846	94.3858	1.0012
7	23	124	286	93.3846	94.0634	0.6788
7	24	124	286	93.3846	94.5057	1.1211
