depth	rep	genomes	intra_pairs	low_edge	high_edge	gap
2	0	53	19	0.0377	0.0536	0.0159
2	1	53	19	0.0313	0.0536	0.0223
2	2	53	19	0.0328	0.0536	0.0207
2	3	53	19	0.0395	0.0536	0.0141
2	4	53	19	0.0419	0.0536	0.0117
2	5	53	19	0.0438	0.0536	0.0098
2	6	53	19	0.0435	0.0536	0.0101
2	7	53	19	0.0429	0.0536	0.0106
2	8	53	19	0.0397	0.0536	0.0139
2	9	53	19	0.0473	0.0536	0.0063
2	10	53	19	0.0416	0.0536	0.0120
2	11	53	19	0.0420	0.0536	0.0116
2	12	53	19	0.0313	0.0536	0.0223
2	13	53	19	0.0313	0.0536	0.0223
2	14	53	19	0.0348	0.0536	0.0187
2	15	53	19	0.0281	0.0536	0.0255
2	16	53	19	0.0463	0.0536	0.0073
2	17	53	19	0.0479	0.0536	0.0057
2	18	53	19	0.0439	0.0536	0.0097
2	19	53	19	0.0289	0.0536	0.0247
2	20	53	19	0.0426	0.0536	0.0110
2	21	53	19	0.0467	0.0536	0.0068
2	22	53	19	0.0464	0.0536	0.0072
2	23	53	19	0.0413	0.0536	0.0123
2	24	53	19	0.0313	0.0536	0.0223
2	25	53	19	0.0463	0.0536	0.0073
2	26	53	19	0.0358	0.0536	0.0178
2	27	53	19	0.0350	0.0536	0.0186
2	28	53	19	0.0313	0.0536	0.0223
2	29	53	19	0.0413	0.0536	0.0123
2	30	53	19	0.0433	0.0536	0.0103
2	31	53	19	0.0377	0.0536	0.0159
2	32	53	19	0.0426	0.0536	0.0110
2	33	53	19	0.0377	0.0536	0.0159
2	34	53	19	0.0314	0.0536	0.0221
2	35	53	19	0.0458	0.0536	0.0078
2	36	53	19	0.0379	0.0536	0.0157
2	37	53	19	0.0288	0.0536	0.0248
2	38	53	19	0.0421	0.0536	0.0115
2	39	53	19	0.0457	0.0536	0.0078
2	40	53	19	0.0421	0.0536	0.0115
2	41	53	19	0.0463	0.0536	0.0073
2	42	53	19	0.0363	0.0536	0.0172
2	43	53	19	0.0395	0.0536	0.0141
2	44	53	19	0.0475	0.0536	0.0061
2	45	53	19	0.0464	0.0536	0.0072
2	46	53	19	0.0395	0.0536	0.0141
2	47	53	19	0.0427	0.0536	0.0108
2	48	53	19	0.0413	0.0536	0.0122
2	49	53	19	0.0327	0.0536	0.0208
3	0	70	53	0.0471	0.0536	0.0065
3	1	70	53	0.0467	0.0536	0.0068
3	2	70	53	0.0422	0.0536	0.0114
3	3	70	53	0.0425	0.0536	0.0110
3	4	70	53	0.0465	0.0536	0.0071
3	5	70	53	0.0491	0.0536	0.0044
3	6	70	53	0.0435	0.0536	0.0100
3	7	70	53	0.0425	0.0536	0.0111
3	8	70	53	0.0479	0.0536	0.0057
3	9	70	53	0.0466	0.0536	0.0070
3	10	70	53	0.0419	0.0536	0.0117
3	11	70	53	0.0314	0.0536	0.0221
3	12	70	53	0.0384	0.0536	0.0152
3	13	70	53	0.0462	0.0536	0.0073
3	14	70	53	0.0442	0.0536	0.0094
3	15	70	53	0.0400	0.0536	0.0135
3	16	70	53	0.0437	0.0536	0.0099
3	17	70	53	0.0489	0.0536	0.0046
3	18	70	53	0.0450	0.0536	0.0086
3	19	70	53	0.0479	0.0536	0.0057
3	20	70	53	0.0492	0.0536	0.0044
3	21	70	53	0.0462	0.0536	0.0073
3	22	70	53	0.0435	0.0536	0.0101
3	23	70	53	0.0444	0.0536	0.0091
3	24	70	53	0.0466	0.0536	0.0070
3	25	70	53	0.0491	0.0536	0.0044
3	26	70	53	0.0491	0.0536	0.0045
3	27	70	53	0.0492	0.0536	0.0044
3	28	70	53	0.0429	0.0536	0.0107
3	29	70	53	0.0465	0.0536	0.0071
3	30	70	53	0.0438	0.0536	0.0098
3	31	70	53	0.0478	0.0536	0.0058
3	32	70	53	0.0452	0.0536	0.0084
3	33	70	53	0.0370	0.0536	0.0166
3	34	70	53	0.0388	0.0536	0.0148
3	35	70	53	0.0413	0.0536	0.0123
3	36	70	53	0.0491	0.0536	0.0045
3	37	70	53	0.0368	0.0536	0.0167
3	38	70	53	0.0423	0.0536	0.0112
3	39	70	53	0.0491	0.0536	0.0045
3	40	70	53	0.0421	0.0536	0.0114
3	41	70	53	0.0421	0.0536	0.0115
3	42	70	53	0.0462	0.0536	0.0073
3	43	70	53	0.0466	0.0536	0.0070
3	44	70	53	0.0466	0.0536	0.0070
3	45	70	53	0.0407	0.0536	0.0128
3	46	70	53	0.0461	0.0536	0.0075
3	47	70	53	0.0478	0.0536	0.0058
3	48	70	53	0.0429	0.0536	0.0106
3	49	70	53	0.0453	0.0536	0.0083
4	0	86	101	0.0491	0.0536	0.0044
4	1	86	101	0.0461	0.0536	0.0075
4	2	86	101	0.0465	0.0536	0.0071
4	3	86	101	0.0461	0.0536	0.0075
4	4	86	101	0.0463	0.0536	0.0073
4	5	86	101	0.0384	0.0536	0.0152
4	6	86	101	0.0463	0.0536	0.0073
4	7	86	101	0.0426	0.0536	0.0110
4	8	86	101	0.0479	0.0536	0.0057
4	9	86	101	0.0491	0.0536	0.0044
4	10	86	101	0.0479	0.0536	0.0057
4	11	86	101	0.0471	0.0536	0.0065
4	12	86	101	0.0491	0.0536	0.0044
4	13	86	101	0.0463	0.0536	0.0073
4	14	86	101	0.0491	0.0536	0.0045
4	15	86	101	0.0491	0.0536	0.0045
4	16	86	101	0.0478	0.0536	0.0058
4	17	86	101	0.0492	0.0536	0.0044
4	18	86	101	0.0466	0.0536	0.0070
4	19	86	101	0.0426	0.0536	0.0110
4	20	86	101	0.0392	0.0536	0.0143
4	21	86	101	0.0479	0.0536	0.0057
4	22	86	101	0.0355	0.0536	0.0180
4	23	86	101	0.0438	0.0536	0.0098
4	24	86	101	0.0489	0.0536	0.0046
4	25	86	101	0.0435	0.0536	0.0101
4	26	86	101	0.0478	0.0536	0.0058
4	27	86	101	0.0438	0.0536	0.0098
4	28	86	101	0.0437	0.0536	0.0099
4	29	86	101	0.0478	0.0536	0.0058
4	30	86	101	0.0461	0.0536	0.0074
4	31	86	101	0.0462	0.0536	0.0073
4	32	86	101	0.0478	0.0536	0.0058
4	33	86	101	0.0479	0.0536	0.0057
4	34	86	101	0.0473	0.0536	0.0063
4	35	86	101	0.0463	0.0536	0.0073
4	36	86	101	0.0466	0.0536	0.0070
4	37	86	101	0.0429	0.0536	0.0106
4	38	86	101	0.0465	0.0536	0.0071
4	39	86	101	0.0478	0.0536	0.0058
4	40	86	101	0.0479	0.0536	0.0057
4	41	86	101	0.0436	0.0536	0.0099
4	42	86	101	0.0452	0.0536	0.0084
4	43	86	101	0.0489	0.0536	0.0046
4	44	86	101	0.0479	0.0536	0.0057
4	45	86	101	0.0463	0.0536	0.0073
4	46	86	101	0.0466	0.0536	0.0070
4	47	86	101	0.0395	0.0536	0.0141
4	48	86	101	0.0463	0.0536	0.0073
4	49	86	101	0.0471	0.0536	0.0065
5	0	98	149	0.0445	0.0536	0.0091
5	1	98	149	0.0442	0.0536	0.0094
5	2	98	149	0.0435	0.0536	0.0101
