scenario	dist_lo	dist_hi	same_genus	total	p_same_genus	cum_total	cum_p
as_reported	0.0000	0.0050	300	300	1.000000	300	1.000000
as_reported	0.0050	0.0100	23	23	1.000000	323	1.000000
as_reported	0.0100	0.0150	10	10	1.000000	333	1.000000
as_reported	0.0150	0.0200	12	12	1.000000	345	1.000000
as_reported	0.0200	0.0250	12	12	1.000000	357	1.000000
as_reported	0.0250	0.0300	15	15	1.000000	372	1.000000
as_reported	0.0300	0.0350	16	16	1.000000	388	1.000000
as_reported	0.0350	0.0400	9	9	1.000000	397	1.000000
as_reported	0.0400	0.0450	9	9	1.000000	406	1.000000
as_reported	0.0450	0.0500	4	4	1.000000	410	1.000000
as_reported	0.0500	0.0550	16	16	1.000000	426	1.000000
as_reported	0.0550	0.0600	12	12	1.000000	438	1.000000
as_reported	0.0600	0.0650	9	9	1.000000	447	1.000000
as_reported	0.0650	0.0700	19	19	1.000000	466	1.000000
as_reported	0.0700	0.0750	10	10	1.000000	476	1.000000
as_reported	0.0750	0.0800	10	10	1.000000	486	1.000000
as_reported	0.0800	0.0850	17	17	1.000000	503	1.000000
as_reported	0.0850	0.0900	15	17	0.882353	520	0.996154
as_reported	0.0900	0.0950	18	18	1.000000	538	0.996283
as_reported	0.0950	0.1000	24	24	1.000000	562	0.996441
as_reported	0.1000	0.1050	21	21	1.000000	583	0.996569
as_reported	0.1050	0.1100	23	24	0.958333	607	0.995058
as_reported	0.1100	0.1150	23	23	1.000000	630	0.995238
as_reported	0.1150	0.1200	17	17	1.000000	647	0.995363
as_reported	0.1200	0.1250	23	23	1.000000	670	0.995522
as_reported	0.1250	0.1300	15	15	1.000000	685	0.995620
as_reported	0.1300	0.1350	10	10	1.000000	695	0.995683
as_reported	0.1350	0.1400	13	13	1.000000	708	0.995763
as_reported	0.1400	0.1450	17	17	1.000000	725	0.995862
as_reported	0.1450	0.1500	8	10	0.800000	735	0.993197
as_reported	0.1500	0.1550	23	23	1.000000	758	0.993404
as_reported	0.1550	0.1600	7	7	1.000000	765	0.993464
as_reported	0.1600	0.1650	15	15	1.000000	780	0.993590
as_reported	0.1650	0.1700	17	17	1.000000	797	0.993726
as_reported	0.1700	0.1750	8	8	1.000000	805	0.993789
as_reported	0.1750	0.1800	6	6	1.000000	811	0.993835
as_reported	0.1800	0.1850	7	8	0.875000	819	0.992674
as_reported	0.1850	0.1900	7	7	1.000000	826	0.992736
as_reported	0.1900	0.1950	13	14	0.928571	840	0.991667
as_reported	0.1950	0.2000	8	11	0.727273	851	0.988249
as_reported	0.2000	0.2050	4	6	0.666667	857	0.985998
as_reported	0.2050	0.2100	8	10	0.800000	867	0.983852
as_reported	0.2100	0.2150	11	11	1.000000	878	0.984055
as_reported	0.2150	0.2200	7	11	0.636364	889	0.979753
as_reported	0.2200	0.2250	7	7	1.000000	896	0.979911
as_reported	0.2250	0.2300	5	6	0.833333	902	0.978936
as_reported	0.2300	0.2350	7	7	1.000000	909	0.979098
as_reported	0.2350	0.2400	2	6	0.333333	915	0.974863
as_reported	0.2400	0.2450	3	6	0.500000	921	0.971770
as_reported	0.2450	0.2500	3	3	1.000000	924	0.971861
as_reported	0.2500	0.2550	5	6	0.833333	930	0.970968
as_reported	0.2550	0.2600	2	4	0.500000	934	0.968951
as_reported	0.2600	0.2650	2	3	0.666667	937	0.967983
as_reported	0.2650	0.2700	0	2	0.000000	939	0.965921
as_reported	0.2700	0.2750	1	1	1.000000	940	0.965957
as_reported	0.2750	0.2800	2	4	0.500000	944	0.963983
as_reported	0.2800	0.2850	1	3	0.333333	947	0.961985
as_reported	0.2850	0.2900	6	8	0.750000	955	0.960209
as_reported	0.2900	0.2950	1	2	0.500000	957	0.959248
as_reported	0.2950	0.3000	1	2	0.500000	959	0.958290
as_reported	0.3000	0.3050	2	2	1.000000	961	0.958377
as_reported	0.3050	0.3100	0	1	0.000000	962	0.957380
as_reported	0.3100	0.3150	3	4	0.750000	966	0.956522
as_reported	0.3150	0.3200	0	2	0.000000	968	0.954545
as_reported	0.3200	0.3250	0	1	0.000000	969	0.953560
as_reported	0.3300	0.3350	3	6	0.500000	975	0.950769
as_reported	0.3350	0.3400	1	1	1.000000	976	0.950820
as_reported	0.3400	0.3450	0	1	0.000000	977	0.949846
as_reported	0.3450	0.3500	2	3	0.666667	980	0.948980
as_reported	0.3500	0.3550	1	1	1.000000	981	0.949032
as_reported	0.3600	0.3650	0	1	0.000000	982	0.948065
as_reported	0.3650	0.3700	0	2	0.000000	984	0.946138
as_reported	0.3800	0.3850	0	5	0.000000	989	0.941355
as_reported	0.3950	0.4000	0	1	0.000000	990	0.940404
as_reported	0.4000	0.4050	0	1	0.000000	991	0.939455
as_reported	0.4050	0.4100	2	2	1.000000	993	0.939577
as_reported	0.4100	0.4150	0	2	0.000000	995	0.937688
as_reported	0.4150	0.4200	0	1	0.000000	996	0.936747
as_reported	0.4200	0.4250	0	1	0.000000	997	0.935807
as_reported	0.4300	0.4350	0	4	0.000000	1001	0.932068
as_reported	0.4550	0.4600	0	1	0.000000	1002	0.931138
as_reported	0.4900	0.4950	0	1	0.000000	1003	0.930209
no_self_strain	0.0000	0.0050	259	259	1.000000	259	1.000000
no_self_strain	0.0050	0.0100	17	17	1.000000	276	1.000000
no_self_strain	0.0100	0.0150	6	6	1.000000	282	1.000000
no_self_strain	0.0150	0.0200	12	12	1.000000	294	1.000000
no_self_strain	0.0200	0.0250	10	10	1.000000	304	1.000000
no_self_strain	0.0250	0.0300	18	18	1.000000	322	1.000000
no_self_strain	0.0300	0.0350	17	17	1.000000	339	1.000000
no_self_strain	0.0350	0.0400	7	7	1.000000	346	1.000000
no_self_strain	0.0400	0.0450	9	9	1.000000	355	1.000000
no_self_strain	0.0450	0.0500	6	6	1.000000	361	1.000000
no_self_strain	0.0500	0.0550	18	18	1.000000	379	1.000000
no_self_strain	0.0550	0.0600	14	14	1.000000	393	1.000000
no_self_strain	0.0600	0.0650	9	9	1.000000	402	1.000000
no_self_strain	0.0650	0.0700	19	19	1.000000	421	1.000000
no_self_strain	0.0700	0.0750	10	10	1.000000	431	1.000000
no_self_strain	0.0750	0.0800	10	10	1.000000	441	1.000000
no_self_strain	0.0800	0.0850	19	19	1.000000	460	1.000000
no_self_strain	0.0850	0.0900	17	19	0.894737	479	0.995825
no_self_strain	0.0900	0.0950	20	20	1.000000	499	0.995992
no_self_strain	0.0950	0.1000	24	24	1.000000	523	0.996176
no_self_strain	0.1000	0.1050	21	21	1.000000	544	0.996324
no_self_strain	0.1050	0.1100	25	26	0.961538	570	0.994737
no_self_strain	0.1100	0.1150	24	24	1.000000	594	0.994949
no_self_strain	0.1150	0.1200	17	17	1.000000	611	0.995090
no_self_strain	0.1200	0.1250	28	28	1.000000	639	0.995305
no_self_strain	0.1250	0.1300	16	16	1.000000	655	0.995420
no_self_strain	0.1300	0.1350	10	10	1.000000	665	0.995489
no_self_strain	0.1350	0.1400	15	15	1.000000	680	0.995588
no_self_strain	0.1400	0.1450	18	18	1.000000	698	0.995702
no_self_strain	0.1450	0.1500	12	14	0.857143	712	0.992978
no_self_strain	0.1500	0.1550	24	24	1.000000	736	0.993207
no_self_strain	0.1550	0.1600	7	7	1.000000	743	0.993271
no_self_strain	0.1600	0.1650	17	17	1.000000	760	0.993421
no_self_strain	0.1650	0.1700	18	18	1.000000	778	0.993573
no_self_strain	0.1700	0.1750	8	8	1.000000	786	0.993639
no_self_strain	0.1750	0.1800	7	7	1.000000	793	0.993695
no_self_strain	0.1800	0.1850	8	9	0.888889	802	0.992519
no_self_strain	0.1850	0.1900	8	8	1.000000	810	0.992593
no_self_strain	0.1900	0.1950	15	16	0.937500	826	0.991525
no_self_strain	0.1950	0.2000	10	13	0.769231	839	0.988081
no_self_strain	0.2000	0.2050	5	7	0.714286	846	0.985816
no_self_strain	0.2050	0.2100	8	10	0.800000	856	0.983645
no_self_strain	0.2100	0.2150	11	11	1.000000	867	0.983852
no_self_strain	0.2150	0.2200	7	11	0.636364	878	0.979499
no_self_strain	0.2200	0.2250	8	8	1.000000	886	0.979684
no_self_strain	0.2250	0.2300	5	6	0.833333	892	0.978700
no_self_strain	0.2300	0.2350	8	8	1.000000	900	0.978889
no_self_strain	0.2350	0.2400	3	7	0.428571	907	0.974642
no_self_strain	0.2400	0.2450	3	6	0.500000	913	0.971522
no_self_strain	0.2450	0.2500	3	3	1.000000	916	0.971616
no_self_strain	0.2500	0.2550	6	7	0.857143	923	0.970748
no_self_strain	0.2550	0.2600	2	4	0.500000	927	0.968716
no_self_strain	0.2600	0.2650	3	4	0.750000	931	0.967777
no_self_strain	0.2650	0.2700	0	2	0.000000	933	0.965702
no_self_strain	0.2700	0.2750	1	1	1.000000	934	0.965739
no_self_strain	0.2750	0.2800	2	4	0.500000	938	0.963753
no_self_strain	0.2800	0.2850	1	3	0.333333	941	0.961743
no_self_strain	0.2850	0.2900	6	8	0.750000	949	0.959958
no_self_strain	0.2900	0.2950	1	2	0.500000	951	0.958991
no_self_strain	0.2950	0.3000	1	2	0.500000	953	0.958027
no_self_strain	0.3000	0.3050	2	2	1.000000	955	0.958115
no_self_strain	0.3050	0.3100	0	2	0.000000	957	0.956113
no_self_strain	0.3100	0.3150	3	5	0.600000	962	0.954262
no_self_strain	0.3150	0.3200	0	2	0.000000	964	0.952282
no_self_strain	0.3200	0.3250	0	1	0.000000	965	0.951295
no_self_strain	0.3300	0.3350	4	7	0.571429	972	0.948560
no_self_strain	0.3350	0.3400	1	1	1.000000	973	0.948613
no_self_strain	0.3400	0.3450	0	1	0.000000	974	0.947639
no_self_strain	0.3450	0.3500	2	3	0.666667	977	0.946776
no_self_strain	0.3500	0.3550	1	3	0.333333	980	0.944898
no_self_strain	0.3600	0.3650	0	1	0.000000	981	0.943935
no_self_strain	0.3650	0.3700	0	2	0.000000	983	0.942014
no_self_strain	0.3800	0.3850	0	5	0.000000	988	0.937247
no_self_strain	0.3850	0.3900	1	1	1.000000	989	0.937310
no_self_strain	0.3950	0.4000	0	1	0.000000	990	0.936364
no_self_strain	0.4000	0.4050	0	1	0.000000	991	0.935419
no_self_strain	0.4050	0.4100	2	2	1.000000	993	0.935549
no_self_strain	0.4100	0.4150	0	2	0.000000	995	0.933668
no_self_strain	0.4150	0.4200	0	1	0.000000	996	0.932731
no_self_strain	0.4200	0.4250	0	1	0.000000	997	0.931795
no_self_strain	0.4300	0.4350	0	4	0.000000	1001	0.928072
no_self_strain	0.4550	0.4600	0	1	0.000000	1002	0.927146
no_self_strain	0.4900	0.4950	0	1	0.000000	1003	0.926221
novel_species	0.0000	0.0050	5	5	1.000000	5	1.000000
novel_species	0.0050	0.0100	8	8	1.000000	13	1.000000
novel_species	0.0100	0.0150	5	5	1.000000	18	1.000000
novel_species	0.0200	0.0250	6	6	1.000000	24	1.000000
novel_species	0.0250	0.0300	16	16	1.000000	40	1.000000
novel_species	0.0300	0.0350	5	5	1.000000	45	1.000000
novel_species	0.0350	0.0400	8	8	1.000000	53	1.000000
