scenario	dist_lo	dist_hi	same_genus	total	p_same_genus	cum_total	cum_p
as_reported	0.0000	0.0050	11903	11911	0.999328	11911	0.999328
as_reported	0.0050	0.0100	471	480	0.981250	12391	0.998628
as_reported	0.0100	0.0150	465	470	0.989362	12861	0.998289
as_reported	0.0150	0.0200	411	434	0.947005	13295	0.996615
as_reported	0.0200	0.0250	375	386	0.971503	13681	0.995907
as_reported	0.0250	0.0300	314	337	0.931751	14018	0.994364
as_reported	0.0300	0.0350	396	412	0.961165	14430	0.993416
as_reported	0.0350	0.0400	397	406	0.977833	14836	0.992990
as_reported	0.0400	0.0450	425	439	0.968109	15275	0.992275
as_reported	0.0450	0.0500	523	537	0.973929	15812	0.991652
as_reported	0.0500	0.0550	423	443	0.954853	16255	0.990649
as_reported	0.0550	0.0600	394	413	0.953995	16668	0.989741
as_reported	0.0600	0.0650	455	477	0.953878	17145	0.988743
as_reported	0.0650	0.0700	452	475	0.951579	17620	0.987741
as_reported	0.0700	0.0750	413	423	0.976359	18043	0.987474
as_reported	0.0750	0.0800	445	462	0.963203	18505	0.986868
as_reported	0.0800	0.0850	428	447	0.957494	18952	0.986176
as_reported	0.0850	0.0900	405	419	0.966587	19371	0.985752
as_reported	0.0900	0.0950	438	453	0.966887	19824	0.985321
as_reported	0.0950	0.1000	390	400	0.975000	20224	0.985117
as_reported	0.1000	0.1050	383	416	0.920673	20640	0.983818
as_reported	0.1050	0.1100	368	391	0.941176	21031	0.983025
as_reported	0.1100	0.1150	377	394	0.956853	21425	0.982544
as_reported	0.1150	0.1200	344	366	0.939891	21791	0.981827
as_reported	0.1200	0.1250	372	398	0.934673	22189	0.980982
as_reported	0.1250	0.1300	327	348	0.939655	22537	0.980343
as_reported	0.1300	0.1350	312	338	0.923077	22875	0.979497
as_reported	0.1350	0.1400	307	333	0.921922	23208	0.978671
as_reported	0.1400	0.1450	297	312	0.951923	23520	0.978316
as_reported	0.1450	0.1500	322	349	0.922636	23869	0.977502
as_reported	0.1500	0.1550	269	297	0.905724	24166	0.976620
as_reported	0.1550	0.1600	237	270	0.877778	24436	0.975528
as_reported	0.1600	0.1650	287	321	0.894081	24757	0.974472
as_reported	0.1650	0.1700	248	281	0.882562	25038	0.973440
as_reported	0.1700	0.1750	228	267	0.853933	25305	0.972179
as_reported	0.1750	0.1800	258	302	0.854305	25607	0.970789
as_reported	0.1800	0.1850	203	231	0.878788	25838	0.969967
as_reported	0.1850	0.1900	242	295	0.820339	26133	0.968278
as_reported	0.1900	0.1950	236	297	0.794613	26430	0.966326
as_reported	0.1950	0.2000	170	197	0.862944	26627	0.965561
as_reported	0.2000	0.2050	189	249	0.759036	26876	0.963648
as_reported	0.2050	0.2100	151	201	0.751244	27077	0.962071
as_reported	0.2100	0.2150	140	185	0.756757	27262	0.960678
as_reported	0.2150	0.2200	130	180	0.722222	27442	0.959114
as_reported	0.2200	0.2250	135	210	0.642857	27652	0.956712
as_reported	0.2250	0.2300	94	142	0.661972	27794	0.955206
as_reported	0.2300	0.2350	88	157	0.560510	27951	0.952989
as_reported	0.2350	0.2400	85	142	0.598592	28093	0.951198
as_reported	0.2400	0.2450	88	169	0.520710	28262	0.948624
as_reported	0.2450	0.2500	74	133	0.556391	28395	0.946786
as_reported	0.2500	0.2550	63	97	0.649485	28492	0.945774
as_reported	0.2550	0.2600	83	149	0.557047	28641	0.943752
as_reported	0.2600	0.2650	50	100	0.500000	28741	0.942208
as_reported	0.2650	0.2700	39	89	0.438202	28830	0.940652
as_reported	0.2700	0.2750	47	105	0.447619	28935	0.938863
as_reported	0.2750	0.2800	20	62	0.322581	28997	0.937545
as_reported	0.2800	0.2850	31	77	0.402597	29074	0.936128
as_reported	0.2850	0.2900	15	50	0.300000	29124	0.935036
as_reported	0.2900	0.2950	24	93	0.258065	29217	0.932882
as_reported	0.2950	0.3000	20	76	0.263158	29293	0.931144
as_reported	0.3000	0.3050	7	32	0.218750	29325	0.930367
as_reported	0.3050	0.3100	15	67	0.223881	29392	0.928756
as_reported	0.3100	0.3150	6	35	0.171429	29427	0.927855
as_reported	0.3150	0.3200	5	54	0.092593	29481	0.926325
as_reported	0.3200	0.3250	6	29	0.206897	29510	0.925618
as_reported	0.3250	0.3300	5	28	0.178571	29538	0.924910
as_reported	0.3300	0.3350	7	36	0.194444	29574	0.924021
as_reported	0.3350	0.3400	2	36	0.055556	29610	0.922965
as_reported	0.3400	0.3450	5	60	0.083333	29670	0.921267
as_reported	0.3450	0.3500	4	36	0.111111	29706	0.920285
as_reported	0.3500	0.3550	0	13	0.000000	29719	0.919883
as_reported	0.3550	0.3600	2	32	0.062500	29751	0.918961
as_reported	0.3650	0.3700	6	32	0.187500	29783	0.918175
as_reported	0.3700	0.3750	3	32	0.093750	29815	0.917290
as_reported	0.3750	0.3800	0	29	0.000000	29844	0.916399
as_reported	0.3800	0.3850	0	24	0.000000	29868	0.915662
as_reported	0.3900	0.3950	0	17	0.000000	29885	0.915141
as_reported	0.3950	0.4000	0	9	0.000000	29894	0.914866
no_self_strain	0.0000	0.0050	10853	10861	0.999263	10861	0.999263
no_self_strain	0.0050	0.0100	433	442	0.979638	11303	0.998496
no_self_strain	0.0100	0.0150	464	469	0.989339	11772	0.998131
no_self_strain	0.0150	0.0200	401	424	0.945755	12196	0.996310
no_self_strain	0.0200	0.0250	417	434	0.960829	12630	0.995091
no_self_strain	0.0250	0.0300	365	388	0.940722	13018	0.993471
no_self_strain	0.0300	0.0350	435	451	0.964523	13469	0.992501
no_self_strain	0.0350	0.0400	418	427	0.978923	13896	0.992084
no_self_strain	0.0400	0.0450	468	482	0.970954	14378	0.991376
no_self_strain	0.0450	0.0500	557	571	0.975482	14949	0.990769
no_self_strain	0.0500	0.0550	470	490	0.959184	15439	0.989766
no_self_strain	0.0550	0.0600	422	442	0.954751	15881	0.988792
no_self_strain	0.0600	0.0650	492	515	0.955340	16396	0.987741
no_self_strain	0.0650	0.0700	475	498	0.953815	16894	0.986741
no_self_strain	0.0700	0.0750	441	451	0.977827	17345	0.986509
no_self_strain	0.0750	0.0800	465	482	0.964730	17827	0.985920
no_self_strain	0.0800	0.0850	445	464	0.959052	18291	0.985239
no_self_strain	0.0850	0.0900	421	437	0.963387	18728	0.984729
no_self_strain	0.0900	0.0950	459	474	0.968354	19202	0.984325
no_self_strain	0.0950	0.1000	413	423	0.976359	19625	0.984153
no_self_strain	0.1000	0.1050	418	451	0.926829	20076	0.982865
no_self_strain	0.1050	0.1100	387	412	0.939320	20488	0.981989
no_self_strain	0.1100	0.1150	399	416	0.959135	20904	0.981535
no_self_strain	0.1150	0.1200	359	383	0.937337	21287	0.980739
no_self_strain	0.1200	0.1250	394	422	0.933649	21709	0.979824
no_self_strain	0.1250	0.1300	343	366	0.937158	22075	0.979117
no_self_strain	0.1300	0.1350	331	358	0.924581	22433	0.978246
no_self_strain	0.1350	0.1400	329	355	0.926761	22788	0.977444
no_self_strain	0.1400	0.1450	319	334	0.955090	23122	0.977121
no_self_strain	0.1450	0.1500	346	373	0.927614	23495	0.976335
no_self_strain	0.1500	0.1550	281	309	0.909385	23804	0.975466
no_self_strain	0.1550	0.1600	259	293	0.883959	24097	0.974354
no_self_strain	0.1600	0.1650	303	339	0.893805	24436	0.973236
no_self_strain	0.1650	0.1700	268	303	0.884488	24739	0.972149
no_self_strain	0.1700	0.1750	244	288	0.847222	25027	0.970712
no_self_strain	0.1750	0.1800	278	322	0.863354	25349	0.969348
no_self_strain	0.1800	0.1850	221	249	0.887550	25598	0.968552
no_self_strain	0.1850	0.1900	251	304	0.825658	25902	0.966875
no_self_strain	0.1900	0.1950	251	312	0.804487	26214	0.964942
no_self_strain	0.1950	0.2000	184	213	0.863850	26427	0.964128
no_self_strain	0.2000	0.2050	212	276	0.768116	26703	0.962102
no_self_strain	0.2050	0.2100	160	215	0.744186	26918	0.960361
no_self_strain	0.2100	0.2150	153	203	0.753695	27121	0.958814
no_self_strain	0.2150	0.2200	141	192	0.734375	27313	0.957236
no_self_strain	0.2200	0.2250	145	220	0.659091	27533	0.954854
no_self_strain	0.2250	0.2300	102	152	0.671053	27685	0.953296
no_self_strain	0.2300	0.2350	94	165	0.569697	27850	0.951023
no_self_strain	0.2350	0.2400	98	155	0.632258	28005	0.949259
no_self_strain	0.2400	0.2450	94	175	0.537143	28180	0.946700
no_self_strain	0.2450	0.2500	78	141	0.553191	28321	0.944741
no_self_strain	0.2500	0.2550	63	97	0.649485	28418	0.943733
no_self_strain	0.2550	0.2600	84	153	0.549020	28571	0.941619
no_self_strain	0.2600	0.2650	56	106	0.528302	28677	0.940091
no_self_strain	0.2650	0.2700	42	93	0.451613	28770	0.938512
no_self_strain	0.2700	0.2750	54	118	0.457627	28888	0.936548
no_self_strain	0.2750	0.2800	24	68	0.352941	28956	0.935178
no_self_strain	0.2800	0.2850	32	78	0.410256	29034	0.933767
no_self_strain	0.2850	0.2900	17	52	0.326923	29086	0.932682
no_self_strain	0.2900	0.2950	24	96	0.250000	29182	0.930437
no_self_strain	0.2950	0.3000	23	81	0.283951	29263	0.928647
no_self_strain	0.3000	0.3050	7	34	0.205882	29297	0.927808
no_self_strain	0.3050	0.3100	18	73	0.246575	29370	0.926115
no_self_strain	0.3100	0.3150	6	36	0.166667	29406	0.925185
no_self_strain	0.3150	0.3200	5	58	0.086207	29464	0.923534
no_self_strain	0.3200	0.3250	6	29	0.206897	29493	0.922829
no_self_strain	0.3250	0.3300	6	30	0.200000	29523	0.922095
no_self_strain	0.3300	0.3350	7	36	0.194444	29559	0.921208
no_self_strain	0.3350	0.3400	2	37	0.054054	29596	0.920124
no_self_strain	0.3400	0.3450	5	66	0.075758	29662	0.918246
