scenario	dist_lo	dist_hi	same_genus	total	p_same_genus	cum_total	cum_p
as_reported	0.0000	0.0050	11998	12003	0.999583	12003	0.999583
as_reported	0.0050	0.0100	303	303	1.000000	12306	0.999594
as_reported	0.0100	0.0150	303	305	0.993443	12611	0.999445
as_reported	0.0150	0.0200	256	257	0.996109	12868	0.999378
as_reported	0.0200	0.0250	230	230	1.000000	13098	0.999389
as_reported	0.0250	0.0300	212	212	1.000000	13310	0.999399
as_reported	0.0300	0.0350	250	250	1.000000	13560	0.999410
as_reported	0.0350	0.0400	295	295	1.000000	13855	0.999423
as_reported	0.0400	0.0450	292	292	1.000000	14147	0.999435
as_reported	0.0450	0.0500	346	346	1.000000	14493	0.999448
as_reported	0.0500	0.0550	365	365	1.000000	14858	0.999462
as_reported	0.0550	0.0600	393	395	0.994937	15253	0.999344
as_reported	0.0600	0.0650	381	382	0.997382	15635	0.999296
as_reported	0.0650	0.0700	357	357	1.000000	15992	0.999312
as_reported	0.0700	0.0750	359	359	1.000000	16351	0.999327
as_reported	0.0750	0.0800	378	378	1.000000	16729	0.999342
as_reported	0.0800	0.0850	414	414	1.000000	17143	0.999358
as_reported	0.0850	0.0900	352	352	1.000000	17495	0.999371
as_reported	0.0900	0.0950	374	374	1.000000	17869	0.999384
as_reported	0.0950	0.1000	335	335	1.000000	18204	0.999396
as_reported	0.1000	0.1050	383	385	0.994805	18589	0.999301
as_reported	0.1050	0.1100	339	341	0.994135	18930	0.999208
as_reported	0.1100	0.1150	425	425	1.000000	19355	0.999225
as_reported	0.1150	0.1200	370	370	1.000000	19725	0.999240
as_reported	0.1200	0.1250	335	339	0.988201	20064	0.999053
as_reported	0.1250	0.1300	385	387	0.994832	20451	0.998973
as_reported	0.1300	0.1350	374	382	0.979058	20833	0.998608
as_reported	0.1350	0.1400	382	399	0.957393	21232	0.997833
as_reported	0.1400	0.1450	342	358	0.955307	21590	0.997128
as_reported	0.1450	0.1500	311	332	0.936747	21922	0.996214
as_reported	0.1500	0.1550	361	385	0.937662	22307	0.995203
as_reported	0.1550	0.1600	337	369	0.913279	22676	0.993870
