scenario	dist_lo	dist_hi	same_genus	total	p_same_genus	cum_total	cum_p
as_reported	0.0000	0.0050	8849	8855	0.999322	8855	0.999322
as_reported	0.0050	0.0100	189	202	0.935644	9057	0.997902
as_reported	0.0100	0.0150	192	206	0.932039	9263	0.996437
as_reported	0.0150	0.0200	172	175	0.982857	9438	0.996186
as_reported	0.0200	0.0250	155	165	0.939394	9603	0.995210
as_reported	0.0250	0.0300	127	128	0.992188	9731	0.995170
as_reported	0.0300	0.0350	178	186	0.956989	9917	0.994454
as_reported	0.0350	0.0400	234	242	0.966942	10159	0.993799
as_reported	0.0400	0.0450	180	187	0.962567	10346	0.993234
as_reported	0.0450	0.0500	254	258	0.984496	10604	0.993022
as_reported	0.0500	0.0550	254	259	0.980695	10863	0.992728
as_reported	0.0550	0.0600	259	266	0.973684	11129	0.992272
as_reported	0.0600	0.0650	277	281	0.985765	11410	0.992112
as_reported	0.0650	0.0700	233	243	0.958848	11653	0.991419
as_reported	0.0700	0.0750	250	263	0.950570	11916	0.990517
as_reported	0.0750	0.0800	251	263	0.954373	12179	0.989736
as_reported	0.0800	0.0850	258	278	0.928058	12457	0.988360
as_reported	0.0850	0.0900	223	230	0.969565	12687	0.988019
as_reported	0.0900	0.0950	244	250	0.976000	12937	0.987787
as_reported	0.0950	0.1000	234	244	0.959016	13181	0.987254
as_reported	0.1000	0.1050	235	251	0.936255	13432	0.986301
as_reported	0.1050	0.1100	255	263	0.969582	13695	0.985980
as_reported	0.1100	0.1150	284	302	0.940397	13997	0.984997
as_reported	0.1150	0.1200	256	268	0.955224	14265	0.984437
as_reported	0.1200	0.1250	267	277	0.963899	14542	0.984046
as_reported	0.1250	0.1300	236	244	0.967213	14786	0.983768
as_reported	0.1300	0.1350	241	260	0.926923	15046	0.982786
as_reported	0.1350	0.1400	280	302	0.927152	15348	0.981691
as_reported	0.1400	0.1450	262	280	0.935714	15628	0.980868
as_reported	0.1450	0.1500	242	269	0.899628	15897	0.979493
as_reported	0.1500	0.1550	198	221	0.895928	16118	0.978347
as_reported	0.1550	0.1600	277	306	0.905229	16424	0.976985
as_reported	0.1600	0.1650	216	257	0.840467	16681	0.974882
as_reported	0.1650	0.1700	213	257	0.828794	16938	0.972665
as_reported	0.1700	0.1750	224	276	0.811594	17214	0.970082
as_reported	0.1750	0.1800	196	260	0.753846	17474	0.966865
as_reported	0.1800	0.1850	185	245	0.755102	17719	0.963937
as_reported	0.1850	0.1900	187	245	0.763265	17964	0.961200
as_reported	0.1900	0.1950	166	252	0.658730	18216	0.957016
as_reported	0.1950	0.2000	142	211	0.672986	18427	0.953763
as_reported	0.2000	0.2050	153	226	0.676991	18653	0.950410
as_reported	0.2050	0.2100	103	174	0.591954	18827	0.947097
as_reported	0.2100	0.2150	116	196	0.591837	19023	0.943437
as_reported	0.2150	0.2200	126	197	0.639594	19220	0.940323
as_reported	0.2200	0.2250	99	167	0.592814	19387	0.937329
as_reported	0.2250	0.2300	91	140	0.650000	19527	0.935269
as_reported	0.2300	0.2350	87	151	0.576159	19678	0.932513
as_reported	0.2350	0.2400	83	158	0.525316	19836	0.929270
as_reported	0.2400	0.2450	70	134	0.522388	19970	0.926540
as_reported	0.2450	0.2500	73	133	0.548872	20103	0.924041
as_reported	0.2500	0.2550	60	121	0.495868	20224	0.921479
as_reported	0.2550	0.2600	36	82	0.439024	20306	0.919531
as_reported	0.2600	0.2650	43	97	0.443299	20403	0.917267
as_reported	0.2650	0.2700	21	73	0.287671	20476	0.915022
as_reported	0.2700	0.2750	30	96	0.312500	20572	0.912211
as_reported	0.2750	0.2800	21	84	0.250000	20656	0.909518
as_reported	0.2800	0.2850	3	38	0.078947	20694	0.907993
as_reported	0.2850	0.2900	8	51	0.156863	20745	0.906146
as_reported	0.2900	0.2950	13	39	0.333333	20784	0.905071
as_reported	0.2950	0.3000	5	39	0.128205	20823	0.903616
as_reported	0.3000	0.3050	5	40	0.125000	20863	0.902123
as_reported	0.3050	0.3100	5	46	0.108696	20909	0.900378
as_reported	0.3100	0.3150	4	48	0.083333	20957	0.898506
as_reported	0.3200	0.3250	0	39	0.000000	20996	0.896837
as_reported	0.3250	0.3300	0	28	0.000000	21024	0.895643
as_reported	0.3350	0.3400	0	8	0.000000	21032	0.895302
as_reported	0.3500	0.3550	0	3	0.000000	21035	0.895175
no_self_strain	0.0000	0.0050	8092	8098	0.999259	8098	0.999259
no_self_strain	0.0050	0.0100	205	218	0.940367	8316	0.997715
no_self_strain	0.0100	0.0150	218	234	0.931624	8550	0.995906
no_self_strain	0.0150	0.0200	197	202	0.975248	8752	0.995430
no_self_strain	0.0200	0.0250	191	201	0.950249	8953	0.994415
no_self_strain	0.0250	0.0300	149	150	0.993333	9103	0.994397
no_self_strain	0.0300	0.0350	201	209	0.961722	9312	0.993664
no_self_strain	0.0350	0.0400	252	260	0.969231	9572	0.993000
no_self_strain	0.0400	0.0450	198	205	0.965854	9777	0.992431
no_self_strain	0.0450	0.0500	282	286	0.986014	10063	0.992249
no_self_strain	0.0500	0.0550	283	288	0.982639	10351	0.991981
no_self_strain	0.0550	0.0600	279	286	0.975524	10637	0.991539
no_self_strain	0.0600	0.0650	300	304	0.986842	10941	0.991408
no_self_strain	0.0650	0.0700	247	257	0.961089	11198	0.990713
no_self_strain	0.0700	0.0750	266	279	0.953405	11477	0.989806
no_self_strain	0.0750	0.0800	263	275	0.956364	11752	0.989023
no_self_strain	0.0800	0.0850	267	287	0.930314	12039	0.987624
no_self_strain	0.0850	0.0900	235	242	0.971074	12281	0.987297
no_self_strain	0.0900	0.0950	249	255	0.976471	12536	0.987077
no_self_strain	0.0950	0.1000	244	256	0.953125	12792	0.986398
no_self_strain	0.1000	0.1050	254	270	0.940741	13062	0.985454
no_self_strain	0.1050	0.1100	275	283	0.971731	13345	0.985163
no_self_strain	0.1100	0.1150	288	306	0.941176	13651	0.984177
no_self_strain	0.1150	0.1200	261	273	0.956044	13924	0.983625
no_self_strain	0.1200	0.1250	277	287	0.965157	14211	0.983252
no_self_strain	0.1250	0.1300	240	248	0.967742	14459	0.982986
no_self_strain	0.1300	0.1350	257	278	0.924460	14737	0.981882
no_self_strain	0.1350	0.1400	287	309	0.928803	15046	0.980792
no_self_strain	0.1400	0.1450	273	293	0.931741	15339	0.979855
no_self_strain	0.1450	0.1500	255	286	0.891608	15625	0.978240
no_self_strain	0.1500	0.1550	209	232	0.900862	15857	0.977108
no_self_strain	0.1550	0.1600	287	316	0.908228	16173	0.975762
no_self_strain	0.1600	0.1650	233	275	0.847273	16448	0.973614
no_self_strain	0.1650	0.1700	225	270	0.833333	16718	0.971348
no_self_strain	0.1700	0.1750	245	297	0.824916	17015	0.968792
no_self_strain	0.1750	0.1800	205	273	0.750916	17288	0.965352
no_self_strain	0.1800	0.1850	196	256	0.765625	17544	0.962437
no_self_strain	0.1850	0.1900	200	260	0.769231	17804	0.959616
no_self_strain	0.1900	0.1950	178	269	0.661710	18073	0.955182
no_self_strain	0.1950	0.2000	152	224	0.678571	18297	0.951795
no_self_strain	0.2000	0.2050	161	242	0.665289	18539	0.948055
no_self_strain	0.2050	0.2100	106	179	0.592179	18718	0.944652
no_self_strain	0.2100	0.2150	126	206	0.611650	18924	0.941027
no_self_strain	0.2150	0.2200	136	211	0.644550	19135	0.937758
no_self_strain	0.2200	0.2250	103	175	0.588571	19310	0.934593
no_self_strain	0.2250	0.2300	100	149	0.671141	19459	0.932576
no_self_strain	0.2300	0.2350	89	155	0.574194	19614	0.929744
no_self_strain	0.2350	0.2400	89	165	0.539394	19779	0.926488
no_self_strain	0.2400	0.2450	75	144	0.520833	19923	0.923556
no_self_strain	0.2450	0.2500	78	140	0.557143	20063	0.920999
no_self_strain	0.2500	0.2550	65	127	0.511811	20190	0.918425
no_self_strain	0.2550	0.2600	38	87	0.436782	20277	0.916358
no_self_strain	0.2600	0.2650	46	100	0.460000	20377	0.914119
no_self_strain	0.2650	0.2700	21	75	0.280000	20452	0.911793
no_self_strain	0.2700	0.2750	30	99	0.303030	20551	0.908861
no_self_strain	0.2750	0.2800	25	88	0.284091	20639	0.906197
no_self_strain	0.2800	0.2850	3	38	0.078947	20677	0.904677
no_self_strain	0.2850	0.2900	9	55	0.163636	20732	0.902711
no_self_strain	0.2900	0.2950	13	40	0.325000	20772	0.901598
no_self_strain	0.2950	0.3000	6	40	0.150000	20812	0.900154
no_self_strain	0.3000	0.3050	5	40	0.125000	20852	0.898667
no_self_strain	0.3050	0.3100	5	46	0.108696	20898	0.896928
no_self_strain	0.3100	0.3150	4	50	0.080000	20948	0.894978
no_self_strain	0.3200	0.3250	0	39	0.000000	20987	0.893315
no_self_strain	0.3250	0.3300	0	28	0.000000	21015	0.892125
no_self_strain	0.3350	0.3400	0	9	0.000000	21024	0.891743
no_self_strain	0.3500	0.3550	0	3	0.000000	21027	0.891616
novel_species	0.0000	0.0050	96	102	0.941176	102	0.941176
novel_species	0.0050	0.0100	141	157	0.898089	259	0.915058
novel_species	0.0100	0.0150	170	188	0.904255	447	0.910515
novel_species	0.0150	0.0200	123	134	0.917910	581	0.912220
novel_species	0.0200	0.0250	138	152	0.907895	733	0.911323
novel_species	0.0250	0.0300	123	128	0.960938	861	0.918699
novel_species	0.0300	0.0350	271	282	0.960993	1143	0.929134
novel_species	0.0350	0.0400	445	457	0.973742	1600	0.941875
novel_species	0.0400	0.0450	463	475	0.974737	2075	0.949398
novel_species	0.0450	0.0500	544	560	0.971429	2635	0.954080
novel_species	0.0500	0.0550	527	538	0.979554	3173	0.958399
novel_species	0.0550	0.0600	538	557	0.965889	3730	0.959517
novel_species	0.0600	0.0650	512	518	0.988417	4248	0.963041
novel_species	0.0650	0.0700	546	562	0.971530	4810	0.964033
novel_species	0.0700	0.0750	475	490	0.969388	5300	0.964528
novel_species	0.0750	0.0800	478	492	0.971545	5792	0.965124
novel_species	0.0800	0.0850	483	518	0.932432	6310	0.962441
novel_species	0.0850	0.0900	426	444	0.959459	6754	0.962245
novel_species	0.0900	0.0950	477	488	0.977459	7242	0.963270
novel_species	0.0950	0.1000	485	506	0.958498	7748	0.962958
novel_species	0.1000	0.1050	489	508	0.962598	8256	0.962936
novel_species	0.1050	0.1100	477	485	0.983505	8741	0.964077
novel_species	0.1100	0.1150	524	549	0.954463	9290	0.963509
novel_species	0.1150	0.1200	440	458	0.960699	9748	0.963377
novel_species	0.1200	0.1250	465	479	0.970772	10227	0.963723
novel_species	0.1250	0.1300	427	448	0.953125	10675	0.963279
novel_species	0.1300	0.1350	443	478	0.926778	11153	0.961714
novel_species	0.1350	0.1400	485	518	0.936293	11671	0.960586
novel_species	0.1400	0.1450	464	495	0.937374	12166	0.959642
novel_species	0.1450	0.1500	437	480	0.910417	12646	0.957773
novel_species	0.1500	0.1550	393	425	0.924706	13071	0.956698
novel_species	0.1550	0.1600	476	528	0.901515	13599	0.954555
novel_species	0.1600	0.1650	390	456	0.855263	14055	0.951334
novel_species	0.1650	0.1700	364	432	0.842593	14487	0.948091
novel_species	0.1700	0.1750	377	451	0.835920	14938	0.944705
novel_species	0.1750	0.1800	345	430	0.802326	15368	0.940721
novel_species	0.1800	0.1850	292	405	0.720988	15773	0.935079
novel_species	0.1850	0.1900	303	395	0.767089	16168	0.930975
novel_species	0.1900	0.1950	273	417	0.654676	16585	0.924028
novel_species	0.1950	0.2000	199	298	0.667785	16883	0.919505
novel_species	0.2000	0.2050	244	349	0.699140	17232	0.915042
novel_species	0.2050	0.2100	155	255	0.607843	17487	0.910562
novel_species	0.2100	0.2150	187	301	0.621262	17788	0.905667
novel_species	0.2150	0.2200	211	331	0.637462	18119	0.900767
novel_species	0.2200	0.2250	173	282	0.613475	18401	0.896364
novel_species	0.2250	0.2300	132	201	0.656716	18602	0.893775
novel_species	0.2300	0.2350	128	216	0.592593	18818	0.890318
novel_species	0.2350	0.2400	132	237	0.556962	19055	0.886172
novel_species	0.2400	0.2450	120	218	0.550459	19273	0.882374
novel_species	0.2450	0.2500	100	182	0.549451	19455	0.879260
novel_species	0.2500	0.2550	90	177	0.508475	19632	0.875917
novel_species	0.2550	0.2600	56	117	0.478632	19749	0.873563
novel_species	0.2600	0.2650	58	125	0.464000	19874	0.870987
novel_species	0.2650	0.2700	25	91	0.274725	19965	0.868269
novel_species	0.2700	0.2750	42	129	0.325581	20094	0.864786
novel_species	0.2750	0.2800	33	116	0.284483	20210	0.861455
novel_species	0.2800	0.2850	5	55	0.090909	20265	0.859363
novel_species	0.2850	0.2900	9	60	0.150000	20325	0.857269
novel_species	0.2900	0.2950	13	50	0.260000	20375	0.855804
novel_species	0.2950	0.3000	7	56	0.125000	20431	0.853801
novel_species	0.3000	0.3050	7	42	0.166667	20473	0.852391
novel_species	0.3050	0.3100	6	51	0.117647	20524	0.850565
novel_species	0.3100	0.3150	8	64	0.125000	20588	0.848310
novel_species	0.3200	0.3250	0	51	0.000000	20639	0.846213
novel_species	0.3250	0.3300	0	31	0.000000	20670	0.844944
novel_species	0.3350	0.3400	0	9	0.000000	20679	0.844577
novel_species	0.3500	0.3550	0	8	0.000000	20687	0.844250
