cutoff	identity	n_genera	n_calls	micro	macro	boot_lo	boot_hi	q1	median	q3
0.05	0.95	111	2034	0.9896755162241888	0.9835718071012188	0.9581346051934287	1.0	1.0	1.0	1.0
0.06	0.94	191	3753	0.9944044764188649	0.9909065858363186	0.975199779553596	1.0	1.0	1.0	1.0
0.07	0.9299999999999999	260	5481	0.9961685823754789	0.9935897435897435	0.9820512820512821	1.0	1.0	1.0	1.0
0.08	0.92	318	7172	0.9970719464584495	0.9949412086409625	0.9867377631938749	1.0	1.0	1.0	1.0
0.1	0.9	418	10305	0.9977680737506065	0.9962121212121212	0.9900318979266347	1.0	1.0	1.0	1.0
0.12	0.88	522	13064	0.9974739742804654	0.9969667943805874	0.9920178799489145	1.0	1.0	1.0	1.0
0.13	0.87	566	14421	0.9968102073365231	0.9972025912838633	0.99263839811543	1.0	1.0	1.0	1.0
0.15	0.85	651	16623	0.9961499127714613	0.9960317460317459	0.9905273937532003	1.0	1.0	1.0	1.0
0.18	0.8200000000000001	779	19513	0.9938502536770358	0.9944831591173054	0.989180267742527	0.9988844061372945	1.0	1.0	1.0
0.2	0.8	836	21105	0.9892442549158967	0.9941757803599909	0.9893768512189565	0.9982769423558898	1.0	1.0	1.0
0.25	0.75	981	24115	0.9712212315985901	0.9914820909858767	0.9863547092692022	0.9960272471439361	1.0	1.0	1.0
