cutoff	identity	n_genera	n_calls	micro	macro	boot_lo	boot_hi	q1	median	q3
0.05	0.95	171	3781	0.9473684210526315	0.9581349026647672	0.9354316950875784	0.9771708607909128	1.0	1.0	1.0
0.06	0.94	227	5335	0.9529522024367385	0.9568773235050507	0.9354763663201379	0.9757224951993675	1.0	1.0	1.0
0.07	0.9299999999999999	288	6876	0.9569517161140197	0.9580598083727087	0.9410270756609384	0.9730008227246036	1.0	1.0	1.0
0.08	0.92	334	8295	0.9592525617842074	0.9627096152465421	0.9491095726544448	0.9750896977474255	1.0	1.0	1.0
0.1	0.9	414	11131	0.9569670290180576	0.9551627266995181	0.9419874040536627	0.9672207803925014	1.0	1.0	1.0
0.12	0.88	512	13965	0.9579663444325098	0.9586830153792473	0.9471141579746352	0.9689569505559941	1.0	1.0	1.0
0.13	0.87	555	15341	0.9572387719183887	0.9585432413093717	0.9480582372701112	0.9683764998440327	1.0	1.0	1.0
0.15	0.85	649	18062	0.9515003875539807	0.9516667709870998	0.9405984727221078	0.9612891241547762	1.0	1.0	1.0
0.18	0.8200000000000001	800	21857	0.9343917280505102	0.9347989771995693	0.9235410991665476	0.9450343420980389	0.9475101578002456	1.0	1.0
0.2	0.8	873	23951	0.917706985094568	0.922643980518672	0.9110591453359722	0.9334033451955747	0.9166666666666666	1.0	1.0
0.25	0.75	1002	27358	0.8844944805906865	0.9023483458762077	0.8900897674801613	0.9139067637117807	0.868840579710145	1.0	1.0
