cutoff	identity	n_genera	n_calls	micro	macro	boot_lo	boot_hi	q1	median	q3
0.05	0.95	170	3783	0.9466032249537404	0.9577599330218379	0.9351214085714822	0.9767445368967657	1.0	1.0	1.0
0.06	0.94	225	5347	0.9549279970076678	0.9605088208351367	0.9390592135955484	0.9772114951106827	1.0	1.0	1.0
0.07	0.9299999999999999	283	6888	0.9574622531939605	0.9576614117102471	0.9409536422484479	0.9725593460380101	1.0	1.0	1.0
0.08	0.92	336	8378	0.9589400811649559	0.9631021606766287	0.9496598259227975	0.9750260360836099	1.0	1.0	1.0
0.1	0.9	416	11187	0.9571824439081076	0.9554000870848607	0.9418910536845936	0.967304198646254	1.0	1.0	1.0
0.12	0.88	513	14060	0.9580369843527738	0.9594278330919015	0.9481967998829955	0.9691110089099789	1.0	1.0	1.0
0.13	0.87	557	15513	0.956036872300651	0.9567485316058304	0.9455495754378455	0.9667366861100833	1.0	1.0	1.0
0.15	0.85	653	18433	0.9484619975044757	0.9487050321835894	0.937472860289318	0.9597328568215597	1.0	1.0	1.0
0.18	0.8200000000000001	803	22387	0.9250011167195247	0.9305328895630295	0.9191669570473351	0.9415470072504591	0.9375	1.0	1.0
0.2	0.8	882	24577	0.9021442812385564	0.9096672060180729	0.8969677775859338	0.9214651269783718	0.8888888888888888	1.0	1.0
0.25	0.75	1012	28172	0.8468692318614227	0.8677824808994377	0.853949275919283	0.8809478853362053	0.8125	0.9913223140495868	1.0
