domain	dist_lo	genera	pairs	micro_p	macro_p	ci_lo	ci_hi	q1	median	q3
Bacteria	0.0000	109	7932	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Bacteria	0.0050	3	148	0.972973	0.985965	0.957895	1.000000	0.957895	1.000000	1.000000
Bacteria	0.0100	10	743	0.997308	0.997701	0.993103	1.000000	1.000000	1.000000	1.000000
Bacteria	0.0150	13	413	0.912833	0.908158	0.783997	1.000000	1.000000	1.000000	1.000000
Bacteria	0.0200	16	701	0.890157	0.907462	0.799355	0.999265	1.000000	1.000000	1.000000
Bacteria	0.0250	9	441	0.904762	0.854815	0.657778	1.000000	1.000000	1.000000	1.000000
Bacteria	0.0300	11	719	0.717663	0.842389	0.635673	0.991202	0.903226	1.000000	1.000000
Bacteria	0.0350	8	387	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Bacteria	0.0400	19	1025	0.998049	0.998355	0.995066	1.000000	1.000000	1.000000	1.000000
Bacteria	0.0450	14	897	0.989967	0.971337	0.917674	1.000000	1.000000	1.000000	1.000000
Bacteria	0.0500	21	1852	0.998920	0.999232	0.997696	1.000000	1.000000	1.000000	1.000000
Bacteria	0.0550	20	1092	0.987179	0.973810	0.937500	0.999554	1.000000	1.000000	1.000000
Bacteria	0.0600	25	1640	0.996341	0.994474	0.984505	1.000000	1.000000	1.000000	1.000000
Bacteria	0.0650	24	1301	0.989239	0.977002	0.936959	1.000000	1.000000	1.000000	1.000000
Bacteria	0.0700	34	2488	0.950563	0.932896	0.857129	0.986674	0.998415	1.000000	1.000000
Bacteria	0.0750	26	1569	0.991714	0.992748	0.983335	1.000000	1.000000	1.000000	1.000000
Bacteria	0.0800	39	2710	0.969373	0.947007	0.881011	0.992673	1.000000	1.000000	1.000000
Bacteria	0.0850	26	2674	0.975692	0.954925	0.905455	0.992566	0.996149	1.000000	1.000000
Bacteria	0.0900	44	4510	0.985366	0.973880	0.948389	0.992348	1.000000	1.000000	1.000000
Bacteria	0.0950	34	2962	0.970966	0.954092	0.920646	0.981835	0.948718	1.000000	1.000000
Bacteria	0.1000	47	5812	0.978665	0.962129	0.931118	0.986908	0.987887	1.000000	1.000000
Bacteria	0.1050	36	4556	0.986831	0.964982	0.920917	0.994138	1.000000	1.000000	1.000000
Bacteria	0.1100	69	8873	0.971261	0.921600	0.872415	0.965286	0.966805	1.000000	1.000000
Bacteria	0.1150	44	6288	0.989027	0.983247	0.966504	0.996189	1.000000	1.000000	1.000000
Bacteria	0.1200	76	10543	0.976098	0.942543	0.902502	0.976600	0.991597	1.000000	1.000000
