domain	dist_lo	dist_hi	genera	pairs	micro_p	macro_p	ci_lo	ci_hi	q1	median	q3
Bacteria	0.0000	0.0500	160	16974	0.971368	0.980951	0.967308	0.992295	1.000000	1.000000	1.000000
Bacteria	0.0500	0.0800	107	12709	0.976867	0.958131	0.932314	0.978461	1.000000	1.000000	1.000000
Bacteria	0.0800	0.1300	240	66334	0.969307	0.906283	0.875969	0.933169	0.965517	1.000000	1.000000
Bacteria	0.1300	0.1500	230	105490	0.934951	0.806870	0.764629	0.847809	0.761388	1.000000	1.000000
Bacteria	0.1500	0.2000	836	1175518	0.638346	0.297256	0.271702	0.322263	0.000000	0.071429	0.600948
Bacteria	0.2000	0.2500	1953	4571681	0.101511	0.073954	0.065083	0.083421	0.000000	0.000000	0.014210
Bacteria	0.2500	0.4000	4012	190979624	0.001908	0.000304	0.000233	0.000381	0.000000	0.000000	0.000000
Archaea	0.0000	0.0500	3	119	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Archaea	0.0500	0.0800	3	106	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Archaea	0.0800	0.1300	10	1059	0.993390	0.987768	0.968825	1.000000	0.992395	1.000000	1.000000
Archaea	0.1300	0.1500	12	1102	0.989111	0.995512	0.987551	1.000000	1.000000	1.000000	1.000000
Archaea	0.1500	0.2000	70	14092	0.226937	0.213458	0.139019	0.294507	0.000000	0.035760	0.333333
Archaea	0.2000	0.2500	94	191828	0.003508	0.058820	0.020395	0.105443	0.000000	0.000000	0.000000
Archaea	0.2500	0.4000	188	2715196	0.000299	0.002175	0.001329	0.003233	0.000000	0.000000	0.000000
