cutoff	calls	precision	recall	err_congeneric	err_inter_genus
0.0020	11231	0.992788	0.881632	73	8
0.0040	11469	0.991717	0.899344	85	10
0.0060	11568	0.990577	0.906065	97	12
0.0080	11710	0.985568	0.912548	150	19
0.0100	11857	0.980012	0.918795	212	25
0.0120	12004	0.975092	0.925516	268	31
0.0140	12125	0.970557	0.930497	311	46
0.0160	12254	0.965889	0.935874	364	54
0.0180	12379	0.961144	0.940776	420	61
0.0200	12498	0.957353	0.946074	470	63
0.0220	12634	0.953776	0.952795	516	68
0.0240	12737	0.950145	0.956907	554	81
0.0260	12822	0.948370	0.961493	576	86
0.0280	12918	0.945348	0.965604	619	87
0.0300	13026	0.940580	0.968767	680	94
0.0320	13137	0.935678	0.971930	748	97
0.0340	13258	0.930231	0.975172	824	101
0.0360	13406	0.923243	0.978651	921	108
0.0380	13522	0.916359	0.979758	1023	108
0.0400	13637	0.909878	0.981102	1116	113
0.0420	13753	0.903294	0.982288	1217	113
0.0426	13792	0.900740	0.982288	1255	114
0.0440	13888	0.894945	0.982763	1335	124
0.0450	13949	0.891103	0.982842	1393	126
0.0460	14025	0.886417	0.983000	1465	128
0.0480	14191	0.876753	0.983791	1620	129
0.0500	14339	0.868122	0.984265	1760	131
0.0520	14480	0.860014	0.984660	1895	132
0.0540	14647	0.850550	0.985056	2055	134
0.0560	14796	0.842660	0.985846	2194	134
0.0580	14974	0.833111	0.986400	2357	142
0.0600	15129	0.825038	0.986953	2502	145
0.0620	15309	0.815403	0.987032	2670	156
0.0640	15490	0.805939	0.987112	2850	156
0.0660	15639	0.798389	0.987270	2995	158
0.0680	15781	0.791585	0.987744	3125	164
0.0700	15954	0.783126	0.987902	3289	171
0.0720	16101	0.776163	0.988139	3422	182
0.0740	16213	0.770801	0.988139	3532	184
0.0760	16383	0.762803	0.988139	3693	193
0.0780	16556	0.754832	0.988139	3856	203
0.0800	16718	0.747518	0.988139	4010	211
0.0820	16859	0.741266	0.988139	4141	221
0.0840	17043	0.733263	0.988139	4313	233
0.0860	17168	0.728041	0.988298	4433	236
0.0880	17340	0.720819	0.988298	4600	241
0.0900	17505	0.714025	0.988298	4757	249
0.0920	17616	0.709525	0.988298	4866	251
0.0940	17780	0.702981	0.988298	5025	256
0.0960	17926	0.697255	0.988298	5162	265
0.0980	18058	0.692159	0.988298	5291	268
0.1000	18196	0.686909	0.988298	5424	273
0.1020	18365	0.680588	0.988298	5589	277
0.1040	18539	0.674200	0.988298	5751	289
0.1060	18635	0.670727	0.988298	5842	294
0.1080	18813	0.664381	0.988298	6012	302
0.1100	18956	0.659475	0.988456	6143	312
0.1120	19162	0.652385	0.988456	6345	316
0.1140	19296	0.647958	0.988614	6470	323
0.1160	19445	0.642993	0.988614	6606	336
0.1180	19618	0.637323	0.988614	6771	344
0.1200	19795	0.631624	0.988614	6939	353
0.1220	19870	0.629240	0.988614	7011	356
0.1240	20056	0.623404	0.988614	7190	363
0.1260	20255	0.617280	0.988614	7382	370
0.1280	20379	0.613524	0.988614	7486	390
0.1300	20564	0.608004	0.988614	7649	412
0.1320	20684	0.604477	0.988614	7762	419
0.1340	20898	0.598287	0.988614	7963	432
0.1360	21034	0.594419	0.988614	8085	446
0.1380	21157	0.590963	0.988614	8195	459
0.1400	21281	0.587519	0.988614	8305	473
0.1420	21413	0.583898	0.988614	8422	488
0.1440	21715	0.575777	0.988614	8695	517
0.1460	21853	0.572141	0.988614	8818	532
0.1480	22020	0.567802	0.988614	8969	548
0.1500	22186	0.563554	0.988614	9120	563
