cutoff	calls	precision	recall	err_congeneric	err_inter_genus
0.0020	10311	0.999515	0.825074	0	5
0.0040	10533	0.999525	0.842847	0	5
0.0060	10628	0.999530	0.850452	0	5
0.0080	10758	0.999535	0.860860	0	5
0.0100	10890	0.999541	0.871427	0	5
0.0120	11010	0.999546	0.881034	0	5
0.0140	11150	0.999372	0.892082	0	7
0.0160	11276	0.999379	0.902170	0	7
0.0180	11408	0.999299	0.912657	0	8
0.0200	11516	0.999305	0.921303	0	8
0.0220	11628	0.999312	0.930270	0	8
0.0240	11735	0.999318	0.938836	0	8
0.0260	11829	0.999070	0.946121	3	8
0.0280	11919	0.998742	0.953006	7	8
0.0300	12017	0.997836	0.959971	18	8
0.0320	12117	0.995791	0.965976	43	8
0.0340	12235	0.992971	0.972620	78	8
0.0360	12364	0.990214	0.980146	113	8
0.0380	12494	0.987434	0.987671	149	8
0.0400	12627	0.983131	0.993836	205	8
0.0420	12740	0.976923	0.996397	286	8
0.0426	12762	0.975552	0.996718	304	8
0.0440	12854	0.969659	0.997838	382	8
0.0450	12915	0.965699	0.998479	435	8
0.0460	12979	0.961245	0.998799	495	8
0.0480	13131	0.950423	0.999119	643	8
0.0500	13296	0.938628	0.999119	808	8
0.0520	13431	0.929194	0.999119	943	8
0.0540	13610	0.916973	0.999119	1122	8
0.0560	13765	0.906647	0.999119	1275	10
0.0580	13921	0.896487	0.999119	1431	10
0.0600	14095	0.885420	0.999119	1605	10
0.0620	14269	0.874623	0.999119	1779	10
0.0640	14418	0.865585	0.999119	1928	10
0.0660	14579	0.856026	0.999119	2089	10
0.0680	14725	0.847538	0.999119	2235	10
0.0700	14871	0.839217	0.999119	2381	10
0.0720	15018	0.831003	0.999119	2528	10
0.0740	15154	0.823545	0.999119	2664	10
0.0760	15315	0.814887	0.999119	2825	10
0.0780	15464	0.807036	0.999119	2974	10
0.0800	15614	0.799283	0.999119	3124	10
0.0820	15783	0.790724	0.999119	3293	10
0.0840	15941	0.782887	0.999119	3451	10
0.0860	16098	0.775252	0.999119	3608	10
0.0880	16246	0.768189	0.999119	3756	10
0.0900	16375	0.762137	0.999119	3885	10
0.0920	16497	0.756501	0.999119	4007	10
0.0940	16642	0.749910	0.999119	4152	10
0.0960	16793	0.743167	0.999119	4303	10
0.0980	16951	0.736240	0.999119	4461	10
0.1000	17077	0.730808	0.999119	4587	10
0.1020	17219	0.724781	0.999119	4729	10
0.1040	17360	0.718894	0.999119	4868	12
0.1060	17511	0.712695	0.999119	5019	12
0.1080	17649	0.707122	0.999119	5157	12
0.1100	17833	0.699826	0.999119	5339	14
0.1120	17988	0.693796	0.999119	5494	14
0.1140	18158	0.687300	0.999119	5664	14
0.1160	18318	0.681297	0.999119	5824	14
0.1180	18433	0.677047	0.999119	5939	14
0.1200	18547	0.672885	0.999119	6053	14
0.1220	18697	0.667487	0.999119	6202	15
0.1240	18840	0.662420	0.999119	6343	17
0.1260	19000	0.656842	0.999119	6502	18
0.1280	19122	0.652651	0.999119	6622	20
0.1300	19284	0.647169	0.999119	6784	20
0.1320	19456	0.641447	0.999119	6948	28
0.1340	19579	0.637418	0.999119	7069	30
0.1360	19794	0.630494	0.999119	7272	42
0.1380	19935	0.626035	0.999119	7408	47
0.1400	20084	0.621390	0.999119	7551	53
0.1420	20214	0.617394	0.999119	7680	54
0.1440	20377	0.612455	0.999119	7833	64
0.1460	20526	0.608009	0.999119	7974	72
0.1480	20662	0.604007	0.999119	8101	81
0.1500	20821	0.599395	0.999119	8251	90
