target_calls	axis	cutoff	calls	precision
4000	s = 1000	0.0500	3907	94.8298
4000	s = 10 000	0.0500	3893	94.8883
4000	s = 100 000	0.0500	3899	94.8961
8000	s = 1000	0.0750	7839	95.9816
8000	s = 10 000	0.0750	7814	96.0072
8000	s = 100 000	0.0750	7831	95.9775
12000	s = 1000	0.1050	12339	95.9316
12000	s = 10 000	0.1050	12257	95.8554
12000	s = 100 000	0.1050	12269	95.8106
15000	s = 1000	0.1250	15236	95.9241
15000	s = 10 000	0.1250	15218	95.9193
15000	s = 100 000	0.1250	15185	95.9104
18500	s = 1000	0.1450	18226	95.2211
18500	s = 10 000	0.1500	18803	95.2508
18500	s = 100 000	0.1500	18742	95.2726
21000	s = 1000	0.1650	21379	93.8818
21000	s = 10 000	0.1650	20861	94.5401
21000	s = 100 000	0.1650	20774	94.5509
23500	s = 1000	0.1850	23725	92.0590
23500	s = 10 000	0.1850	23341	93.0251
23500	s = 100 000	0.1850	23251	93.1272
26500	s = 1000	0.2150	26856	88.6282
26500	s = 10 000	0.2200	26623	90.1589
26500	s = 100 000	0.2200	26538	90.2819
29000	s = 1000	0.2450	29129	84.8124
29000	s = 10 000	0.2700	29060	87.2815
29000	s = 100 000	0.2700	29017	87.5625
