stratum	dist_lo	dist_hi	same_strain	same_species	congeneric	inter_genus	total	p_same_species	p_same_genus	cum_total	cum_p_same_species	cum_p_same_genus
all	0.0000	0.0050	1677	10234	312	6	12229	0.973996	0.999509	12229	0.973996	0.999509
all	0.0050	0.0100	16	325	190	12	543	0.627993	0.977901	12772	0.959286	0.998591
all	0.0100	0.0150	16	678	437	19	1150	0.603478	0.983478	13922	0.929895	0.997342
all	0.0150	0.0200	14	540	272	28	854	0.648712	0.967213	14776	0.913644	0.995601
all	0.0200	0.0250	0	629	369	50	1048	0.600191	0.952290	15824	0.892884	0.992733
all	0.0250	0.0300	12	571	248	38	869	0.670886	0.956272	16693	0.881328	0.990834
all	0.0300	0.0350	0	344	433	79	856	0.401869	0.907710	17549	0.857941	0.986780
all	0.0350	0.0400	3	369	678	55	1105	0.336652	0.950226	18654	0.827061	0.984615
all	0.0400	0.0450	2	306	1154	13	1475	0.208814	0.991186	20129	0.781758	0.985096
all	0.0450	0.0500	0	257	1325	33	1615	0.159133	0.979567	21744	0.735513	0.984685
all	0.0500	0.0550	1	68	2343	21	2433	0.028360	0.991369	24177	0.664350	0.985358
all	0.0550	0.0600	0	74	1854	28	1956	0.037832	0.985685	26133	0.617457	0.985382
all	0.0600	0.0650	0	141	2146	21	2308	0.061092	0.990901	28441	0.572308	0.985830
all	0.0650	0.0700	0	46	2226	41	2313	0.019888	0.982274	30754	0.530760	0.985563
all	0.0700	0.0750	0	64	2958	78	3100	0.020645	0.974839	33854	0.484049	0.984581
all	0.0750	0.0800	0	36	2518	44	2598	0.013857	0.983064	36452	0.450538	0.984473
all	0.0800	0.0850	3	1	3240	87	3331	0.001201	0.973882	39783	0.412915	0.983586
all	0.0850	0.0900	0	1	4003	79	4083	0.000245	0.980651	43866	0.374504	0.983313
all	0.0900	0.0950	0	6	5031	98	5135	0.001168	0.980915	49001	0.335381	0.983062
all	0.0950	0.1000	0	2	4477	93	4572	0.000437	0.979659	53573	0.306796	0.982771
all	0.1000	0.1050	1	11	6569	105	6686	0.001795	0.984296	60259	0.272955	0.982940
all	0.1050	0.1100	0	4	6252	69	6325	0.000632	0.989091	66584	0.247086	0.983525
all	0.1100	0.1150	0	4	9113	199	9316	0.000429	0.978639	75900	0.216812	0.982925
all	0.1150	0.1200	0	16	8372	102	8490	0.001885	0.987986	84390	0.195189	0.983434
all	0.1200	0.1250	0	3	10865	239	11107	0.000270	0.978482	95497	0.172519	0.982858
all	0.1250	0.1300	0	0	10347	175	10522	0.000000	0.983368	106019	0.155397	0.982909
all	0.1300	0.1350	0	2	16748	360	17110	0.000117	0.978960	123129	0.133819	0.982360
all	0.1350	0.1400	0	0	19730	767	20497	0.000000	0.962580	143626	0.114722	0.979537
all	0.1400	0.1450	0	15	32261	1348	33624	0.000446	0.959910	177250	0.093044	0.975814
all	0.1450	0.1500	0	13	33380	1451	34844	0.000373	0.958357	212094	0.077819	0.972946
all	0.1500	0.1550	0	5	40264	2595	42864	0.000117	0.939460	254958	0.064756	0.967316
all	0.1550	0.1600	0	0	36473	3644	40117	0.000000	0.909166	295075	0.055952	0.959410
all	0.1600	0.1650	0	0	47785	6680	54465	0.000000	0.877352	349540	0.047234	0.946624
all	0.1650	0.1700	0	0	49381	8264	57645	0.000000	0.856640	407185	0.040547	0.933885
all	0.1700	0.1750	0	4	73446	15257	88707	0.000045	0.828007	495892	0.033302	0.914945
all	0.1750	0.1800	0	3	86146	19831	105980	0.000028	0.812880	601872	0.027443	0.896973
all	0.1800	0.1850	0	0	120969	33133	154102	0.000000	0.784993	755974	0.021849	0.874146
all	0.1850	0.1900	0	3	98329	32424	130756	0.000023	0.752027	886730	0.018630	0.856139
all	0.1900	0.1950	0	0	115833	46589	162422	0.000000	0.713161	1049152	0.015746	0.834004
all	0.1950	0.2000	0	2	87698	51564	139264	0.000014	0.629739	1188416	0.013903	0.810067
all	0.2000	0.2050	0	3	82397	75835	158235	0.000019	0.520744	1346651	0.012271	0.776071
all	0.2050	0.2100	0	1	59191	78012	137204	0.000007	0.431416	1483855	0.011137	0.744203
all	0.2100	0.2150	0	0	64497	123018	187515	0.000000	0.343956	1671370	0.009888	0.699298
all	0.2150	0.2200	0	3	42233	115949	158185	0.000019	0.267004	1829555	0.009034	0.661922
all	0.2200	0.2250	0	0	41992	148732	190724	0.000000	0.220172	2020279	0.008182	0.620218
all	0.2250	0.2300	0	0	34140	157908	192048	0.000000	0.177768	2212327	0.007471	0.581810
all	0.2300	0.2350	0	3	45073	288818	333894	0.000009	0.135001	2546221	0.006493	0.523219
all	0.2350	0.2400	0	0	29483	259411	288894	0.000000	0.102055	2835115	0.005831	0.480303
all	0.2400	0.2450	0	0	43114	525155	568269	0.000000	0.075869	3403384	0.004858	0.412774
all	0.2450	0.2500	0	0	23857	379015	402872	0.000000	0.059217	3806256	0.004343	0.375352
all	0.2500	0.2550	0	0	37275	788854	826129	0.000000	0.045120	4632385	0.003569	0.316459
all	0.2550	0.2600	0	0	25636	720404	746040	0.000000	0.034363	5378425	0.003074	0.277329
all	0.2600	0.2650	0	1	39853	1486401	1526255	0.000001	0.026112	6904680	0.002394	0.221799
all	0.2650	0.2700	0	0	13659	625677	639336	0.000000	0.021364	7544016	0.002192	0.204812
all	0.2700	0.2750	0	1	28253	1505228	1533482	0.000001	0.018425	9077498	0.001821	0.173326
all	0.2750	0.2800	0	0	31254	1919268	1950522	0.000000	0.016023	11028020	0.001499	0.145504
all	0.2800	0.2850	0	1	16257	1169519	1185777	0.000001	0.013711	12213797	0.001354	0.132708
all	0.2850	0.2900	0	0	16969	1350370	1367339	0.000000	0.012410	13581136	0.001217	0.120597
all	0.2900	0.2950	0	0	17155	1588973	1606128	0.000000	0.010681	15187264	0.001089	0.108973
all	0.2950	0.3000	0	0	17143	1902968	1920111	0.000000	0.008928	17107375	0.000967	0.097744
all	0.3000	0.3050	0	1	18061	2327632	2345694	0.000000	0.007700	19453069	0.000850	0.086886
all	0.3050	0.3100	0	0	18985	2925410	2944395	0.000000	0.006448	22397464	0.000738	0.076312
all	0.3100	0.3150	0	2	19157	3801881	3821040	0.000001	0.005014	26218504	0.000631	0.065921
all	0.3200	0.3250	0	0	18467	5143757	5162224	0.000000	0.003577	31380728	0.000527	0.055665
all	0.3250	0.3300	0	0	16655	7237289	7253944	0.000000	0.002296	38634672	0.000428	0.045645
all	0.3350	0.3400	0	0	13688	10754036	10767724	0.000000	0.001271	49402396	0.000335	0.035973
all	0.3500	0.3550	0	0	10135	17301830	17311965	0.000000	0.000585	66714361	0.000248	0.026790
all	0.3700	0.3750	0	0	6625	34115322	34121947	0.000000	0.000194	100836308	0.000164	0.017790
gold	0.0000	0.0050	1148	7132	163	0	8443	0.980694	1.000000	8443	0.980694	1.000000
gold	0.0050	0.0100	12	217	58	0	287	0.797909	1.000000	8730	0.974685	1.000000
gold	0.0100	0.0150	13	489	190	2	694	0.723343	0.997118	9424	0.956176	0.999788
gold	0.0150	0.0200	12	325	104	15	456	0.739035	0.967105	9880	0.946154	0.998279
gold	0.0200	0.0250	0	394	129	25	548	0.718978	0.954380	10428	0.934216	0.995972
gold	0.0250	0.0300	10	381	103	24	518	0.754826	0.953668	10946	0.925726	0.993970
gold	0.0300	0.0350	0	245	285	57	587	0.417376	0.902896	11533	0.899853	0.989335
gold	0.0350	0.0400	0	235	454	35	724	0.324586	0.951657	12257	0.865873	0.987109
gold	0.0400	0.0450	0	190	779	6	975	0.194872	0.993846	13232	0.816430	0.987606
gold	0.0450	0.0500	0	119	859	13	991	0.120081	0.986882	14223	0.767911	0.987555
gold	0.0500	0.0550	1	21	1378	9	1409	0.015614	0.993612	15632	0.700102	0.988101
gold	0.0550	0.0600	0	32	1107	11	1150	0.027826	0.990435	16782	0.654034	0.988261
gold	0.0600	0.0650	0	44	1243	6	1293	0.034029	0.995360	18075	0.609682	0.988769
gold	0.0650	0.0700	0	33	1434	19	1486	0.022207	0.987214	19561	0.565053	0.988651
