scenario	dist_lo	dist_hi	same_genus	total	p_same_genus	cum_total	cum_p
as_reported	0.0000	0.0050	11751	11757	0.999490	11757	0.999490
as_reported	0.0050	0.0100	441	447	0.986577	12204	0.999017
as_reported	0.0100	0.0150	417	427	0.976581	12631	0.998258
as_reported	0.0150	0.0200	369	377	0.978780	13008	0.997694
as_reported	0.0200	0.0250	350	369	0.948509	13377	0.996337
as_reported	0.0250	0.0300	333	346	0.962428	13723	0.995482
as_reported	0.0300	0.0350	299	310	0.964516	14033	0.994798
as_reported	0.0350	0.0400	344	361	0.952909	14394	0.993747
as_reported	0.0400	0.0450	383	397	0.964736	14791	0.992969
as_reported	0.0450	0.0500	401	414	0.968599	15205	0.992305
as_reported	0.0500	0.0550	471	485	0.971134	15690	0.991651
as_reported	0.0550	0.0600	416	429	0.969697	16119	0.991066
as_reported	0.0600	0.0650	397	416	0.954327	16535	0.990142
as_reported	0.0650	0.0700	396	406	0.975369	16941	0.989788
as_reported	0.0700	0.0750	373	388	0.961340	17329	0.989151
as_reported	0.0750	0.0800	410	439	0.933941	17768	0.987787
as_reported	0.0800	0.0850	395	411	0.961071	18179	0.987183
as_reported	0.0850	0.0900	426	442	0.963801	18621	0.986628
as_reported	0.0900	0.0950	385	396	0.972222	19017	0.986328
as_reported	0.0950	0.1000	417	435	0.958621	19452	0.985708
as_reported	0.1000	0.1050	345	358	0.963687	19810	0.985310
as_reported	0.1050	0.1100	380	402	0.945274	20212	0.984514
as_reported	0.1100	0.1150	362	369	0.981030	20581	0.984452
as_reported	0.1150	0.1200	299	317	0.943218	20898	0.983826
as_reported	0.1200	0.1250	355	373	0.951743	21271	0.983264
as_reported	0.1250	0.1300	331	359	0.922006	21630	0.982247
as_reported	0.1300	0.1350	288	303	0.950495	21933	0.981808
as_reported	0.1350	0.1400	294	310	0.948387	22243	0.981342
as_reported	0.1400	0.1450	341	367	0.929155	22610	0.980495
as_reported	0.1450	0.1500	275	296	0.929054	22906	0.979831
as_reported	0.1500	0.1550	312	325	0.960000	23231	0.979553
as_reported	0.1550	0.1600	278	304	0.914474	23535	0.978713
as_reported	0.1600	0.1650	245	263	0.931559	23798	0.978191
as_reported	0.1650	0.1700	232	249	0.931727	24047	0.977710
as_reported	0.1700	0.1750	269	292	0.921233	24339	0.977033
as_reported	0.1750	0.1800	249	272	0.915441	24611	0.976352
as_reported	0.1800	0.1850	229	267	0.857678	24878	0.975078
as_reported	0.1850	0.1900	214	238	0.899160	25116	0.974359
as_reported	0.1900	0.1950	251	287	0.874564	25403	0.973232
as_reported	0.1950	0.2000	208	256	0.812500	25659	0.971628
as_reported	0.2000	0.2050	178	217	0.820276	25876	0.970359
as_reported	0.2050	0.2100	234	290	0.806897	26166	0.968547
as_reported	0.2100	0.2150	173	211	0.819905	26377	0.967358
as_reported	0.2150	0.2200	142	175	0.811429	26552	0.966330
as_reported	0.2200	0.2250	156	206	0.757282	26758	0.964721
as_reported	0.2250	0.2300	160	217	0.737327	26975	0.962892
as_reported	0.2300	0.2350	152	200	0.760000	27175	0.961398
as_reported	0.2350	0.2400	123	175	0.702857	27350	0.959744
as_reported	0.2400	0.2450	102	144	0.708333	27494	0.958427
as_reported	0.2450	0.2500	97	135	0.718519	27629	0.957255
as_reported	0.2500	0.2550	118	191	0.617801	27820	0.954925
as_reported	0.2550	0.2600	66	118	0.559322	27938	0.953254
as_reported	0.2600	0.2650	78	137	0.569343	28075	0.951380
as_reported	0.2650	0.2700	82	138	0.594203	28213	0.949633
as_reported	0.2700	0.2750	72	125	0.576000	28338	0.947985
as_reported	0.2750	0.2800	67	121	0.553719	28459	0.946309
as_reported	0.2800	0.2850	71	128	0.554688	28587	0.944555
as_reported	0.2850	0.2900	51	95	0.536842	28682	0.943205
as_reported	0.2900	0.2950	51	95	0.536842	28777	0.941863
as_reported	0.2950	0.3000	30	79	0.379747	28856	0.940324
as_reported	0.3000	0.3050	44	104	0.423077	28960	0.938467
as_reported	0.3050	0.3100	23	60	0.383333	29020	0.937319
as_reported	0.3100	0.3150	17	61	0.278689	29081	0.935938
as_reported	0.3150	0.3200	21	60	0.350000	29141	0.934731
as_reported	0.3200	0.3250	17	59	0.288136	29200	0.933425
as_reported	0.3250	0.3300	10	58	0.172414	29258	0.931916
as_reported	0.3300	0.3350	12	63	0.190476	29321	0.930323
as_reported	0.3350	0.3400	10	43	0.232558	29364	0.929301
as_reported	0.3400	0.3450	6	43	0.139535	29407	0.928146
as_reported	0.3450	0.3500	7	29	0.241379	29436	0.927470
as_reported	0.3500	0.3550	10	54	0.185185	29490	0.926111
as_reported	0.3550	0.3600	7	52	0.134615	29542	0.924717
as_reported	0.3600	0.3650	3	29	0.103448	29571	0.923912
as_reported	0.3650	0.3700	4	49	0.081633	29620	0.922519
as_reported	0.3700	0.3750	0	19	0.000000	29639	0.921927
as_reported	0.3750	0.3800	4	26	0.153846	29665	0.921254
as_reported	0.3800	0.3850	3	60	0.050000	29725	0.919495
as_reported	0.3850	0.3900	3	21	0.142857	29746	0.918947
as_reported	0.3900	0.3950	0	14	0.000000	29760	0.918515
as_reported	0.3950	0.4000	4	20	0.200000	29780	0.918032
as_reported	0.4000	0.4050	0	15	0.000000	29795	0.917570
as_reported	0.4050	0.4100	4	23	0.173913	29818	0.916996
as_reported	0.4100	0.4150	1	18	0.055556	29836	0.916477
as_reported	0.4150	0.4200	0	14	0.000000	29850	0.916047
as_reported	0.4200	0.4250	0	12	0.000000	29862	0.915679
as_reported	0.4250	0.4300	1	14	0.071429	29876	0.915283
as_reported	0.4300	0.4350	0	18	0.000000	29894	0.914732
as_reported	0.4350	0.4400	1	15	0.066667	29909	0.914307
as_reported	0.4400	0.4450	0	11	0.000000	29920	0.913971
as_reported	0.4450	0.4500	0	8	0.000000	29928	0.913726
as_reported	0.4550	0.4600	0	12	0.000000	29940	0.913360
as_reported	0.4600	0.4650	0	4	0.000000	29944	0.913238
as_reported	0.4650	0.4700	0	7	0.000000	29951	0.913025
as_reported	0.4750	0.4800	0	7	0.000000	29958	0.912811
as_reported	0.4850	0.4900	0	6	0.000000	29964	0.912628
as_reported	0.4900	0.4950	0	4	0.000000	29968	0.912507
no_self_strain	0.0000	0.0050	10717	10723	0.999440	10723	0.999440
