scenario	dist_lo	dist_hi	same_genus	total	p_same_genus	cum_total	cum_p
as_reported	0.0000	0.0050	11451	11457	0.999476	11457	0.999476
as_reported	0.0050	0.0100	418	424	0.985849	11881	0.998990
as_reported	0.0100	0.0150	407	417	0.976019	12298	0.998211
as_reported	0.0150	0.0200	357	365	0.978082	12663	0.997631
as_reported	0.0200	0.0250	338	357	0.946779	13020	0.996237
as_reported	0.0250	0.0300	318	331	0.960725	13351	0.995356
as_reported	0.0300	0.0350	283	294	0.962585	13645	0.994650
as_reported	0.0350	0.0400	335	352	0.951705	13997	0.993570
as_reported	0.0400	0.0450	374	388	0.963918	14385	0.992770
as_reported	0.0450	0.0500	397	410	0.968293	14795	0.992092
as_reported	0.0500	0.0550	455	469	0.970149	15264	0.991418
as_reported	0.0550	0.0600	404	417	0.968825	15681	0.990817
as_reported	0.0600	0.0650	388	407	0.953317	16088	0.989868
as_reported	0.0650	0.0700	377	387	0.974160	16475	0.989499
as_reported	0.0700	0.0750	363	378	0.960317	16853	0.988845
as_reported	0.0750	0.0800	400	429	0.932401	17282	0.987444
as_reported	0.0800	0.0850	378	394	0.959391	17676	0.986818
as_reported	0.0850	0.0900	411	425	0.967059	18101	0.986354
as_reported	0.0900	0.0950	367	378	0.970899	18479	0.986038
as_reported	0.0950	0.1000	393	411	0.956204	18890	0.985389
as_reported	0.1000	0.1050	324	337	0.961424	19227	0.984969
as_reported	0.1050	0.1100	357	378	0.944444	19605	0.984188
as_reported	0.1100	0.1150	339	346	0.979769	19951	0.984111
as_reported	0.1150	0.1200	282	300	0.940000	20251	0.983458
as_reported	0.1200	0.1250	332	350	0.948571	20601	0.982865
as_reported	0.1250	0.1300	316	344	0.918605	20945	0.981810
as_reported	0.1300	0.1350	278	293	0.948805	21238	0.981354
as_reported	0.1350	0.1400	281	297	0.946128	21535	0.980868
as_reported	0.1400	0.1450	324	350	0.925714	21885	0.979986
as_reported	0.1450	0.1500	267	286	0.933566	22171	0.979387
as_reported	0.1500	0.1550	289	302	0.956954	22473	0.979086
as_reported	0.1550	0.1600	271	297	0.912458	22770	0.978217
as_reported	0.1600	0.1650	230	248	0.927419	23018	0.977670
as_reported	0.1650	0.1700	215	232	0.926724	23250	0.977161
as_reported	0.1700	0.1750	261	284	0.919014	23534	0.976460
as_reported	0.1750	0.1800	243	266	0.913534	23800	0.975756
as_reported	0.1800	0.1850	222	259	0.857143	24059	0.974479
as_reported	0.1850	0.1900	207	231	0.896104	24290	0.973734
as_reported	0.1900	0.1950	238	273	0.871795	24563	0.972601
as_reported	0.1950	0.2000	200	245	0.816327	24808	0.971058
as_reported	0.2000	0.2050	174	211	0.824645	25019	0.969823
as_reported	0.2050	0.2100	226	280	0.807143	25299	0.968022
as_reported	0.2100	0.2150	162	200	0.810000	25499	0.966783
as_reported	0.2150	0.2200	135	164	0.823171	25663	0.965865
as_reported	0.2200	0.2250	149	199	0.748744	25862	0.964195
as_reported	0.2250	0.2300	155	211	0.734597	26073	0.962337
as_reported	0.2300	0.2350	145	193	0.751295	26266	0.960786
as_reported	0.2350	0.2400	121	169	0.715976	26435	0.959221
as_reported	0.2400	0.2450	99	138	0.717391	26573	0.957965
as_reported	0.2450	0.2500	94	132	0.712121	26705	0.956750
as_reported	0.2500	0.2550	113	185	0.610811	26890	0.954370
as_reported	0.2550	0.2600	64	114	0.561404	27004	0.952711
as_reported	0.2600	0.2650	76	134	0.567164	27138	0.950807
as_reported	0.2650	0.2700	82	136	0.602941	27274	0.949072
as_reported	0.2700	0.2750	71	124	0.572581	27398	0.947368
as_reported	0.2750	0.2800	65	117	0.555556	27515	0.945702
