scenario	dist_lo	dist_hi	same_genus	total	p_same_genus	cum_total	cum_p
as_reported	0.0000	0.0050	8514	8514	1.000000	8514	1.000000
as_reported	0.0050	0.0100	243	243	1.000000	8757	1.000000
as_reported	0.0100	0.0150	109	109	1.000000	8866	1.000000
as_reported	0.0150	0.0200	127	127	1.000000	8993	1.000000
as_reported	0.0200	0.0250	127	128	0.992188	9121	0.999890
as_reported	0.0250	0.0300	163	163	1.000000	9284	0.999892
as_reported	0.0300	0.0350	181	183	0.989071	9467	0.999683
as_reported	0.0350	0.0400	195	199	0.979899	9666	0.999276
as_reported	0.0400	0.0450	235	239	0.983264	9905	0.998889
as_reported	0.0450	0.0500	260	266	0.977444	10171	0.998329
as_reported	0.0500	0.0550	327	333	0.981982	10504	0.997810
as_reported	0.0550	0.0600	282	289	0.975779	10793	0.997220
as_reported	0.0600	0.0650	263	272	0.966912	11065	0.996475
as_reported	0.0650	0.0700	276	284	0.971831	11349	0.995859
as_reported	0.0700	0.0750	253	264	0.958333	11613	0.995006
as_reported	0.0750	0.0800	280	298	0.939597	11911	0.993619
as_reported	0.0800	0.0850	288	297	0.969697	12208	0.993037
as_reported	0.0850	0.0900	306	317	0.965300	12525	0.992335
as_reported	0.0900	0.0950	274	279	0.982079	12804	0.992112
as_reported	0.0950	0.1000	261	272	0.959559	13076	0.991435
as_reported	0.1000	0.1050	241	256	0.941406	13332	0.990474
as_reported	0.1050	0.1100	249	264	0.943182	13596	0.989556
as_reported	0.1100	0.1150	236	242	0.975207	13838	0.989305
as_reported	0.1150	0.1200	219	229	0.956332	14067	0.988768
as_reported	0.1200	0.1250	257	267	0.962547	14334	0.988280
as_reported	0.1250	0.1300	218	232	0.939655	14566	0.987505
as_reported	0.1300	0.1350	207	219	0.945205	14785	0.986879
as_reported	0.1350	0.1400	205	215	0.953488	15000	0.986400
as_reported	0.1400	0.1450	231	244	0.946721	15244	0.985765
as_reported	0.1450	0.1500	189	197	0.959391	15441	0.985428
as_reported	0.1500	0.1550	203	214	0.948598	15655	0.984925
as_reported	0.1550	0.1600	190	203	0.935961	15858	0.984298
as_reported	0.1600	0.1650	173	187	0.925134	16045	0.983609
as_reported	0.1650	0.1700	166	177	0.937853	16222	0.983109
as_reported	0.1700	0.1750	200	216	0.925926	16438	0.982358
as_reported	0.1750	0.1800	189	202	0.935644	16640	0.981791
as_reported	0.1800	0.1850	158	186	0.849462	16826	0.980328
as_reported	0.1850	0.1900	136	160	0.850000	16986	0.979100
as_reported	0.1900	0.1950	154	170	0.905882	17156	0.978375
as_reported	0.1950	0.2000	155	190	0.815789	17346	0.976594
as_reported	0.2000	0.2050	131	155	0.845161	17501	0.975430
as_reported	0.2050	0.2100	181	225	0.804444	17726	0.973260
as_reported	0.2100	0.2150	136	168	0.809524	17894	0.971722
