scenario	dist_lo	dist_hi	same_genus	total	p_same_genus	cum_total	cum_p
as_reported	0.0000	0.0050	10861	10864	0.999724	10864	0.999724
as_reported	0.0050	0.0100	403	403	1.000000	11267	0.999734
as_reported	0.0100	0.0150	380	381	0.997375	11648	0.999657
as_reported	0.0150	0.0200	355	355	1.000000	12003	0.999667
as_reported	0.0200	0.0250	349	352	0.991477	12355	0.999433
as_reported	0.0250	0.0300	336	337	0.997033	12692	0.999370
as_reported	0.0300	0.0350	298	298	1.000000	12990	0.999384
as_reported	0.0350	0.0400	353	353	1.000000	13343	0.999400
as_reported	0.0400	0.0450	380	380	1.000000	13723	0.999417
as_reported	0.0450	0.0500	408	408	1.000000	14131	0.999434
as_reported	0.0500	0.0550	479	479	1.000000	14610	0.999452
as_reported	0.0550	0.0600	417	417	1.000000	15027	0.999468
as_reported	0.0600	0.0650	416	416	1.000000	15443	0.999482
as_reported	0.0650	0.0700	389	389	1.000000	15832	0.999495
as_reported	0.0700	0.0750	388	388	1.000000	16220	0.999507
as_reported	0.0750	0.0800	428	428	1.000000	16648	0.999519
as_reported	0.0800	0.0850	396	398	0.994975	17046	0.999413
as_reported	0.0850	0.0900	442	442	1.000000	17488	0.999428
as_reported	0.0900	0.0950	378	378	1.000000	17866	0.999440
as_reported	0.0950	0.1000	431	431	1.000000	18297	0.999453
as_reported	0.1000	0.1050	351	353	0.994334	18650	0.999357
as_reported	0.1050	0.1100	388	389	0.997429	19039	0.999317
as_reported	0.1100	0.1150	354	354	1.000000	19393	0.999330
as_reported	0.1150	0.1200	312	312	1.000000	19705	0.999340
as_reported	0.1200	0.1250	361	362	0.997238	20067	0.999302
as_reported	0.1250	0.1300	343	348	0.985632	20415	0.999069
as_reported	0.1300	0.1350	302	304	0.993421	20719	0.998986
as_reported	0.1350	0.1400	313	314	0.996815	21033	0.998954
as_reported	0.1400	0.1450	357	358	0.997207	21391	0.998925
as_reported	0.1450	0.1500	290	291	0.996564	21682	0.998893
as_reported	0.1500	0.1550	330	332	0.993976	22014	0.998819
as_reported	0.1550	0.1600	294	298	0.986577	22312	0.998655
as_reported	0.1600	0.1650	259	265	0.977358	22577	0.998405
as_reported	0.1650	0.1700	250	255	0.980392	22832	0.998204
as_reported	0.1700	0.1750	286	288	0.993056	23120	0.998140
as_reported	0.1750	0.1800	263	268	0.981343	23388	0.997948
as_reported	0.1800	0.1850	252	259	0.972973	23647	0.997674
as_reported	0.1850	0.1900	236	241	0.979253	23888	0.997488
as_reported	0.1900	0.1950	261	279	0.935484	24167	0.996772
as_reported	0.1950	0.2000	215	246	0.873984	24413	0.995535
as_reported	0.2000	0.2050	191	212	0.900943	24625	0.994721
as_reported	0.2050	0.2100	252	281	0.896797	24906	0.993616
as_reported	0.2100	0.2150	186	206	0.902913	25112	0.992872
as_reported	0.2150	0.2200	139	165	0.842424	25277	0.991890
as_reported	0.2200	0.2250	181	212	0.853774	25489	0.990741
as_reported	0.2250	0.2300	182	222	0.819820	25711	0.989265
as_reported	0.2300	0.2350	162	197	0.822335	25908	0.987996
as_reported	0.2350	0.2400	134	174	0.770115	26082	0.986542
as_reported	0.2400	0.2450	106	141	0.751773	26223	0.985280
as_reported	0.2450	0.2500	92	132	0.696970	26355	0.983836
as_reported	0.2500	0.2550	141	195	0.723077	26550	0.981921
as_reported	0.2550	0.2600	70	118	0.593220	26668	0.980201
as_reported	0.2600	0.2650	81	149	0.543624	26817	0.977775
as_reported	0.2650	0.2700	72	132	0.545455	26949	0.975658
as_reported	0.2700	0.2750	64	125	0.512000	27074	0.973517
as_reported	0.2750	0.2800	71	120	0.591667	27194	0.971832
as_reported	0.2800	0.2850	66	124	0.532258	27318	0.969837
as_reported	0.2850	0.2900	47	95	0.494737	27413	0.968190
as_reported	0.2900	0.2950	47	101	0.465347	27514	0.966344
as_reported	0.2950	0.3000	33	76	0.434211	27590	0.964879
as_reported	0.3000	0.3050	38	101	0.376238	27691	0.962732
as_reported	0.3050	0.3100	13	58	0.224138	27749	0.961188
as_reported	0.3100	0.3150	10	59	0.169492	27808	0.959508
as_reported	0.3150	0.3200	18	61	0.295082	27869	0.958054
as_reported	0.3200	0.3250	14	60	0.233333	27929	0.956497
as_reported	0.3250	0.3300	8	59	0.135593	27988	0.954766
as_reported	0.3300	0.3350	11	65	0.169231	28053	0.952946
as_reported	0.3350	0.3400	6	44	0.136364	28097	0.951667
as_reported	0.3400	0.3450	3	39	0.076923	28136	0.950455
as_reported	0.3450	0.3500	2	30	0.066667	28166	0.949514
as_reported	0.3500	0.3550	6	53	0.113208	28219	0.947943
as_reported	0.3550	0.3600	7	54	0.129630	28273	0.946380
as_reported	0.3600	0.3650	0	28	0.000000	28301	0.945444
as_reported	0.3650	0.3700	2	48	0.041667	28349	0.943913
as_reported	0.3700	0.3750	0	16	0.000000	28365	0.943381
as_reported	0.3750	0.3800	4	25	0.160000	28390	0.942691
as_reported	0.3800	0.3850	0	61	0.000000	28451	0.940670
as_reported	0.3850	0.3900	1	21	0.047619	28472	0.940011
as_reported	0.3900	0.3950	0	14	0.000000	28486	0.939549
as_reported	0.3950	0.4000	2	20	0.100000	28506	0.938960
as_reported	0.4000	0.4050	0	15	0.000000	28521	0.938466
as_reported	0.4050	0.4100	4	23	0.173913	28544	0.937850
as_reported	0.4100	0.4150	0	16	0.000000	28560	0.937325
as_reported	0.4150	0.4200	0	15	0.000000	28575	0.936833
as_reported	0.4200	0.4250	0	12	0.000000	28587	0.936440
as_reported	0.4250	0.4300	0	14	0.000000	28601	0.935981
as_reported	0.4300	0.4350	0	17	0.000000	28618	0.935425
as_reported	0.4350	0.4400	0	16	0.000000	28634	0.934903
as_reported	0.4400	0.4450	0	11	0.000000	28645	0.934544
as_reported	0.4450	0.4500	0	8	0.000000	28653	0.934283
as_reported	0.4550	0.4600	0	11	0.000000	28664	0.933924
as_reported	0.4600	0.4650	0	3	0.000000	28667	0.933826
as_reported	0.4650	0.4700	0	6	0.000000	28673	0.933631
as_reported	0.4750	0.4800	0	6	0.000000	28679	0.933436
as_reported	0.4850	0.4900	0	6	0.000000	28685	0.933240
as_reported	0.4900	0.4950	0	4	0.000000	28689	0.933110
no_self_strain	0.0000	0.0050	9841	9844	0.999695	9844	0.999695
no_self_strain	0.0050	0.0100	368	368	1.000000	10212	0.999706
no_self_strain	0.0100	0.0150	370	371	0.997305	10583	0.999622
no_self_strain	0.0150	0.0200	353	353	1.000000	10936	0.999634
no_self_strain	0.0200	0.0250	357	360	0.991667	11296	0.999380
no_self_strain	0.0250	0.0300	369	370	0.997297	11666	0.999314
no_self_strain	0.0300	0.0350	349	349	1.000000	12015	0.999334
no_self_strain	0.0350	0.0400	395	395	1.000000	12410	0.999355
no_self_strain	0.0400	0.0450	395	395	1.000000	12805	0.999375
no_self_strain	0.0450	0.0500	432	432	1.000000	13237	0.999396
no_self_strain	0.0500	0.0550	530	530	1.000000	13767	0.999419
no_self_strain	0.0550	0.0600	458	458	1.000000	14225	0.999438
no_self_strain	0.0600	0.0650	462	462	1.000000	14687	0.999455
no_self_strain	0.0650	0.0700	408	408	1.000000	15095	0.999470
no_self_strain	0.0700	0.0750	412	412	1.000000	15507	0.999484
no_self_strain	0.0750	0.0800	445	445	1.000000	15952	0.999498
no_self_strain	0.0800	0.0850	414	416	0.995192	16368	0.999389
no_self_strain	0.0850	0.0900	470	470	1.000000	16838	0.999406
no_self_strain	0.0900	0.0950	392	392	1.000000	17230	0.999420
no_self_strain	0.0950	0.1000	447	447	1.000000	17677	0.999434
no_self_strain	0.1000	0.1050	368	370	0.994595	18047	0.999335
no_self_strain	0.1050	0.1100	407	408	0.997549	18455	0.999296
no_self_strain	0.1100	0.1150	371	371	1.000000	18826	0.999309
no_self_strain	0.1150	0.1200	342	342	1.000000	19168	0.999322
no_self_strain	0.1200	0.1250	382	383	0.997389	19551	0.999284
no_self_strain	0.1250	0.1300	366	371	0.986523	19922	0.999046
no_self_strain	0.1300	0.1350	314	316	0.993671	20238	0.998962
no_self_strain	0.1350	0.1400	333	334	0.997006	20572	0.998931
