scenario	dist_lo	dist_hi	same_genus	total	p_same_genus	cum_total	cum_p
as_reported	0.0000	0.0050	13039	13051	0.999081	13051	0.999081
as_reported	0.0050	0.0100	316	329	0.960486	13380	0.998132
as_reported	0.0100	0.0150	295	317	0.930599	13697	0.996569
as_reported	0.0150	0.0200	256	265	0.966038	13962	0.995989
as_reported	0.0200	0.0250	221	241	0.917012	14203	0.994649
as_reported	0.0250	0.0300	207	217	0.953917	14420	0.994036
as_reported	0.0300	0.0350	261	268	0.973881	14688	0.993668
as_reported	0.0350	0.0400	288	301	0.956811	14989	0.992928
as_reported	0.0400	0.0450	275	286	0.961538	15275	0.992340
as_reported	0.0450	0.0500	341	347	0.982709	15622	0.992126
as_reported	0.0500	0.0550	370	377	0.981432	15999	0.991874
as_reported	0.0550	0.0600	387	398	0.972362	16397	0.991401
as_reported	0.0600	0.0650	383	389	0.984576	16786	0.991243
as_reported	0.0650	0.0700	342	360	0.950000	17146	0.990377
as_reported	0.0700	0.0750	348	364	0.956044	17510	0.989663
as_reported	0.0750	0.0800	368	383	0.960836	17893	0.989046
as_reported	0.0800	0.0850	403	432	0.932870	18325	0.987722
as_reported	0.0850	0.0900	346	362	0.955801	18687	0.987103
as_reported	0.0900	0.0950	362	373	0.970509	19060	0.986779
as_reported	0.0950	0.1000	330	346	0.953757	19406	0.986190
as_reported	0.1000	0.1050	364	385	0.945455	19791	0.985397
as_reported	0.1050	0.1100	348	355	0.980282	20146	0.985307
as_reported	0.1100	0.1150	402	430	0.934884	20576	0.984253
as_reported	0.1150	0.1200	368	387	0.950904	20963	0.983638
as_reported	0.1200	0.1250	320	336	0.952381	21299	0.983145
as_reported	0.1250	0.1300	372	390	0.953846	21689	0.982618
as_reported	0.1300	0.1350	356	389	0.915167	22078	0.981429
as_reported	0.1350	0.1400	362	396	0.914141	22474	0.980244
as_reported	0.1400	0.1450	329	369	0.891599	22843	0.978812
as_reported	0.1450	0.1500	307	343	0.895044	23186	0.977573
as_reported	0.1500	0.1550	348	392	0.887755	23578	0.976079
as_reported	0.1550	0.1600	334	377	0.885942	23955	0.974661
as_reported	0.1600	0.1650	320	380	0.842105	24335	0.972591
as_reported	0.1650	0.1700	328	390	0.841026	24725	0.970516
as_reported	0.1700	0.1750	310	380	0.815789	25105	0.968174
as_reported	0.1750	0.1800	289	360	0.802778	25465	0.965835
as_reported	0.1800	0.1850	278	357	0.778711	25822	0.963248
as_reported	0.1850	0.1900	256	346	0.739884	26168	0.960295
as_reported	0.1900	0.1950	196	295	0.664407	26463	0.956997
as_reported	0.1950	0.2000	217	291	0.745704	26754	0.954698
as_reported	0.2000	0.2050	217	311	0.697749	27065	0.951746
as_reported	0.2050	0.2100	175	280	0.625000	27345	0.948400
as_reported	0.2100	0.2150	165	251	0.657371	27596	0.945753
as_reported	0.2150	0.2200	149	246	0.605691	27842	0.942748
as_reported	0.2200	0.2250	153	229	0.668122	28071	0.940508
as_reported	0.2250	0.2300	130	205	0.634146	28276	0.938287
as_reported	0.2300	0.2350	124	204	0.607843	28480	0.935920
as_reported	0.2350	0.2400	102	160	0.637500	28640	0.934253
as_reported	0.2400	0.2450	91	180	0.505556	28820	0.931575
as_reported	0.2450	0.2500	96	168	0.571429	28988	0.929488
as_reported	0.2500	0.2550	68	130	0.523077	29118	0.927674
as_reported	0.2550	0.2600	62	137	0.452555	29255	0.925449
as_reported	0.2600	0.2650	50	118	0.423729	29373	0.923433
as_reported	0.2650	0.2700	39	98	0.397959	29471	0.921686
as_reported	0.2700	0.2750	29	86	0.337209	29557	0.919985
as_reported	0.2750	0.2800	31	73	0.424658	29630	0.918765
as_reported	0.2800	0.2850	19	85	0.223529	29715	0.916776
as_reported	0.2850	0.2900	22	73	0.301370	29788	0.915268
as_reported	0.2900	0.2950	14	74	0.189189	29862	0.913469
as_reported	0.2950	0.3000	7	54	0.129630	29916	0.912054
as_reported	0.3000	0.3050	5	60	0.083333	29976	0.910395
as_reported	0.3050	0.3100	4	33	0.121212	30009	0.909527
as_reported	0.3100	0.3150	5	38	0.131579	30047	0.908543
as_reported	0.3150	0.3200	5	24	0.208333	30071	0.907984
as_reported	0.3200	0.3250	0	21	0.000000	30092	0.907351
as_reported	0.3250	0.3300	0	24	0.000000	30116	0.906628
as_reported	0.3300	0.3350	0	10	0.000000	30126	0.906327
as_reported	0.3350	0.3400	1	27	0.037037	30153	0.905548
as_reported	0.3400	0.3450	0	9	0.000000	30162	0.905278
as_reported	0.3450	0.3500	0	11	0.000000	30173	0.904948
as_reported	0.3500	0.3550	0	11	0.000000	30184	0.904618
as_reported	0.3550	0.3600	0	3	0.000000	30187	0.904528
as_reported	0.3600	0.3650	0	2	0.000000	30189	0.904469
as_reported	0.3700	0.3750	0	4	0.000000	30193	0.904349
as_reported	0.3750	0.3800	0	6	0.000000	30199	0.904169
as_reported	0.3800	0.3850	0	4	0.000000	30203	0.904049
as_reported	0.3900	0.3950	0	3	0.000000	30206	0.903959
as_reported	0.3950	0.4000	0	1	0.000000	30207	0.903930
no_self_strain	0.0000	0.0050	11819	11831	0.998986	11831	0.998986
no_self_strain	0.0050	0.0100	342	355	0.963380	12186	0.997948
no_self_strain	0.0100	0.0150	326	352	0.926136	12538	0.995932
no_self_strain	0.0150	0.0200	305	316	0.965190	12854	0.995177
no_self_strain	0.0200	0.0250	267	287	0.930314	13141	0.993760
no_self_strain	0.0250	0.0300	235	245	0.959184	13386	0.993127
no_self_strain	0.0300	0.0350	308	315	0.977778	13701	0.992774
no_self_strain	0.0350	0.0400	315	328	0.960366	14029	0.992017
no_self_strain	0.0400	0.0450	308	319	0.965517	14348	0.991427
no_self_strain	0.0450	0.0500	374	380	0.984211	14728	0.991241
no_self_strain	0.0500	0.0550	409	416	0.983173	15144	0.991020
no_self_strain	0.0550	0.0600	417	428	0.974299	15572	0.990560
no_self_strain	0.0600	0.0650	414	420	0.985714	15992	0.990433
