scenario	dist_lo	dist_hi	same_genus	total	p_same_genus	cum_total	cum_p
as_reported	0.0000	0.0050	372	372	1.000000	372	1.000000
as_reported	0.0050	0.0100	16	16	1.000000	388	1.000000
as_reported	0.0100	0.0150	16	16	1.000000	404	1.000000
as_reported	0.0150	0.0200	5	5	1.000000	409	1.000000
as_reported	0.0200	0.0250	7	7	1.000000	416	1.000000
as_reported	0.0250	0.0300	9	9	1.000000	425	1.000000
as_reported	0.0300	0.0350	2	2	1.000000	427	1.000000
as_reported	0.0350	0.0400	5	5	1.000000	432	1.000000
as_reported	0.0400	0.0450	11	11	1.000000	443	1.000000
as_reported	0.0450	0.0500	11	11	1.000000	454	1.000000
as_reported	0.0500	0.0550	10	10	1.000000	464	1.000000
as_reported	0.0550	0.0600	12	12	1.000000	476	1.000000
as_reported	0.0600	0.0650	16	16	1.000000	492	1.000000
as_reported	0.0650	0.0700	8	8	1.000000	500	1.000000
as_reported	0.0700	0.0750	23	23	1.000000	523	1.000000
as_reported	0.0750	0.0800	11	11	1.000000	534	1.000000
as_reported	0.0800	0.0850	25	25	1.000000	559	1.000000
as_reported	0.0850	0.0900	16	16	1.000000	575	1.000000
as_reported	0.0900	0.0950	26	26	1.000000	601	1.000000
as_reported	0.0950	0.1000	16	17	0.941176	618	0.998382
as_reported	0.1000	0.1050	15	15	1.000000	633	0.998420
as_reported	0.1050	0.1100	14	14	1.000000	647	0.998454
as_reported	0.1100	0.1150	23	27	0.851852	674	0.992582
as_reported	0.1150	0.1200	15	15	1.000000	689	0.992743
as_reported	0.1200	0.1250	25	25	1.000000	714	0.992997
as_reported	0.1250	0.1300	14	14	1.000000	728	0.993132
as_reported	0.1300	0.1350	20	22	0.909091	750	0.990667
as_reported	0.1350	0.1400	13	13	1.000000	763	0.990826
as_reported	0.1400	0.1450	13	13	1.000000	776	0.990979
as_reported	0.1450	0.1500	21	24	0.875000	800	0.987500
as_reported	0.1500	0.1550	13	14	0.928571	814	0.986486
as_reported	0.1550	0.1600	6	7	0.857143	821	0.985384
as_reported	0.1600	0.1650	9	9	1.000000	830	0.985542
as_reported	0.1650	0.1700	16	22	0.727273	852	0.978873
as_reported	0.1700	0.1750	9	9	1.000000	861	0.979094
as_reported	0.1750	0.1800	9	13	0.692308	874	0.974828
as_reported	0.1800	0.1850	5	8	0.625000	882	0.971655
as_reported	0.1850	0.1900	11	11	1.000000	893	0.972004
as_reported	0.1900	0.1950	2	2	1.000000	895	0.972067
as_reported	0.1950	0.2000	5	8	0.625000	903	0.968992
as_reported	0.2000	0.2050	2	2	1.000000	905	0.969061
as_reported	0.2050	0.2100	1	3	0.333333	908	0.966960
as_reported	0.2100	0.2150	2	4	0.500000	912	0.964912
as_reported	0.2150	0.2200	5	7	0.714286	919	0.963003
as_reported	0.2200	0.2250	5	7	0.714286	926	0.961123
as_reported	0.2250	0.2300	4	5	0.800000	931	0.960258
as_reported	0.2300	0.2350	1	3	0.333333	934	0.958244
as_reported	0.2350	0.2400	2	6	0.333333	940	0.954255
as_reported	0.2400	0.2450	5	7	0.714286	947	0.952482
as_reported	0.2450	0.2500	6	8	0.750000	955	0.950785
as_reported	0.2500	0.2550	3	9	0.333333	964	0.945021
as_reported	0.2550	0.2600	7	10	0.700000	974	0.942505
as_reported	0.2600	0.2650	2	3	0.666667	977	0.941658
as_reported	0.2650	0.2700	4	4	1.000000	981	0.941896
as_reported	0.2700	0.2750	0	1	0.000000	982	0.940937
as_reported	0.2750	0.2800	0	3	0.000000	985	0.938071
as_reported	0.2800	0.2850	1	3	0.333333	988	0.936235
as_reported	0.2850	0.2900	4	8	0.500000	996	0.932731
as_reported	0.2900	0.2950	1	2	0.500000	998	0.931864
as_reported	0.2950	0.3000	0	2	0.000000	1000	0.930000
as_reported	0.3000	0.3050	0	2	0.000000	1002	0.928144
as_reported	0.3100	0.3150	0	2	0.000000	1004	0.926295
as_reported	0.3200	0.3250	0	2	0.000000	1006	0.924453
as_reported	0.3250	0.3300	0	4	0.000000	1010	0.920792
as_reported	0.3350	0.3400	0	2	0.000000	1012	0.918972
as_reported	0.3500	0.3550	0	2	0.000000	1014	0.917160
no_self_strain	0.0000	0.0050	313	313	1.000000	313	1.000000
no_self_strain	0.0050	0.0100	14	14	1.000000	327	1.000000
no_self_strain	0.0100	0.0150	16	16	1.000000	343	1.000000
no_self_strain	0.0150	0.0200	11	11	1.000000	354	1.000000
no_self_strain	0.0200	0.0250	7	7	1.000000	361	1.000000
no_self_strain	0.0250	0.0300	9	9	1.000000	370	1.000000
no_self_strain	0.0300	0.0350	2	2	1.000000	372	1.000000
no_self_strain	0.0350	0.0400	7	7	1.000000	379	1.000000
no_self_strain	0.0400	0.0450	15	15	1.000000	394	1.000000
no_self_strain	0.0450	0.0500	11	11	1.000000	405	1.000000
