scenario	dist_lo	dist_hi	same_genus	total	p_same_genus	cum_total	cum_p
as_reported	0.0000	0.0050	223	223	1.000000	223	1.000000
as_reported	0.0050	0.0100	4	4	1.000000	227	1.000000
as_reported	0.0100	0.0150	9	9	1.000000	236	1.000000
as_reported	0.0150	0.0200	2	2	1.000000	238	1.000000
as_reported	0.0200	0.0250	3	3	1.000000	241	1.000000
as_reported	0.0250	0.0300	6	6	1.000000	247	1.000000
as_reported	0.0300	0.0350	2	2	1.000000	249	1.000000
as_reported	0.0350	0.0400	2	2	1.000000	251	1.000000
as_reported	0.0400	0.0450	10	10	1.000000	261	1.000000
as_reported	0.0450	0.0500	5	5	1.000000	266	1.000000
as_reported	0.0500	0.0550	8	8	1.000000	274	1.000000
as_reported	0.0550	0.0600	6	6	1.000000	280	1.000000
as_reported	0.0600	0.0650	11	11	1.000000	291	1.000000
as_reported	0.0650	0.0700	2	2	1.000000	293	1.000000
as_reported	0.0700	0.0750	23	23	1.000000	316	1.000000
as_reported	0.0750	0.0800	11	11	1.000000	327	1.000000
as_reported	0.0800	0.0850	17	17	1.000000	344	1.000000
as_reported	0.0850	0.0900	10	10	1.000000	354	1.000000
as_reported	0.0900	0.0950	18	18	1.000000	372	1.000000
as_reported	0.0950	0.1000	10	10	1.000000	382	1.000000
as_reported	0.1000	0.1050	11	11	1.000000	393	1.000000
as_reported	0.1050	0.1100	11	11	1.000000	404	1.000000
as_reported	0.1100	0.1150	19	23	0.826087	427	0.990632
as_reported	0.1150	0.1200	8	8	1.000000	435	0.990805
as_reported	0.1200	0.1250	15	15	1.000000	450	0.991111
as_reported	0.1250	0.1300	10	10	1.000000	460	0.991304
as_reported	0.1300	0.1350	16	18	0.888889	478	0.987448
as_reported	0.1350	0.1400	8	8	1.000000	486	0.987654
as_reported	0.1400	0.1450	8	9	0.888889	495	0.985859
as_reported	0.1450	0.1500	18	19	0.947368	514	0.984436
as_reported	0.1500	0.1550	7	7	1.000000	521	0.984645
as_reported	0.1550	0.1600	4	6	0.666667	527	0.981025
as_reported	0.1600	0.1650	8	8	1.000000	535	0.981308
as_reported	0.1650	0.1700	11	16	0.687500	551	0.972777
as_reported	0.1700	0.1750	11	12	0.916667	563	0.971581
as_reported	0.1750	0.1800	12	15	0.800000	578	0.967128
as_reported	0.1800	0.1850	2	3	0.666667	581	0.965577
as_reported	0.1850	0.1900	7	8	0.875000	589	0.964346
as_reported	0.1900	0.1950	1	2	0.500000	591	0.962775
as_reported	0.1950	0.2000	3	5	0.600000	596	0.959732
as_reported	0.2000	0.2050	4	4	1.000000	600	0.960000
as_reported	0.2050	0.2100	1	2	0.500000	602	0.958472
as_reported	0.2100	0.2150	2	5	0.400000	607	0.953871
as_reported	0.2150	0.2200	3	3	1.000000	610	0.954098
as_reported	0.2200	0.2250	3	5	0.600000	615	0.951220
as_reported	0.2250	0.2300	4	5	0.800000	620	0.950000
as_reported	0.2300	0.2350	1	3	0.333333	623	0.947030
as_reported	0.2350	0.2400	1	6	0.166667	629	0.939587
as_reported	0.2400	0.2450	4	5	0.800000	634	0.938486
as_reported	0.2450	0.2500	1	1	1.000000	635	0.938583
as_reported	0.2500	0.2550	2	4	0.500000	639	0.935837
as_reported	0.2550	0.2600	6	7	0.857143	646	0.934985
as_reported	0.2600	0.2650	2	3	0.666667	649	0.933744
as_reported	0.2650	0.2700	2	2	1.000000	651	0.933948
as_reported	0.2700	0.2750	0	2	0.000000	653	0.931087
as_reported	0.2750	0.2800	0	2	0.000000	655	0.928244
as_reported	0.2800	0.2850	1	2	0.500000	657	0.926941
as_reported	0.2850	0.2900	4	6	0.666667	663	0.924585
as_reported	0.2900	0.2950	1	3	0.333333	666	0.921922
as_reported	0.2950	0.3000	0	1	0.000000	667	0.920540
as_reported	0.3000	0.3050	0	1	0.000000	668	0.919162
as_reported	0.3050	0.3100	0	1	0.000000	669	0.917788
as_reported	0.3200	0.3250	0	1	0.000000	670	0.916418
as_reported	0.3250	0.3300	0	4	0.000000	674	0.910979
as_reported	0.3500	0.3550	0	1	0.000000	675	0.909630
no_self_strain	0.0000	0.0050	191	191	1.000000	191	1.000000
no_self_strain	0.0050	0.0100	4	4	1.000000	195	1.000000
no_self_strain	0.0100	0.0150	9	9	1.000000	204	1.000000
no_self_strain	0.0150	0.0200	4	4	1.000000	208	1.000000
no_self_strain	0.0200	0.0250	3	3	1.000000	211	1.000000
no_self_strain	0.0250	0.0300	6	6	1.000000	217	1.000000
no_self_strain	0.0300	0.0350	2	2	1.000000	219	1.000000
no_self_strain	0.0350	0.0400	2	2	1.000000	221	1.000000
no_self_strain	0.0400	0.0450	12	12	1.000000	233	1.000000
no_self_strain	0.0450	0.0500	5	5	1.000000	238	1.000000
no_self_strain	0.0500	0.0550	10	10	1.000000	248	1.000000
no_self_strain	0.0550	0.0600	6	6	1.000000	254	1.000000
no_self_strain	0.0600	0.0650	13	13	1.000000	267	1.000000
no_self_strain	0.0650	0.0700	2	2	1.000000	269	1.000000
no_self_strain	0.0700	0.0750	23	23	1.000000	292	1.000000
no_self_strain	0.0750	0.0800	11	11	1.000000	303	1.000000
no_self_strain	0.0800	0.0850	17	17	1.000000	320	1.000000
no_self_strain	0.0850	0.0900	10	10	1.000000	330	1.000000
no_self_strain	0.0900	0.0950	18	18	1.000000	348	1.000000
no_self_strain	0.0950	0.1000	10	10	1.000000	358	1.000000
no_self_strain	0.1000	0.1050	11	11	1.000000	369	1.000000
no_self_strain	0.1050	0.1100	11	11	1.000000	380	1.000000
no_self_strain	0.1100	0.1150	19	23	0.826087	403	0.990074
no_self_strain	0.1150	0.1200	8	8	1.000000	411	0.990268
no_self_strain	0.1200	0.1250	21	21	1.000000	432	0.990741
no_self_strain	0.1250	0.1300	10	10	1.000000	442	0.990950
no_self_strain	0.1300	0.1350	16	18	0.888889	460	0.986957
no_self_strain	0.1350	0.1400	8	8	1.000000	468	0.987179
no_self_strain	0.1400	0.1450	8	9	0.888889	477	0.985325
no_self_strain	0.1450	0.1500	18	19	0.947368	496	0.983871
no_self_strain	0.1500	0.1550	7	7	1.000000	503	0.984095
no_self_strain	0.1550	0.1600	6	8	0.750000	511	0.980431
no_self_strain	0.1600	0.1650	8	8	1.000000	519	0.980732
no_self_strain	0.1650	0.1700	11	18	0.611111	537	0.968343
no_self_strain	0.1700	0.1750	13	14	0.928571	551	0.967332
no_self_strain	0.1750	0.1800	13	16	0.812500	567	0.962963
no_self_strain	0.1800	0.1850	2	3	0.666667	570	0.961404
no_self_strain	0.1850	0.1900	9	10	0.900000	580	0.960345
no_self_strain	0.1900	0.1950	1	2	0.500000	582	0.958763
no_self_strain	0.1950	0.2000	3	5	0.600000	587	0.955707
no_self_strain	0.2000	0.2050	5	5	1.000000	592	0.956081
no_self_strain	0.2050	0.2100	2	3	0.666667	595	0.954622
no_self_strain	0.2100	0.2150	2	5	0.400000	600	0.950000
no_self_strain	0.2150	0.2200	3	3	1.000000	603	0.950249
no_self_strain	0.2200	0.2250	3	5	0.600000	608	0.947368
no_self_strain	0.2250	0.2300	4	5	0.800000	613	0.946166
no_self_strain	0.2300	0.2350	1	3	0.333333	616	0.943182
no_self_strain	0.2350	0.2400	1	6	0.166667	622	0.935691
no_self_strain	0.2400	0.2450	4	5	0.800000	627	0.934609
no_self_strain	0.2450	0.2500	1	1	1.000000	628	0.934713
no_self_strain	0.2500	0.2550	2	4	0.500000	632	0.931962
no_self_strain	0.2550	0.2600	6	7	0.857143	639	0.931142
no_self_strain	0.2600	0.2650	2	3	0.666667	642	0.929907
no_self_strain	0.2650	0.2700	2	2	1.000000	644	0.930124
no_self_strain	0.2700	0.2750	0	2	0.000000	646	0.927245
no_self_strain	0.2750	0.2800	0	4	0.000000	650	0.921538
no_self_strain	0.2800	0.2850	1	2	0.500000	652	0.920245
no_self_strain	0.2850	0.2900	4	6	0.666667	658	0.917933
no_self_strain	0.2900	0.2950	1	3	0.333333	661	0.915280
no_self_strain	0.2950	0.3000	0	1	0.000000	662	0.913897
no_self_strain	0.3000	0.3050	0	3	0.000000	665	0.909774
no_self_strain	0.3050	0.3100	0	1	0.000000	666	0.908408
no_self_strain	0.3200	0.3250	0	1	0.000000	667	0.907046
no_self_strain	0.3250	0.3300	0	4	0.000000	671	0.901639
no_self_strain	0.3500	0.3550	0	1	0.000000	672	0.900298
novel_species	0.0000	0.0050	4	4	1.000000	4	1.000000
novel_species	0.0050	0.0100	3	3	1.000000	7	1.000000
novel_species	0.0100	0.0150	2	2	1.000000	9	1.000000
novel_species	0.0150	0.0200	2	2	1.000000	11	1.000000
novel_species	0.0200	0.0250	2	2	1.000000	13	1.000000
novel_species	0.0250	0.0300	6	6	1.000000	19	1.000000
novel_species	0.0300	0.0350	2	2	1.000000	21	1.000000
novel_species	0.0350	0.0400	7	7	1.000000	28	1.000000
novel_species	0.0400	0.0450	27	27	1.000000	55	1.000000
novel_species	0.0450	0.0500	6	6	1.000000	61	1.000000
novel_species	0.0500	0.0550	15	15	1.000000	76	1.000000
novel_species	0.0550	0.0600	13	13	1.000000	89	1.000000
novel_species	0.0600	0.0650	16	16	1.000000	105	1.000000
novel_species	0.0650	0.0700	6	6	1.000000	111	1.000000
novel_species	0.0700	0.0750	28	28	1.000000	139	1.000000
novel_species	0.0750	0.0800	13	13	1.000000	152	1.000000
novel_species	0.0800	0.0850	19	19	1.000000	171	1.000000
novel_species	0.0850	0.0900	27	27	1.000000	198	1.000000
novel_species	0.0900	0.0950	25	25	1.000000	223	1.000000
novel_species	0.0950	0.1000	16	16	1.000000	239	1.000000
novel_species	0.1000	0.1050	20	20	1.000000	259	1.000000
novel_species	0.1050	0.1100	20	20	1.000000	279	1.000000
novel_species	0.1100	0.1150	21	25	0.840000	304	0.986842
novel_species	0.1150	0.1200	8	8	1.000000	312	0.987179
novel_species	0.1200	0.1250	32	32	1.000000	344	0.988372
novel_species	0.1250	0.1300	11	11	1.000000	355	0.988732
novel_species	0.1300	0.1350	24	26	0.923077	381	0.984252
novel_species	0.1350	0.1400	10	10	1.000000	391	0.984655
novel_species	0.1400	0.1450	10	11	0.909091	402	0.982587
novel_species	0.1450	0.1500	20	21	0.952381	423	0.981087
novel_species	0.1500	0.1550	13	13	1.000000	436	0.981651
novel_species	0.1550	0.1600	6	8	0.750000	444	0.977477
novel_species	0.1600	0.1650	10	10	1.000000	454	0.977974
novel_species	0.1650	0.1700	16	23	0.695652	477	0.964361
novel_species	0.1700	0.1750	14	25	0.560000	502	0.944223
novel_species	0.1750	0.1800	15	20	0.750000	522	0.936782
novel_species	0.1800	0.1850	4	5	0.800000	527	0.935484
novel_species	0.1850	0.1900	11	14	0.785714	541	0.931608
novel_species	0.1900	0.1950	1	6	0.166667	547	0.923218
novel_species	0.1950	0.2000	7	9	0.777778	556	0.920863
novel_species	0.2000	0.2050	8	10	0.800000	566	0.918728
novel_species	0.2050	0.2100	3	4	0.750000	570	0.917544
novel_species	0.2100	0.2150	3	6	0.500000	576	0.913194
novel_species	0.2150	0.2200	5	5	1.000000	581	0.913941
novel_species	0.2200	0.2250	5	7	0.714286	588	0.911565
novel_species	0.2250	0.2300	4	5	0.800000	593	0.910624
novel_species	0.2300	0.2350	1	3	0.333333	596	0.907718
novel_species	0.2350	0.2400	1	6	0.166667	602	0.900332
novel_species	0.2400	0.2450	6	8	0.750000	610	0.898361
novel_species	0.2450	0.2500	3	3	1.000000	613	0.898858
novel_species	0.2500	0.2550	2	5	0.400000	618	0.894822
novel_species	0.2550	0.2600	6	7	0.857143	625	0.894400
novel_species	0.2600	0.2650	2	3	0.666667	628	0.893312
novel_species	0.2650	0.2700	2	2	1.000000	630	0.893651
novel_species	0.2700	0.2750	0	2	0.000000	632	0.890823
novel_species	0.2750	0.2800	0	4	0.000000	636	0.885220
novel_species	0.2800	0.2850	1	2	0.500000	638	0.884013
novel_species	0.2850	0.2900	8	10	0.800000	648	0.882716
novel_species	0.2900	0.2950	3	7	0.428571	655	0.877863
novel_species	0.2950	0.3000	0	1	0.000000	656	0.876524
novel_species	0.3000	0.3050	0	3	0.000000	659	0.872534
novel_species	0.3050	0.3100	0	1	0.000000	660	0.871212
novel_species	0.3200	0.3250	0	2	0.000000	662	0.868580
novel_species	0.3250	0.3300	0	4	0.000000	666	0.863363
novel_species	0.3500	0.3550	0	1	0.000000	667	0.862069
