scenario	dist_lo	dist_hi	same_genus	total	p_same_genus	cum_total	cum_p
as_reported	0.0000	0.0050	12672	12684	0.999054	12684	0.999054
as_reported	0.0050	0.0100	294	307	0.957655	12991	0.998076
as_reported	0.0100	0.0150	278	300	0.926667	13291	0.996464
as_reported	0.0150	0.0200	255	264	0.965909	13555	0.995869
as_reported	0.0200	0.0250	209	229	0.912664	13784	0.994486
as_reported	0.0250	0.0300	203	213	0.953052	13997	0.993856
as_reported	0.0300	0.0350	254	262	0.969466	14259	0.993408
as_reported	0.0350	0.0400	296	306	0.967320	14565	0.992860
as_reported	0.0400	0.0450	247	259	0.953668	14824	0.992175
as_reported	0.0450	0.0500	337	344	0.979651	15168	0.991891
as_reported	0.0500	0.0550	363	370	0.981081	15538	0.991633
as_reported	0.0550	0.0600	375	385	0.974026	15923	0.991208
as_reported	0.0600	0.0650	375	381	0.984252	16304	0.991045
as_reported	0.0650	0.0700	334	350	0.954286	16654	0.990273
as_reported	0.0700	0.0750	330	346	0.953757	17000	0.989529
as_reported	0.0750	0.0800	338	357	0.946779	17357	0.988650
as_reported	0.0800	0.0850	386	416	0.927885	17773	0.987228
as_reported	0.0850	0.0900	333	343	0.970845	18116	0.986918
as_reported	0.0900	0.0950	339	352	0.963068	18468	0.986463
as_reported	0.0950	0.1000	309	324	0.953704	18792	0.985898
as_reported	0.1000	0.1050	326	345	0.944928	19137	0.985160
as_reported	0.1050	0.1100	374	387	0.966408	19524	0.984788
as_reported	0.1100	0.1150	373	398	0.937186	19922	0.983837
as_reported	0.1150	0.1200	307	327	0.938838	20249	0.983110
as_reported	0.1200	0.1250	351	364	0.964286	20613	0.982778
as_reported	0.1250	0.1300	332	350	0.948571	20963	0.982207
as_reported	0.1300	0.1350	333	371	0.897574	21334	0.980735
as_reported	0.1350	0.1400	342	380	0.900000	21714	0.979322
as_reported	0.1400	0.1450	340	367	0.926431	22081	0.978443
as_reported	0.1450	0.1500	310	347	0.893372	22428	0.977127
as_reported	0.1500	0.1550	308	351	0.877493	22779	0.975592
as_reported	0.1550	0.1600	359	396	0.906566	23175	0.974412
as_reported	0.1600	0.1650	309	379	0.815303	23554	0.971852
