scenario	dist_lo	dist_hi	same_genus	total	p_same_genus	cum_total	cum_p
as_reported	0.0000	0.0050	8808	8808	1.000000	8808	1.000000
as_reported	0.0050	0.0100	123	123	1.000000	8931	1.000000
as_reported	0.0100	0.0150	127	128	0.992188	9059	0.999890
as_reported	0.0150	0.0200	126	126	1.000000	9185	0.999891
as_reported	0.0200	0.0250	130	130	1.000000	9315	0.999893
as_reported	0.0250	0.0300	123	123	1.000000	9438	0.999894
as_reported	0.0300	0.0350	161	164	0.981707	9602	0.999583
as_reported	0.0350	0.0400	219	222	0.986486	9824	0.999287
as_reported	0.0400	0.0450	168	173	0.971098	9997	0.998800
as_reported	0.0450	0.0500	239	243	0.983539	10240	0.998437
as_reported	0.0500	0.0550	246	251	0.980080	10491	0.997998
as_reported	0.0550	0.0600	257	264	0.973485	10755	0.997397
as_reported	0.0600	0.0650	273	277	0.985560	11032	0.997099
as_reported	0.0650	0.0700	233	243	0.958848	11275	0.996275
as_reported	0.0700	0.0750	244	258	0.945736	11533	0.995144
as_reported	0.0750	0.0800	251	263	0.954373	11796	0.994235
as_reported	0.0800	0.0850	256	276	0.927536	12072	0.992710
as_reported	0.0850	0.0900	222	228	0.973684	12300	0.992358
as_reported	0.0900	0.0950	244	250	0.976000	12550	0.992032
as_reported	0.0950	0.1000	231	239	0.966527	12789	0.991555
as_reported	0.1000	0.1050	234	250	0.936000	13039	0.990490
as_reported	0.1050	0.1100	255	263	0.969582	13302	0.990077
as_reported	0.1100	0.1150	280	297	0.942761	13599	0.989043
as_reported	0.1150	0.1200	255	265	0.962264	13864	0.988531
as_reported	0.1200	0.1250	263	273	0.963370	14137	0.988046
as_reported	0.1250	0.1300	238	245	0.971429	14382	0.987762
as_reported	0.1300	0.1350	244	262	0.931298	14644	0.986752
as_reported	0.1350	0.1400	274	295	0.928814	14939	0.985608
as_reported	0.1400	0.1450	261	279	0.935484	15218	0.984689
as_reported	0.1450	0.1500	242	267	0.906367	15485	0.983339
as_reported	0.1500	0.1550	201	224	0.897321	15709	0.982112
as_reported	0.1550	0.1600	273	303	0.900990	16012	0.980577
as_reported	0.1600	0.1650	218	258	0.844961	16270	0.978427
as_reported	0.1650	0.1700	213	256	0.832031	16526	0.976159
as_reported	0.1700	0.1750	228	278	0.820144	16804	0.973578
as_reported	0.1750	0.1800	197	261	0.754789	17065	0.970231
as_reported	0.1800	0.1850	180	240	0.750000	17305	0.967177
as_reported	0.1850	0.1900	186	246	0.756098	17551	0.964219
as_reported	0.1900	0.1950	168	252	0.666667	17803	0.960007
as_reported	0.1950	0.2000	139	206	0.674757	18009	0.956744
as_reported	0.2000	0.2050	153	226	0.676991	18235	0.953277
as_reported	0.2050	0.2100	102	175	0.582857	18410	0.949756
as_reported	0.2100	0.2150	120	199	0.603015	18609	0.946048
as_reported	0.2150	0.2200	129	203	0.635468	18812	0.942696
as_reported	0.2200	0.2250	100	170	0.588235	18982	0.939522
as_reported	0.2250	0.2300	88	137	0.642336	19119	0.937392
as_reported	0.2300	0.2350	87	153	0.568627	19272	0.934465
as_reported	0.2350	0.2400	82	154	0.532468	19426	0.931278
as_reported	0.2400	0.2450	70	133	0.526316	19559	0.928524
as_reported	0.2450	0.2500	72	132	0.545455	19691	0.925956
as_reported	0.2500	0.2550	61	123	0.495935	19814	0.923287
as_reported	0.2550	0.2600	36	81	0.444444	19895	0.921337
as_reported	0.2600	0.2650	43	97	0.443299	19992	0.919018
as_reported	0.2650	0.2700	22	74	0.297297	20066	0.916725
as_reported	0.2700	0.2750	30	94	0.319149	20160	0.913938
as_reported	0.2750	0.2800	21	85	0.247059	20245	0.911139
as_reported	0.2800	0.2850	3	37	0.081081	20282	0.909624
as_reported	0.2850	0.2900	8	50	0.160000	20332	0.907781
as_reported	0.2900	0.2950	13	41	0.317073	20373	0.906592
as_reported	0.2950	0.3000	5	38	0.131579	20411	0.905149
as_reported	0.3000	0.3050	5	43	0.116279	20454	0.903491
as_reported	0.3050	0.3100	5	43	0.116279	20497	0.901839
as_reported	0.3100	0.3150	5	50	0.100000	20547	0.899888
as_reported	0.3200	0.3250	0	39	0.000000	20586	0.898183
as_reported	0.3250	0.3300	0	28	0.000000	20614	0.896963
as_reported	0.3350	0.3400	0	8	0.000000	20622	0.896615
as_reported	0.3500	0.3550	0	3	0.000000	20625	0.896485
no_self_strain	0.0000	0.0050	8049	8049	1.000000	8049	1.000000
no_self_strain	0.0050	0.0100	139	139	1.000000	8188	1.000000
no_self_strain	0.0100	0.0150	148	151	0.980132	8339	0.999640
no_self_strain	0.0150	0.0200	154	154	1.000000	8493	0.999647
no_self_strain	0.0200	0.0250	164	164	1.000000	8657	0.999653
no_self_strain	0.0250	0.0300	143	143	1.000000	8800	0.999659
no_self_strain	0.0300	0.0350	185	188	0.984043	8988	0.999332
no_self_strain	0.0350	0.0400	237	240	0.987500	9228	0.999025
no_self_strain	0.0400	0.0450	186	191	0.973822	9419	0.998514
no_self_strain	0.0450	0.0500	265	269	0.985130	9688	0.998142
no_self_strain	0.0500	0.0550	269	274	0.981752	9962	0.997691
no_self_strain	0.0550	0.0600	279	286	0.975524	10248	0.997073
no_self_strain	0.0600	0.0650	294	298	0.986577	10546	0.996776
no_self_strain	0.0650	0.0700	250	260	0.961538	10806	0.995928
no_self_strain	0.0700	0.0750	262	276	0.949275	11082	0.994766
no_self_strain	0.0750	0.0800	263	275	0.956364	11357	0.993836
no_self_strain	0.0800	0.0850	265	285	0.929825	11642	0.992269
no_self_strain	0.0850	0.0900	234	240	0.975000	11882	0.991921
no_self_strain	0.0900	0.0950	249	255	0.976471	12137	0.991596
no_self_strain	0.0950	0.1000	241	251	0.960159	12388	0.990959
no_self_strain	0.1000	0.1050	253	269	0.940520	12657	0.989887
no_self_strain	0.1050	0.1100	275	283	0.971731	12940	0.989490
no_self_strain	0.1100	0.1150	284	301	0.943522	13241	0.988445
no_self_strain	0.1150	0.1200	260	270	0.962963	13511	0.987936
no_self_strain	0.1200	0.1250	272	282	0.964539	13793	0.987457
no_self_strain	0.1250	0.1300	241	248	0.971774	14041	0.987180
no_self_strain	0.1300	0.1350	260	280	0.928571	14321	0.986034
no_self_strain	0.1350	0.1400	281	302	0.930464	14623	0.984887
no_self_strain	0.1400	0.1450	271	291	0.931271	14914	0.983841
no_self_strain	0.1450	0.1500	257	285	0.901754	15199	0.982301
no_self_strain	0.1500	0.1550	213	237	0.898734	15436	0.981018
no_self_strain	0.1550	0.1600	283	313	0.904153	15749	0.979491
no_self_strain	0.1600	0.1650	235	276	0.851449	16025	0.977285
no_self_strain	0.1650	0.1700	225	269	0.836431	16294	0.974960
no_self_strain	0.1700	0.1750	249	299	0.832776	16593	0.972398
no_self_strain	0.1750	0.1800	206	274	0.751825	16867	0.968815
no_self_strain	0.1800	0.1850	191	251	0.760956	17118	0.965767
no_self_strain	0.1850	0.1900	199	261	0.762452	17379	0.962714
no_self_strain	0.1900	0.1950	180	269	0.669145	17648	0.958239
no_self_strain	0.1950	0.2000	149	219	0.680365	17867	0.954833
no_self_strain	0.2000	0.2050	159	240	0.662500	18107	0.950958
no_self_strain	0.2050	0.2100	107	182	0.587912	18289	0.947345
no_self_strain	0.2100	0.2150	128	207	0.618357	18496	0.943663
no_self_strain	0.2150	0.2200	139	217	0.640553	18713	0.940149
no_self_strain	0.2200	0.2250	108	182	0.593407	18895	0.936809
no_self_strain	0.2250	0.2300	97	148	0.655405	19043	0.934622
no_self_strain	0.2300	0.2350	89	157	0.566879	19200	0.931615
no_self_strain	0.2350	0.2400	87	160	0.543750	19360	0.928409
no_self_strain	0.2400	0.2450	74	142	0.521127	19502	0.925444
no_self_strain	0.2450	0.2500	77	139	0.553957	19641	0.922815
no_self_strain	0.2500	0.2550	68	131	0.519084	19772	0.920140
no_self_strain	0.2550	0.2600	40	90	0.444444	19862	0.917984
no_self_strain	0.2600	0.2650	46	100	0.460000	19962	0.915690
no_self_strain	0.2650	0.2700	22	76	0.289474	20038	0.913315
no_self_strain	0.2700	0.2750	30	99	0.303030	20137	0.910314
no_self_strain	0.2750	0.2800	25	89	0.280899	20226	0.907545
no_self_strain	0.2800	0.2850	3	37	0.081081	20263	0.906036
no_self_strain	0.2850	0.2900	9	54	0.166667	20317	0.904070
no_self_strain	0.2900	0.2950	13	42	0.309524	20359	0.902844
no_self_strain	0.2950	0.3000	6	39	0.153846	20398	0.901412
no_self_strain	0.3000	0.3050	5	43	0.116279	20441	0.899760
no_self_strain	0.3050	0.3100	5	43	0.116279	20484	0.898116
no_self_strain	0.3100	0.3150	5	52	0.096154	20536	0.896085
no_self_strain	0.3200	0.3250	0	39	0.000000	20575	0.894386
no_self_strain	0.3250	0.3300	0	28	0.000000	20603	0.893171
no_self_strain	0.3350	0.3400	0	9	0.000000	20612	0.892781
no_self_strain	0.3500	0.3550	0	5	0.000000	20617	0.892564
novel_species	0.0000	0.0050	39	39	1.000000	39	1.000000
novel_species	0.0050	0.0100	54	54	1.000000	93	1.000000
novel_species	0.0100	0.0150	69	72	0.958333	165	0.981818
novel_species	0.0150	0.0200	48	52	0.923077	217	0.967742
novel_species	0.0200	0.0250	98	102	0.960784	319	0.965517
novel_species	0.0250	0.0300	115	116	0.991379	435	0.972414
