scenario	dist_lo	dist_hi	same_genus	total	p_same_genus	cum_total	cum_p
as_reported	0.0000	0.0050	12616	12616	1.000000	12616	1.000000
as_reported	0.0050	0.0100	200	200	1.000000	12816	1.000000
as_reported	0.0100	0.0150	174	174	1.000000	12990	1.000000
as_reported	0.0150	0.0200	175	175	1.000000	13165	1.000000
as_reported	0.0200	0.0250	180	181	0.994475	13346	0.999925
as_reported	0.0250	0.0300	195	196	0.994898	13542	0.999852
as_reported	0.0300	0.0350	228	231	0.987013	13773	0.999637
as_reported	0.0350	0.0400	273	276	0.989130	14049	0.999431
as_reported	0.0400	0.0450	231	241	0.958506	14290	0.998740
as_reported	0.0450	0.0500	316	323	0.978328	14613	0.998289
as_reported	0.0500	0.0550	352	359	0.980501	14972	0.997863
as_reported	0.0550	0.0600	371	380	0.976316	15352	0.997329
as_reported	0.0600	0.0650	367	374	0.981283	15726	0.996948
as_reported	0.0650	0.0700	331	347	0.953890	16073	0.996018
as_reported	0.0700	0.0750	321	338	0.949704	16411	0.995064
as_reported	0.0750	0.0800	334	353	0.946176	16764	0.994035
as_reported	0.0800	0.0850	384	413	0.929782	17177	0.992490
as_reported	0.0850	0.0900	333	341	0.976540	17518	0.992179
as_reported	0.0900	0.0950	339	352	0.963068	17870	0.991606
as_reported	0.0950	0.1000	309	322	0.959627	18192	0.991040
as_reported	0.1000	0.1050	326	345	0.944928	18537	0.990182
as_reported	0.1050	0.1100	372	384	0.968750	18921	0.989747
as_reported	0.1100	0.1150	375	399	0.939850	19320	0.988716
as_reported	0.1150	0.1200	302	320	0.943750	19640	0.987984
as_reported	0.1200	0.1250	350	364	0.961538	20004	0.987502
as_reported	0.1250	0.1300	334	350	0.954286	20354	0.986931
as_reported	0.1300	0.1350	335	372	0.900538	20726	0.985381
as_reported	0.1350	0.1400	337	374	0.901070	21100	0.983886
as_reported	0.1400	0.1450	339	367	0.923706	21467	0.982857
as_reported	0.1450	0.1500	313	350	0.894286	21817	0.981436
as_reported	0.1500	0.1550	310	352	0.880682	22169	0.979837
as_reported	0.1550	0.1600	356	396	0.898990	22565	0.978418
as_reported	0.1600	0.1650	310	379	0.817942	22944	0.975767
as_reported	0.1650	0.1700	291	343	0.848397	23287	0.973891
as_reported	0.1700	0.1750	299	370	0.808108	23657	0.971298
as_reported	0.1750	0.1800	263	342	0.769006	23999	0.968415
as_reported	0.1800	0.1850	277	359	0.771588	24358	0.965514
as_reported	0.1850	0.1900	254	338	0.751479	24696	0.962585
as_reported	0.1900	0.1950	202	323	0.625387	25019	0.958232
as_reported	0.1950	0.2000	193	266	0.725564	25285	0.955784
as_reported	0.2000	0.2050	221	306	0.722222	25591	0.952991
as_reported	0.2050	0.2100	169	272	0.621324	25863	0.949503
