scenario	dist_lo	dist_hi	same_genus	total	p_same_genus	cum_total	cum_p
as_reported	0.0000	0.0050	12003	12008	0.999584	12008	0.999584
as_reported	0.0050	0.0100	295	295	1.000000	12303	0.999594
as_reported	0.0100	0.0150	303	305	0.993443	12608	0.999445
as_reported	0.0150	0.0200	261	262	0.996183	12870	0.999378
as_reported	0.0200	0.0250	225	225	1.000000	13095	0.999389
as_reported	0.0250	0.0300	219	219	1.000000	13314	0.999399
as_reported	0.0300	0.0350	247	247	1.000000	13561	0.999410
as_reported	0.0350	0.0400	301	301	1.000000	13862	0.999423
as_reported	0.0400	0.0450	276	276	1.000000	14138	0.999434
as_reported	0.0450	0.0500	356	356	1.000000	14494	0.999448
as_reported	0.0500	0.0550	361	361	1.000000	14855	0.999461
as_reported	0.0550	0.0600	399	401	0.995012	15256	0.999345
as_reported	0.0600	0.0650	387	387	1.000000	15643	0.999361
as_reported	0.0650	0.0700	356	356	1.000000	15999	0.999375
as_reported	0.0700	0.0750	367	367	1.000000	16366	0.999389
as_reported	0.0750	0.0800	362	362	1.000000	16728	0.999402
as_reported	0.0800	0.0850	425	425	1.000000	17153	0.999417
as_reported	0.0850	0.0900	349	349	1.000000	17502	0.999429
as_reported	0.0900	0.0950	371	371	1.000000	17873	0.999440
as_reported	0.0950	0.1000	342	342	1.000000	18215	0.999451
as_reported	0.1000	0.1050	345	347	0.994236	18562	0.999354
as_reported	0.1050	0.1100	390	392	0.994898	18954	0.999261
as_reported	0.1100	0.1150	424	424	1.000000	19378	0.999278
as_reported	0.1150	0.1200	319	319	1.000000	19697	0.999289
as_reported	0.1200	0.1250	375	379	0.989446	20076	0.999103
as_reported	0.1250	0.1300	363	365	0.994521	20441	0.999022
as_reported	0.1300	0.1350	392	403	0.972705	20844	0.998513
as_reported	0.1350	0.1400	370	387	0.956072	21231	0.997739
as_reported	0.1400	0.1450	353	369	0.956640	21600	0.997037
as_reported	0.1450	0.1500	340	361	0.941828	21961	0.996130
as_reported	0.1500	0.1550	337	363	0.928375	22324	0.995028
as_reported	0.1550	0.1600	361	392	0.920918	22716	0.993749
as_reported	0.1600	0.1650	321	363	0.884298	23079	0.992027
as_reported	0.1650	0.1700	314	378	0.830688	23457	0.989427
as_reported	0.1700	0.1750	315	363	0.867769	23820	0.987573
as_reported	0.1750	0.1800	289	354	0.816384	24174	0.985067
as_reported	0.1800	0.1850	295	355	0.830986	24529	0.982837
as_reported	0.1850	0.1900	275	345	0.797101	24874	0.980261
as_reported	0.1900	0.1950	222	327	0.678899	25201	0.976350
as_reported	0.1950	0.2000	202	275	0.734545	25476	0.973740
as_reported	0.2000	0.2050	235	320	0.734375	25796	0.970771
as_reported	0.2050	0.2100	185	265	0.698113	26061	0.967998
as_reported	0.2100	0.2150	166	251	0.661355	26312	0.965073
as_reported	0.2150	0.2200	175	271	0.645756	26583	0.961818
as_reported	0.2200	0.2250	150	227	0.660793	26810	0.959269
as_reported	0.2250	0.2300	127	187	0.679144	26997	0.957329
as_reported	0.2300	0.2350	102	167	0.610778	27164	0.955198
as_reported	0.2350	0.2400	108	204	0.529412	27368	0.952024
as_reported	0.2400	0.2450	94	172	0.546512	27540	0.949492
as_reported	0.2450	0.2500	82	163	0.503067	27703	0.946865
as_reported	0.2500	0.2550	64	142	0.450704	27845	0.944335
as_reported	0.2550	0.2600	51	120	0.425000	27965	0.942106
as_reported	0.2600	0.2650	37	111	0.333333	28076	0.939699
as_reported	0.2650	0.2700	22	105	0.209524	28181	0.936979
as_reported	0.2700	0.2750	25	98	0.255102	28279	0.934616
as_reported	0.2750	0.2800	24	96	0.250000	28375	0.932300
as_reported	0.2800	0.2850	5	55	0.090909	28430	0.930672
as_reported	0.2850	0.2900	17	70	0.242857	28500	0.928982
as_reported	0.2900	0.2950	13	57	0.228070	28557	0.927583
as_reported	0.2950	0.3000	3	49	0.061224	28606	0.926099
as_reported	0.3000	0.3050	3	40	0.075000	28646	0.924911
as_reported	0.3050	0.3100	5	53	0.094340	28699	0.923377
as_reported	0.3100	0.3150	1	58	0.017241	28757	0.921550
as_reported	0.3200	0.3250	0	49	0.000000	28806	0.919982
as_reported	0.3250	0.3300	0	34	0.000000	28840	0.918897
as_reported	0.3350	0.3400	0	22	0.000000	28862	0.918197
as_reported	0.3500	0.3550	0	11	0.000000	28873	0.917847
no_self_strain	0.0000	0.0050	10831	10836	0.999539	10836	0.999539
no_self_strain	0.0050	0.0100	321	321	1.000000	11157	0.999552
no_self_strain	0.0100	0.0150	335	337	0.994065	11494	0.999391
no_self_strain	0.0150	0.0200	313	314	0.996815	11808	0.999322
no_self_strain	0.0200	0.0250	268	268	1.000000	12076	0.999338
no_self_strain	0.0250	0.0300	247	247	1.000000	12323	0.999351
no_self_strain	0.0300	0.0350	286	286	1.000000	12609	0.999366
no_self_strain	0.0350	0.0400	334	334	1.000000	12943	0.999382
no_self_strain	0.0400	0.0450	304	304	1.000000	13247	0.999396
no_self_strain	0.0450	0.0500	391	391	1.000000	13638	0.999413
no_self_strain	0.0500	0.0550	396	396	1.000000	14034	0.999430
no_self_strain	0.0550	0.0600	425	427	0.995316	14461	0.999308
no_self_strain	0.0600	0.0650	421	421	1.000000	14882	0.999328
