scenario	dist_lo	dist_hi	same_genus	total	p_same_genus	cum_total	cum_p
as_reported	0.0000	0.0050	13040	13052	0.999081	13052	0.999081
as_reported	0.0050	0.0100	312	325	0.960000	13377	0.998131
as_reported	0.0100	0.0150	303	326	0.929448	13703	0.996497
as_reported	0.0150	0.0200	245	254	0.964567	13957	0.995916
as_reported	0.0200	0.0250	225	245	0.918367	14202	0.994578
as_reported	0.0250	0.0300	214	225	0.951111	14427	0.993900
as_reported	0.0300	0.0350	249	260	0.957692	14687	0.993259
as_reported	0.0350	0.0400	285	293	0.972696	14980	0.992857
as_reported	0.0400	0.0450	275	288	0.954861	15268	0.992140
as_reported	0.0450	0.0500	372	377	0.986737	15645	0.992010
as_reported	0.0500	0.0550	357	360	0.991667	16005	0.992002
as_reported	0.0550	0.0600	361	372	0.970430	16377	0.991512
as_reported	0.0600	0.0650	387	399	0.969925	16776	0.990999
as_reported	0.0650	0.0700	395	407	0.970516	17183	0.990514
as_reported	0.0700	0.0750	316	334	0.946108	17517	0.989667
as_reported	0.0750	0.0800	395	417	0.947242	17934	0.988681
as_reported	0.0800	0.0850	361	383	0.942559	18317	0.987716
as_reported	0.0850	0.0900	399	415	0.961446	18732	0.987134
as_reported	0.0900	0.0950	357	371	0.962264	19103	0.986651
as_reported	0.0950	0.1000	310	319	0.971787	19422	0.986407
as_reported	0.1000	0.1050	371	390	0.951282	19812	0.985716
as_reported	0.1050	0.1100	343	365	0.939726	20177	0.984884
as_reported	0.1100	0.1150	389	409	0.951100	20586	0.984213
as_reported	0.1150	0.1200	416	437	0.951945	21023	0.983542
as_reported	0.1200	0.1250	349	364	0.958791	21387	0.983121
as_reported	0.1250	0.1300	359	403	0.890819	21790	0.981413
as_reported	0.1300	0.1350	326	344	0.947674	22134	0.980889
as_reported	0.1350	0.1400	351	389	0.902314	22523	0.979532
as_reported	0.1400	0.1450	385	428	0.899533	22951	0.978040
as_reported	0.1450	0.1500	410	459	0.893246	23410	0.976378
as_reported	0.1500	0.1550	332	379	0.875989	23789	0.974778
as_reported	0.1550	0.1600	352	420	0.838095	24209	0.972407
as_reported	0.1600	0.1650	368	458	0.803493	24667	0.969271
as_reported	0.1650	0.1700	179	234	0.764957	24901	0.967351
as_reported	0.1700	0.1750	392	530	0.739623	25431	0.962605
as_reported	0.1750	0.1800	219	304	0.720395	25735	0.959744
as_reported	0.1800	0.1850	229	324	0.706790	26059	0.956598
as_reported	0.1850	0.1900	185	321	0.576324	26380	0.951971
as_reported	0.1900	0.1950	244	363	0.672176	26743	0.948173
as_reported	0.1950	0.2000	241	386	0.624352	27129	0.943566
as_reported	0.2000	0.2050	273	449	0.608018	27578	0.938103
as_reported	0.2100	0.2150	247	458	0.539301	28036	0.931588
as_reported	0.2150	0.2200	256	491	0.521385	28527	0.924528
as_reported	0.2300	0.2350	211	498	0.423695	29025	0.915935
as_reported	0.2400	0.2450	134	565	0.237168	29590	0.902974
as_reported	0.2600	0.2650	26	523	0.049713	30113	0.888155
no_self_strain	0.0000	0.0050	11821	11833	0.998986	11833	0.998986
no_self_strain	0.0050	0.0100	336	349	0.962751	12182	0.997948
no_self_strain	0.0100	0.0150	328	355	0.923944	12537	0.995852
no_self_strain	0.0150	0.0200	304	315	0.965079	12852	0.995098
no_self_strain	0.0200	0.0250	269	289	0.930796	13141	0.993684
no_self_strain	0.0250	0.0300	242	253	0.956522	13394	0.992982
no_self_strain	0.0300	0.0350	298	309	0.964401	13703	0.992337
no_self_strain	0.0350	0.0400	312	320	0.975000	14023	0.991942
no_self_strain	0.0400	0.0450	307	320	0.959375	14343	0.991215
no_self_strain	0.0450	0.0500	398	403	0.987593	14746	0.991116
no_self_strain	0.0500	0.0550	402	405	0.992593	15151	0.991156
no_self_strain	0.0550	0.0600	397	408	0.973039	15559	0.990681
no_self_strain	0.0600	0.0650	412	424	0.971698	15983	0.990177
no_self_strain	0.0650	0.0700	416	430	0.967442	16413	0.989581
no_self_strain	0.0700	0.0750	340	358	0.949721	16771	0.988731
no_self_strain	0.0750	0.0800	422	444	0.950450	17215	0.987743
no_self_strain	0.0800	0.0850	384	406	0.945813	17621	0.986777
no_self_strain	0.0850	0.0900	410	426	0.962441	18047	0.986203
no_self_strain	0.0900	0.0950	370	386	0.958549	18433	0.985624
no_self_strain	0.0950	0.1000	334	343	0.973761	18776	0.985407
no_self_strain	0.1000	0.1050	395	415	0.951807	19191	0.984680
no_self_strain	0.1050	0.1100	353	376	0.938830	19567	0.983799
no_self_strain	0.1100	0.1150	409	429	0.953380	19996	0.983147
no_self_strain	0.1150	0.1200	442	463	0.954644	20459	0.982502
no_self_strain	0.1200	0.1250	367	382	0.960733	20841	0.982103
no_self_strain	0.1250	0.1300	384	430	0.893023	21271	0.980302
no_self_strain	0.1300	0.1350	340	360	0.944444	21631	0.979705
no_self_strain	0.1350	0.1400	358	399	0.897243	22030	0.978212
no_self_strain	0.1400	0.1450	402	447	0.899329	22477	0.976643
no_self_strain	0.1450	0.1500	445	494	0.900810	22971	0.975012
no_self_strain	0.1500	0.1550	347	397	0.874055	23368	0.973297
no_self_strain	0.1550	0.1600	369	442	0.834842	23810	0.970727
no_self_strain	0.1600	0.1650	404	494	0.817814	24304	0.967618
no_self_strain	0.1650	0.1700	191	247	0.773279	24551	0.965663
no_self_strain	0.1700	0.1750	445	589	0.755518	25140	0.960740
no_self_strain	0.1750	0.1800	242	333	0.726727	25473	0.957681
no_self_strain	0.1800	0.1850	240	336	0.714286	25809	0.954512
no_self_strain	0.1850	0.1900	204	349	0.584527	26158	0.949576
no_self_strain	0.1900	0.1950	263	382	0.688482	26540	0.945818
no_self_strain	0.1950	0.2000	267	418	0.638756	26958	0.941056
no_self_strain	0.2000	0.2050	287	475	0.604211	27433	0.935224
no_self_strain	0.2100	0.2150	269	485	0.554639	27918	0.928612
no_self_strain	0.2150	0.2200	269	516	0.521318	28434	0.921221
no_self_strain	0.2300	0.2350	222	534	0.415730	28968	0.911903
no_self_strain	0.2400	0.2450	142	584	0.243151	29552	0.898687
no_self_strain	0.2600	0.2650	31	560	0.055357	30112	0.883003
