ani_lo	ani_hi	pairs	dist_q1	dist_median	dist_q3	implied_dist
79.0	79.5	5	0.1950	0.1956	0.1991	0.2100
79.5	80.0	65	0.1939	0.1967	0.2057	0.2050
80.0	80.5	1314	0.1858	0.1917	0.1967	0.2000
80.5	81.0	16344	0.1814	0.1872	0.1923	0.1950
81.0	81.5	58676	0.1774	0.1836	0.1897	0.1900
81.5	82.0	109065	0.1733	0.1786	0.1849	0.1850
82.0	82.5	106599	0.1683	0.1737	0.1794	0.1800
82.5	83.0	72604	0.1607	0.1668	0.1730	0.1750
83.0	83.5	61966	0.1535	0.1591	0.1650	0.1700
83.5	84.0	51515	0.1473	0.1522	0.1581	0.1650
84.0	84.5	41216	0.1418	0.1461	0.1513	0.1600
84.5	85.0	30491	0.1365	0.1409	0.1463	0.1550
85.0	85.5	20914	0.1311	0.1360	0.1427	0.1500
85.5	86.0	14155	0.1257	0.1303	0.1374	0.1450
86.0	86.5	10529	0.1199	0.1244	0.1291	0.1400
86.5	87.0	8629	0.1152	0.1188	0.1228	0.1350
87.0	87.5	7547	0.1110	0.1146	0.1182	0.1300
87.5	88.0	6816	0.1070	0.1102	0.1134	0.1250
88.0	88.5	5974	0.1026	0.1058	0.1092	0.1200
88.5	89.0	4996	0.0983	0.1015	0.1046	0.1150
89.0	89.5	4368	0.0938	0.0966	0.1000	0.1100
89.5	90.0	4697	0.0892	0.0924	0.0954	0.1050
90.0	90.5	3620	0.0854	0.0878	0.0905	0.1000
90.5	91.0	3907	0.0800	0.0831	0.0863	0.0950
91.0	91.5	1802	0.0752	0.0777	0.0804	0.0900
91.5	92.0	3588	0.0708	0.0732	0.0757	0.0850
92.0	92.5	1540	0.0668	0.0688	0.0708	0.0800
92.5	93.0	1522	0.0635	0.0657	0.0675	0.0750
93.0	93.5	2212	0.0591	0.0610	0.0633	0.0700
93.5	94.0	1926	0.0545	0.0564	0.0583	0.0650
94.0	94.5	2191	0.0502	0.0519	0.0536	0.0600
94.5	95.0	1850	0.0448	0.0469	0.0491	0.0550
95.0	95.5	1002	0.0408	0.0424	0.0447	0.0500
95.5	96.0	826	0.0362	0.0382	0.0405	0.0450
96.0	96.5	770	0.0334	0.0349	0.0364	0.0400
96.5	97.0	557	0.0289	0.0310	0.0335	0.0350
97.0	97.5	837	0.0254	0.0267	0.0288	0.0300
97.5	98.0	795	0.0212	0.0226	0.0246	0.0250
98.0	98.5	962	0.0165	0.0178	0.0201	0.0200
98.5	99.0	1108	0.0123	0.0136	0.0149	0.0150
99.0	99.5	556	0.0070	0.0088	0.0102	0.0100
99.5	100.0	7717	0.0001	0.0002	0.0007	0.0050
100.0	100.5	4611	0.0000	0.0000	0.0001	0.0000
