af_floor	scenario	ani_lo	ani_hi	same_genus	total	p_same_genus	cum_total	cum_p
5	as_reported	100.0	100.5	6263	6265	0.999681	6265	0.999681
5	as_reported	99.5	100.0	6855	6869	0.997962	13134	0.998782
5	as_reported	99.0	99.5	295	308	0.957792	13442	0.997843
5	as_reported	98.5	99.0	262	277	0.945848	13719	0.996793
5	as_reported	98.0	98.5	257	281	0.914591	14000	0.995143
5	as_reported	97.5	98.0	185	199	0.929648	14199	0.994225
5	as_reported	97.0	97.5	176	188	0.936170	14387	0.993466
5	as_reported	96.5	97.0	170	178	0.955056	14565	0.992997
5	as_reported	96.0	96.5	180	193	0.932642	14758	0.992208
5	as_reported	95.5	96.0	240	248	0.967742	15006	0.991803
5	as_reported	95.0	95.5	220	239	0.920502	15245	0.990685
5	as_reported	94.5	95.0	335	344	0.973837	15589	0.990314
5	as_reported	94.0	94.5	387	399	0.969925	15988	0.989805
5	as_reported	93.5	94.0	314	330	0.951515	16318	0.989031
5	as_reported	93.0	93.5	387	403	0.960298	16721	0.988338
5	as_reported	92.5	93.0	243	251	0.968127	16972	0.988039
5	as_reported	92.0	92.5	233	243	0.958848	17215	0.987627
5	as_reported	91.5	92.0	404	432	0.935185	17647	0.986343
5	as_reported	91.0	91.5	264	286	0.923077	17933	0.985334
5	as_reported	90.5	91.0	452	477	0.947589	18410	0.984356
5	as_reported	90.0	90.5	310	322	0.962733	18732	0.983985
5	as_reported	89.5	90.0	287	304	0.944079	19036	0.983347
5	as_reported	89.0	89.5	289	302	0.956954	19338	0.982935
5	as_reported	88.5	89.0	316	330	0.957576	19668	0.982510
5	as_reported	88.0	88.5	282	296	0.952703	19964	0.982068
5	as_reported	87.5	88.0	314	325	0.966154	20289	0.981813
5	as_reported	87.0	87.5	316	340	0.929412	20629	0.980949
5	as_reported	86.5	87.0	332	346	0.959538	20975	0.980596
5	as_reported	86.0	86.5	321	335	0.958209	21310	0.980244
5	as_reported	85.5	86.0	316	336	0.940476	21646	0.979627
5	as_reported	85.0	85.5	333	360	0.925000	22006	0.978733
5	as_reported	84.5	85.0	352	384	0.916667	22390	0.977669
5	as_reported	84.0	84.5	367	399	0.919799	22789	0.976655
5	as_reported	83.5	84.0	407	440	0.925000	23229	0.975677
5	as_reported	83.0	83.5	435	486	0.895062	23715	0.974025
5	as_reported	82.5	83.0	454	494	0.919028	24209	0.972903
5	as_reported	82.0	82.5	484	551	0.878403	24760	0.970800
5	as_reported	81.5	82.0	362	406	0.891626	25166	0.969522
5	as_reported	81.0	81.5	248	281	0.882562	25447	0.968562
5	as_reported	80.5	81.0	108	120	0.900000	25567	0.968240
5	as_reported	80.0	80.5	14	15	0.933333	25582	0.968220
5	as_reported	79.5	80.0	1	1	1.000000	25583	0.968221
5	no_self_strain	100.0	100.5	5774	5776	0.999654	5776	0.999654
5	no_self_strain	99.5	100.0	6121	6135	0.997718	11911	0.998657
5	no_self_strain	99.0	99.5	327	340	0.961765	12251	0.997633
5	no_self_strain	98.5	99.0	299	318	0.940252	12569	0.996181
5	no_self_strain	98.0	98.5	308	335	0.919403	12904	0.994188
5	no_self_strain	97.5	98.0	218	232	0.939655	13136	0.993225
5	no_self_strain	97.0	97.5	209	221	0.945701	13357	0.992438
5	no_self_strain	96.5	97.0	197	207	0.951691	13564	0.991817
5	no_self_strain	96.0	96.5	212	227	0.933921	13791	0.990864
5	no_self_strain	95.5	96.0	258	266	0.969925	14057	0.990467
5	no_self_strain	95.0	95.5	241	260	0.926923	14317	0.989313
5	no_self_strain	94.5	95.0	375	384	0.976562	14701	0.988980
5	no_self_strain	94.0	94.5	415	427	0.971897	15128	0.988498
5	no_self_strain	93.5	94.0	347	363	0.955923	15491	0.987735
5	no_self_strain	93.0	93.5	417	434	0.960829	15925	0.987002
5	no_self_strain	92.5	93.0	262	271	0.966790	16196	0.986663
5	no_self_strain	92.0	92.5	250	263	0.950570	16459	0.986087
5	no_self_strain	91.5	92.0	426	456	0.934211	16915	0.984688
5	no_self_strain	91.0	91.5	275	297	0.925926	17212	0.983674
5	no_self_strain	90.5	91.0	478	504	0.948413	17716	0.982671
5	no_self_strain	90.0	90.5	323	335	0.964179	18051	0.982328
5	no_self_strain	89.5	90.0	305	322	0.947205	18373	0.981712
5	no_self_strain	89.0	89.5	308	322	0.956522	18695	0.981278
5	no_self_strain	88.5	89.0	332	346	0.959538	19041	0.980883
5	no_self_strain	88.0	88.5	296	312	0.948718	19353	0.980365
5	no_self_strain	87.5	88.0	331	342	0.967836	19695	0.980147
5	no_self_strain	87.0	87.5	330	354	0.932203	20049	0.979301
5	no_self_strain	86.5	87.0	344	358	0.960894	20407	0.978978
5	no_self_strain	86.0	86.5	335	349	0.959885	20756	0.978657
5	no_self_strain	85.5	86.0	338	360	0.938889	21116	0.977979
5	no_self_strain	85.0	85.5	350	377	0.928382	21493	0.977109
5	no_self_strain	84.5	85.0	375	411	0.912409	21904	0.975895
5	no_self_strain	84.0	84.5	386	418	0.923445	22322	0.974913
5	no_self_strain	83.5	84.0	438	473	0.926004	22795	0.973898
5	no_self_strain	83.0	83.5	463	515	0.899029	23310	0.972244
5	no_self_strain	82.5	83.0	489	531	0.920904	23841	0.971100
5	no_self_strain	82.0	82.5	520	587	0.885860	24428	0.969052
5	no_self_strain	81.5	82.0	391	435	0.898851	24863	0.967824
5	no_self_strain	81.0	81.5	264	297	0.888889	25160	0.966892
5	no_self_strain	80.5	81.0	118	130	0.907692	25290	0.966588
5	no_self_strain	80.0	80.5	14	15	0.933333	25305	0.966568
5	no_self_strain	79.5	80.0	1	1	1.000000	25306	0.966569
5	novel_species	100.0	100.5	23	25	0.920000	25	0.920000
5	novel_species	99.5	100.0	146	165	0.884848	190	0.889474
5	novel_species	99.0	99.5	232	247	0.939271	437	0.917620
5	novel_species	98.5	99.0	225	253	0.889328	690	0.907246
5	novel_species	98.0	98.5	228	272	0.838235	962	0.887734
5	novel_species	97.5	98.0	182	201	0.905473	1163	0.890800
5	novel_species	97.0	97.5	198	223	0.887892	1386	0.890332
5	novel_species	96.5	97.0	197	221	0.891403	1607	0.890479
5	novel_species	96.0	96.5	361	383	0.942559	1990	0.900503
5	novel_species	95.5	96.0	484	505	0.958416	2495	0.912224
5	novel_species	95.0	95.5	535	569	0.940246	3064	0.917428
5	novel_species	94.5	95.0	799	816	0.979167	3880	0.930412
5	novel_species	94.0	94.5	816	851	0.958872	4731	0.935532
5	novel_species	93.5	94.0	692	728	0.950549	5459	0.937534
5	novel_species	93.0	93.5	779	805	0.967702	6264	0.941411
5	novel_species	92.5	93.0	499	519	0.961464	6783	0.942946
5	novel_species	92.0	92.5	458	484	0.946281	7267	0.943168
5	novel_species	91.5	92.0	849	898	0.945434	8165	0.943417
5	novel_species	91.0	91.5	479	511	0.937378	8676	0.943061
5	novel_species	90.5	91.0	883	937	0.942369	9613	0.942994
5	novel_species	90.0	90.5	632	664	0.951807	10277	0.943563
5	novel_species	89.5	90.0	596	619	0.962843	10896	0.944659
5	novel_species	89.0	89.5	583	609	0.957307	11505	0.945328
5	novel_species	88.5	89.0	658	681	0.966226	12186	0.946496
5	novel_species	88.0	88.5	609	636	0.957547	12822	0.947044
5	novel_species	87.5	88.0	609	631	0.965135	13453	0.947893
