dist_lo	dist_hi	class	mash_pairs	with_ani	coverage	with_ani_af15	coverage_af15	ani_q1	ani_median	ani_q3
0.0000	0.0050	all	12184	12184	1.000000	12184	1.000000	99.98	99.99	100.00
0.0000	0.0050	congeneric	299	299	1.000000	299	1.000000	99.68	99.73	99.86
0.0000	0.0050	inter_genus	6	6	1.000000	6	1.000000	99.82	99.89	99.97
0.0000	0.0050	same_species	10204	10204	1.000000	10204	1.000000	99.98	99.99	100.00
0.0000	0.0050	same_strain	1675	1675	1.000000	1675	1.000000	99.98	99.99	100.00
0.0050	0.0100	all	581	581	1.000000	581	1.000000	99.11	99.28	99.50
0.0050	0.0100	congeneric	191	191	1.000000	191	1.000000	99.08	99.19	99.39
0.0050	0.0100	inter_genus	12	12	1.000000	12	1.000000	99.28	99.48	99.62
0.0050	0.0100	same_species	359	359	1.000000	359	1.000000	99.14	99.35	99.58
0.0050	0.0100	same_strain	19	19	1.000000	19	1.000000	99.13	99.25	99.41
0.0100	0.0150	all	1022	1022	1.000000	1022	1.000000	98.66	98.80	98.92
0.0100	0.0150	congeneric	378	378	1.000000	378	1.000000	98.59	98.75	98.95
0.0100	0.0150	inter_genus	19	19	1.000000	19	1.000000	98.73	98.86	98.91
0.0100	0.0150	same_species	610	610	1.000000	610	1.000000	98.70	98.81	98.92
0.0100	0.0150	same_strain	15	15	1.000000	15	1.000000	98.80	98.90	98.98
0.0150	0.0200	all	989	989	1.000000	989	1.000000	98.16	98.29	98.54
0.0150	0.0200	congeneric	352	352	1.000000	352	1.000000	98.18	98.37	98.62
0.0150	0.0200	inter_genus	29	29	1.000000	29	1.000000	98.35	98.38	98.55
0.0150	0.0200	same_species	594	594	1.000000	594	1.000000	98.13	98.27	98.47
0.0150	0.0200	same_strain	14	14	1.000000	14	1.000000	98.24	98.28	98.33
0.0200	0.0250	all	949	949	1.000000	949	1.000000	97.56	97.79	98.01
0.0200	0.0250	congeneric	327	327	1.000000	327	1.000000	97.56	97.76	97.94
0.0200	0.0250	inter_genus	48	48	1.000000	48	1.000000	97.91	98.02	98.31
0.0200	0.0250	same_species	574	574	1.000000	574	1.000000	97.54	97.78	98.04
0.0250	0.0300	all	965	965	1.000000	965	1.000000	96.99	97.19	97.42
0.0250	0.0300	congeneric	277	277	1.000000	277	1.000000	96.86	97.15	97.38
0.0250	0.0300	inter_genus	46	46	1.000000	46	1.000000	97.15	97.31	97.75
0.0250	0.0300	same_species	631	631	1.000000	631	1.000000	97.02	97.22	97.42
0.0250	0.0300	same_strain	11	11	1.000000	11	1.000000	96.86	97.01	97.44
0.0300	0.0350	all	962	962	1.000000	962	1.000000	96.08	96.36	96.82
0.0300	0.0350	congeneric	483	483	1.000000	483	1.000000	95.93	96.23	96.76
0.0300	0.0350	inter_genus	71	71	1.000000	71	1.000000	96.45	96.67	97.06
0.0300	0.0350	same_species	407	407	1.000000	407	1.000000	96.17	96.42	96.88
0.0300	0.0350	same_strain	1	1	1.000000	1	1.000000	96.93	96.93	96.93
