ani_lo	ani_hi	pairs	dist_q1	dist_median	dist_q3	implied_dist
79.0	79.5	5	0.2015	0.2024	0.2119	0.2100
79.5	80.0	64	0.1879	0.1984	0.2312	0.2050
80.0	80.5	1306	0.1871	0.2089	0.2410	0.2000
80.5	81.0	16169	0.1895	0.2119	0.2410	0.1950
81.0	81.5	57774	0.1863	0.2099	0.2324	0.1900
81.5	82.0	106263	0.1879	0.2139	0.2300	0.1850
82.0	82.5	102410	0.1887	0.2129	0.2266	0.1800
82.5	83.0	69203	0.1787	0.2024	0.2180	0.1750
83.0	83.5	59267	0.1650	0.1911	0.2061	0.1700
83.5	84.0	49314	0.1637	0.1848	0.1979	0.1650
84.0	84.5	39410	0.1624	0.1787	0.1920	0.1600
84.5	85.0	29259	0.1512	0.1716	0.1848	0.1550
85.0	85.5	20162	0.1415	0.1650	0.1795	0.1500
85.5	86.0	13658	0.1247	0.1552	0.1723	0.1450
86.0	86.5	10221	0.1116	0.1337	0.1606	0.1400
86.5	87.0	8341	0.1008	0.1205	0.1468	0.1350
87.0	87.5	7308	0.0954	0.1138	0.1380	0.1300
87.5	88.0	6591	0.0900	0.1069	0.1309	0.1250
88.0	88.5	5805	0.0849	0.1031	0.1239	0.1200
88.5	89.0	4857	0.0802	0.1001	0.1193	0.1150
89.0	89.5	4198	0.0802	0.0995	0.1161	0.1100
89.5	90.0	4410	0.0757	0.0947	0.1116	0.1050
90.0	90.5	3494	0.0729	0.0914	0.1065	0.1000
90.5	91.0	3813	0.0740	0.0869	0.0985	0.0950
91.0	91.5	1772	0.0699	0.0812	0.0947	0.0900
91.5	92.0	3482	0.0655	0.0765	0.0897	0.0850
92.0	92.5	1523	0.0599	0.0722	0.0847	0.0800
92.5	93.0	1487	0.0585	0.0686	0.0815	0.0750
93.0	93.5	2122	0.0549	0.0649	0.0772	0.0700
93.5	94.0	1828	0.0488	0.0560	0.0706	0.0650
94.0	94.5	2114	0.0445	0.0498	0.0618	0.0600
94.5	95.0	1804	0.0431	0.0524	0.0662	0.0550
95.0	95.5	981	0.0401	0.0500	0.0587	0.0500
95.5	96.0	819	0.0392	0.0473	0.0568	0.0450
96.0	96.5	768	0.0360	0.0414	0.0488	0.0400
96.5	97.0	535	0.0354	0.0426	0.0497	0.0350
97.0	97.5	819	0.0301	0.0382	0.0460	0.0300
97.5	98.0	773	0.0301	0.0345	0.0440	0.0250
98.0	98.5	949	0.0242	0.0292	0.0372	0.0200
98.5	99.0	1091	0.0194	0.0245	0.0294	0.0150
99.0	99.5	535	0.0129	0.0169	0.0231	0.0100
99.5	100.0	7433	0.0005	0.0013	0.0050	0.0050
100.0	100.5	4605	0.0001	0.0004	0.0007	0.0000
