completeness	contamination	donor	donor_species	bins	answerable	no_neighbour	nn_dist_calls	nn_dist_p	nn_cont_calls	nn_cont_p	cut_dist_calls	cut_dist_p	cut_cont_calls	cut_cont_p
1.00	0.00	none	present	400	400	0	400	87.0000	400	86.7500	157	92.3567	160	92.5000
1.00	0.10	far	present	400	400	0	400	27.2500	400	27.2500	373	27.8820	400	27.2500
1.00	0.10	near	present	400	400	0	400	97.7500	400	97.7500	400	97.7500	400	97.7500
1.00	0.20	far	present	400	400	0	400	14.0000	400	13.5000	400	14.0000	400	13.5000
1.00	0.20	near	present	400	400	0	400	98.5000	400	98.5000	400	98.5000	400	98.5000
0.90	0.00	none	present	400	400	0	400	86.7500	400	85.7500	155	92.2581	161	92.5466
0.90	0.10	far	present	400	400	0	400	26.7500	400	27.0000	371	27.4933	400	27.0000
0.90	0.10	near	present	400	400	0	400	97.7500	400	97.7500	400	97.7500	400	97.7500
0.90	0.20	far	present	400	400	0	400	13.5000	400	13.0000	400	13.5000	400	13.0000
0.90	0.20	near	present	400	400	0	400	98.5000	400	98.5000	400	98.5000	400	98.5000
0.70	0.00	none	present	400	400	0	400	87.2500	400	85.5000	146	91.7808	161	92.5466
0.70	0.10	far	present	400	400	0	400	26.7500	400	26.5000	349	29.2264	400	26.5000
0.70	0.10	near	present	400	400	0	400	97.7500	400	97.7500	400	97.7500	400	97.7500
0.70	0.20	far	present	400	400	0	400	13.2500	400	13.2500	398	13.3166	400	13.2500
0.70	0.20	near	present	400	400	0	400	98.5000	400	98.5000	400	98.5000	400	98.5000
0.50	0.00	none	present	400	400	0	400	84.2500	400	83.0000	130	90.7692	160	91.8750
0.50	0.10	far	present	400	400	0	400	26.0000	400	27.0000	309	31.0680	400	27.0000
0.50	0.10	near	present	400	400	0	400	97.7500	400	97.7500	390	97.6923	400	97.7500
0.50	0.20	far	present	400	400	0	400	13.7500	400	12.2500	391	13.8107	400	12.2500
0.50	0.20	near	present	400	400	0	400	98.5000	400	98.2500	400	98.5000	400	98.2500
0.30	0.00	none	present	400	400	0	400	84.2500	400	84.0000	107	89.7196	168	92.2619
0.30	0.10	far	present	400	400	0	400	25.5000	400	25.5000	247	35.2227	400	25.5000
0.30	0.10	near	present	400	400	0	400	97.7500	400	97.7500	231	96.1039	400	97.7500
0.30	0.20	far	present	400	400	0	400	14.0000	400	13.0000	356	15.1685	400	13.0000
0.30	0.20	near	present	400	400	0	400	98.5000	400	98.5000	400	98.5000	400	98.5000
0.20	0.00	none	present	400	400	1	399	81.9549	399	80.7018	84	90.4762	163	92.6380
0.20	0.10	far	present	400	400	0	400	23.7500	400	26.0000	181	37.0166	400	26.0000
0.20	0.10	near	present	400	400	0	400	97.7500	400	97.7500	120	93.3333	400	97.7500
0.20	0.20	far	present	400	400	0	400	13.2500	400	12.5000	307	14.9837	400	12.5000
0.20	0.20	near	present	400	400	0	400	98.5000	400	98.5000	392	98.4694	400	98.5000
0.10	0.00	none	present	400	400	1	399	78.9474	399	76.6917	41	85.3659	172	91.2791
0.10	0.10	far	present	400	400	0	400	22.2500	400	24.0000	73	45.2055	400	24.0000
0.10	0.10	near	present	400	400	0	400	97.7500	400	97.7500	53	90.5660	400	97.7500
0.10	0.20	far	present	400	400	0	400	12.0000	400	11.5000	197	12.1827	400	11.5000
0.10	0.20	near	present	400	400	0	400	98.5000	400	98.7500	124	95.9677	400	98.7500
1.00	0.00	none	absent	400	400	0	400	87.0000	400	86.7500	157	92.3567	160	92.5000
1.00	0.10	far	absent	400	400	0	400	74.0000	400	73.5000	165	85.4545	159	84.9057
1.00	0.10	near	absent	400	246	0	246	92.6829	246	91.8699	120	95.0000	115	94.7826
1.00	0.20	far	absent	400	400	0	400	64.7500	400	63.7500	184	71.7391	180	72.2222
1.00	0.20	near	absent	400	246	0	246	92.6829	246	91.4634	126	93.6508	118	94.0678
0.90	0.00	none	absent	400	400	0	400	86.7500	400	85.7500	155	92.2581	161	92.5466
0.90	0.10	far	absent	400	400	0	400	74.2500	400	72.7500	163	85.8896	161	85.0932
0.90	0.10	near	absent	400	246	0	246	92.2764	246	91.4634	115	94.7826	115	94.7826
0.90	0.20	far	absent	400	400	0	400	65.2500	400	63.5000	181	71.8232	177	74.0113
0.90	0.20	near	absent	400	246	0	246	91.4634	246	92.2764	122	94.2623	119	94.1176
0.70	0.00	none	absent	400	400	0	400	87.2500	400	85.5000	146	91.7808	161	92.5466
0.70	0.10	far	absent	400	400	0	400	73.5000	400	74.0000	149	87.2483	162	85.1852
0.70	0.10	near	absent	400	246	0	246	92.2764	246	92.2764	105	94.2857	115	94.7826
0.70	0.20	far	absent	400	400	0	400	64.0000	400	62.0000	167	74.8503	177	73.4463
0.70	0.20	near	absent	400	246	0	246	92.2764	246	91.8699	113	94.6903	117	94.8718
0.50	0.00	none	absent	400	400	0	400	84.2500	400	83.0000	130	90.7692	160	91.8750
0.50	0.10	far	absent	400	400	0	400	71.7500	400	71.7500	133	86.4662	158	86.0759
0.50	0.10	near	absent	400	246	0	246	91.0569	246	90.2439	91	93.4066	118	94.9153
0.50	0.20	far	absent	400	400	0	400	62.2500	400	61.0000	152	73.0263	181	70.7182
0.50	0.20	near	absent	400	246	0	246	91.4634	246	89.4309	100	94.0000	119	94.9580
0.30	0.00	none	absent	400	400	0	400	84.2500	400	84.0000	107	89.7196	168	92.2619
0.30	0.10	far	absent	400	400	0	400	70.7500	400	71.5000	111	86.4865	165	84.8485
0.30	0.10	near	absent	400	246	0	246	89.0244	246	89.0244	73	93.1507	123	95.1220
0.30	0.20	far	absent	400	400	0	400	63.2500	400	62.7500	123	75.6098	177	72.8814
0.30	0.20	near	absent	400	246	0	246	90.2439	246	88.6179	82	92.6829	124	93.5484
0.20	0.00	none	absent	400	400	1	399	81.9549	399	80.7018	84	90.4762	163	92.6380
0.20	0.10	far	absent	400	400	0	400	69.5000	400	67.7500	85	87.0588	165	84.8485
0.20	0.10	near	absent	400	246	0	246	91.0569	246	89.8374	55	90.9091	117	94.8718
0.20	0.20	far	absent	400	400	0	400	61.0000	400	60.7500	92	76.0870	178	69.6629
0.20	0.20	near	absent	400	246	0	246	89.8374	246	91.4634	59	91.5254	119	94.1176
0.10	0.00	none	absent	400	400	1	399	78.9474	399	76.6917	41	85.3659	172	91.2791
0.10	0.10	far	absent	400	400	1	399	65.1629	399	63.4085	40	85.0000	171	83.0409
0.10	0.10	near	absent	400	246	0	246	88.6179	246	86.5854	26	92.3077	121	94.2149
0.10	0.20	far	absent	400	400	0	400	57.5000	400	58.2500	44	75.0000	187	68.9840
0.10	0.20	near	absent	400	246	0	246	87.8049	246	85.3659	28	92.8571	129	93.7984
