dist	domain	query	query_genus	query_species	neighbour	neighbour_genus	neighbour_species	query_taxcheck	neighbour_taxcheck	gtdb_query_genus	gtdb_neighbour_genus	gtdb_status
1.1e-05	Bacteria	GCA_018406605.1	Noviluteimonas	Noviluteimonas caseinilytica	GCA_018406645.1	Lysobacter	Lysobacter helvus	Inconclusive	Inconclusive	Noviluteimonas	Noviluteimonas	reconciled
1.1e-05	Bacteria	GCA_018406645.1	Lysobacter	Lysobacter helvus	GCA_018406605.1	Noviluteimonas	Noviluteimonas caseinilytica	Inconclusive	Inconclusive	Noviluteimonas	Noviluteimonas	reconciled
0.000485	Bacteria	GCA_014287625.1	Roseburia	Roseburia difficilis	GCA_014290175.1	Anaerosacchariphilus	Anaerosacchariphilus hominis	Inconclusive	Inconclusive	Laedolimicola	Laedolimicola	reconciled
0.000485	Bacteria	GCA_014290175.1	Anaerosacchariphilus	Anaerosacchariphilus hominis	GCA_014287625.1	Roseburia	Roseburia difficilis	Inconclusive	Inconclusive	Laedolimicola	Laedolimicola	reconciled
0.00181	Bacteria	GCA_016632365.1	Tenebrionibacter	Tenebrionibacter intestinalis	GCA_019148575.1	Tenebrionicola	Tenebrionicola larvae	Inconclusive	Inconclusive	Tenebrionibacter	Tenebrionibacter	reconciled
0.00181	Bacteria	GCA_019148575.1	Tenebrionicola	Tenebrionicola larvae	GCA_016632365.1	Tenebrionibacter	Tenebrionibacter intestinalis	Inconclusive	Inconclusive	Tenebrionibacter	Tenebrionibacter	reconciled
0.001886	Bacteria	GCA_001705425.1	Mesorhizobium	Mesorhizobium hungaricum	GCA_008727715.1	Terribium	Terribium terrae	Inconclusive	Inconclusive	Mesorhizobium	Mesorhizobium	reconciled
0.001886	Bacteria	GCA_008727715.1	Terribium	Terribium terrae	GCA_001705425.1	Mesorhizobium	Mesorhizobium hungaricum	Inconclusive	Inconclusive	Mesorhizobium	Mesorhizobium	reconciled
0.003082	Bacteria	GCA_001487105.1	Mediterraneibacter	Mediterraneibacter massiliensis	GCA_025567175.1	Faecalicatena	Faecalicatena acetigenes	Inconclusive	Inconclusive	Mediterraneibacter	Mediterraneibacter	reconciled
0.003082	Bacteria	GCA_025567175.1	Faecalicatena	Faecalicatena acetigenes	GCA_001487105.1	Mediterraneibacter	Mediterraneibacter massiliensis	Inconclusive	Inconclusive	Mediterraneibacter	Mediterraneibacter	reconciled
0.004414	Bacteria	GCA_028485475.2	Mycovorax	Mycovorax composti	GCA_036409055.1	Niabella	Niabella digestorum	Inconclusive	Inconclusive	Niabella	Niabella	reconciled
0.004414	Bacteria	GCA_036409055.1	Niabella	Niabella digestorum	GCA_028485475.2	Mycovorax	Mycovorax composti	Inconclusive	Inconclusive	Niabella	Niabella	reconciled
0.006514	Bacteria	GCA_018069705.1	Aminithiophilus	Aminithiophilus ramosus	GCA_018398915.1	Aminirod	Aminirod propionatiphilus	Inconclusive	Inconclusive	Aminithiophilus	Aminithiophilus	reconciled
0.006514	Bacteria	GCA_018398915.1	Aminirod	Aminirod propionatiphilus	GCA_018069705.1	Aminithiophilus	Aminithiophilus ramosus	Inconclusive	Inconclusive	Aminithiophilus	Aminithiophilus	reconciled
0.006792	Bacteria	GCA_042680865.1	Kitasatospora	Kitasatospora cinereorecta	GCA_054602435.1	Streptomyces	Streptomyces argenteolus	OK	Inconclusive	Streptomyces	-	absent
0.006792	Bacteria	GCA_054602435.1	Streptomyces	Streptomyces argenteolus	GCA_042680865.1	Kitasatospora	Kitasatospora cinereorecta	Inconclusive	OK	-	Streptomyces	absent
0.006827	Bacteria	GCA_039534465.1	Kitasatospora	Kitasatospora cinereorecta	GCA_054602435.1	Streptomyces	Streptomyces argenteolus	OK	Inconclusive	Streptomyces	-	absent
0.006974	Bacteria	GCA_042652405.1	Kitasatospora	Kitasatospora cinereorecta	GCA_054602435.1	Streptomyces	Streptomyces argenteolus	OK	Inconclusive	Streptomyces	-	absent
0.007223	Bacteria	GCA_000214155.1	Mycolicibacter	Mycolicibacter sinensis	GCA_010726505.1	Mycobacterium	Mycobacterium novum	Inconclusive	Inconclusive	Mycobacterium	Mycobacterium	reconciled
0.007223	Bacteria	GCA_010726505.1	Mycobacterium	Mycobacterium novum	GCA_000214155.1	Mycolicibacter	Mycolicibacter sinensis	Inconclusive	Inconclusive	Mycobacterium	Mycobacterium	reconciled
