acc_a	acc_b	class	genus_a	genus_b	conserved_a	proteins_a	conserved_b	proteins_b	pocp	mash_dist	aai	prot_dist
GCA_000196115.1	GCA_000338295.1	congeneric	Rhodopirellula	Rhodopirellula	4345	5115	4409	5290	84.1326	0.096215	93.0244	0.074286
GCA_003597125.1	GCA_000756655.1	congeneric	Alcanivorax	Alcanivorax	2738	3435	2746	3273	81.7531	0.162655	81.0084	0.159354
GCA_002727185.1	GCA_000338295.1	congeneric	Rhodopirellula	Rhodopirellula	4504	5729	4477	5290	81.5047	0.097681	89.7283	0.095044
GCA_000292245.2	GCA_047302405.1	congeneric	Alkalihalobacillus	Alkalihalobacillus	3467	4124	3430	4348	81.4093	0.077423	94.1728	0.075723
GCA_003597125.1	GCA_009601165.1	congeneric	Alcanivorax	Alcanivorax	2772	3435	2774	3399	81.1531	0.157865	82.6640	0.143584
GCA_020966775.1	GCA_000196115.1	congeneric	Rhodopirellula	Rhodopirellula	3981	4755	4023	5115	81.0942	0.218593	79.3309	0.170949
GCA_002727185.1	GCA_000196115.1	congeneric	Rhodopirellula	Rhodopirellula	4418	5729	4373	5115	81.0679	0.136630	88.6487	0.101742
GCA_009601165.1	GCA_000756655.1	congeneric	Alcanivorax	Alcanivorax	2695	3399	2711	3273	81.0252	0.175137	80.1853	0.171632
GCA_000756655.1	GCA_000009365.1	congeneric	Alcanivorax	Alcanivorax	2453	3273	2409	2758	80.6168	0.181843	81.8566	0.147300
GCA_020966775.1	GCA_000338295.1	congeneric	Rhodopirellula	Rhodopirellula	3961	4755	4084	5290	80.0896	0.206387	79.3652	0.174412
GCA_006861775.1	GCA_006861795.1	congeneric	Psychrobacillus	Psychrobacillus	3357	4030	3305	4397	79.0554	0.128799	88.9639	0.110823
GCA_003597125.1	GCA_000009365.1	congeneric	Alcanivorax	Alcanivorax	2461	3435	2426	2758	78.9117	0.200342	80.8454	0.156945
GCA_009827455.1	GCA_012972675.1	congeneric	Pontixanthobacter	Pontixanthobacter	2093	2704	2080	2592	78.7953	0.240698	77.2720	0.191962
GCA_009720525.1	GCA_000181475.1	congeneric	Gimesia	Gimesia	4755	6104	4631	5814	78.7548	0.219531	78.2385	0.188699
GCA_009827395.1	GCA_009827455.1	congeneric	Pontixanthobacter	Pontixanthobacter	2165	2802	2154	2704	78.4417	0.188197	81.3216	0.158142
GCA_009827455.1	GCA_009828095.1	congeneric	Pontixanthobacter	Pontixanthobacter	2121	2704	2120	2712	78.3050	0.220489	77.2483	0.195326
GCA_001906925.1	GCA_001643235.1	congeneric	Domibacillus	Domibacillus	2686	3253	2797	3756	78.2280	0.086446	91.6804	0.093223
GCA_007754425.1	GCA_000181475.1	congeneric	Gimesia	Gimesia	4462	5793	4569	5814	77.8065	0.215885	79.8162	0.170949
GCA_007754425.1	GCA_007748195.1	congeneric	Gimesia	Gimesia	4404	5793	4434	5591	77.6353	0.214163	79.9048	0.178722
GCA_009720525.1	GCA_007754425.1	congeneric	Gimesia	Gimesia	4712	6104	4502	5793	77.4481	0.223483	78.5749	0.171632
GCA_002727185.1	GCA_020966775.1	congeneric	Rhodopirellula	Rhodopirellula	4126	5729	3983	4755	77.3464	0.200342	79.4322	0.173013
GCA_009601165.1	GCA_000009365.1	congeneric	Alcanivorax	Alcanivorax	2389	3399	2366	2758	77.2292	0.211692	79.8890	0.170270
GCA_012972675.1	GCA_009828095.1	congeneric	Pontixanthobacter	Pontixanthobacter	2031	2592	2040	2712	76.7534	0.227796	76.6786	0.198795
GCA_012932915.1	GCA_016481275.1	congeneric	Antrihabitans	Antrihabitans	4728	6310	4683	5994	76.4873	0.204974	74.8369	0.227754
GCA_009827395.1	GCA_009828095.1	congeneric	Pontixanthobacter	Pontixanthobacter	2099	2802	2091	2712	75.9884	0.219531	77.0232	0.207018
GCA_009827395.1	GCA_012972675.1	congeneric	Pontixanthobacter	Pontixanthobacter	2057	2802	2037	2592	75.8991	0.217673	76.1665	0.209899
