accession	taxid	organism	domain	domain_listed	phylum	phylum_taxid	class	class_taxid	order	order_taxid	family	family_taxid	genus	genus_taxid	species	species_taxid	species_name_ncbi	paired_gcf	level	length	n_contigs	completeness	contamination	taxcheck	dup_taxid	strain_dup	no_genus	name_mismatch	taxcheck_bad	low_quality	pass_gold
GCA_000008665.1	224325	Archaeoglobus fulgidus DSM 4304	Archaea	Archaea	Methanobacteriota	28890	Archaeoglobi	183980	Archaeoglobales	2231	Archaeoglobaceae	2232	Archaeoglobus	2233	Archaeoglobus fulgidus	2234	Archaeoglobus fulgidus	GCF_000008665.1	Complete Genome	2178400	1	96.69	2.53	OK	0	0	0	0	0	0	1
GCA_000011085.1	272569	Haloarcula marismortui ATCC 43049	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloarculaceae	1963268	Haloarcula	2237	Haloarcula marismortui	2238	Haloarcula marismortui	GCF_000011085.1	Complete Genome	4274642	9	89.17	6.1	OK	1	1	0	0	0	1	0
GCA_000011125.1	272557	Aeropyrum pernix K1	Archaea	Archaea	Thermoproteota	28889	Thermoprotei	183924	Desulfurococcales	114380	Desulfurococcaceae	2272	Aeropyrum	56635	Aeropyrum pernix	56636	Aeropyrum pernix	GCF_000011125.1	Complete Genome	1669696	1	93.82	2.09	OK	0	0	0	0	0	0	1
GCA_000018305.1	397948	Caldivirga maquilingensis IC-167	Archaea	Archaea	Thermoproteota	28889	Thermoprotei	183924	Thermoproteales	2266	Thermoproteaceae	2267	Caldivirga	76886	Caldivirga maquilingensis	76887	Caldivirga maquilingensis	GCF_000018305.1	Complete Genome	2077567	1	99.4		OK	0	0	0	0	0	1	0
GCA_000020905.1	490899	Desulfurococcus amylolyticus 1221n	Archaea	Archaea	Thermoproteota	28889	Thermoprotei	183924	Desulfurococcales	114380	Desulfurococcaceae	2272	Desulfurococcus	2273	Desulfurococcus amylolyticus	94694	Desulfurococcus amylolyticus	GCF_000020905.1	Complete Genome	1365223	1	99.57	0.34	OK	0	0	0	0	0	0	1
GCA_000022205.1	416348	Halorubrum lacusprofundi ATCC 49239	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloferacaceae	1644056	Halorubrum	56688	Halorubrum lacusprofundi	2247	Halorubrum lacusprofundi	GCF_000022205.1	Complete Genome	3692576	3	99.17	1.36	OK	0	0	0	0	0	0	1
GCA_000023945.1	519442	Halorhabdus utahensis DSM 12940	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloarculaceae	1963268	Halorhabdus	146825	Halorhabdus utahensis	146826	Halorhabdus utahensis	GCF_000023945.1	Complete Genome	3116795	1	99.52	0.97	OK	0	0	0	0	0	0	1
GCA_000023965.1	485914	Halomicrobium mukohataei DSM 12286	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Haloarculaceae	1963268	Halomicrobium	203135	Halomicrobium mukohataei	57705	Halomicrobium mukohataei	GCF_000023965.1	Complete Genome	3332349	2	97.67	2.21	OK	0	0	0	0	0	0	1
GCA_000025285.1	572546	Archaeoglobus profundus DSM 5631	Archaea	Archaea	Methanobacteriota	28890	Archaeoglobi	183980	Archaeoglobales	2231	Archaeoglobaceae	2232	Archaeoglobus	2233	Archaeoglobus profundus	84156	Archaeoglobus profundus	GCF_000025285.1	Complete Genome	1563423	2	98.87	0.12	OK	0	0	0	0	0	0	1
GCA_000025325.1	543526	Haloterrigena turkmenica DSM 5511	Archaea	Archaea	Methanobacteriota	28890	Halobacteria	183963	Halobacteriales	2235	Natrialbaceae	1644061	Haloterrigena	121871	Haloterrigena turkmenica	62320	Haloterrigena turkmenica	GCF_000025325.1	Complete Genome	5440782	7	99.38	0.9	OK	0	0	0	0	0	0	1
