scenario	accession	genus	domain	neighbour	dist	class	same_genus
as_reported	GCA_000007305.1	Pyrococcus	Archaea	GCA_008245085.1	0.000330	same_strain	1
no_self_strain	GCA_000007305.1	Pyrococcus	Archaea	GCA_050496105.1	0.003419	congeneric	1
novel_species	GCA_000007305.1	Pyrococcus	Archaea	GCA_050496105.1	0.003419	congeneric	1
as_reported	GCA_000007185.1	Methanopyrus	Archaea	GCA_017873335.1	0.328965	inter_genus	0
no_self_strain	GCA_000007185.1	Methanopyrus	Archaea	GCA_017873335.1	0.328965	inter_genus	0
novel_species	GCA_000007185.1	Methanopyrus	Archaea	GCA_017873335.1	0.328965	inter_genus	0
as_reported	GCA_000008645.1	Methanothermobacter	Archaea	GCA_027554905.1	0.000291	same_species	1
no_self_strain	GCA_000008645.1	Methanothermobacter	Archaea	GCA_027554905.1	0.000291	same_species	1
novel_species	GCA_000008645.1	Methanothermobacter	Archaea	GCA_003385755.1	0.019474	congeneric	1
as_reported	GCA_000008665.1	Archaeoglobus	Archaea	GCA_016757965.1	0.242205	congeneric	1
no_self_strain	GCA_000008665.1	Archaeoglobus	Archaea	GCA_016757965.1	0.242205	congeneric	1
novel_species	GCA_000008665.1	Archaeoglobus	Archaea	GCA_016757965.1	0.242205	congeneric	1
as_reported	GCA_000009965.1	Thermococcus	Archaea	GCA_001592435.1	0.095656	congeneric	1
no_self_strain	GCA_000009965.1	Thermococcus	Archaea	GCA_001592435.1	0.095656	congeneric	1
novel_species	GCA_000009965.1	Thermococcus	Archaea	GCA_001592435.1	0.095656	congeneric	1
as_reported	GCA_000011005.1	Methanocella	Archaea	GCA_000251105.1	0.220489	congeneric	1
no_self_strain	GCA_000011005.1	Methanocella	Archaea	GCA_000251105.1	0.220489	congeneric	1
novel_species	GCA_000011005.1	Methanocella	Archaea	GCA_000251105.1	0.220489	congeneric	1
as_reported	GCA_000011105.1	Pyrococcus	Archaea	GCA_008245085.1	0.223483	congeneric	1
no_self_strain	GCA_000011105.1	Pyrococcus	Archaea	GCA_008245085.1	0.223483	congeneric	1
novel_species	GCA_000011105.1	Pyrococcus	Archaea	GCA_008245085.1	0.223483	congeneric	1
as_reported	GCA_000011125.1	Aeropyrum	Archaea	GCA_000591035.1	0.145150	congeneric	1
no_self_strain	GCA_000011125.1	Aeropyrum	Archaea	GCA_000591035.1	0.145150	congeneric	1
novel_species	GCA_000011125.1	Aeropyrum	Archaea	GCA_000591035.1	0.145150	congeneric	1
as_reported	GCA_000011185.1	Thermoplasma	Archaea	GCA_001399695.1	0.236445	inter_genus	0
no_self_strain	GCA_000011185.1	Thermoplasma	Archaea	GCA_001399695.1	0.236445	inter_genus	0
novel_species	GCA_000011185.1	Thermoplasma	Archaea	GCA_001399695.1	0.236445	inter_genus	0
as_reported	GCA_000008265.1	Picrophilus	Archaea	GCA_900176435.1	0.010263	same_strain	1
no_self_strain	GCA_000008265.1	Picrophilus	Archaea	GCA_001402945.1	0.276697	inter_genus	0
novel_species	GCA_000008265.1	Picrophilus	Archaea	GCA_001402945.1	0.276697	inter_genus	0
as_reported	GCA_000011205.1	Sulfurisphaera	Archaea	GCA_039545175.1	0.000033	same_species	1
no_self_strain	GCA_000011205.1	Sulfurisphaera	Archaea	GCA_039545175.1	0.000033	same_species	1
novel_species	GCA_000011205.1	Sulfurisphaera	Archaea	GCA_014202105.1	0.039472	congeneric	1
as_reported	GCA_000012285.1	Sulfolobus	Archaea	GCA_028472365.1	0.000041	same_strain	1
no_self_strain	GCA_000012285.1	Sulfolobus	Archaea	GCA_009729545.1	0.300994	inter_genus	0
novel_species	GCA_000012285.1	Sulfolobus	Archaea	GCA_009729545.1	0.300994	inter_genus	0
as_reported	GCA_000007345.1	Methanosarcina	Archaea	GCA_000970085.1	0.074469	congeneric	1
no_self_strain	GCA_000007345.1	Methanosarcina	Archaea	GCA_000970085.1	0.074469	congeneric	1
novel_species	GCA_000007345.1	Methanosarcina	Archaea	GCA_000970085.1	0.074469	congeneric	1
as_reported	GCA_000015145.1	Hyperthermus	Archaea	GCA_000591035.1	0.300994	inter_genus	0
no_self_strain	GCA_000015145.1	Hyperthermus	Archaea	GCA_000591035.1	0.300994	inter_genus	0
novel_species	GCA_000015145.1	Hyperthermus	Archaea	GCA_000591035.1	0.300994	inter_genus	0
as_reported	GCA_000007225.1	Pyrobaculum	Archaea	GCA_000234805.1	0.260703	congeneric	1
no_self_strain	GCA_000007225.1	Pyrobaculum	Archaea	GCA_000234805.1	0.260703	congeneric	1
novel_species	GCA_000007225.1	Pyrobaculum	Archaea	GCA_000234805.1	0.260703	congeneric	1
as_reported	GCA_000015765.1	Methanocorpusculum	Archaea	GCA_013377755.1	0.306598	inter_genus	0
no_self_strain	GCA_000015765.1	Methanocorpusculum	Archaea	GCA_013377755.1	0.306598	inter_genus	0
novel_species	GCA_000015765.1	Methanocorpusculum	Archaea	GCA_013377755.1	0.306598	inter_genus	0
as_reported	GCA_000015945.1	Staphylothermus	Archaea	GCA_000092465.1	0.111073	congeneric	1
no_self_strain	GCA_000015945.1	Staphylothermus	Archaea	GCA_000092465.1	0.111073	congeneric	1
novel_species	GCA_000015945.1	Staphylothermus	Archaea	GCA_000092465.1	0.111073	congeneric	1
as_reported	GCA_000016525.1	Methanobrevibacter	Archaea	GCA_028743435.1	0.000000	same_strain	1
no_self_strain	GCA_000016525.1	Methanobrevibacter	Archaea	GCA_002252585.1	0.053609	congeneric	1
novel_species	GCA_000016525.1	Methanobrevibacter	Archaea	GCA_002252585.1	0.053609	congeneric	1
as_reported	GCA_000017625.1	Methanoregula	Archaea	GCA_000327485.1	0.256381	congeneric	1
no_self_strain	GCA_000017625.1	Methanoregula	Archaea	GCA_000327485.1	0.256381	congeneric	1
novel_species	GCA_000017625.1	Methanoregula	Archaea	GCA_000327485.1	0.256381	congeneric	1
as_reported	GCA_000018365.1	Thermococcus	Archaea	GCA_001647085.1	0.091653	congeneric	1
no_self_strain	GCA_000018365.1	Thermococcus	Archaea	GCA_001647085.1	0.091653	congeneric	1
novel_species	GCA_000018365.1	Thermococcus	Archaea	GCA_001647085.1	0.091653	congeneric	1
as_reported	GCA_000018465.1	Nitrosopumilus	Archaea	GCA_000220175.2	0.213325	inter_genus	0
no_self_strain	GCA_000018465.1	Nitrosopumilus	Archaea	GCA_000220175.2	0.213325	inter_genus	0
novel_species	GCA_000018465.1	Nitrosopumilus	Archaea	GCA_000220175.2	0.213325	inter_genus	0
as_reported	GCA_000019805.1	Pyrobaculum	Archaea	GCA_055384425.1	0.130840	congeneric	1
no_self_strain	GCA_000019805.1	Pyrobaculum	Archaea	GCA_055384425.1	0.130840	congeneric	1
novel_species	GCA_000019805.1	Pyrobaculum	Archaea	GCA_055384425.1	0.130840	congeneric	1
as_reported	GCA_000015225.1	Thermofilum	Archaea	GCA_000446015.1	0.287309	congeneric	1
no_self_strain	GCA_000015225.1	Thermofilum	Archaea	GCA_000446015.1	0.287309	congeneric	1
novel_species	GCA_000015225.1	Thermofilum	Archaea	GCA_000446015.1	0.287309	congeneric	1
as_reported	GCA_000020905.1	Desulfurococcus	Archaea	GCA_000513855.1	0.009601	same_species	1
no_self_strain	GCA_000020905.1	Desulfurococcus	Archaea	GCA_000513855.1	0.009601	same_species	1
novel_species	GCA_000020905.1	Desulfurococcus	Archaea	GCA_000186365.1	0.247037	congeneric	1
as_reported	GCA_000021965.1	Methanosphaerula	Archaea	GCA_052055875.1	0.113446	congeneric	1
no_self_strain	GCA_000021965.1	Methanosphaerula	Archaea	GCA_052055875.1	0.113446	congeneric	1
novel_species	GCA_000021965.1	Methanosphaerula	Archaea	GCA_052055875.1	0.113446	congeneric	1
as_reported	GCA_000022205.1	Halorubrum	Archaea	GCA_000337375.1	0.101056	congeneric	1
no_self_strain	GCA_000022205.1	Halorubrum	Archaea	GCA_000337375.1	0.101056	congeneric	1
novel_species	GCA_000022205.1	Halorubrum	Archaea	GCA_000337375.1	0.101056	congeneric	1
as_reported	GCA_000022365.1	Thermococcus	Archaea	GCA_000816105.1	0.126340	congeneric	1
no_self_strain	GCA_000022365.1	Thermococcus	Archaea	GCA_000816105.1	0.126340	congeneric	1
novel_species	GCA_000022365.1	Thermococcus	Archaea	GCA_000816105.1	0.126340	congeneric	1
as_reported	GCA_000022485.1	Saccharolobus	Archaea	GCA_019175345.1	0.046903	congeneric	1
no_self_strain	GCA_000022485.1	Saccharolobus	Archaea	GCA_019175345.1	0.046903	congeneric	1
novel_species	GCA_000022485.1	Saccharolobus	Archaea	GCA_019175345.1	0.046903	congeneric	1
as_reported	GCA_000022545.1	Thermococcus	Archaea	GCA_023746595.1	0.168318	congeneric	1
no_self_strain	GCA_000022545.1	Thermococcus	Archaea	GCA_023746595.1	0.168318	congeneric	1
novel_species	GCA_000022545.1	Thermococcus	Archaea	GCA_023746595.1	0.168318	congeneric	1
as_reported	GCA_000023945.1	Halorhabdus	Archaea	GCA_000470655.1	0.122140	congeneric	1
no_self_strain	GCA_000023945.1	Halorhabdus	Archaea	GCA_000470655.1	0.122140	congeneric	1
novel_species	GCA_000023945.1	Halorhabdus	Archaea	GCA_000470655.1	0.122140	congeneric	1
as_reported	GCA_000023965.1	Halomicrobium	Archaea	GCA_000379085.1	0.028279	congeneric	1
no_self_strain	GCA_000023965.1	Halomicrobium	Archaea	GCA_000379085.1	0.028279	congeneric	1
novel_species	GCA_000023965.1	Halomicrobium	Archaea	GCA_000379085.1	0.028279	congeneric	1
as_reported	GCA_000023985.1	Methanocaldococcus	Archaea	GCA_000739065.1	0.140776	congeneric	1
no_self_strain	GCA_000023985.1	Methanocaldococcus	Archaea	GCA_000739065.1	0.140776	congeneric	1
novel_species	GCA_000023985.1	Methanocaldococcus	Archaea	GCA_000739065.1	0.140776	congeneric	1
as_reported	GCA_000024185.1	Methanobrevibacter	Archaea	GCA_900114585.1	0.196126	congeneric	1
no_self_strain	GCA_000024185.1	Methanobrevibacter	Archaea	GCA_900114585.1	0.196126	congeneric	1
novel_species	GCA_000024185.1	Methanobrevibacter	Archaea	GCA_900114585.1	0.196126	congeneric	1
as_reported	GCA_000024625.1	Methanocaldococcus	Archaea	GCA_000091665.1	0.162937	congeneric	1
no_self_strain	GCA_000024625.1	Methanocaldococcus	Archaea	GCA_000091665.1	0.162937	congeneric	1
novel_species	GCA_000024625.1	Methanocaldococcus	Archaea	GCA_000091665.1	0.162937	congeneric	1
as_reported	GCA_000025285.1	Archaeoglobus	Archaea	GCA_001006045.1	0.291447	inter_genus	0
no_self_strain	GCA_000025285.1	Archaeoglobus	Archaea	GCA_001006045.1	0.291447	inter_genus	0
novel_species	GCA_000025285.1	Archaeoglobus	Archaea	GCA_001006045.1	0.291447	inter_genus	0
as_reported	GCA_000025325.1	Haloterrigena	Archaea	GCA_003977755.1	0.070719	congeneric	1
no_self_strain	GCA_000025325.1	Haloterrigena	Archaea	GCA_003977755.1	0.070719	congeneric	1
novel_species	GCA_000025325.1	Haloterrigena	Archaea	GCA_003977755.1	0.070719	congeneric	1
as_reported	GCA_000025505.1	Ferroglobus	Archaea	GCA_000008665.1	0.273629	inter_genus	0
no_self_strain	GCA_000025505.1	Ferroglobus	Archaea	GCA_000008665.1	0.273629	inter_genus	0
novel_species	GCA_000025505.1	Ferroglobus	Archaea	GCA_000008665.1	0.273629	inter_genus	0
as_reported	GCA_000025685.1	Haloferax	Archaea	GCA_000337315.1	0.000525	same_strain	1
no_self_strain	GCA_000025685.1	Haloferax	Archaea	GCA_030535215.1	0.018830	same_species	1
novel_species	GCA_000025685.1	Haloferax	Archaea	GCA_000337795.1	0.056870	congeneric	1
as_reported	GCA_000026045.1	Natronomonas	Archaea	GCA_013391085.1	0.195553	congeneric	1
no_self_strain	GCA_000026045.1	Natronomonas	Archaea	GCA_013391085.1	0.195553	congeneric	1
novel_species	GCA_000026045.1	Natronomonas	Archaea	GCA_013391085.1	0.195553	congeneric	1
as_reported	GCA_000063445.1	Methanocella	Archaea	GCA_000011005.1	0.268030	congeneric	1
no_self_strain	GCA_000063445.1	Methanocella	Archaea	GCA_000011005.1	0.268030	congeneric	1
novel_species	GCA_000063445.1	Methanocella	Archaea	GCA_000011005.1	0.268030	congeneric	1
as_reported	GCA_000091665.1	Methanocaldococcus	Archaea	GCA_000739065.1	0.114108	congeneric	1
no_self_strain	GCA_000091665.1	Methanocaldococcus	Archaea	GCA_000739065.1	0.114108	congeneric	1
novel_species	GCA_000091665.1	Methanocaldococcus	Archaea	GCA_000739065.1	0.114108	congeneric	1
as_reported	GCA_000092465.1	Staphylothermus	Archaea	GCA_000015945.1	0.111073	congeneric	1
no_self_strain	GCA_000092465.1	Staphylothermus	Archaea	GCA_000015945.1	0.111073	congeneric	1
novel_species	GCA_000092465.1	Staphylothermus	Archaea	GCA_000015945.1	0.111073	congeneric	1
as_reported	GCA_000145295.1	Methanothermobacter	Archaea	GCA_027555065.1	0.000048	same_species	1
no_self_strain	GCA_000145295.1	Methanothermobacter	Archaea	GCA_027555065.1	0.000048	same_species	1
novel_species	GCA_000145295.1	Methanothermobacter	Archaea	GCA_027555045.1	0.134314	congeneric	1
as_reported	GCA_000147875.1	Methanolacinia	Archaea	GCA_000784355.1	0.062606	congeneric	1
no_self_strain	GCA_000147875.1	Methanolacinia	Archaea	GCA_000784355.1	0.062606	congeneric	1
novel_species	GCA_000147875.1	Methanolacinia	Archaea	GCA_000784355.1	0.062606	congeneric	1
as_reported	GCA_000148385.1	Vulcanisaeta	Archaea	GCA_026000775.1	0.123300	congeneric	1
no_self_strain	GCA_000148385.1	Vulcanisaeta	Archaea	GCA_026000775.1	0.123300	congeneric	1
novel_species	GCA_000148385.1	Vulcanisaeta	Archaea	GCA_026000775.1	0.123300	congeneric	1
as_reported	GCA_000151105.2	Thermococcus	Archaea	GCA_000517445.1	0.133125	congeneric	1
no_self_strain	GCA_000151105.2	Thermococcus	Archaea	GCA_000517445.1	0.133125	congeneric	1
