acc_a	acc_b	sp_a	sp_b	same_species	mash_dist	ani_conv
GCA_049381025.1	GCA_965217535.1	Fusobacterium watanabei	Fusobacterium watanabei	1	0.000000	100.00
GCA_037900345.1	GCA_056333145.1	Fusobacterium nucleatum	Fusobacterium nucleatum	1	0.000007	100.00
GCA_031191795.1	GCA_050920715.1	Fusobacterium nucleatum	Fusobacterium nucleatum	1	0.000009	100.00
GCA_031191795.1	GCA_056333145.1	Fusobacterium nucleatum	Fusobacterium nucleatum	1	0.000019	100.00
GCA_003019295.1	GCA_056333145.1	Fusobacterium nucleatum	Fusobacterium nucleatum	1	0.000020	100.00
GCA_031191795.1	GCA_037900345.1	Fusobacterium nucleatum	Fusobacterium nucleatum	1	0.000020	100.00
GCA_003019295.1	GCA_037900345.1	Fusobacterium nucleatum	Fusobacterium nucleatum	1	0.000022	100.00
GCA_050920715.1	GCA_056333145.1	Fusobacterium nucleatum	Fusobacterium nucleatum	1	0.000024	100.00
GCA_037900345.1	GCA_050920715.1	Fusobacterium nucleatum	Fusobacterium nucleatum	1	0.000025	100.00
GCA_003019295.1	GCA_031191795.1	Fusobacterium nucleatum	Fusobacterium nucleatum	1	0.000031	100.00
GCA_001457555.1	GCA_035320945.1	Fusobacterium polymorphum	Fusobacterium polymorphum	1	0.000033	100.00
GCA_003019295.1	GCA_050920715.1	Fusobacterium nucleatum	Fusobacterium nucleatum	1	0.000038	100.00
GCA_000158315.2	GCA_003019675.1	Fusobacterium ulcerans	Fusobacterium ulcerans	1	0.000053	99.99
GCA_001457555.1	GCA_037900625.1	Fusobacterium polymorphum	Fusobacterium polymorphum	1	0.000054	99.99
GCA_035320945.1	GCA_037900625.1	Fusobacterium polymorphum	Fusobacterium polymorphum	1	0.000059	99.99
GCA_000262225.1	GCA_008801775.1	Fusobacterium necrophorum	Fusobacterium necrophorum	1	0.000077	99.99
GCA_000153625.1	GCA_035320945.1	Fusobacterium polymorphum	Fusobacterium polymorphum	1	0.000090	99.99
GCA_001457555.1	GCA_050920725.1	Fusobacterium polymorphum	Fusobacterium polymorphum	1	0.000090	99.99
GCA_000153625.1	GCA_001457555.1	Fusobacterium polymorphum	Fusobacterium polymorphum	1	0.000095	99.99
GCA_035320945.1	GCA_050920725.1	Fusobacterium polymorphum	Fusobacterium polymorphum	1	0.000097	99.99
GCA_037900625.1	GCA_050920725.1	Fusobacterium polymorphum	Fusobacterium polymorphum	1	0.000112	99.99
GCA_000153625.1	GCA_037900625.1	Fusobacterium polymorphum	Fusobacterium polymorphum	1	0.000114	99.99
GCA_000153625.1	GCA_050920725.1	Fusobacterium polymorphum	Fusobacterium polymorphum	1	0.000153	99.98
GCA_031191795.1	GCA_964642115.1	Fusobacterium nucleatum	Fusobacterium nucleatum	1	0.000202	99.98
GCA_050920715.1	GCA_964642115.1	Fusobacterium nucleatum	Fusobacterium nucleatum	1	0.000206	99.98
GCA_056333145.1	GCA_964642115.1	Fusobacterium nucleatum	Fusobacterium nucleatum	1	0.000217	99.98
GCA_037900345.1	GCA_964642115.1	Fusobacterium nucleatum	Fusobacterium nucleatum	1	0.000219	99.98
GCA_003019295.1	GCA_964642115.1	Fusobacterium nucleatum	Fusobacterium nucleatum	1	0.000232	99.97
GCA_000292935.1	GCA_014217355.1	Fusobacterium hwasookii	Fusobacterium hwasookii	1	0.000702	99.92
GCA_000158835.2	GCA_003019695.1	Fusobacterium gonidiaformans	Fusobacterium gonidiaformans	1	0.000854	99.90
GCA_000279975.1	GCA_900450795.1	Fusobacterium vincentii	Fusobacterium vincentii	1	0.003585	99.60
GCA_000182945.1	GCA_000279975.1	Fusobacterium vincentii	Fusobacterium vincentii	1	0.019660	97.80
