acc_a	acc_b	class	genus_a	genus_b	conserved_a	proteins_a	conserved_b	proteins_b	pocp	mash_dist	aai	prot_dist
GCA_001400635.1	GCA_001401215.1	congeneric	Pseudomonas	Pseudomonas	4794	5205	4804	5215	92.1113	0.031477		
GCA_001418025.1	GCA_014201515.1	congeneric	Anoxybacillus	Anoxybacillus	2450	2617	2443	2702	91.9910	0.048035		
GCA_001418655.1	GCA_014656275.1	congeneric	Streptomyces	Streptomyces	8409	9368	8198	8995	90.4373	0.035846		
GCA_001642805.2	GCA_034424255.1	congeneric	Serratia	Serratia	4275	4748	4276	4755	89.9821	0.050312		
GCA_000181535.1	GCA_001639065.2	congeneric	Vibrio	Vibrio	4531	5066	4486	5034	89.2772	0.044639		
GCA_021173085.2	GCA_023955645.1	congeneric	Ralstonia	Ralstonia	4392	4826	4442	5136	88.6770	0.064098		
GCA_902459595.1	GCA_902459665.1	congeneric	Pandoraea	Pandoraea	3960	4337	4001	4646	88.6230	0.038462		
GCA_014656275.1	GCA_016598615.1	congeneric	Streptomyces	Streptomyces	8116	8995	8264	9740	87.4299	0.049995		
GCA_055383075.1	GCA_055396975.1	congeneric	Symbiobacterium	Symbiobacterium	2979	3457	2936	3322	87.2548	0.102631		
GCA_000382005.1	GCA_012641725.1	congeneric	Pseudoalteromonas	Pseudoalteromonas	4046	4528	4067	4777	87.1897	0.036262		
GCA_021173085.2	GCA_958405935.1	congeneric	Ralstonia	Ralstonia	4248	4826	4286	4962	87.1884	0.077740		
GCA_001611855.1	GCA_002086715.1	congeneric	Mycobacteroides	Mycobacteroides	4202	4632	4204	5117	86.2242	0.129876		
GCA_020404845.1	GCA_027947575.1	congeneric	Streptomyces	Streptomyces	6238	7263	6287	7298	86.0174	0.059574		
GCA_023955645.1	GCA_958405935.1	congeneric	Ralstonia	Ralstonia	4347	5136	4335	4962	85.9774	0.078703		
GCA_001418655.1	GCA_016598615.1	congeneric	Streptomyces	Streptomyces	8242	9368	8177	9740	85.9274	0.051356		
GCA_021390235.1	GCA_042430785.1	congeneric	Streptomyces	Streptomyces	6823	8369	6601	7315	85.5904	0.042584		
GCA_001969825.1	GCA_023278185.1	congeneric	Bradyrhizobium	Bradyrhizobium	6930	7775	7047	8598	85.3662	0.047447		
GCA_003064125.1	GCA_042647405.1	congeneric	Xanthomonas	Xanthomonas	3541	4202	3553	4138	85.0600	0.051356		
GCA_021919185.1	GCA_042432025.1	congeneric	Xanthomonas	Xanthomonas	3226	3852	3325	3852	85.0337	0.036880		
GCA_010728525.1	GCA_025821505.1	congeneric	Mycobacterium	Mycobacterium	3822	4427	3940	4819	83.9498	0.020916		
GCA_019308285.1	GCA_030378165.1	congeneric	Flavobacterium	Flavobacterium	4273	5097	4170	4966	83.9014	0.055126		
GCA_013087605.1	GCA_046118665.1	congeneric	Rhizobium	Rhizobium	5921	6988	5914	7171	83.5864	0.068691		
GCA_000252995.1	GCA_006365335.1	congeneric	Salmonella	Salmonella	3529	3973	3580	4587	83.0491	0.085039		
GCA_024169475.1	GCA_025175645.1	congeneric	Peribacillus	Peribacillus	4376	5052	4456	5594	82.9607	0.070819		
GCA_021173085.2	GCA_039522805.1	congeneric	Ralstonia	Ralstonia	3780	4826	3753	4426	81.4202	0.108487		
GCA_000478275.1	GCA_014873915.1	congeneric	Amycolatopsis	Amycolatopsis	6793	8170	6861	8602	81.4095	0.087802		
GCA_000759735.1	GCA_019048805.1	congeneric	Citrobacter	Citrobacter	3928	4575	3965	5176	80.9455	0.073072		
GCA_045310525.1	GCA_045310675.1	congeneric	Clostridium	Clostridium	2970	3841	2920	3443	80.8622	0.077621		
GCA_023955645.1	GCA_039522805.1	congeneric	Ralstonia	Ralstonia	3903	5136	3825	4426	80.8199	0.112243		
GCA_039522805.1	GCA_958405935.1	congeneric	Ralstonia	Ralstonia	3747	4426	3823	4962	80.6349	0.113823		
GCA_001277805.1	GCA_001618685.1	congeneric	Geobacillus	Geobacillus	2293	2613	2377	3206	80.2543	0.104724		
GCA_000372845.1	GCA_013350005.1	congeneric	Methylocystis	Methylocystis	2985	3698	2948	3705	80.1432	0.066382		
GCA_030412915.1	GCA_030412965.1	congeneric	Nocardioides	Nocardioides	3477	4078	3582	4745	80.0068	0.098665		
GCA_023656565.1	GCA_030378165.1	congeneric	Flavobacterium	Flavobacterium	3714	4502	3775	4966	79.0980	0.128533		
GCA_054602315.1	GCA_900094605.1	congeneric	Bradyrhizobium	Bradyrhizobium	5911	7168	6179	8291	78.2069	0.106604		
GCA_007858165.1	GCA_008386555.1	congeneric	Pseudomonas	Pseudomonas	4352	5724	4305	5389	77.8998	0.128401		
GCA_019930105.1	GCA_900475975.1	congeneric	Streptococcus	Streptococcus	1382	1770	1381	1779	77.8529	0.106285		
GCA_025642175.1	GCA_042431885.1	congeneric	Streptomyces	Streptomyces	5797	7338	5763	7515	77.8294	0.104419		
GCA_020404845.1	GCA_042433635.1	congeneric	Streptomyces	Streptomyces	5421	7263	5214	6482	77.3736	0.097746		
GCA_019308285.1	GCA_023656565.1	congeneric	Flavobacterium	Flavobacterium	3766	5097	3640	4502	77.1539	0.132688		
GCA_027947575.1	GCA_042433635.1	congeneric	Streptomyces	Streptomyces	5412	7298	5177	6482	76.8433	0.095903		
GCA_000252995.1	GCA_000759735.1	inter_genus	Salmonella	Citrobacter	3216	3973	3331	4575	76.5910	0.155166		
GCA_001580545.1	GCA_013366925.1	congeneric	Paraburkholderia	Paraburkholderia	5612	6983	5892	8209	75.7241	0.093547		
GCA_014656275.1	GCA_021390235.1	congeneric	Streptomyces	Streptomyces	6655	8995	6399	8369	75.1785	0.151725		
GCA_001544215.1	GCA_053761065.1	congeneric	Enterococcus	Enterococcus	2037	2758	2014	2637	75.0880	0.136157		
GCA_014656275.1	GCA_042430785.1	congeneric	Streptomyces	Streptomyces	6293	8995	5846	7315	74.4267	0.148731		
GCA_001418655.1	GCA_021390235.1	congeneric	Streptomyces	Streptomyces	6791	9368	6342	8369	74.0430	0.150417		
GCA_000759735.1	GCA_006365335.1	inter_genus	Citrobacter	Salmonella	3417	4575	3360	4587	73.9686	0.147707		
GCA_023656565.1	GCA_042659905.1	congeneric	Flavobacterium	Flavobacterium	3439	4502	3509	4916	73.7736	0.174408		
GCA_016598615.1	GCA_021390235.1	congeneric	Streptomyces	Streptomyces	6873	9740	6454	8369	73.5932	0.148114		
GCA_000817815.1	GCA_002741985.1	congeneric	Vibrio	Vibrio	3783	5721	3764	4574	73.3074	0.094981		
GCA_001418655.1	GCA_042430785.1	congeneric	Streptomyces	Streptomyces	6386	9368	5776	7315	72.9006	0.149356		
GCA_020404845.1	GCA_042430785.1	congeneric	Streptomyces	Streptomyces	5256	7263	5301	7315	72.4173	0.137268		
GCA_016598615.1	GCA_042430785.1	congeneric	Streptomyces	Streptomyces	6471	9740	5879	7315	72.4128	0.148938		
GCA_042430785.1	GCA_042433635.1	congeneric	Streptomyces	Streptomyces	5085	7315	4866	6482	72.1244	0.137268		
GCA_020404845.1	GCA_021390235.1	congeneric	Streptomyces	Streptomyces	5524	7263	5743	8369	72.0765	0.137915		
GCA_000252995.1	GCA_019048805.1	inter_genus	Salmonella	Citrobacter	3220	3973	3356	5176	71.8767	0.155166		
GCA_025642175.1	GCA_963924095.1	congeneric	Streptomyces	Streptomyces	5281	7338	5184	7236	71.8060	0.116963		
GCA_027947575.1	GCA_042430785.1	congeneric	Streptomyces	Streptomyces	5240	7298	5229	7315	71.6417	0.138407		
GCA_021390235.1	GCA_027947575.1	congeneric	Streptomyces	Streptomyces	5691	8369	5513	7298	71.5134	0.137753		
GCA_021919185.1	GCA_042647405.1	congeneric	Xanthomonas	Xanthomonas	2839	3852	2872	4138	71.4768	0.164662		
GCA_030378165.1	GCA_042659905.1	congeneric	Flavobacterium	Flavobacterium	3512	4966	3530	4916	71.2609	0.182699		
GCA_014656275.1	GCA_020404845.1	congeneric	Streptomyces	Streptomyces	6003	8995	5564	7263	71.1465	0.155645		
GCA_042432025.1	GCA_042647405.1	congeneric	Xanthomonas	Xanthomonas	2860	3852	2820	4138	71.0889	0.166150		
GCA_021390235.1	GCA_042433635.1	congeneric	Streptomyces	Streptomyces	5478	8369	5074	6482	71.0525	0.140086		
GCA_001401215.1	GCA_007858165.1	congeneric	Pseudomonas	Pseudomonas	3874	5215	3879	5724	70.8749	0.202933		
GCA_030406665.1	GCA_030409215.1	congeneric	Halomonas	Halomonas	2421	3257	2536	3749	70.7536	0.144959		
GCA_014656275.1	GCA_027947575.1	congeneric	Streptomyces	Streptomyces	5961	8995	5550	7298	70.6500	0.158373		
GCA_019308285.1	GCA_042659905.1	congeneric	Flavobacterium	Flavobacterium	3564	5097	3494	4916	70.4884	0.185367		
GCA_001580545.1	GCA_902459535.1	congeneric	Paraburkholderia	Paraburkholderia	5030	6983	5023	7307	70.3499	0.148524		
GCA_006365335.1	GCA_019048805.1	inter_genus	Salmonella	Citrobacter	3385	4587	3476	5176	70.2755	0.151504		
GCA_020404845.1	GCA_025642175.1	congeneric	Streptomyces	Streptomyces	5133	7263	5100	7338	70.0842	0.145150		
GCA_042431885.1	GCA_963924095.1	congeneric	Streptomyces	Streptomyces	5201	7515	5130	7236	70.0359	0.123066		
GCA_001400635.1	GCA_007858165.1	congeneric	Pseudomonas	Pseudomonas	3820	5205	3817	5724	69.8783	0.202271		
GCA_003064125.1	GCA_042432025.1	congeneric	Xanthomonas	Xanthomonas	2790	4202	2834	3852	69.8287	0.163791		
GCA_025642175.1	GCA_027947575.1	congeneric	Streptomyces	Streptomyces	5068	7338	5116	7298	69.5819	0.146312		
GCA_020404845.1	GCA_042431885.1	congeneric	Streptomyces	Streptomyces	5163	7263	5110	7515	69.5155	0.146509		
GCA_001277805.1	GCA_001418025.1	inter_genus	Geobacillus	Anoxybacillus	1819	2613	1816	2617	69.5029	0.263022		
GCA_001418025.1	GCA_001618685.1	inter_genus	Anoxybacillus	Geobacillus	1975	2617	2072	3206	69.5003	0.248764		
GCA_001969825.1	GCA_900094605.1	congeneric	Bradyrhizobium	Bradyrhizobium	5569	7775	5592	8291	69.4697	0.155645		
GCA_001418655.1	GCA_020404845.1	congeneric	Streptomyces	Streptomyces	6074	9368	5473	7263	69.4306	0.159669		
GCA_025642175.1	GCA_042430785.1	congeneric	Streptomyces	Streptomyces	5081	7338	5081	7315	69.3510	0.142187		
GCA_001418655.1	GCA_027947575.1	congeneric	Streptomyces	Streptomyces	6062	9368	5466	7298	69.1708	0.159407		
GCA_021390235.1	GCA_025642175.1	congeneric	Streptomyces	Streptomyces	5530	8369	5334	7338	69.1666	0.142547		
GCA_016598615.1	GCA_020404845.1	congeneric	Streptomyces	Streptomyces	6156	9740	5594	7263	69.1055	0.158887		
