bin	source	completeness	contamination	donor	donor_species	nn_dist	nn_dist_acc	nn_dist_ok	nn_cont	nn_cont_acc	nn_cont_ok
GCA_040359615.1~c1.00~g0.00~none.fna	GCA_040359615.1	1.00	0.00	none	present	0.148524	GCA_040358255.1	True	0.043988	GCA_040358255.1	True
GCA_040359615.1~c1.00~g0.00~none.fna	GCA_040359615.1	1.00	0.00	none	absent	0.148524	GCA_040358255.1	True	0.043988	GCA_040358255.1	True
GCA_040359615.1~c1.00~g0.10~far.fna	GCA_040359615.1	1.00	0.10	far	present	0.086843	GCA_055385515.1	False	0.104205	GCA_055385515.1	False
GCA_040359615.1~c1.00~g0.10~far.fna	GCA_040359615.1	1.00	0.10	far	absent	0.151285	GCA_040358255.1	True	0.039374	GCA_040358255.1	True
GCA_040359615.1~c1.00~g0.10~near.fna	GCA_040359615.1	1.00	0.10	near	present	0.090875	GCA_040358255.1	True	0.140235	GCA_040358255.1	True
GCA_040359615.1~c1.00~g0.10~near.fna	GCA_040359615.1	1.00	0.10	near	absent	0.151066	GCA_040358985.1	True	0.037774	GCA_040358985.1	True
GCA_040359615.1~c1.00~g0.20~far.fna	GCA_040359615.1	1.00	0.20	far	present	0.053077	GCA_055385515.1	False	0.206489	GCA_055385515.1	False
GCA_040359615.1~c1.00~g0.20~far.fna	GCA_040359615.1	1.00	0.20	far	absent	0.153758	GCA_040358255.1	True	0.035442	GCA_040358255.1	True
GCA_040359615.1~c1.00~g0.20~near.fna	GCA_040359615.1	1.00	0.20	near	present	0.065914	GCA_040358255.1	True	0.224281	GCA_040358255.1	True
GCA_040359615.1~c1.00~g0.20~near.fna	GCA_040359615.1	1.00	0.20	near	absent	0.146706	GCA_040358985.1	True	0.039317	GCA_040358985.1	True
GCA_040359615.1~c0.90~g0.00~none.fna	GCA_040359615.1	0.90	0.00	none	present	0.151725	GCA_040358255.1	True	0.043317	GCA_040358255.1	True
GCA_040359615.1~c0.90~g0.00~none.fna	GCA_040359615.1	0.90	0.00	none	absent	0.151725	GCA_040358255.1	True	0.043317	GCA_040358255.1	True
GCA_040359615.1~c0.90~g0.10~far.fna	GCA_040359615.1	0.90	0.10	far	present	0.086793	GCA_055385515.1	False	0.106864	GCA_055385515.1	False
GCA_040359615.1~c0.90~g0.10~far.fna	GCA_040359615.1	0.90	0.10	far	absent	0.154692	GCA_040358255.1	True	0.038525	GCA_040358255.1	True
GCA_040359615.1~c0.90~g0.10~near.fna	GCA_040359615.1	0.90	0.10	near	present	0.093255	GCA_040358255.1	True	0.140037	GCA_040358255.1	True
GCA_040359615.1~c0.90~g0.10~near.fna	GCA_040359615.1	0.90	0.10	near	absent	0.158630	GCA_040358985.1	True	0.033742	GCA_040358985.1	True
GCA_040359615.1~c0.90~g0.20~far.fna	GCA_040359615.1	0.90	0.20	far	present	0.054191	GCA_055385515.1	False	0.206241	GCA_055385515.1	False
GCA_040359615.1~c0.90~g0.20~far.fna	GCA_040359615.1	0.90	0.20	far	absent	0.158630	GCA_040358255.1	True	0.033535	GCA_040358255.1	True
GCA_040359615.1~c0.90~g0.20~near.fna	GCA_040359615.1	0.90	0.20	near	present	0.067096	GCA_040358255.1	True	0.229265	GCA_040358255.1	True
GCA_040359615.1~c0.90~g0.20~near.fna	GCA_040359615.1	0.90	0.20	near	absent	0.154457	GCA_040358985.1	True	0.034920	GCA_040358985.1	True
GCA_040359615.1~c0.70~g0.00~none.fna	GCA_040359615.1	0.70	0.00	none	present	0.159407	GCA_040358255.1	True	0.042312	GCA_040358255.1	True
GCA_040359615.1~c0.70~g0.00~none.fna	GCA_040359615.1	0.70	0.00	none	absent	0.159407	GCA_040358255.1	True	0.042312	GCA_040358255.1	True
GCA_040359615.1~c0.70~g0.10~far.fna	GCA_040359615.1	0.70	0.10	far	present	0.091041	GCA_055385515.1	False	0.104496	GCA_055385515.1	False
GCA_040359615.1~c0.70~g0.10~far.fna	GCA_040359615.1	0.70	0.10	far	absent	0.161547	GCA_040358255.1	True	0.038046	GCA_040358255.1	True
GCA_040359615.1~c0.70~g0.10~near.fna	GCA_040359615.1	0.70	0.10	near	present	0.100428	GCA_040358255.1	True	0.137317	GCA_040358255.1	True
GCA_040359615.1~c0.70~g0.10~near.fna	GCA_040359615.1	0.70	0.10	near	absent	0.159669	GCA_040358985.1	True	0.037393	GCA_040358985.1	True
GCA_040359615.1~c0.70~g0.20~far.fna	GCA_040359615.1	0.70	0.20	far	present	0.057142	GCA_055385515.1	False	0.205991	GCA_055385515.1	False
GCA_040359615.1~c0.70~g0.20~far.fna	GCA_040359615.1	0.70	0.20	far	absent	0.164955	GCA_040358255.1	True	0.033214	GCA_040358255.1	True
GCA_040359615.1~c0.70~g0.20~near.fna	GCA_040359615.1	0.70	0.20	near	present	0.072652	GCA_040358255.1	True	0.230780	GCA_040358255.1	True
GCA_040359615.1~c0.70~g0.20~near.fna	GCA_040359615.1	0.70	0.20	near	absent	0.149777	GCA_040358985.1	True	0.043301	GCA_040358985.1	True
GCA_040359615.1~c0.50~g0.00~none.fna	GCA_040359615.1	0.50	0.00	none	present	0.165251	GCA_040358255.1	True	0.046108	GCA_040358255.1	True
GCA_040359615.1~c0.50~g0.00~none.fna	GCA_040359615.1	0.50	0.00	none	absent	0.165251	GCA_040358255.1	True	0.046108	GCA_040358255.1	True
GCA_040359615.1~c0.50~g0.10~far.fna	GCA_040359615.1	0.50	0.10	far	present	0.096404	GCA_055385515.1	False	0.104127	GCA_055385515.1	False
GCA_040359615.1~c0.50~g0.10~far.fna	GCA_040359615.1	0.50	0.10	far	absent	0.167376	GCA_040358255.1	True	0.041059	GCA_040358255.1	True
GCA_040359615.1~c0.50~g0.10~near.fna	GCA_040359615.1	0.50	0.10	near	present	0.107905	GCA_040358255.1	True	0.143283	GCA_040358255.1	True
