scenario	accession	genus	domain	neighbour	dist	class	same_genus
as_reported	GCA_000007085.1	Thermoanaerobacter	Bacteria	GCA_024807135.1	0.000048	same_strain	1
no_self_strain	GCA_000007085.1	Thermoanaerobacter	Bacteria	GCA_000473865.1	0.017506	same_species	1
novel_species	GCA_000007085.1	Thermoanaerobacter	Bacteria	GCA_003722315.1	0.157463	congeneric	1
as_reported	GCA_000003925.1	Bacillus_A	Bacteria	GCA_044949865.1	0.000095	same_species	1
no_self_strain	GCA_000003925.1	Bacillus_A	Bacteria	GCA_044949865.1	0.000095	same_species	1
novel_species	GCA_000003925.1	Bacillus_A	Bacteria	GCA_001884135.1	0.052072	congeneric	1
as_reported	GCA_000006985.1	Chlorobaculum	Bacteria	GCA_006265165.1	0.126643	congeneric	1
no_self_strain	GCA_000006985.1	Chlorobaculum	Bacteria	GCA_006265165.1	0.126643	congeneric	1
novel_species	GCA_000006985.1	Chlorobaculum	Bacteria	GCA_006265165.1	0.126643	congeneric	1
as_reported	GCA_000007125.1	Brucella	Bacteria	GCA_000740415.1	0.000086	same_strain	1
no_self_strain	GCA_000007125.1	Brucella	Bacteria	GCA_000369945.1	0.002447	same_species	1
as_reported	GCA_000007025.1	Rickettsia	Bacteria	GCA_000261325.1	0.006372	same_species	1
no_self_strain	GCA_000007025.1	Rickettsia	Bacteria	GCA_000261325.1	0.006372	same_species	1
as_reported	GCA_000007145.1	Xanthomonas	Bacteria	GCA_020813135.1	0.000068	same_species	1
no_self_strain	GCA_000007145.1	Xanthomonas	Bacteria	GCA_020813135.1	0.000068	same_species	1
novel_species	GCA_000007145.1	Xanthomonas	Bacteria	GCA_021352975.1	0.110289	congeneric	1
as_reported	GCA_000006945.2	Salmonella	Bacteria	GCA_001558355.2	0.000002	same_species	1
no_self_strain	GCA_000006945.2	Salmonella	Bacteria	GCA_001558355.2	0.000002	same_species	1
as_reported	GCA_000007205.1	Chlamydia	Bacteria	GCA_900239945.1	0.169246	congeneric	1
no_self_strain	GCA_000007205.1	Chlamydia	Bacteria	GCA_900239945.1	0.169246	congeneric	1
novel_species	GCA_000007205.1	Chlamydia	Bacteria	GCA_900239945.1	0.169246	congeneric	1
as_reported	GCA_000006685.1	Chlamydia	Bacteria	GCA_000174975.1	0.000153	same_strain	1
no_self_strain	GCA_000006685.1	Chlamydia	Bacteria	GCA_000012125.1	0.157014	congeneric	1
novel_species	GCA_000006685.1	Chlamydia	Bacteria	GCA_000012125.1	0.157014	congeneric	1
as_reported	GCA_000007365.1	Buchnera	Bacteria	GCA_013377275.1	0.313636	inter_genus	0
no_self_strain	GCA_000007365.1	Buchnera	Bacteria	GCA_013377275.1	0.313636	inter_genus	0
novel_species	GCA_000007365.1	Buchnera	Bacteria	GCA_013377275.1	0.313636	inter_genus	0
as_reported	GCA_000007485.1	Tropheryma	Bacteria	GCA_900241005.1	0.283138	inter_genus	0
no_self_strain	GCA_000007485.1	Tropheryma	Bacteria	GCA_900241005.1	0.283138	inter_genus	0
novel_species	GCA_000007485.1	Tropheryma	Bacteria	GCA_900241005.1	0.283138	inter_genus	0
as_reported	GCA_000007505.1	Brucella	Bacteria	GCA_000223195.1	0.000002	same_strain	1
no_self_strain	GCA_000007505.1	Brucella	Bacteria	GCA_900460605.1	0.000004	same_species	1
as_reported	GCA_000007545.1	Salmonella	Bacteria	GCA_900456745.1	0.000036	same_species	1
no_self_strain	GCA_000007545.1	Salmonella	Bacteria	GCA_900456745.1	0.000036	same_species	1
as_reported	GCA_000007605.1	Chlamydia	Bacteria	GCA_900239975.1	0.112143	congeneric	1
no_self_strain	GCA_000007605.1	Chlamydia	Bacteria	GCA_900239975.1	0.112143	congeneric	1
novel_species	GCA_000007605.1	Chlamydia	Bacteria	GCA_900239975.1	0.112143	congeneric	1
as_reported	GCA_000007705.1	Chromobacterium	Bacteria	GCA_900446805.1	0.000023	same_species	1
no_self_strain	GCA_000007705.1	Chromobacterium	Bacteria	GCA_900446805.1	0.000023	same_species	1
novel_species	GCA_000007705.1	Chromobacterium	Bacteria	GCA_042646545.1	0.077141	congeneric	1
as_reported	GCA_000007745.1	Basfia	Bacteria	GCA_052232245.1	0.010515	same_species	1
no_self_strain	GCA_000007745.1	Basfia	Bacteria	GCA_052232245.1	0.010515	same_species	1
novel_species	GCA_000007745.1	Basfia	Bacteria	GCA_029577735.1	0.194318	inter_genus	0
as_reported	GCA_000007805.1	Aquipseudomonas	Bacteria	GCA_028993425.1	0.000026	same_species	1
no_self_strain	GCA_000007805.1	Aquipseudomonas	Bacteria	GCA_028993425.1	0.000026	same_species	1
