scenario	accession	genus	domain	neighbour	dist	class	same_genus
as_reported	GCA_000022205.1	Halorubrum	Archaea	GCA_000337375.1	0.110470	congeneric	1
no_self_strain	GCA_000022205.1	Halorubrum	Archaea	GCA_000337375.1	0.110470	congeneric	1
novel_species	GCA_000022205.1	Halorubrum	Archaea	GCA_000337375.1	0.110470	congeneric	1
as_reported	GCA_000011085.1	Haloarcula	Archaea	GCA_005310945.1	0.001300	same_strain	1
no_self_strain	GCA_000011085.1	Haloarcula	Archaea	GCA_018200015.1	0.024066	same_species	1
novel_species	GCA_000011085.1	Haloarcula	Archaea	GCA_003634715.1	0.026283	congeneric	1
as_reported	GCA_000023945.1	Halorhabdus	Archaea	GCA_000470655.1	0.134027	congeneric	1
no_self_strain	GCA_000023945.1	Halorhabdus	Archaea	GCA_000470655.1	0.134027	congeneric	1
novel_species	GCA_000023945.1	Halorhabdus	Archaea	GCA_000470655.1	0.134027	congeneric	1
as_reported	GCA_000023965.1	Halomicrobium	Archaea	GCA_000379085.1	0.036818	congeneric	1
no_self_strain	GCA_000023965.1	Halomicrobium	Archaea	GCA_000379085.1	0.036818	congeneric	1
novel_species	GCA_000023965.1	Halomicrobium	Archaea	GCA_000379085.1	0.036818	congeneric	1
as_reported	GCA_000025285.1	Archaeoglobus	Archaea	GCA_000194625.1	0.319544	congeneric	1
no_self_strain	GCA_000025285.1	Archaeoglobus	Archaea	GCA_000194625.1	0.319544	congeneric	1
novel_species	GCA_000025285.1	Archaeoglobus	Archaea	GCA_000194625.1	0.319544	congeneric	1
as_reported	GCA_000008665.1	Archaeoglobus	Archaea	GCA_016757965.1	0.188412	congeneric	1
no_self_strain	GCA_000008665.1	Archaeoglobus	Archaea	GCA_016757965.1	0.188412	congeneric	1
novel_species	GCA_000008665.1	Archaeoglobus	Archaea	GCA_016757965.1	0.188412	congeneric	1
as_reported	GCA_000025325.1	Haloterrigena	Archaea	GCA_003977755.1	0.082032	congeneric	1
no_self_strain	GCA_000025325.1	Haloterrigena	Archaea	GCA_003977755.1	0.082032	congeneric	1
novel_species	GCA_000025325.1	Haloterrigena	Archaea	GCA_003977755.1	0.082032	congeneric	1
as_reported	GCA_000025505.1	Ferroglobus	Archaea	GCA_001006045.1	0.263403	inter_genus	0
no_self_strain	GCA_000025505.1	Ferroglobus	Archaea	GCA_001006045.1	0.263403	inter_genus	0
novel_species	GCA_000025505.1	Ferroglobus	Archaea	GCA_001006045.1	0.263403	inter_genus	0
as_reported	GCA_000025685.1	Haloferax	Archaea	GCA_000337315.1	0.002114	same_strain	1
no_self_strain	GCA_000025685.1	Haloferax	Archaea	GCA_000336795.1	0.028500	same_species	1
novel_species	GCA_000025685.1	Haloferax	Archaea	GCA_001368915.1	0.071810	congeneric	1
as_reported	GCA_000172995.2	Halogeometricum	Archaea	GCA_000337855.1	0.000503	same_strain	1
no_self_strain	GCA_000172995.2	Halogeometricum	Archaea	GCA_900112175.1	0.155999	congeneric	1
novel_species	GCA_000172995.2	Halogeometricum	Archaea	GCA_900112175.1	0.155999	congeneric	1
as_reported	GCA_000186365.1	Desulfurococcus	Archaea	GCA_001006085.1	0.012627	same_species	1
no_self_strain	GCA_000186365.1	Desulfurococcus	Archaea	GCA_001006085.1	0.012627	same_species	1
novel_species	GCA_000186365.1	Desulfurococcus	Archaea	GCA_000231015.3	0.200108	congeneric	1
as_reported	GCA_000020905.1	Desulfurococcus	Archaea	GCA_000513855.1	0.014340	same_species	1
no_self_strain	GCA_000020905.1	Desulfurococcus	Archaea	GCA_000513855.1	0.014340	same_species	1
novel_species	GCA_000020905.1	Desulfurococcus	Archaea	GCA_000186365.1	0.202401	congeneric	1
as_reported	GCA_000187225.2	Haladaptatus	Archaea	GCA_900142335.1	0.000056	same_strain	1
no_self_strain	GCA_000187225.2	Haladaptatus	Archaea	GCA_054177585.1	0.179832	congeneric	1
novel_species	GCA_000187225.2	Haladaptatus	Archaea	GCA_054177585.1	0.179832	congeneric	1
as_reported	GCA_000194625.1	Archaeoglobus	Archaea	GCA_000008665.1	0.312350	congeneric	1
no_self_strain	GCA_000194625.1	Archaeoglobus	Archaea	GCA_000008665.1	0.312350	congeneric	1
novel_species	GCA_000194625.1	Archaeoglobus	Archaea	GCA_000008665.1	0.312350	congeneric	1
as_reported	GCA_000196895.1	Halalkalicoccus	Archaea	GCA_000485535.1	0.000279	same_strain	1
no_self_strain	GCA_000196895.1	Halalkalicoccus	Archaea	GCA_001593955.1	0.134566	congeneric	1
novel_species	GCA_000196895.1	Halalkalicoccus	Archaea	GCA_001593955.1	0.134566	congeneric	1
as_reported	GCA_000215915.3	Halorhabdus	Archaea	GCA_000470655.1	0.005878	same_strain	1
no_self_strain	GCA_000215915.3	Halorhabdus	Archaea	GCA_000023945.1	0.137873	congeneric	1
novel_species	GCA_000215915.3	Halorhabdus	Archaea	GCA_000023945.1	0.137873	congeneric	1
as_reported	GCA_000217715.1	Halopiger	Archaea	GCA_003610195.1	0.090624	congeneric	1
no_self_strain	GCA_000217715.1	Halopiger	Archaea	GCA_003610195.1	0.090624	congeneric	1
novel_species	GCA_000217715.1	Halopiger	Archaea	GCA_003610195.1	0.090624	congeneric	1
as_reported	GCA_000223905.1	Haloarcula	Archaea	GCA_039545215.1	0.000167	same_species	1
no_self_strain	GCA_000223905.1	Haloarcula	Archaea	GCA_039545215.1	0.000167	same_species	1
novel_species	GCA_000223905.1	Haloarcula	Archaea	GCA_000336615.1	0.039962	congeneric	1
as_reported	GCA_000231015.3	Desulfurococcus	Archaea	GCA_000020905.1	0.039158	same_species	1
no_self_strain	GCA_000231015.3	Desulfurococcus	Archaea	GCA_000020905.1	0.039158	same_species	1
novel_species	GCA_000231015.3	Desulfurococcus	Archaea	GCA_000186365.1	0.200108	congeneric	1
as_reported	GCA_000237865.1	Haloquadratum	Archaea	GCA_042662005.1	0.267821	inter_genus	0
no_self_strain	GCA_000237865.1	Haloquadratum	Archaea	GCA_042662005.1	0.267821	inter_genus	0
novel_species	GCA_000237865.1	Haloquadratum	Archaea	GCA_042662005.1	0.267821	inter_genus	0
as_reported	GCA_000259215.1	Halococcus	Archaea	GCA_000336675.1	0.003674	same_strain	1
no_self_strain	GCA_000259215.1	Halococcus	Archaea	GCA_009900715.1	0.081496	congeneric	1
novel_species	GCA_000259215.1	Halococcus	Archaea	GCA_009900715.1	0.081496	congeneric	1
as_reported	GCA_000283335.1	Halogranum	Archaea	GCA_900114455.1	0.031161	same_species	1
no_self_strain	GCA_000283335.1	Halogranum	Archaea	GCA_900114455.1	0.031161	same_species	1
novel_species	GCA_000283335.1	Halogranum	Archaea	GCA_900110465.1	0.139006	congeneric	1
as_reported	GCA_000306765.2	Haloferax	Archaea	GCA_033843025.1	0.000279	same_strain	1
no_self_strain	GCA_000306765.2	Haloferax	Archaea	GCA_000337815.1	0.120237	congeneric	1
novel_species	GCA_000306765.2	Haloferax	Archaea	GCA_000337815.1	0.120237	congeneric	1
as_reported	GCA_000317795.1	Caldisphaera	Archaea	GCA_055392325.1	0.349481	inter_genus	0
no_self_strain	GCA_000317795.1	Caldisphaera	Archaea	GCA_055392325.1	0.349481	inter_genus	0
novel_species	GCA_000317795.1	Caldisphaera	Archaea	GCA_055392325.1	0.349481	inter_genus	0
as_reported	GCA_000144915.1	Acidilobus	Archaea	GCA_055392325.1	0.009114	congeneric	1
no_self_strain	GCA_000144915.1	Acidilobus	Archaea	GCA_055392325.1	0.009114	congeneric	1
novel_species	GCA_000144915.1	Acidilobus	Archaea	GCA_055392325.1	0.009114	congeneric	1
as_reported	GCA_000336615.1	Haloarcula	Archaea	GCA_039545215.1	0.039962	congeneric	1
no_self_strain	GCA_000336615.1	Haloarcula	Archaea	GCA_039545215.1	0.039962	congeneric	1
novel_species	GCA_000336615.1	Haloarcula	Archaea	GCA_039545215.1	0.039962	congeneric	1
as_reported	GCA_000336635.1	Haloarcula	Archaea	GCA_039545195.1	0.000786	same_species	1
no_self_strain	GCA_000336635.1	Haloarcula	Archaea	GCA_039545195.1	0.000786	same_species	1
novel_species	GCA_000336635.1	Haloarcula	Archaea	GCA_014647415.1	0.063787	congeneric	1
as_reported	GCA_000336675.1	Halococcus	Archaea	GCA_000259215.1	0.003674	same_strain	1
no_self_strain	GCA_000336675.1	Halococcus	Archaea	GCA_009900715.1	0.078875	congeneric	1
novel_species	GCA_000336675.1	Halococcus	Archaea	GCA_009900715.1	0.078875	congeneric	1
as_reported	GCA_000336695.1	Halococcus	Archaea	GCA_052043925.1	0.006268	same_strain	1
no_self_strain	GCA_000336695.1	Halococcus	Archaea	GCA_039522505.1	0.043734	congeneric	1
novel_species	GCA_000336695.1	Halococcus	Archaea	GCA_039522505.1	0.043734	congeneric	1
as_reported	GCA_000336715.1	Halococcus	Archaea	GCA_024508235.1	0.064814	congeneric	1
no_self_strain	GCA_000336715.1	Halococcus	Archaea	GCA_024508235.1	0.064814	congeneric	1
novel_species	GCA_000336715.1	Halococcus	Archaea	GCA_024508235.1	0.064814	congeneric	1
as_reported	GCA_000336735.1	Haloferax	Archaea	GCA_030535215.1	0.000616	same_species	1
no_self_strain	GCA_000336735.1	Haloferax	Archaea	GCA_030535215.1	0.000616	same_species	1
novel_species	GCA_000336735.1	Haloferax	Archaea	GCA_000337795.1	0.062179	congeneric	1
as_reported	GCA_000336755.1	Haloferax	Archaea	GCA_005406325.1	0.169522	congeneric	1
no_self_strain	GCA_000336755.1	Haloferax	Archaea	GCA_005406325.1	0.169522	congeneric	1
novel_species	GCA_000336755.1	Haloferax	Archaea	GCA_005406325.1	0.169522	congeneric	1
as_reported	GCA_000336775.1	Haloferax	Archaea	GCA_000336815.1	0.033017	congeneric	1
no_self_strain	GCA_000336775.1	Haloferax	Archaea	GCA_000336815.1	0.033017	congeneric	1
novel_species	GCA_000336775.1	Haloferax	Archaea	GCA_000336815.1	0.033017	congeneric	1
as_reported	GCA_000336795.1	Haloferax	Archaea	GCA_030535215.1	0.011201	same_species	1
no_self_strain	GCA_000336795.1	Haloferax	Archaea	GCA_030535215.1	0.011201	same_species	1
novel_species	GCA_000336795.1	Haloferax	Archaea	GCA_000337795.1	0.062179	congeneric	1
as_reported	GCA_000336815.1	Haloferax	Archaea	GCA_000336775.1	0.033017	congeneric	1
no_self_strain	GCA_000336815.1	Haloferax	Archaea	GCA_000336775.1	0.033017	congeneric	1
novel_species	GCA_000336815.1	Haloferax	Archaea	GCA_000336775.1	0.033017	congeneric	1
as_reported	GCA_000336875.1	Halorubrum	Archaea	GCA_000337395.1	0.091236	congeneric	1
no_self_strain	GCA_000336875.1	Halorubrum	Archaea	GCA_000337395.1	0.091236	congeneric	1
novel_species	GCA_000336875.1	Halorubrum	Archaea	GCA_000337395.1	0.091236	congeneric	1
as_reported	GCA_000336895.1	Haloarcula	Archaea	GCA_039539865.1	0.002232	same_species	1
no_self_strain	GCA_000336895.1	Haloarcula	Archaea	GCA_039539865.1	0.002232	same_species	1
novel_species	GCA_000336895.1	Haloarcula	Archaea	GCA_042429525.1	0.042025	congeneric	1
as_reported	GCA_000336915.1	Halococcus	Archaea	GCA_052043865.1	0.100401	congeneric	1
no_self_strain	GCA_000336915.1	Halococcus	Archaea	GCA_052043865.1	0.100401	congeneric	1
novel_species	GCA_000336915.1	Halococcus	Archaea	GCA_052043865.1	0.100401	congeneric	1
as_reported	GCA_000336935.1	Halococcus	Archaea	GCA_052043865.1	0.001822	same_species	1
no_self_strain	GCA_000336935.1	Halococcus	Archaea	GCA_052043865.1	0.001822	same_species	1
novel_species	GCA_000336935.1	Halococcus	Archaea	GCA_000336915.1	0.102884	congeneric	1
as_reported	GCA_000336995.1	Halorubrum	Archaea	GCA_007671725.1	0.139578	congeneric	1
no_self_strain	GCA_000336995.1	Halorubrum	Archaea	GCA_007671725.1	0.139578	congeneric	1
novel_species	GCA_000336995.1	Halorubrum	Archaea	GCA_007671725.1	0.139578	congeneric	1
as_reported	GCA_000337015.1	Halorubrum	Archaea	GCA_000337435.1	0.028500	same_species	1
no_self_strain	GCA_000337015.1	Halorubrum	Archaea	GCA_000337435.1	0.028500	same_species	1
novel_species	GCA_000337015.1	Halorubrum	Archaea	GCA_018228765.1	0.069318	congeneric	1
as_reported	GCA_000337035.1	Halorubrum	Archaea	GCA_041379815.1	0.088522	congeneric	1
no_self_strain	GCA_000337035.1	Halorubrum	Archaea	GCA_041379815.1	0.088522	congeneric	1
novel_species	GCA_000337035.1	Halorubrum	Archaea	GCA_041379815.1	0.088522	congeneric	1
as_reported	GCA_000337055.1	Halorubrum	Archaea	GCA_000337335.1	0.001014	same_species	1
no_self_strain	GCA_000337055.1	Halorubrum	Archaea	GCA_000337335.1	0.001014	same_species	1
novel_species	GCA_000337055.1	Halorubrum	Archaea	GCA_018228765.1	0.070439	congeneric	1
as_reported	GCA_000337095.1	Halogeometricum	Archaea	GCA_031624495.1	0.084500	congeneric	1
no_self_strain	GCA_000337095.1	Halogeometricum	Archaea	GCA_031624495.1	0.084500	congeneric	1
novel_species	GCA_000337095.1	Halogeometricum	Archaea	GCA_031624495.1	0.084500	congeneric	1
as_reported	GCA_000337255.1	Halalkalicoccus	Archaea	GCA_000485535.1	0.001358	same_strain	1
no_self_strain	GCA_000337255.1	Halalkalicoccus	Archaea	GCA_001593955.1	0.135653	congeneric	1
novel_species	GCA_000337255.1	Halalkalicoccus	Archaea	GCA_001593955.1	0.135653	congeneric	1
as_reported	GCA_000337275.1	Haloarcula	Archaea	GCA_018200015.1	0.000900	same_strain	1
no_self_strain	GCA_000337275.1	Haloarcula	Archaea	GCA_005310945.1	0.023576	same_species	1
novel_species	GCA_000337275.1	Haloarcula	Archaea	GCA_003634715.1	0.026594	congeneric	1
as_reported	GCA_000337295.1	Haloferax	Archaea	GCA_000306765.2	0.000447	same_strain	1
no_self_strain	GCA_000337295.1	Haloferax	Archaea	GCA_000337815.1	0.120237	congeneric	1
novel_species	GCA_000337295.1	Haloferax	Archaea	GCA_000337815.1	0.120237	congeneric	1
as_reported	GCA_000337315.1	Haloferax	Archaea	GCA_000025685.1	0.002114	same_strain	1
no_self_strain	GCA_000337315.1	Haloferax	Archaea	GCA_000336795.1	0.027432	same_species	1
novel_species	GCA_000337315.1	Haloferax	Archaea	GCA_001368915.1	0.070665	congeneric	1
as_reported	GCA_000337335.1	Halorubrum	Archaea	GCA_000337055.1	0.001014	same_species	1
no_self_strain	GCA_000337335.1	Halorubrum	Archaea	GCA_000337055.1	0.001014	same_species	1
novel_species	GCA_000337335.1	Halorubrum	Archaea	GCA_018228765.1	0.069541	congeneric	1
as_reported	GCA_000337355.1	Halorubrum	Archaea	GCA_000337375.1	0.105081	congeneric	1
no_self_strain	GCA_000337355.1	Halorubrum	Archaea	GCA_000337375.1	0.105081	congeneric	1
novel_species	GCA_000337355.1	Halorubrum	Archaea	GCA_000337375.1	0.105081	congeneric	1
as_reported	GCA_000337375.1	Halorubrum	Archaea	GCA_000337355.1	0.105081	congeneric	1
no_self_strain	GCA_000337375.1	Halorubrum	Archaea	GCA_000337355.1	0.105081	congeneric	1
novel_species	GCA_000337375.1	Halorubrum	Archaea	GCA_000337355.1	0.105081	congeneric	1
as_reported	GCA_000337395.1	Halorubrum	Archaea	GCA_000337435.1	0.023968	same_species	1
no_self_strain	GCA_000337395.1	Halorubrum	Archaea	GCA_000337435.1	0.023968	same_species	1
novel_species	GCA_000337395.1	Halorubrum	Archaea	GCA_018228765.1	0.066492	congeneric	1
as_reported	GCA_000337415.1	Halorubrum	Archaea	GCA_023702125.1	0.052652	congeneric	1
no_self_strain	GCA_000337415.1	Halorubrum	Archaea	GCA_023702125.1	0.052652	congeneric	1
novel_species	GCA_000337415.1	Halorubrum	Archaea	GCA_023702125.1	0.052652	congeneric	1
as_reported	GCA_000337435.1	Halorubrum	Archaea	GCA_000337335.1	0.023772	same_species	1
no_self_strain	GCA_000337435.1	Halorubrum	Archaea	GCA_000337335.1	0.023772	same_species	1
novel_species	GCA_000337435.1	Halorubrum	Archaea	GCA_018228765.1	0.067998	congeneric	1
as_reported	GCA_000337455.1	Halosimplex	Archaea	GCA_016065055.1	0.110072	congeneric	1
no_self_strain	GCA_000337455.1	Halosimplex	Archaea	GCA_016065055.1	0.110072	congeneric	1
novel_species	GCA_000337455.1	Halosimplex	Archaea	GCA_016065055.1	0.110072	congeneric	1
as_reported	GCA_000337495.1	Haloterrigena	Archaea	GCA_003977755.1	0.051812	congeneric	1
no_self_strain	GCA_000337495.1	Haloterrigena	Archaea	GCA_003977755.1	0.051812	congeneric	1
novel_species	GCA_000337495.1	Haloterrigena	Archaea	GCA_003977755.1	0.051812	congeneric	1
as_reported	GCA_000337755.1	Haloarcula	Archaea	GCA_005310945.1	0.025061	same_species	1
no_self_strain	GCA_000337755.1	Haloarcula	Archaea	GCA_005310945.1	0.025061	same_species	1
novel_species	GCA_000337755.1	Haloarcula	Archaea	GCA_003634715.1	0.027432	congeneric	1
as_reported	GCA_000337775.1	Haloarcula	Archaea	GCA_900106715.1	0.000560	same_species	1
no_self_strain	GCA_000337775.1	Haloarcula	Archaea	GCA_900106715.1	0.000560	same_species	1
novel_species	GCA_000337775.1	Haloarcula	Archaea	GCA_001280425.1	0.076353	congeneric	1
as_reported	GCA_000337795.1	Haloferax	Archaea	GCA_014635105.1	0.035437	congeneric	1
no_self_strain	GCA_000337795.1	Haloferax	Archaea	GCA_014635105.1	0.035437	congeneric	1
