scenario	accession	genus	domain	neighbour	ani	af_min	class	same_genus
as_reported	GCA_000011085.1	Haloarcula	Archaea	GCA_005310945.1	100.00	98.09	same_strain	1
no_self_strain	GCA_000011085.1	Haloarcula	Archaea	GCA_000337755.1	98.45	80.39	same_species	1
novel_species	GCA_000011085.1	Haloarcula	Archaea	GCA_000223905.1	91.08	62.37	congeneric	1
as_reported	GCA_000011125.1	Aeropyrum	Archaea	GCA_000591035.1	83.97	20.86	congeneric	1
no_self_strain	GCA_000011125.1	Aeropyrum	Archaea	GCA_000591035.1	83.97	20.86	congeneric	1
novel_species	GCA_000011125.1	Aeropyrum	Archaea	GCA_000591035.1	83.97	20.86	congeneric	1
as_reported	GCA_000020905.1	Desulfurococcus	Archaea	GCA_000513855.1	98.91	91.22	same_species	1
no_self_strain	GCA_000020905.1	Desulfurococcus	Archaea	GCA_000513855.1	98.91	91.22	same_species	1
as_reported	GCA_000022205.1	Halorubrum	Archaea	GCA_000337375.1	88.71	38.18	congeneric	1
no_self_strain	GCA_000022205.1	Halorubrum	Archaea	GCA_000337375.1	88.71	38.18	congeneric	1
novel_species	GCA_000022205.1	Halorubrum	Archaea	GCA_000337375.1	88.71	38.18	congeneric	1
as_reported	GCA_000023945.1	Halorhabdus	Archaea	GCA_000215915.3	86.09	26.95	congeneric	1
no_self_strain	GCA_000023945.1	Halorhabdus	Archaea	GCA_000215915.3	86.09	26.95	congeneric	1
novel_species	GCA_000023945.1	Halorhabdus	Archaea	GCA_000215915.3	86.09	26.95	congeneric	1
as_reported	GCA_000023965.1	Halomicrobium	Archaea	GCA_000379085.1	97.01	76.57	congeneric	1
no_self_strain	GCA_000023965.1	Halomicrobium	Archaea	GCA_000379085.1	97.01	76.57	congeneric	1
novel_species	GCA_000023965.1	Halomicrobium	Archaea	GCA_000379085.1	97.01	76.57	congeneric	1
as_reported	GCA_000025325.1	Haloterrigena	Archaea	GCA_013342145.1	92.13	55.31	congeneric	1
no_self_strain	GCA_000025325.1	Haloterrigena	Archaea	GCA_013342145.1	92.13	55.31	congeneric	1
novel_species	GCA_000025325.1	Haloterrigena	Archaea	GCA_013342145.1	92.13	55.31	congeneric	1
as_reported	GCA_000025685.1	Haloferax	Archaea	GCA_000337315.1	99.99	95.79	same_strain	1
no_self_strain	GCA_000025685.1	Haloferax	Archaea	GCA_000336795.1	98.29	80.10	same_species	1
novel_species	GCA_000025685.1	Haloferax	Archaea	GCA_000337795.1	93.98	69.61	congeneric	1
