accession	taxid	organism	species_name	species_taxid	taxcheck	completeness	contamination	level	length	n_contigs	paired_gcf
GCA_000008665.1	224325	Archaeoglobus fulgidus DSM 4304	Archaeoglobus fulgidus	2234	OK	96.69	2.53	Complete Genome	2178400	1	GCF_000008665.1
GCA_000011085.1	272569	Haloarcula marismortui ATCC 43049	Haloarcula marismortui	2238	OK	89.17	6.1	Complete Genome	4274642	9	GCF_000011085.1
GCA_000011125.1	272557	Aeropyrum pernix K1	Aeropyrum pernix	56636	OK	93.82	2.09	Complete Genome	1669696	1	GCF_000011125.1
GCA_000018305.1	397948	Caldivirga maquilingensis IC-167	Caldivirga maquilingensis	76887	OK	99.4		Complete Genome	2077567	1	GCF_000018305.1
GCA_000020905.1	490899	Desulfurococcus amylolyticus 1221n	Desulfurococcus amylolyticus	94694	OK	99.57	0.34	Complete Genome	1365223	1	GCF_000020905.1
GCA_000022205.1	416348	Halorubrum lacusprofundi ATCC 49239	Halorubrum lacusprofundi	2247	OK	99.17	1.36	Complete Genome	3692576	3	GCF_000022205.1
GCA_000023945.1	519442	Halorhabdus utahensis DSM 12940	Halorhabdus utahensis	146826	OK	99.52	0.97	Complete Genome	3116795	1	GCF_000023945.1
GCA_000023965.1	485914	Halomicrobium mukohataei DSM 12286	Halomicrobium mukohataei	57705	OK	97.67	2.21	Complete Genome	3332349	2	GCF_000023965.1
GCA_000025285.1	572546	Archaeoglobus profundus DSM 5631	Archaeoglobus profundus	84156	OK	98.87	0.12	Complete Genome	1563423	2	GCF_000025285.1
GCA_000025325.1	543526	Haloterrigena turkmenica DSM 5511	Haloterrigena turkmenica	62320	OK	99.38	0.9	Complete Genome	5440782	7	GCF_000025325.1
GCA_000025505.1	589924	Ferroglobus placidus DSM 10642	Ferroglobus placidus	54261	OK	99.66	0.09	Complete Genome	2196266	1	GCF_000025505.1
GCA_000025685.1	309800	Haloferax volcanii DS2	Haloferax volcanii	2246	OK	99.12	1.11	Complete Genome	4012900	5	GCF_000025685.1
GCA_000144915.1	666510	Acidilobus saccharovorans 345-15	Acidilobus saccharovorans	242703	Inconclusive	99.36	0.43	Complete Genome	1496453	1	GCF_000144915.1
GCA_000152265.2	333146	Ferroplasma acidarmanus Fer1	Ferroplasma acidarmanus	97393	OK	99.65	0.65	Complete Genome	1935211	1	GCF_000152265.2
GCA_000172995.2	469382	Halogeometricum borinquense DSM 11551	Halogeometricum borinquense	60847	OK	100	0.41	Complete Genome	3944467	6	GCF_000172995.2
GCA_000186365.1	765177	Desulfurococcus mucosus DSM 2162	Desulfurococcus mucosus	2275	OK	99.28	0.23	Complete Genome	1314639	1	GCF_000186365.1
GCA_000187225.2	797209	Haladaptatus paucihalophilus DX253	Haladaptatus paucihalophilus	367189	OK	99.1	0.83	Contig	4284805	32	GCF_000187225.1
GCA_000194625.1	693661	Archaeoglobus veneficus SNP6	Archaeoglobus veneficus	58290	OK	99.6	0.84	Complete Genome	1901943	1	GCF_000194625.1
GCA_000196895.1	795797	Halalkalicoccus jeotgali B3	Halalkalicoccus jeotgali	413810	OK	96.73	2.18	Complete Genome	3698650	7	GCF_000196895.1
GCA_000215915.3	1033806	Halorhabdus tiamatea SARL4B	Halorhabdus tiamatea	430914	OK	93.5	1.59	Contig	3146564	72	GCF_000215915.2
GCA_000217715.1	797210	Halopiger xanaduensis SH-6	Halopiger xanaduensis	387343	OK	99.52	0.41	Complete Genome	4355268	4	GCF_000217715.1
GCA_000223905.1	634497	Haloarcula hispanica ATCC 33960	Haloarcula hispanica	51589	OK	99.48	0.4	Complete Genome	3890005	3	GCF_000223905.1
GCA_000231015.3	768672	Desulfurococcus amylolyticus DSM 16532	Desulfurococcus amylolyticus	94694	OK	98.66	0.02	Complete Genome	1384116	1	GCF_000231015.2
GCA_000237865.1	768065	Haloquadratum walsbyi C23	Haloquadratum walsbyi	293091	OK	96.91		Complete Genome	3260476	4	GCF_000237865.1
GCA_000258425.1	1163730	Fervidicoccus fontis Kam940	Fervidicoccus fontis	683846	OK	98.81		Complete Genome	1319206	1	GCF_000258425.1
GCA_000259215.1	1132509	Halococcus hamelinensis 100A6	Halococcus hamelinensis	332168	OK	96.95	1.68	Contig	3383679	453	GCF_000259215.1
GCA_000283335.1	1210908	Halogranum salarium B-1	Halogranum rubrum	553466	OK	98.69		Contig	4492306	17	GCF_000283335.1
GCA_000300255.2	1236689	Candidatus Methanomethylophilus alvi Mx1201	Methanomethylophilus alvi	1291540	OK	70.74	13.05	Complete Genome	1666795	1	GCF_000300255.2
GCA_000306765.2	523841	Haloferax mediterranei ATCC 33500	Haloferax mediterranei	2252	OK	99.47		Complete Genome	3904707	4	GCF_000306765.2
GCA_000317795.1	1056495	Caldisphaera lagunensis DSM 15908	Caldisphaera lagunensis	200415	OK	97.72	0.92	Complete Genome	1546846	1	GCF_000317795.1
GCA_000336615.1	1227452	Haloarcula amylolytica JCM 13557	Haloarcula amylolytica	396317	OK	98.62	0.65	Contig	4225424	81	GCF_000336615.1
GCA_000336635.1	1227453	Haloarcula japonica DSM 6131	Haloarcula japonica	29282	OK	99.08		Contig	4280359	48	GCF_000336635.1
GCA_000336675.1	1132509	Halococcus hamelinensis 100A6	Halococcus hamelinensis	332168	OK	99.15	1.73	Contig	3419074	46	GCF_000336675.1
GCA_000336695.1	931277	Halococcus morrhuae DSM 1307	Halococcus morrhuae	2250	OK	98.25	1.48	Contig	2991556	167	GCF_000336695.1
GCA_000336715.1	1227457	Halococcus thailandensis JCM 13552	Halococcus thailandensis	335952	OK	97.09	10.36	Contig	4052434	198	GCF_000336715.1
GCA_000336735.1	1227458	Haloferax volcanii JCM 10717	Haloferax volcanii	2246	OK	98.41	1.55	Contig	3649262	36	GCF_000336735.1
GCA_000336755.1	1230453	Haloferax elongans ATCC BAA-1513	Haloferax elongans	403191	OK	96.61	2.42	Contig	3952136	27	GCF_000336755.1
GCA_000336775.1	1227459	Haloferax gibbonsii ATCC 33959	Haloferax gibbonsii	35746	OK	98.47	2.2	Contig	4057322	30	GCF_000336775.1
GCA_000336795.1	1230452	Haloferax volcanii DSM 14919	Haloferax volcanii	2246	OK	97.05	3.23	Contig	3619064	33	GCF_000336795.1
GCA_000336815.1	1227461	Haloferax prahovense DSM 18310	Haloferax prahovense	381852	OK	98.15	2.15	Contig	3998799	58	GCF_000336815.1
GCA_000336875.1	1227465	Halorubrum californiense DSM 19288	Halorubrum californiense	416585	OK	93.88	2.52	Contig	3682872	83	GCF_000336875.1
GCA_000336895.1	1230451	Haloarcula argentinensis DSM 12282	Haloarcula argentinensis	43776	OK	97.69	0.77	Contig	4147107	33	GCF_000336895.1
GCA_000336915.1	1227455	Halococcus saccharolyticus DSM 5350	Halococcus saccharolyticus	62319	OK	93.15	14.14	Contig	3449700	36	GCF_000336915.1
GCA_000336935.1	1227456	Halococcus salifodinae DSM 8989	Halococcus salifodinae	36738	OK	93.68	16.6	Contig	4199784	109	GCF_000336935.1
GCA_000336995.1	1230454	Halorubrum aidingense JCM 13560	Halorubrum aidingense	368623	OK	96.14	4.09	Contig	3108525	37	GCF_000336995.1
GCA_000337015.1	1230455	Halorubrum distributum JCM 13916	Halorubrum distributum	29283	OK	98.19	1.75	Contig	3382601	110	GCF_000337015.1
