dist	domain	query	query_genus	query_species	neighbour	neighbour_genus	neighbour_species	query_taxcheck	neighbour_taxcheck	gtdb_query_genus	gtdb_neighbour_genus	gtdb_status
2e-06	Bacteria	GCA_018406605.1	Noviluteimonas	Noviluteimonas caseinilytica	GCA_018406645.1	Lysobacter	Lysobacter helvus	Inconclusive	Inconclusive	Noviluteimonas	Noviluteimonas	reconciled
2e-06	Bacteria	GCA_018406645.1	Lysobacter	Lysobacter helvus	GCA_018406605.1	Noviluteimonas	Noviluteimonas caseinilytica	Inconclusive	Inconclusive	Noviluteimonas	Noviluteimonas	reconciled
0.000515	Bacteria	GCA_014287625.1	Roseburia	Roseburia difficilis	GCA_014290175.1	Anaerosacchariphilus	Anaerosacchariphilus hominis	Inconclusive	Inconclusive	Laedolimicola	Laedolimicola	reconciled
0.000515	Bacteria	GCA_014290175.1	Anaerosacchariphilus	Anaerosacchariphilus hominis	GCA_014287625.1	Roseburia	Roseburia difficilis	Inconclusive	Inconclusive	Laedolimicola	Laedolimicola	reconciled
0.001746	Bacteria	GCA_016632365.1	Tenebrionibacter	Tenebrionibacter intestinalis	GCA_019148575.1	Tenebrionicola	Tenebrionicola larvae	Inconclusive	Inconclusive	Tenebrionibacter	Tenebrionibacter	reconciled
0.001746	Bacteria	GCA_019148575.1	Tenebrionicola	Tenebrionicola larvae	GCA_016632365.1	Tenebrionibacter	Tenebrionibacter intestinalis	Inconclusive	Inconclusive	Tenebrionibacter	Tenebrionibacter	reconciled
0.001791	Bacteria	GCA_001705425.1	Mesorhizobium	Mesorhizobium hungaricum	GCA_008727715.1	Terribium	Terribium terrae	Inconclusive	Inconclusive	Mesorhizobium	Mesorhizobium	reconciled
0.001791	Bacteria	GCA_008727715.1	Terribium	Terribium terrae	GCA_001705425.1	Mesorhizobium	Mesorhizobium hungaricum	Inconclusive	Inconclusive	Mesorhizobium	Mesorhizobium	reconciled
0.003012	Bacteria	GCA_001487105.1	Mediterraneibacter	Mediterraneibacter massiliensis	GCA_025567175.1	Faecalicatena	Faecalicatena acetigenes	Inconclusive	Inconclusive	Mediterraneibacter	Mediterraneibacter	reconciled
0.003012	Bacteria	GCA_025567175.1	Faecalicatena	Faecalicatena acetigenes	GCA_001487105.1	Mediterraneibacter	Mediterraneibacter massiliensis	Inconclusive	Inconclusive	Mediterraneibacter	Mediterraneibacter	reconciled
