scenario	accession	genus	domain	neighbour	dist	class	same_genus
as_reported	GCA_000022205.1	Halorubrum	Archaea	GCA_000337375.1	0.118496	congeneric	1
no_self_strain	GCA_000022205.1	Halorubrum	Archaea	GCA_000337375.1	0.118496	congeneric	1
novel_species	GCA_000022205.1	Halorubrum	Archaea	GCA_000337375.1	0.118496	congeneric	1
as_reported	GCA_000011085.1	Haloarcula	Archaea	GCA_005310945.1	0.001303	same_strain	1
no_self_strain	GCA_000011085.1	Haloarcula	Archaea	GCA_003634715.1	0.026430	congeneric	1
novel_species	GCA_000011085.1	Haloarcula	Archaea	GCA_003634715.1	0.026430	congeneric	1
as_reported	GCA_000023945.1	Halorhabdus	Archaea	GCA_000470655.1	0.146760	congeneric	1
no_self_strain	GCA_000023945.1	Halorhabdus	Archaea	GCA_000470655.1	0.146760	congeneric	1
novel_species	GCA_000023945.1	Halorhabdus	Archaea	GCA_000470655.1	0.146760	congeneric	1
as_reported	GCA_000023965.1	Halomicrobium	Archaea	GCA_000379085.1	0.040505	congeneric	1
no_self_strain	GCA_000023965.1	Halomicrobium	Archaea	GCA_000379085.1	0.040505	congeneric	1
novel_species	GCA_000023965.1	Halomicrobium	Archaea	GCA_000379085.1	0.040505	congeneric	1
as_reported	GCA_000025285.1	Archaeoglobus	Archaea	GCA_000025505.1	0.333218	inter_genus	0
no_self_strain	GCA_000025285.1	Archaeoglobus	Archaea	GCA_000025505.1	0.333218	inter_genus	0
novel_species	GCA_000025285.1	Archaeoglobus	Archaea	GCA_000025505.1	0.333218	inter_genus	0
as_reported	GCA_000008665.1	Archaeoglobus	Archaea	GCA_016757965.1	0.192793	congeneric	1
no_self_strain	GCA_000008665.1	Archaeoglobus	Archaea	GCA_016757965.1	0.192793	congeneric	1
novel_species	GCA_000008665.1	Archaeoglobus	Archaea	GCA_016757965.1	0.192793	congeneric	1
as_reported	GCA_000025325.1	Haloterrigena	Archaea	GCA_000337495.1	0.084945	congeneric	1
no_self_strain	GCA_000025325.1	Haloterrigena	Archaea	GCA_000337495.1	0.084945	congeneric	1
novel_species	GCA_000025325.1	Haloterrigena	Archaea	GCA_000337495.1	0.084945	congeneric	1
as_reported	GCA_000025505.1	Ferroglobus	Archaea	GCA_001006045.1	0.298410	inter_genus	0
no_self_strain	GCA_000025505.1	Ferroglobus	Archaea	GCA_001006045.1	0.298410	inter_genus	0
novel_species	GCA_000025505.1	Ferroglobus	Archaea	GCA_001006045.1	0.298410	inter_genus	0
as_reported	GCA_000025685.1	Haloferax	Archaea	GCA_000337315.1	0.002643	same_strain	1
no_self_strain	GCA_000025685.1	Haloferax	Archaea	GCA_000336795.1	0.032222	same_species	1
novel_species	GCA_000025685.1	Haloferax	Archaea	GCA_000337795.1	0.069235	congeneric	1
as_reported	GCA_000144915.1	Acidilobus	Archaea	GCA_055392325.1	0.012262	congeneric	1
no_self_strain	GCA_000144915.1	Acidilobus	Archaea	GCA_055392325.1	0.012262	congeneric	1
novel_species	GCA_000144915.1	Acidilobus	Archaea	GCA_055392325.1	0.012262	congeneric	1
as_reported	GCA_000011125.1	Aeropyrum	Archaea	GCA_000591035.1	0.112306	congeneric	1
no_self_strain	GCA_000011125.1	Aeropyrum	Archaea	GCA_000591035.1	0.112306	congeneric	1
novel_species	GCA_000011125.1	Aeropyrum	Archaea	GCA_000591035.1	0.112306	congeneric	1
as_reported	GCA_000172995.2	Halogeometricum	Archaea	GCA_000337855.1	0.000647	same_strain	1
no_self_strain	GCA_000172995.2	Halogeometricum	Archaea	GCA_900112175.1	0.164990	congeneric	1
novel_species	GCA_000172995.2	Halogeometricum	Archaea	GCA_900112175.1	0.164990	congeneric	1
as_reported	GCA_000186365.1	Desulfurococcus	Archaea	GCA_001006085.1	0.016234	same_species	1
no_self_strain	GCA_000186365.1	Desulfurococcus	Archaea	GCA_001006085.1	0.016234	same_species	1
novel_species	GCA_000186365.1	Desulfurococcus	Archaea	GCA_000513855.1	0.216918	congeneric	1
as_reported	GCA_000020905.1	Desulfurococcus	Archaea	GCA_000513855.1	0.016529	same_species	1
no_self_strain	GCA_000020905.1	Desulfurococcus	Archaea	GCA_000513855.1	0.016529	same_species	1
novel_species	GCA_000020905.1	Desulfurococcus	Archaea	GCA_001006085.1	0.222209	congeneric	1
as_reported	GCA_000187225.2	Haladaptatus	Archaea	GCA_900142335.1	0.000287	same_strain	1
no_self_strain	GCA_000187225.2	Haladaptatus	Archaea	GCA_900156425.1	0.190318	congeneric	1
novel_species	GCA_000187225.2	Haladaptatus	Archaea	GCA_900156425.1	0.190318	congeneric	1
as_reported	GCA_000194625.1	Archaeoglobus	Archaea	GCA_000385565.1	0.347277	congeneric	1
no_self_strain	GCA_000194625.1	Archaeoglobus	Archaea	GCA_000385565.1	0.347277	congeneric	1
novel_species	GCA_000194625.1	Archaeoglobus	Archaea	GCA_000385565.1	0.347277	congeneric	1
as_reported	GCA_000196895.1	Halalkalicoccus	Archaea	GCA_000485535.1	0.000431	same_strain	1
no_self_strain	GCA_000196895.1	Halalkalicoccus	Archaea	GCA_001593955.1	0.146760	congeneric	1
novel_species	GCA_000196895.1	Halalkalicoccus	Archaea	GCA_001593955.1	0.146760	congeneric	1
as_reported	GCA_000215915.3	Halorhabdus	Archaea	GCA_000470655.1	0.007557	same_strain	1
no_self_strain	GCA_000215915.3	Halorhabdus	Archaea	GCA_000023945.1	0.151724	congeneric	1
novel_species	GCA_000215915.3	Halorhabdus	Archaea	GCA_000023945.1	0.151724	congeneric	1
as_reported	GCA_000217715.1	Halopiger	Archaea	GCA_003610195.1	0.084135	congeneric	1
no_self_strain	GCA_000217715.1	Halopiger	Archaea	GCA_003610195.1	0.084135	congeneric	1
novel_species	GCA_000217715.1	Halopiger	Archaea	GCA_003610195.1	0.084135	congeneric	1
as_reported	GCA_000223905.1	Haloarcula	Archaea	GCA_039545215.1	0.000215	same_species	1
no_self_strain	GCA_000223905.1	Haloarcula	Archaea	GCA_039545215.1	0.000215	same_species	1
novel_species	GCA_000223905.1	Haloarcula	Archaea	GCA_000336615.1	0.042755	congeneric	1
as_reported	GCA_000231015.3	Desulfurococcus	Archaea	GCA_000020905.1	0.043988	same_species	1
no_self_strain	GCA_000231015.3	Desulfurococcus	Archaea	GCA_000020905.1	0.043988	same_species	1
novel_species	GCA_000231015.3	Desulfurococcus	Archaea	GCA_000186365.1	0.221131	congeneric	1
as_reported	GCA_000237865.1	Haloquadratum	Archaea	GCA_014212355.1	0.281349	inter_genus	0
