acc_a	acc_b	class	genus_a	genus_b	n_bbh	aai	prot_dist
GCA_000292245.2	GCA_047302405.1	congeneric	Alkalihalobacillus	Alkalihalobacillus	3189	94.1728	0.075723
GCA_000196115.1	GCA_000338295.1	congeneric	Rhodopirellula	Rhodopirellula	4155	93.0244	0.074286
GCA_001643235.1	GCA_001906925.1	congeneric	Domibacillus	Domibacillus	2527	91.6804	0.093223
GCA_000338295.1	GCA_002727185.1	congeneric	Rhodopirellula	Rhodopirellula	4214	89.7283	0.095044
GCA_006861775.1	GCA_006861795.1	congeneric	Psychrobacillus	Psychrobacillus	3122	88.9639	0.110823
GCA_000196115.1	GCA_002727185.1	congeneric	Rhodopirellula	Rhodopirellula	4203	88.6487	0.101742
GCA_042650985.1	GCA_042654505.1	congeneric	Epilithonimonas	Epilithonimonas	2539	87.0411	0.135583
GCA_042654505.1	GCA_900142325.1	congeneric	Epilithonimonas	Epilithonimonas	2428	85.8329	0.135583
GCA_004365655.1	GCA_042650985.1	congeneric	Epilithonimonas	Epilithonimonas	2319	85.4196	0.151160
GCA_042650985.1	GCA_900142325.1	congeneric	Epilithonimonas	Epilithonimonas	2394	84.7760	0.145159
GCA_000966185.1	GCA_000970675.1	congeneric	Domibacillus	Domibacillus	2416	84.5101	0.149488
GCA_004365655.1	GCA_042654505.1	congeneric	Epilithonimonas	Epilithonimonas	2195	83.8372	0.159354
GCA_004365655.1	GCA_900142325.1	congeneric	Epilithonimonas	Epilithonimonas	2124	83.3484	0.168925
GCA_003597125.1	GCA_009601165.1	congeneric	Alcanivorax	Alcanivorax	2700	82.6640	0.143584
GCA_000009365.1	GCA_000756655.1	congeneric	Alcanivorax	Alcanivorax	2374	81.8566	0.147300
GCA_009827395.1	GCA_009827455.1	congeneric	Pontixanthobacter	Pontixanthobacter	2106	81.3216	0.158142
GCA_003574395.1	GCA_015999335.1	congeneric	Tabrizicola	Tabrizicola	2579	81.2724	0.189505
GCA_000154725.1	GCA_003054265.1	congeneric	Kordia	Kordia	2839	81.1373	0.165635
GCA_000756655.1	GCA_003597125.1	congeneric	Alcanivorax	Alcanivorax	2652	81.0084	0.159354
GCA_000154725.1	GCA_009901525.1	congeneric	Kordia	Kordia	2863	80.9762	0.188699
GCA_000009365.1	GCA_003597125.1	congeneric	Alcanivorax	Alcanivorax	2379	80.8454	0.156945
GCA_006861775.1	GCA_008973485.1	congeneric	Psychrobacillus	Psychrobacillus	2531	80.5533	0.182451
GCA_000154725.1	GCA_001005315.1	congeneric	Kordia	Kordia	3006	80.4649	0.165635
GCA_000756655.1	GCA_009601165.1	congeneric	Alcanivorax	Alcanivorax	2619	80.1853	0.171632
GCA_007748195.1	GCA_007754425.1	congeneric	Gimesia	Gimesia	4156	79.9048	0.178722
GCA_000009365.1	GCA_009601165.1	congeneric	Alcanivorax	Alcanivorax	2331	79.8890	0.170270
GCA_000181475.1	GCA_007754425.1	congeneric	Gimesia	Gimesia	4177	79.8162	0.170949
GCA_006861795.1	GCA_008973485.1	congeneric	Psychrobacillus	Psychrobacillus	2677	79.7789	0.191137
GCA_003254155.1	GCA_006861775.1	congeneric	Psychrobacillus	Psychrobacillus	2268	79.4326	0.206074
GCA_002727185.1	GCA_020966775.1	congeneric	Rhodopirellula	Rhodopirellula	3853	79.4322	0.173013
GCA_000338295.1	GCA_020966775.1	congeneric	Rhodopirellula	Rhodopirellula	3797	79.3652	0.174412
GCA_000196115.1	GCA_020966775.1	congeneric	Rhodopirellula	Rhodopirellula	3835	79.3309	0.170949
GCA_003254155.1	GCA_006861795.1	congeneric	Psychrobacillus	Psychrobacillus	2281	78.9859	0.228896
GCA_001005315.1	GCA_009901525.1	congeneric	Kordia	Kordia	2937	78.9480	0.203289
GCA_003254155.1	GCA_008973485.1	congeneric	Psychrobacillus	Psychrobacillus	2085	78.7356	0.234776
GCA_000970675.1	GCA_001643235.1	congeneric	Domibacillus	Domibacillus	2139	78.6588	0.207970
GCA_007754425.1	GCA_009720525.1	congeneric	Gimesia	Gimesia	4230	78.5749	0.171632
GCA_000970675.1	GCA_001906925.1	congeneric	Domibacillus	Domibacillus	2040	78.4345	0.206074
GCA_003054265.1	GCA_009901525.1	congeneric	Kordia	Kordia	2737	78.2677	0.209899
GCA_000181475.1	GCA_009720525.1	congeneric	Gimesia	Gimesia	4229	78.2385	0.188699
GCA_001005315.1	GCA_003054265.1	congeneric	Kordia	Kordia	2870	78.1290	0.182451
GCA_009827455.1	GCA_012972675.1	congeneric	Pontixanthobacter	Pontixanthobacter	2036	77.2720	0.191962
GCA_009827455.1	GCA_009828095.1	congeneric	Pontixanthobacter	Pontixanthobacter	2072	77.2483	0.195326
GCA_000181475.1	GCA_007748195.1	congeneric	Gimesia	Gimesia	3957	77.1511	0.189505
GCA_009827395.1	GCA_009828095.1	congeneric	Pontixanthobacter	Pontixanthobacter	2031	77.0232	0.207018
GCA_000966185.1	GCA_001643235.1	congeneric	Domibacillus	Domibacillus	2200	76.7935	0.210875
GCA_009828095.1	GCA_012972675.1	congeneric	Pontixanthobacter	Pontixanthobacter	1984	76.6786	0.198795
GCA_000966185.1	GCA_001906925.1	congeneric	Domibacillus	Domibacillus	2113	76.6465	0.215889
GCA_007748195.1	GCA_009720525.1	congeneric	Gimesia	Gimesia	3947	76.2325	0.201469
GCA_011008935.1	GCA_013328815.1	congeneric	Tabrizicola	Tabrizicola	2607	76.2289	0.207970
GCA_009827395.1	GCA_012972675.1	congeneric	Pontixanthobacter	Pontixanthobacter	2004	76.1665	0.209899
GCA_000292245.2	GCA_028610675.1	congeneric	Alkalihalobacillus	Alkalihalobacillus	2794	75.1914	0.202375
GCA_028610675.1	GCA_047302405.1	congeneric	Alkalihalobacillus	Alkalihalobacillus	3038	74.8998	0.197917
GCA_012932915.1	GCA_016481275.1	congeneric	Antrihabitans	Antrihabitans	4167	74.8369	0.227754
GCA_016481275.1	GCA_043944905.1	congeneric	Antrihabitans	Antrihabitans	3817	74.5915	0.246162
GCA_012932915.1	GCA_043944905.1	congeneric	Antrihabitans	Antrihabitans	3812	74.1072	0.243535
GCA_013328815.1	GCA_015999335.1	congeneric	Tabrizicola	Tabrizicola	2567	73.5592	0.230048
GCA_003574395.1	GCA_013328815.1	congeneric	Tabrizicola	Tabrizicola	2466	72.9533	0.243535
GCA_003574395.1	GCA_011008935.1	congeneric	Tabrizicola	Tabrizicola	2325	72.9219	0.224396
GCA_011008935.1	GCA_015999335.1	congeneric	Tabrizicola	Tabrizicola	2485	72.8905	0.226624
GCA_025960885.1	GCA_043556415.1	congeneric	Microbacterium	Microbacterium	1826	72.8062	0.250212
GCA_008297975.1	GCA_043944905.1	congeneric	Antrihabitans	Antrihabitans	3238	72.4505	0.279589
GCA_013409785.1	GCA_043556415.1	congeneric	Microbacterium	Microbacterium	1628	71.8933	0.272792
GCA_008297975.1	GCA_012932915.1	congeneric	Antrihabitans	Antrihabitans	3300	71.7009	0.240966
GCA_008297975.1	GCA_016481275.1	congeneric	Antrihabitans	Antrihabitans	3216	71.6721	0.250212
GCA_013409785.1	GCA_025960885.1	congeneric	Microbacterium	Microbacterium	1795	70.8292	0.269529
GCA_013409785.1	GCA_030065535.1	congeneric	Microbacterium	Microbacterium	1672	70.6594	0.264791
GCA_030065535.1	GCA_043556415.1	congeneric	Microbacterium	Microbacterium	1587	70.2009	0.264791
GCA_025960885.1	GCA_030065535.1	congeneric	Microbacterium	Microbacterium	1807	70.1456	0.267929
GCA_000292245.2	GCA_020734105.1	congeneric	Alkalihalobacillus	Alkalihalobacillus	2008	66.9415	0.350280
GCA_020734105.1	GCA_047302405.1	congeneric	Alkalihalobacillus	Alkalihalobacillus	2111	66.5522	0.347277
GCA_020734105.1	GCA_028610675.1	congeneric	Alkalihalobacillus	Alkalihalobacillus	1973	65.4983	0.366421
GCA_003574395.1	GCA_041537905.1	inter_genus	Tabrizicola	Ruegeria	2039	64.1402	0.366421
GCA_011008935.1	GCA_041537905.1	inter_genus	Tabrizicola	Ruegeria	2065	63.6800	0.347277
GCA_013328815.1	GCA_041537905.1	inter_genus	Tabrizicola	Ruegeria	2113	63.5473	0.359726
GCA_003054265.1	GCA_014651475.1	inter_genus	Kordia	Mesonia	1619	63.3419	0.330580
GCA_015999335.1	GCA_041537905.1	inter_genus	Tabrizicola	Ruegeria	2099	63.1748	0.363031
GCA_001005315.1	GCA_014651475.1	inter_genus	Kordia	Mesonia	1655	62.9792	0.320535
GCA_009901525.1	GCA_014651475.1	inter_genus	Kordia	Mesonia	1682	62.9626	0.330580
GCA_000154725.1	GCA_014651475.1	inter_genus	Kordia	Mesonia	1661	62.9505	0.335911
GCA_000970675.1	GCA_030814065.1	inter_genus	Domibacillus	Mesobacillus	1695	62.7373	0.338661
GCA_001643235.1	GCA_030814065.1	inter_genus	Domibacillus	Mesobacillus	1659	62.7013	0.335911
GCA_001906925.1	GCA_030814065.1	inter_genus	Domibacillus	Mesobacillus	1660	62.5981	0.330580
GCA_020734105.1	GCA_042656585.1	inter_genus	Alkalihalobacillus	Thalassorhabdus	1976	62.2338	0.363031
GCA_000966185.1	GCA_030814065.1	inter_genus	Domibacillus	Mesobacillus	1754	61.9583	0.330580
GCA_000292245.2	GCA_042656585.1	inter_genus	Alkalihalobacillus	Thalassorhabdus	1746	61.7166	0.373474
GCA_042656585.1	GCA_047302405.1	inter_genus	Thalassorhabdus	Alkalihalobacillus	1805	61.2584	0.380922
GCA_028610675.1	GCA_042656585.1	inter_genus	Alkalihalobacillus	Thalassorhabdus	1743	60.9539	0.377146
GCA_001643235.1	GCA_003254155.1	inter_genus	Domibacillus	Psychrobacillus	1648	60.8328	0.363031
GCA_001906925.1	GCA_006861775.1	inter_genus	Domibacillus	Psychrobacillus	1673	60.5747	0.380922
GCA_001906925.1	GCA_003254155.1	inter_genus	Domibacillus	Psychrobacillus	1610	60.4285	0.384809
GCA_003254155.1	GCA_030814065.1	inter_genus	Psychrobacillus	Mesobacillus	1544	60.4084	0.392938
GCA_009827395.1	GCA_034424525.1	inter_genus	Pontixanthobacter	Sphingobium	1591	60.3958	0.392938
GCA_009827455.1	GCA_034424525.1	inter_genus	Pontixanthobacter	Sphingobium	1489	60.3812	0.397196
GCA_001643235.1	GCA_008973485.1	inter_genus	Domibacillus	Psychrobacillus	1626	60.3766	0.377146
GCA_000970675.1	GCA_003254155.1	inter_genus	Domibacillus	Psychrobacillus	1563	60.3409	0.397196
GCA_001906925.1	GCA_006861795.1	inter_genus	Domibacillus	Psychrobacillus	1681	60.3391	0.406139
GCA_009828095.1	GCA_034424525.1	inter_genus	Pontixanthobacter	Sphingobium	1538	60.3111	0.373474
GCA_001643235.1	GCA_006861795.1	inter_genus	Domibacillus	Psychrobacillus	1793	60.2045	0.392938
GCA_006861775.1	GCA_030814065.1	inter_genus	Psychrobacillus	Mesobacillus	1684	60.1768	0.359726
GCA_001906925.1	GCA_008973485.1	inter_genus	Domibacillus	Psychrobacillus	1592	60.1722	0.373474
GCA_001643235.1	GCA_006861775.1	inter_genus	Domibacillus	Psychrobacillus	1759	60.1376	0.377146
GCA_006861795.1	GCA_030814065.1	inter_genus	Psychrobacillus	Mesobacillus	1711	60.1141	0.369901
GCA_000970675.1	GCA_008973485.1	inter_genus	Domibacillus	Psychrobacillus	1581	60.1069	0.377146
GCA_012972675.1	GCA_034424525.1	inter_genus	Pontixanthobacter	Sphingobium	1507	60.0997	0.392938
GCA_000966185.1	GCA_003254155.1	inter_genus	Domibacillus	Psychrobacillus	1602	60.0870	0.380922
GCA_000970675.1	GCA_006861775.1	inter_genus	Domibacillus	Psychrobacillus	1628	60.0690	0.366421
GCA_000970675.1	GCA_006861795.1	inter_genus	Domibacillus	Psychrobacillus	1684	60.0326	0.369901
GCA_008973485.1	GCA_030814065.1	inter_genus	Psychrobacillus	Mesobacillus	1676	59.9027	0.359726
GCA_000966185.1	GCA_008973485.1	inter_genus	Domibacillus	Psychrobacillus	1642	59.7951	0.380922
GCA_000966185.1	GCA_006861775.1	inter_genus	Domibacillus	Psychrobacillus	1693	59.7676	0.359726
GCA_000966185.1	GCA_006861795.1	inter_genus	Domibacillus	Psychrobacillus	1731	59.7036	0.377146
GCA_020734105.1	GCA_030814065.1	inter_genus	Alkalihalobacillus	Mesobacillus	1769	59.6477	0.388812
GCA_000292245.2	GCA_030814065.1	inter_genus	Alkalihalobacillus	Mesobacillus	1680	59.4842	0.437182
GCA_001906925.1	GCA_020734105.1	inter_genus	Domibacillus	Alkalihalobacillus	1621	59.3981	0.401593
GCA_001643235.1	GCA_020734105.1	inter_genus	Domibacillus	Alkalihalobacillus	1658	59.3284	0.397196
GCA_000970675.1	GCA_020734105.1	inter_genus	Domibacillus	Alkalihalobacillus	1615	59.2699	0.401593
GCA_000966185.1	GCA_020734105.1	inter_genus	Domibacillus	Alkalihalobacillus	1701	58.9992	0.392938
GCA_030814065.1	GCA_047302405.1	inter_genus	Mesobacillus	Alkalihalobacillus	1725	58.9883	0.420773
GCA_030814065.1	GCA_042656585.1	inter_genus	Mesobacillus	Thalassorhabdus	1563	58.8460	0.373474
GCA_000292245.2	GCA_001906925.1	inter_genus	Alkalihalobacillus	Domibacillus	1469	58.8172	0.426026
GCA_000292245.2	GCA_001643235.1	inter_genus	Alkalihalobacillus	Domibacillus	1532	58.6842	0.420773
GCA_000292245.2	GCA_000970675.1	inter_genus	Alkalihalobacillus	Domibacillus	1539	58.6528	0.449332
GCA_028610675.1	GCA_030814065.1	inter_genus	Alkalihalobacillus	Mesobacillus	1690	58.6144	0.415717
GCA_000292245.2	GCA_000966185.1	inter_genus	Alkalihalobacillus	Domibacillus	1671	58.4613	0.431489
GCA_001906925.1	GCA_047302405.1	inter_genus	Domibacillus	Alkalihalobacillus	1532	58.3889	0.426026
GCA_000970675.1	GCA_042656585.1	inter_genus	Domibacillus	Thalassorhabdus	1517	58.2991	0.401593
GCA_000970675.1	GCA_047302405.1	inter_genus	Domibacillus	Alkalihalobacillus	1608	58.2749	0.449332
GCA_001643235.1	GCA_047302405.1	inter_genus	Domibacillus	Alkalihalobacillus	1609	58.2331	0.443122
GCA_000966185.1	GCA_047302405.1	inter_genus	Domibacillus	Alkalihalobacillus	1776	58.2183	0.420773
GCA_000966185.1	GCA_042656585.1	inter_genus	Domibacillus	Thalassorhabdus	1551	58.1806	0.392938
GCA_001906925.1	GCA_042656585.1	inter_genus	Domibacillus	Thalassorhabdus	1460	58.1168	0.426026
GCA_000970675.1	GCA_028610675.1	inter_genus	Domibacillus	Alkalihalobacillus	1538	57.9312	0.449332
GCA_001643235.1	GCA_042656585.1	inter_genus	Domibacillus	Thalassorhabdus	1509	57.9009	0.437182
GCA_000966185.1	GCA_028610675.1	inter_genus	Domibacillus	Alkalihalobacillus	1678	57.8868	0.420773
GCA_001906925.1	GCA_028610675.1	inter_genus	Domibacillus	Alkalihalobacillus	1490	57.8795	0.420773
GCA_001643235.1	GCA_028610675.1	inter_genus	Domibacillus	Alkalihalobacillus	1547	57.7398	0.426026
GCA_003254155.1	GCA_020734105.1	inter_genus	Psychrobacillus	Alkalihalobacillus	1561	57.6580	0.443122
GCA_008297975.1	GCA_900100925.1	inter_genus	Antrihabitans	Actinopolyspora	1544	57.6126	0.415717
GCA_016481275.1	GCA_900100925.1	inter_genus	Antrihabitans	Actinopolyspora	1560	57.3592	0.397196
GCA_000292245.2	GCA_003254155.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1453	57.3153	0.485465
GCA_043944905.1	GCA_900100925.1	inter_genus	Antrihabitans	Actinopolyspora	1556	57.2632	0.410843
GCA_012932915.1	GCA_900100925.1	inter_genus	Antrihabitans	Actinopolyspora	1574	57.2614	0.431489
GCA_000292245.2	GCA_006861795.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1634	57.2355	0.477439
GCA_006861775.1	GCA_020734105.1	inter_genus	Psychrobacillus	Alkalihalobacillus	1641	57.1899	0.449332
GCA_006861795.1	GCA_020734105.1	inter_genus	Psychrobacillus	Alkalihalobacillus	1642	57.1727	0.462668
GCA_003254155.1	GCA_047302405.1	inter_genus	Psychrobacillus	Alkalihalobacillus	1513	57.0523	0.443122
GCA_000292245.2	GCA_006861775.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1589	56.9961	0.449332
GCA_000292245.2	GCA_008973485.1	inter_genus	Alkalihalobacillus	Psychrobacillus	1547	56.9089	
GCA_008973485.1	GCA_020734105.1	inter_genus	Psychrobacillus	Alkalihalobacillus	1539	56.9022	0.437182
GCA_006861795.1	GCA_047302405.1	inter_genus	Psychrobacillus	Alkalihalobacillus	1728	56.7572	0.449332
GCA_006861775.1	GCA_047302405.1	inter_genus	Psychrobacillus	Alkalihalobacillus	1680	56.6478	0.455838
GCA_008973485.1	GCA_047302405.1	inter_genus	Psychrobacillus	Alkalihalobacillus	1644	56.6359	0.462668
GCA_003254155.1	GCA_028610675.1	inter_genus	Psychrobacillus	Alkalihalobacillus	1497	56.4012	0.477439
GCA_006861775.1	GCA_042656585.1	inter_genus	Psychrobacillus	Thalassorhabdus	1453	56.3327	0.426026
GCA_006861775.1	GCA_028610675.1	inter_genus	Psychrobacillus	Alkalihalobacillus	1644	56.2825	0.443122
GCA_006861795.1	GCA_042656585.1	inter_genus	Psychrobacillus	Thalassorhabdus	1462	56.2715	0.449332
GCA_008973485.1	GCA_042656585.1	inter_genus	Psychrobacillus	Thalassorhabdus	1375	56.2484	0.449332
GCA_003254155.1	GCA_042656585.1	inter_genus	Psychrobacillus	Thalassorhabdus	1390	56.2151	0.455838
GCA_006861795.1	GCA_028610675.1	inter_genus	Psychrobacillus	Alkalihalobacillus	1694	56.2045	0.455838
GCA_008973485.1	GCA_028610675.1	inter_genus	Psychrobacillus	Alkalihalobacillus	1648	56.0153	0.443122
GCA_000009365.1	GCA_001639725.1	inter_genus	Alcanivorax	Marinomonas	1090	55.1521	0.420773
GCA_001639725.1	GCA_003597125.1	inter_genus	Marinomonas	Alcanivorax	1127	55.0374	0.449332
GCA_001639725.1	GCA_009601165.1	inter_genus	Marinomonas	Alcanivorax	1128	54.9002	0.485465
GCA_000756655.1	GCA_001639725.1	inter_genus	Alcanivorax	Marinomonas	1119	54.7727	0.477439
GCA_008704535.1	GCA_900100925.1	inter_genus	Streptomyces	Actinopolyspora	1620	54.7125	0.415717
GCA_000970675.1	GCA_900636385.1	inter_genus	Domibacillus	Staphylococcus	1018	54.6296	0.449332
GCA_000966185.1	GCA_900636385.1	inter_genus	Domibacillus	Staphylococcus	1045	54.5891	0.455838
GCA_008297975.1	GCA_008704535.1	inter_genus	Antrihabitans	Streptomyces	1777	54.3782	0.426026
GCA_008704535.1	GCA_043944905.1	inter_genus	Streptomyces	Antrihabitans	1787	54.3533	0.401593
GCA_030814065.1	GCA_900636385.1	inter_genus	Mesobacillus	Staphylococcus	996	54.3059	0.469856
GCA_008704535.1	GCA_012932915.1	inter_genus	Streptomyces	Antrihabitans	1799	54.2664	0.431489
GCA_008704535.1	GCA_016481275.1	inter_genus	Streptomyces	Antrihabitans	1797	54.2501	0.420773
