scenario	accession	genus	domain	neighbour	dist	class	same_genus
as_reported	GCA_000007305.1	Pyrococcus	Archaea	GCA_008245085.1	0.000330	same_strain	1
no_self_strain	GCA_000007305.1	Pyrococcus	Archaea	GCA_050496105.1	0.003419	congeneric	1
novel_species	GCA_000007305.1	Pyrococcus	Archaea	GCA_050496105.1	0.003419	congeneric	1
as_reported	GCA_000007185.1	Methanopyrus	Archaea	GCA_017873335.1	0.328965	inter_genus	0
no_self_strain	GCA_000007185.1	Methanopyrus	Archaea	GCA_017873335.1	0.328965	inter_genus	0
novel_species	GCA_000007185.1	Methanopyrus	Archaea	GCA_017873335.1	0.328965	inter_genus	0
as_reported	GCA_000008645.1	Methanothermobacter	Archaea	GCA_027554905.1	0.000291	same_species	1
no_self_strain	GCA_000008645.1	Methanothermobacter	Archaea	GCA_027554905.1	0.000291	same_species	1
novel_species	GCA_000008645.1	Methanothermobacter	Archaea	GCA_003385755.1	0.019474	congeneric	1
as_reported	GCA_000008665.1	Archaeoglobus	Archaea	GCA_016757965.1	0.242205	congeneric	1
no_self_strain	GCA_000008665.1	Archaeoglobus	Archaea	GCA_016757965.1	0.242205	congeneric	1
novel_species	GCA_000008665.1	Archaeoglobus	Archaea	GCA_016757965.1	0.242205	congeneric	1
as_reported	GCA_000009965.1	Thermococcus	Archaea	GCA_001592435.1	0.095656	congeneric	1
no_self_strain	GCA_000009965.1	Thermococcus	Archaea	GCA_001592435.1	0.095656	congeneric	1
novel_species	GCA_000009965.1	Thermococcus	Archaea	GCA_001592435.1	0.095656	congeneric	1
as_reported	GCA_000011005.1	Methanocella	Archaea	GCA_000251105.1	0.220489	congeneric	1
no_self_strain	GCA_000011005.1	Methanocella	Archaea	GCA_000251105.1	0.220489	congeneric	1
novel_species	GCA_000011005.1	Methanocella	Archaea	GCA_000251105.1	0.220489	congeneric	1
as_reported	GCA_000011085.1	Haloarcula	Archaea	GCA_005310945.1	0.000427	same_strain	1
no_self_strain	GCA_000011085.1	Haloarcula	Archaea	GCA_003634715.1	0.016488	congeneric	1
novel_species	GCA_000011085.1	Haloarcula	Archaea	GCA_003634715.1	0.016488	congeneric	1
as_reported	GCA_000011105.1	Pyrococcus	Archaea	GCA_008245085.1	0.223483	congeneric	1
no_self_strain	GCA_000011105.1	Pyrococcus	Archaea	GCA_008245085.1	0.223483	congeneric	1
novel_species	GCA_000011105.1	Pyrococcus	Archaea	GCA_008245085.1	0.223483	congeneric	1
as_reported	GCA_000011125.1	Aeropyrum	Archaea	GCA_000591035.1	0.145150	congeneric	1
no_self_strain	GCA_000011125.1	Aeropyrum	Archaea	GCA_000591035.1	0.145150	congeneric	1
novel_species	GCA_000011125.1	Aeropyrum	Archaea	GCA_000591035.1	0.145150	congeneric	1
as_reported	GCA_000011185.1	Thermoplasma	Archaea	GCA_001399695.1	0.236445	inter_genus	0
no_self_strain	GCA_000011185.1	Thermoplasma	Archaea	GCA_001399695.1	0.236445	inter_genus	0
novel_species	GCA_000011185.1	Thermoplasma	Archaea	GCA_001399695.1	0.236445	inter_genus	0
as_reported	GCA_000008265.1	Picrophilus	Archaea	GCA_900176435.1	0.010263	same_strain	1
no_self_strain	GCA_000008265.1	Picrophilus	Archaea	GCA_001402945.1	0.276697	inter_genus	0
novel_species	GCA_000008265.1	Picrophilus	Archaea	GCA_001402945.1	0.276697	inter_genus	0
as_reported	GCA_000011205.1	Sulfurisphaera	Archaea	GCA_039545175.1	0.000033	same_species	1
no_self_strain	GCA_000011205.1	Sulfurisphaera	Archaea	GCA_039545175.1	0.000033	same_species	1
novel_species	GCA_000011205.1	Sulfurisphaera	Archaea	GCA_014202105.1	0.039472	congeneric	1
as_reported	GCA_000012285.1	Sulfolobus	Archaea	GCA_028472365.1	0.000041	same_strain	1
no_self_strain	GCA_000012285.1	Sulfolobus	Archaea	GCA_009729545.1	0.300994	inter_genus	0
novel_species	GCA_000012285.1	Sulfolobus	Archaea	GCA_009729545.1	0.300994	inter_genus	0
as_reported	GCA_000012545.1	Methanosphaera	Archaea	GCA_028890305.1	0.188686	congeneric	1
no_self_strain	GCA_000012545.1	Methanosphaera	Archaea	GCA_028890305.1	0.188686	congeneric	1
novel_species	GCA_000012545.1	Methanosphaera	Archaea	GCA_028890305.1	0.188686	congeneric	1
as_reported	GCA_000013725.1	Methanococcoides	Archaea	GCA_031454185.1	0.081265	congeneric	1
no_self_strain	GCA_000013725.1	Methanococcoides	Archaea	GCA_031454185.1	0.081265	congeneric	1
novel_species	GCA_000013725.1	Methanococcoides	Archaea	GCA_031454185.1	0.081265	congeneric	1
as_reported	GCA_000007345.1	Methanosarcina	Archaea	GCA_000970085.1	0.074469	congeneric	1
no_self_strain	GCA_000007345.1	Methanosarcina	Archaea	GCA_000970085.1	0.074469	congeneric	1
novel_species	GCA_000007345.1	Methanosarcina	Archaea	GCA_000970085.1	0.074469	congeneric	1
as_reported	GCA_000015145.1	Hyperthermus	Archaea	GCA_001412615.1	0.258493	inter_genus	0
no_self_strain	GCA_000015145.1	Hyperthermus	Archaea	GCA_001412615.1	0.258493	inter_genus	0
novel_species	GCA_000015145.1	Hyperthermus	Archaea	GCA_001412615.1	0.258493	inter_genus	0
as_reported	GCA_000015205.1	Pyrobaculum	Archaea	GCA_055384425.1	0.020379	congeneric	1
no_self_strain	GCA_000015205.1	Pyrobaculum	Archaea	GCA_055384425.1	0.020379	congeneric	1
novel_species	GCA_000015205.1	Pyrobaculum	Archaea	GCA_055384425.1	0.020379	congeneric	1
as_reported	GCA_000007225.1	Pyrobaculum	Archaea	GCA_000247545.1	0.218593	congeneric	1
no_self_strain	GCA_000007225.1	Pyrobaculum	Archaea	GCA_000247545.1	0.218593	congeneric	1
novel_species	GCA_000007225.1	Pyrobaculum	Archaea	GCA_000247545.1	0.218593	congeneric	1
as_reported	GCA_000015765.1	Methanocorpusculum	Archaea	GCA_002287215.1	0.118201	congeneric	1
no_self_strain	GCA_000015765.1	Methanocorpusculum	Archaea	GCA_002287215.1	0.118201	congeneric	1
novel_species	GCA_000015765.1	Methanocorpusculum	Archaea	GCA_002287215.1	0.118201	congeneric	1
as_reported	GCA_000013445.1	Methanospirillum	Archaea	GCA_018502485.1	0.169279	congeneric	1
no_self_strain	GCA_000013445.1	Methanospirillum	Archaea	GCA_018502485.1	0.169279	congeneric	1
novel_species	GCA_000013445.1	Methanospirillum	Archaea	GCA_018502485.1	0.169279	congeneric	1
as_reported	GCA_000015805.1	Pyrobaculum	Archaea	GCA_000247545.1	0.247037	congeneric	1
no_self_strain	GCA_000015805.1	Pyrobaculum	Archaea	GCA_000247545.1	0.247037	congeneric	1
novel_species	GCA_000015805.1	Pyrobaculum	Archaea	GCA_000247545.1	0.247037	congeneric	1
as_reported	GCA_000015825.1	Methanoculleus	Archaea	GCA_025914035.1	0.000029	congeneric	1
no_self_strain	GCA_000015825.1	Methanoculleus	Archaea	GCA_025914035.1	0.000029	congeneric	1
novel_species	GCA_000015825.1	Methanoculleus	Archaea	GCA_025914035.1	0.000029	congeneric	1
as_reported	GCA_000015945.1	Staphylothermus	Archaea	GCA_000092465.1	0.111073	congeneric	1
no_self_strain	GCA_000015945.1	Staphylothermus	Archaea	GCA_000092465.1	0.111073	congeneric	1
novel_species	GCA_000015945.1	Staphylothermus	Archaea	GCA_000092465.1	0.111073	congeneric	1
as_reported	GCA_000016385.1	Pyrobaculum	Archaea	GCA_000247545.1	0.035822	congeneric	1
no_self_strain	GCA_000016385.1	Pyrobaculum	Archaea	GCA_000247545.1	0.035822	congeneric	1
novel_species	GCA_000016385.1	Pyrobaculum	Archaea	GCA_000247545.1	0.035822	congeneric	1
as_reported	GCA_000016525.1	Methanobrevibacter	Archaea	GCA_028743435.1	0.000000	same_strain	1
no_self_strain	GCA_000016525.1	Methanobrevibacter	Archaea	GCA_002252585.1	0.053609	congeneric	1
novel_species	GCA_000016525.1	Methanobrevibacter	Archaea	GCA_002252585.1	0.053609	congeneric	1
as_reported	GCA_000016605.1	Metallosphaera	Archaea	GCA_035610555.1	0.000031	same_strain	1
no_self_strain	GCA_000016605.1	Metallosphaera	Archaea	GCA_005222525.1	0.001229	same_species	1
novel_species	GCA_000016605.1	Metallosphaera	Archaea	GCA_022064045.1	0.176630	congeneric	1
as_reported	GCA_000017165.1	Methanococcus	Archaea	GCA_054506835.1	0.196705	congeneric	1
no_self_strain	GCA_000017165.1	Methanococcus	Archaea	GCA_054506835.1	0.196705	congeneric	1
novel_species	GCA_000017165.1	Methanococcus	Archaea	GCA_054506835.1	0.196705	congeneric	1
as_reported	GCA_000017185.1	Methanococcus	Archaea	GCA_000376965.1	0.184014	inter_genus	0
no_self_strain	GCA_000017185.1	Methanococcus	Archaea	GCA_000376965.1	0.184014	inter_genus	0
novel_species	GCA_000017185.1	Methanococcus	Archaea	GCA_000376965.1	0.184014	inter_genus	0
as_reported	GCA_000017625.1	Methanoregula	Archaea	GCA_000327485.1	0.256381	congeneric	1
no_self_strain	GCA_000017625.1	Methanoregula	Archaea	GCA_000327485.1	0.256381	congeneric	1
novel_species	GCA_000017625.1	Methanoregula	Archaea	GCA_000327485.1	0.256381	congeneric	1
as_reported	GCA_000017945.1	Ignicoccus	Archaea	GCA_025340205.1	0.256381	congeneric	1
no_self_strain	GCA_000017945.1	Ignicoccus	Archaea	GCA_025340205.1	0.256381	congeneric	1
novel_species	GCA_000017945.1	Ignicoccus	Archaea	GCA_025340205.1	0.256381	congeneric	1
as_reported	GCA_000018305.1	Caldivirga	Archaea	GCA_001748385.1	0.254359	inter_genus	0
no_self_strain	GCA_000018305.1	Caldivirga	Archaea	GCA_001748385.1	0.254359	inter_genus	0
novel_species	GCA_000018305.1	Caldivirga	Archaea	GCA_001748385.1	0.254359	inter_genus	0
as_reported	GCA_000018365.1	Thermococcus	Archaea	GCA_001647085.1	0.091653	congeneric	1
no_self_strain	GCA_000018365.1	Thermococcus	Archaea	GCA_001647085.1	0.091653	congeneric	1
novel_species	GCA_000018365.1	Thermococcus	Archaea	GCA_001647085.1	0.091653	congeneric	1
as_reported	GCA_000018465.1	Nitrosopumilus	Archaea	GCA_000875775.1	0.132833	congeneric	1
no_self_strain	GCA_000018465.1	Nitrosopumilus	Archaea	GCA_000875775.1	0.132833	congeneric	1
novel_species	GCA_000018465.1	Nitrosopumilus	Archaea	GCA_000875775.1	0.132833	congeneric	1
as_reported	GCA_000019805.1	Pyrobaculum	Archaea	GCA_000015205.1	0.121685	congeneric	1
no_self_strain	GCA_000019805.1	Pyrobaculum	Archaea	GCA_000015205.1	0.121685	congeneric	1
novel_species	GCA_000019805.1	Pyrobaculum	Archaea	GCA_000015205.1	0.121685	congeneric	1
as_reported	GCA_000015225.1	Thermofilum	Archaea	GCA_000446015.1	0.287309	congeneric	1
no_self_strain	GCA_000015225.1	Thermofilum	Archaea	GCA_000446015.1	0.287309	congeneric	1
novel_species	GCA_000015225.1	Thermofilum	Archaea	GCA_000446015.1	0.287309	congeneric	1
as_reported	GCA_000020905.1	Desulfurococcus	Archaea	GCA_000513855.1	0.009601	same_species	1
no_self_strain	GCA_000020905.1	Desulfurococcus	Archaea	GCA_000513855.1	0.009601	same_species	1
novel_species	GCA_000020905.1	Desulfurococcus	Archaea	GCA_000186365.1	0.247037	congeneric	1
as_reported	GCA_000021965.1	Methanosphaerula	Archaea	GCA_052055875.1	0.113446	congeneric	1
no_self_strain	GCA_000021965.1	Methanosphaerula	Archaea	GCA_052055875.1	0.113446	congeneric	1
novel_species	GCA_000021965.1	Methanosphaerula	Archaea	GCA_052055875.1	0.113446	congeneric	1
as_reported	GCA_000022205.1	Halorubrum	Archaea	GCA_007671685.1	0.098203	congeneric	1
no_self_strain	GCA_000022205.1	Halorubrum	Archaea	GCA_007671685.1	0.098203	congeneric	1
novel_species	GCA_000022205.1	Halorubrum	Archaea	GCA_007671685.1	0.098203	congeneric	1
as_reported	GCA_000022365.1	Thermococcus	Archaea	GCA_000816105.1	0.126340	congeneric	1
no_self_strain	GCA_000022365.1	Thermococcus	Archaea	GCA_000816105.1	0.126340	congeneric	1
novel_species	GCA_000022365.1	Thermococcus	Archaea	GCA_000816105.1	0.126340	congeneric	1
as_reported	GCA_000022485.1	Saccharolobus	Archaea	GCA_019175345.1	0.046903	congeneric	1
no_self_strain	GCA_000022485.1	Saccharolobus	Archaea	GCA_019175345.1	0.046903	congeneric	1
novel_species	GCA_000022485.1	Saccharolobus	Archaea	GCA_019175345.1	0.046903	congeneric	1
as_reported	GCA_000022545.1	Thermococcus	Archaea	GCA_023746595.1	0.168318	congeneric	1
no_self_strain	GCA_000022545.1	Thermococcus	Archaea	GCA_023746595.1	0.168318	congeneric	1
novel_species	GCA_000022545.1	Thermococcus	Archaea	GCA_023746595.1	0.168318	congeneric	1
as_reported	GCA_000023945.1	Halorhabdus	Archaea	GCA_000470655.1	0.122140	congeneric	1
no_self_strain	GCA_000023945.1	Halorhabdus	Archaea	GCA_000470655.1	0.122140	congeneric	1
novel_species	GCA_000023945.1	Halorhabdus	Archaea	GCA_000470655.1	0.122140	congeneric	1
as_reported	GCA_000023965.1	Halomicrobium	Archaea	GCA_000379085.1	0.028279	congeneric	1
no_self_strain	GCA_000023965.1	Halomicrobium	Archaea	GCA_000379085.1	0.028279	congeneric	1
novel_species	GCA_000023965.1	Halomicrobium	Archaea	GCA_000379085.1	0.028279	congeneric	1
as_reported	GCA_000023985.1	Methanocaldococcus	Archaea	GCA_000739065.1	0.140776	congeneric	1
no_self_strain	GCA_000023985.1	Methanocaldococcus	Archaea	GCA_000739065.1	0.140776	congeneric	1
novel_species	GCA_000023985.1	Methanocaldococcus	Archaea	GCA_000739065.1	0.140776	congeneric	1
as_reported	GCA_000024185.1	Methanobrevibacter	Archaea	GCA_900114585.1	0.196126	congeneric	1
no_self_strain	GCA_000024185.1	Methanobrevibacter	Archaea	GCA_900114585.1	0.196126	congeneric	1
