query	nearest_type_strain	nearest_type_species	mash_dist	call	ncbi_name	revised_species	agrees_with_revision
GCF_000153625.3	GCA_000153625.1	Fusobacterium polymorphum	0.000000	Fusobacterium polymorphum	Fusobacterium polymorphum ATCC 10953	Fusobacterium polymorphum	1
GCF_000158195.2	GCA_900450765.1	Fusobacterium necrogenes	0.090492		Fusobacterium mortiferum ATCC 9817	Fusobacterium mortiferum	
GCF_000158215.3	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.040255	Fusobacterium pseudoperiodonticum	Fusobacterium periodonticum 2_1_31	Fusobacterium pseudoperiodonticum	1
GCF_000158235.1	GCA_003019695.1	Fusobacterium gonidiaformans	0.015272	Fusobacterium gonidiaformans	Fusobacterium gonidiaformans 3-1-5R	Fusobacterium gonidiaformans	1
GCF_000158255.2	GCA_900450795.1	Fusobacterium vincentii	0.019951	Fusobacterium vincentii	Fusobacterium vincentii 4_1_13	Fusobacterium vincentii	1
GCF_000158275.2	GCA_056823795.1	Fusobacterium animalis	0.032301	Fusobacterium animalis	Fusobacterium animalis 7_1	Fusobacterium animalis	1
GCF_000158315.2	GCA_000158315.2	Fusobacterium ulcerans	0.000000	Fusobacterium ulcerans	Fusobacterium ulcerans ATCC 49185	Fusobacterium ulcerans	1
GCF_000158835.2	GCA_000158835.2	Fusobacterium gonidiaformans	0.000000	Fusobacterium gonidiaformans	Fusobacterium gonidiaformans ATCC 25563	Fusobacterium gonidiaformans	1
GCF_000159915.2	GCA_900637705.1	Fusobacterium varium	0.000686	Fusobacterium varium	Fusobacterium varium ATCC 27725	Fusobacterium varium	1
GCF_000160475.1	GCA_000160475.1	Fusobacterium periodonticum	0.000000	Fusobacterium periodonticum	Fusobacterium periodonticum ATCC 33693	Fusobacterium periodonticum	1
GCF_000162235.2	GCA_900450795.1	Fusobacterium vincentii	0.020653	Fusobacterium vincentii	Fusobacterium vincentii 3_1_36A2	Fusobacterium vincentii	1
GCF_000162355.2	GCA_056823795.1	Fusobacterium animalis	0.030736	Fusobacterium animalis	Fusobacterium animalis 3_1_33	Fusobacterium animalis	1
GCF_000163915.2	GCA_900450795.1	Fusobacterium vincentii	0.018435	Fusobacterium vincentii	Fusobacterium vincentii 3_1_27	Fusobacterium vincentii	1
GCF_000163935.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.046351		Fusobacterium periodonticum 1_1_41FAA	Fusobacterium pseudoperiodonticum	
GCF_000178895.1	GCA_031191795.1	Fusobacterium nucleatum	0.011961	Fusobacterium nucleatum	Fusobacterium nucleatum subsp. nucleatum ATCC 23726	Fusobacterium nucleatum	1
GCF_000218645.2	GCA_056823795.1	Fusobacterium animalis	0.032427	Fusobacterium animalis	Fusobacterium animalis 21_1A	Fusobacterium animalis	1
GCF_000218655.1	GCA_056823795.1	Fusobacterium animalis	0.034080	Fusobacterium animalis	Fusobacterium animalis 11_3_2	Fusobacterium animalis	1
GCF_000235465.1	GCA_000160475.1	Fusobacterium periodonticum	0.070752		Fusobacterium sp. oral taxon 370 str. F0437	Fusobacterium sp. oral taxon 370	
GCF_000242975.1	GCA_056823795.1	Fusobacterium animalis	0.031346	Fusobacterium animalis	Fusobacterium animalis F0419	Fusobacterium animalis	1
GCF_000242995.2	GCA_003019675.1	Fusobacterium ulcerans	0.016629	Fusobacterium ulcerans	Fusobacterium ulcerans 12-1B	Fusobacterium ulcerans	1
GCF_000262225.1	GCA_000262225.1	Fusobacterium necrophorum	0.000000	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme ATCC 51357	Fusobacterium necrophorum	1
GCF_000273605.1	GCA_056823795.1	Fusobacterium animalis	0.031305	Fusobacterium animalis	Fusobacterium animalis F0419	Fusobacterium animalis	1
GCF_000273625.1	GCA_056823795.1	Fusobacterium animalis	0.032291	Fusobacterium animalis	Fusobacterium animalis 7_1	Fusobacterium animalis	1
GCF_000279975.1	GCA_000279975.1	Fusobacterium vincentii	0.000000	Fusobacterium vincentii	Fusobacterium vincentii ATCC 51190	Fusobacterium vincentii	1
GCF_000292935.1	GCA_000292935.1	Fusobacterium hwasookii	0.000000	Fusobacterium hwasookii	Fusobacterium hwasookii ChDC F128	Fusobacterium hwasookii	1
GCF_000292975.1	GCA_008801775.1	Fusobacterium necrophorum	0.016725	Fusobacterium necrophorum	Fusobacterium necrophorum subsp. funduliforme Fnf 1007	Fusobacterium necrophorum	1
GCF_000297655.1	GCA_002761955.1	Fusobacterium pseudoperiodonticum	0.040905	Fusobacterium pseudoperiodonticum	Fusobacterium periodonticum D10	Fusobacterium pseudoperiodonticum	1
GCF_000347315.1	GCA_000279975.1	Fusobacterium vincentii	0.019068	Fusobacterium vincentii	Fusobacterium nucleatum CC53	Fusobacterium vincentii	1
GCF_000381725.1	GCA_000381725.1	Fusobacterium russii	0.000000	Fusobacterium russii	Fusobacterium russii ATCC 25533	Fusobacterium russii	1
GCF_000400875.1	GCA_056823795.1	Fusobacterium animalis	0.031175	Fusobacterium animalis	Fusobacterium animalis 4_8	Fusobacterium animalis	1
GCF_000455865.1	GCA_000292935.1	Fusobacterium hwasookii	0.021410	Fusobacterium hwasookii	Fusobacterium hwasookii ChDC F145	Fusobacterium hwasookii	1
GCF_000455885.1	GCA_000292935.1	Fusobacterium hwasookii	0.019410	Fusobacterium hwasookii	Fusobacterium hwasookii ChDC F174	Fusobacterium hwasookii	1
GCF_000455905.1	GCA_000292935.1	Fusobacterium hwasookii	0.022594	Fusobacterium hwasookii	Fusobacterium hwasookii ChDC F206	Fusobacterium hwasookii	1
GCF_000455925.1	GCA_000292935.1	Fusobacterium hwasookii	0.022953	Fusobacterium hwasookii	Fusobacterium hwasookii ChDC F300	Fusobacterium hwasookii	1
GCF_000455945.1	GCA_031191795.1	Fusobacterium nucleatum	0.009270	Fusobacterium nucleatum	Fusobacterium nucleatum subsp. nucleatum ChDC F316	Fusobacterium nucleatum	1
GCF_000455965.1	GCA_900450795.1	Fusobacterium vincentii	0.017951	Fusobacterium vincentii	Fusobacterium vincentii ChDC F8	Fusobacterium vincentii	1
GCF_000455985.1	GCA_056823795.1	Fusobacterium animalis	0.031681	Fusobacterium animalis	Fusobacterium animalis ChDC F324	Fusobacterium animalis	1
GCF_000479205.1	GCA_900450795.1	Fusobacterium vincentii	0.002597	Fusobacterium vincentii	Fusobacterium nucleatum CTI-7	Fusobacterium vincentii	1
GCF_000479225.1	GCA_056823795.1	Fusobacterium animalis	0.033749	Fusobacterium animalis	Fusobacterium nucleatum CTI-5	Fusobacterium animalis	1
GCF_000479245.1	GCA_056823795.1	Fusobacterium animalis	0.032062	Fusobacterium animalis	Fusobacterium nucleatum CTI-3	Fusobacterium animalis	1
GCF_000479265.1	GCA_031191795.1	Fusobacterium nucleatum	0.010633	Fusobacterium nucleatum	Fusobacterium nucleatum CTI-2	Fusobacterium nucleatum	1
GCF_000479285.1	GCA_056823795.1	Fusobacterium animalis	0.031835	Fusobacterium animalis	Fusobacterium nucleatum CTI-1	Fusobacterium animalis	1
GCF_000493815.1	GCA_026089295.1	Fusobacterium simiae	0.016370	Fusobacterium simiae	Fusobacterium nucleatum W1481	Fusobacterium simiae	1
GCF_000524215.1	GCA_056823795.1	Fusobacterium animalis	0.031477	Fusobacterium animalis	Fusobacterium sp. CM1	Fusobacterium animalis	1
GCF_000524235.1	GCA_001457555.1	Fusobacterium polymorphum	0.026631	Fusobacterium polymorphum	Fusobacterium sp. OBRC1	Fusobacterium polymorphum	1
